Column1,Time,GNARE/SR/2025/01/13/4532,NR/22102023/11042047/L_NR_2021_17,NR/22102023/11042047/L_NR_2021_16,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,NR/01102023/08032047/L_NR_2021_14,NR/01102023/13082046/L_NR_2021_12,GNARE/NR/2024/12/20/3668,NR/30092023/26122029/SH-06,GNA/NR/2025/05/16/9317,GNA/NR/2025/05/01/5800,GNA/NR/2025/05/01/4138,GNA/NR/2025/05/01/9395,GNA/NR/2025/05/01/7791,GNA/NR/2025/05/01/2069,GNA/NR/2025/05/01/2474,GNA/NR/2025/05/01/9252,GNA/NR/2025/05/01/8954,GNA/NR/2025/05/01/6160,GNA/NR/2025/05/01/6957,GNA/NR/2025/05/01/7902,NR/01102023/31052040/LT-31,NR/01102023/05012040/L_NR_2020_02,NR/01102023/19072037/LT-05,GNA/NR/2025/05/19/4843,NR/01102023/06022042/L_NR_2012_07,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/05/01/6363,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/30092023/31122025/SH-07,NR/01102023/06022042/L_NR_2012_02,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/05/16/1698,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/04/01/8456,NR/01102023/30042040/GNA_LT_36,NR/01102023/30042040/GNA_LT_35,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/05/01/3877,GNA/NR/2025/04/01/8964,NR/01102023/22052037/LT-59,GNA/NR/2025/05/01/8068,GNA/NR/2025/04/01/8510,WR/01102023/29112042/L_NR_2019_05,L_NR_2019_19,WR/01102023/30052048/L_NR_2022_10,WR/01102023/31032046/L_NR_2020_05,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/01102023/L_NR_2022_09,WR/01102023/01102023/L_NR_2020_06
1,00:00-00:15,13.21,0,0,0,0,0,0,0,0,0,32,96.6,67.62,0,0,0,0,29.1,13.52,5.8,0,193.2,28.98,0,5.43,115.51,0,87.13,13.22,14.49,28.27,32,261.4,100.64,24.15,273.14,10.2,0,0,6.63,28.98,6.38,5.69,10.63,15.46,0,0,48.67,57,15,0,19,0,48.67,19

2,00:15-00:30,13.41,0,0,0,0,0,0,0,0,0,32,96.6,67.62,0,0,0,0,29.1,13.52,5.8,0,193.2,28.98,0,5.43,115.51,0,87.13,13.22,14.49,28.27,32,261.4,100.64,24.15,273.14,10.2,0,0,6.63,28.98,6.38,5.69,10.63,15.46,0,0,47.33,58.01,14.67,0,19.33,0,47.33,19.33

3,00:30-00:45,12.61,0,0,0,0,0,0,0,0,0,32,96.6,67.62,0,0,0,0,29.1,13.52,5.8,0,193.2,28.98,0,5.43,115.51,0,87.13,13.22,14.49,28.77,32,261.4,100.64,24.15,273.14,10.2,0,0,6.63,28.98,6.38,5.69,10.63,15.46,0,0,55,64.99,16.33,0,21.67,0,55,21.67

4,00:45-01:00,11.61,0,0,0,0,0,0,0,0,0,32,96.6,67.62,0,0,0,0,29.1,13.52,5.8,0,193.2,28.98,0,5.43,115.51,0,87.13,13.22,14.49,29.27,32,261.4,100.64,24.15,273.14,10.2,0,0,6.63,28.98,6.38,5.69,10.63,15.46,0,0,54.33,64.01,16.67,0,21.33,0,54.33,21.33

5,01:00-01:15,10.8,0,0,0,0,0,0,0,0,0,18,96.6,67.62,0,0,0,0,29.1,13.52,5.8,0,193.2,28.98,0,5.25,115.51,0,87.13,13.13,14.49,30.79,18,261.4,100.64,24.15,273.14,10.2,0,0,6.47,28.98,6.38,5.69,10.63,15.46,0,0,53.33,62.51,21.66,0,20.83,0,53.33,20.83

6,01:15-01:30,9.8,0,0,0,0,0,0,0,0,0,18,96.6,67.62,0,0,0,0,29.1,13.52,5.8,0,193.2,28.98,0,5.25,115.51,0,87.13,13.13,14.49,30.79,18,261.4,100.64,24.15,273.14,10.2,0,0,6.47,28.98,6.38,5.69,10.63,15.46,0,0,52.67,61.01,21,0,20.33,0,52.67,20.33

