Block,Time,PARBATI3,URI,KOLDAM,UNCHAHAR2,SEWA2,TANAKPUR,SINGRAULI,AURY_RF,SINGRAULI_HYDRO,NJPC,RIHAND2,AURY_GF,TEHRI,ANTA_LF,DULHASTI,DADRT2,DADRI_GF,RAPPB,ANTA_GF,UNCHAHAR3,DADRI_RF,ANTA_CRF,AURY_CRF,RAPPC,URI2,FSTPP I & II,KHSTPP-II,KHSTPP-I,SASAN,BRBCL,TALA,UNCHAHAR4,CHAMERA2,ANTA_RF,NAPP,DHAULIGNGA,RIHAND1,DADRI_LF,RAMPUR,RIHAND3,CHAMERA1,DADRI_CRF,UNCHAHAR1,BSIUL,JHAJJAR,CHAMERA3,AURY_LF,SALAL,KISHANGANGA,KOTESHWR,TANDA2,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,40.387190,0.000000,27.923402,15.214557,0.000000,134.113737,0.000000,0.644576,0.000000,113.718938,0.000000,0.000000,0.000000,0.000000,360.049800,0.000000,0.000000,0.000000,15.746788,0.000000,0.000000,0.000000,51.920818,30.707610,14.469381,141.768068,44.668394,369.315788,14.440501,0.000000,0.000000,0.000000,0.000000,41.949075,0.000000,88.568400,0.000000,0.000000,119.052897,0.000000,0.000000,7.073149,6.277574,345.898110,0.000000,0.000000,12.305231,0.000000,8.068389,0.000000,0,0,0,0,0

2,00:15-00:30,0.000000,40.387190,0.000000,27.923402,15.214557,5.426162,134.113737,0.000000,0.644576,0.000000,113.718938,0.000000,0.000000,0.000000,0.000000,360.049800,0.000000,0.000000,0.000000,13.294887,0.000000,0.000000,0.000000,51.920818,30.707610,14.469381,141.768068,44.668394,369.315788,14.440501,0.000000,0.000000,0.000000,0.000000,41.949075,0.000000,88.568400,0.000000,0.000000,119.052897,0.000000,0.000000,7.073149,6.277574,345.898110,0.000000,0.000000,12.305231,0.000000,8.068389,0.000000,0,0,0,0,0

3,00:30-00:45,0.000000,34.010266,0.000000,27.923402,15.214557,5.426162,134.113737,0.000000,0.644576,0.000000,113.718938,0.000000,0.000000,0.000000,0.000000,360.049800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,51.920818,30.707610,11.002506,141.768068,35.640213,369.315788,14.440501,0.000000,0.000000,0.000000,0.000000,41.949075,0.000000,88.568400,0.000000,0.000000,119.052897,0.000000,0.000000,7.073149,6.277574,345.898110,0.000000,0.000000,12.305231,0.000000,8.068389,0.000000,0,0,0,0,0

4,00:45-01:00,0.000000,34.010266,0.000000,27.923402,15.214557,5.426162,134.113737,0.000000,0.644576,0.000000,113.718938,0.000000,0.000000,0.000000,0.000000,360.049800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,51.920818,30.707610,14.079873,114.051165,35.640213,369.315788,14.440501,0.000000,0.000000,0.000000,0.000000,41.949075,0.000000,88.568400,0.000000,0.000000,119.052897,0.000000,0.000000,7.073149,6.277574,345.898110,0.000000,0.000000,12.305231,0.000000,8.068389,0.000000,0,0,0,0,0

5,01:00-01:15,0.000000,34.010266,0.000000,22.450164,15.214557,5.426162,134.113737,0.000000,0.644576,0.000000,113.718938,0.000000,0.000000,0.000000,0.000000,360.049800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,51.920818,31.339582,11.326551,94.797165,29.502519,369.315788,14.060912,0.000000,0.000000,0.000000,0.000000,41.949075,0.000000,88.568400,0.000000,0.000000,119.052897,0.000000,0.000000,7.073149,12.555148,345.898110,0.000000,0.000000,12.305231,0.000000,8.068389,0.000000,0,0,0,0,0

6,01:15-01:30,0.000000,34.010266,0.000000,22.450164,15.214557,5.426162,134.113737,0.000000,0.644576,0.000000,113.718938,0.000000,0.000000,0.000000,0.000000,360.049800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,51.920818,31.339582,11.326551,94.797165,29.502519,369.315788,13.859924,0.000000,0.000000,0.000000,0.000000,41.949075,0.000000,88.568400,0.000000,0.000000,119.052897,0.000000,0.000000,7.073149,12.555148,345.898110,0.000000,0.000000,12.305231,0.000000,8.068389,0.000000,0,0,0,0,0

7,01:30-01:45,0.000000,40.387190,0.000000,22.450164,15.214557,6.166094,134.113737,0.000000,0.644576,0.000000,113.718938,0.000000,0.000000,0.000000,15.864191,360.049800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,51.920818,31.339582,11.326551,94.797165,29.502519,369.315788,13.593990,0.000000,0.000000,0.000000,0.000000,41.949075,0.000000,88.568400,0.000000,0.000000,119.052897,0.000000,0.000000,7.073149,12.555148,345.898110,0.000000,0.000000,12.305231,0.000000,8.068389,0.000000,0,0,0,0,0

8,01:45-02:00,0.000000,40.387190,0.000000,22.450164,15.214557,6.166094,134.113737,0.000000,0.644576,0.000000,113.718938,0.000000,0.000000,0.000000,15.864191,360.049800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,51.920818,31.339582,11.326551,94.797165,29.502519,369.315788,12.427188,0.000000,0.000000,0.000000,0.000000,41.949075,0.000000,88.568400,0.000000,0.000000,119.052897,0.000000,0.000000,7.073149,12.555148,345.898110,0.000000,0.000000,12.305231,0.000000,8.068389,0.000000,0,0,0,0,0

9,02:00-02:15,0.000000,34.010266,0.000000,22.450164,15.214557,0.000000,134.113737,0.000000,0.644576,0.000000,113.718938,0.000000,0.000000,0.000000,15.864191,360.049800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,51.920818,31.339582,11.326551,94.797165,29.502519,369.315788,11.992941,0.000000,0.000000,0.000000,0.000000,41.949075,0.000000,88.568400,0.000000,0.000000,119.052897,0.000000,0.000000,7.073149,12.555148,345.898110,0.000000,0.000000,12.305231,0.000000,8.068389,0.000000,0,0,0,0,0

10,02:15-02:30,0.000000,34.010266,0.000000,22.450164,15.214557,0.000000,134.113737,0.000000,0.644576,0.000000,113.718938,0.000000,0.000000,0.000000,15.864191,360.049800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,51.920818,31.339582,11.326551,94.797165,29.502519,369.315788,12.596612,0.000000,0.000000,0.000000,0.000000,41.949075,0.000000,88.568400,0.000000,0.000000,119.052897,0.000000,0.000000,7.073149,12.555148,345.898110,0.000000,0.000000,12.305231,0.000000,8.068389,0.000000,0,0,0,0,0

11,02:30-02:45,0.000000,34.010266,0.000000,22.450164,15.214557,0.000000,134.113737,0.000000,0.644576,0.000000,113.718938,0.000000,0.000000,0.000000,15.864191,360.049800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,51.920818,31.339582,11.172519,94.672014,29.772075,369.315788,14.308492,0.000000,0.000000,0.000000,0.000000,41.949075,0.000000,88.568400,0.000000,0.000000,119.052897,0.000000,0.000000,7.073149,12.555148,345.898110,0.000000,0.000000,12.305231,0.000000,8.068389,0.000000,0,0,0,0,0

12,02:45-03:00,0.000000,34.010266,0.000000,22.450164,15.214557,0.000000,134.113737,0.000000,0.644576,0.000000,113.718938,0.000000,0.000000,0.000000,15.864191,360.049800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,51.920818,31.339582,11.172519,94.672014,29.772075,369.315788,14.440501,0.000000,0.000000,0.000000,0.000000,41.949075,0.000000,88.568400,0.000000,0.000000,119.052897,0.000000,0.000000,7.073149,12.555148,345.898110,0.000000,0.000000,12.305231,0.000000,8.068389,0.000000,0,0,0,0,0

