Block,Time Block,DADRT2,DHAULIGNGA,RIHAND2,RIHAND1,RAPPB,RSTPSU1TO6,RAPPD,RSTPSU7,SALAL,RAMPUR,RIHAND3,RAPPC,CHAMERA1,CHAMERA3,CHAMERA2,JHAJJAR,FSTPP I & II,KHSTPP-I,DULHASTI,KGSU1AND2,KGSU3AND4,KHSTPP-II,PARBATI3,PARBATI2,KOLDAM,MAPS,KISHANGANGA,KUDGI,NJPC,KOTESHWR,NAPP,KKNP,KKNPPU2,NLCTS2EXP,NNTPP,NTPL,NLCIIST2,BSIUL,BRBCL,AURY_LF,DADRI_GF,ANTA_LF,AURY_GF,DADRI_CRF,DADRI_RF,ANTA_GF,AURY_CRF,AURY_RF,DADRI_LF,ANTA_CRF,ANTA_RF,UNCHAHAR1,TALST2,UNCHAHAR4,TANAKPUR,VALLURNTECL,TEHRIPSP,URI2,UNCHAHAR3,TEHRI,TelanganaSTPP,TANDA2,UNCHAHAR2,URI,NLCEXP,NLCIIST1,SINGRAULI_HYDRO,SINGRAULI,TALA,SASAN,SIMHST1,SIMHST2,SEWA2,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,238.13,40.91,120.7,46.33,0,0,31.11,0,73.89,0,126.06,63.04,40.61,32.71,45.4,308.92,19.41,43.87,36.92,0,0,95.26,36.54,47.47,8.32,0,6.72,0,0,39.1,23.6,0,0,0,0,0,0,18.85,14.9,0,0,0,0,0,0,0,0,0,0,0,0,20.46,0,1.46,10.66,0,0,36.04,25.73,73.41,0,2.51,41.58,50.45,0,0,0,109.6,17.89,403.48,0,0,17.67,0,0,0,0,0

2,00:15-00:30,210.64,40.91,120.7,46.33,0,0,31.11,0,73.89,0,126.06,63.04,40.61,32.71,45.4,308.92,19.41,43.87,36.92,0,0,95.26,36.54,47.47,8.32,0,6.72,0,0,39.1,23.6,0,0,0,0,0,0,18.85,14.18,0,0,0,0,0,0,0,0,0,0,0,0,20.46,0,1.46,10.66,0,0,36.04,25.73,73.41,0,2.51,41.58,50.45,0,0,0,109.6,17.89,403.48,0,0,17.67,0,0,0,0,0

3,00:30-00:45,160.99,40.91,120.7,46.33,0,0,31.11,0,73.89,0,126.06,63.04,40.61,32.71,22.98,308.92,19.41,43.87,36.92,0,0,95.26,36.54,47.47,8.32,0,4.48,0,0,39.1,23.6,0,0,0,0,0,0,18.85,14.2,0,0,0,0,0,0,0,0,0,0,0,0,20.46,0,1.46,10.66,0,0,36.04,25.73,73.41,0,2.51,41.58,50.45,0,0,0,109.6,17.89,403.48,0,0,17.67,0,0,0,0,0

4,00:45-01:00,139.85,40.91,120.7,46.33,0,0,31.11,0,73.89,0,126.06,63.04,40.61,32.71,22.98,308.92,19.41,43.87,36.92,0,0,95.26,36.54,47.47,8.32,0,4.48,0,0,39.1,23.6,0,0,0,0,0,0,18.85,11.81,0,0,0,0,0,0,0,0,0,0,0,0,20.46,0,1.46,10.66,0,0,36.04,25.73,73.41,0,2.51,41.58,27.66,0,0,0,109.6,17.89,403.48,0,0,17.67,0,0,0,0,0

5,01:00-01:15,139.85,40.91,120.7,46.33,0,0,31.11,0,73.89,0,126.06,63.04,40.61,32.71,22.98,308.92,19.41,43.87,36.92,0,0,95.26,36.54,47.47,8.32,0,4.48,0,0,39.1,23.6,0,0,0,0,0,0,18.85,11.16,0,0,0,0,0,0,0,0,0,0,0,0,20.46,0,1.46,10.66,0,0,36.04,25.73,73.41,0,2.51,41.58,27.66,0,0,0,109.6,17.89,403.48,0,0,17.67,0,0,0,0,0

