Block,Time Block,KUDGI,NAPP,NLCEXP,NLCIIST1,NJPC,NLCIIST2,MAPS,KHSTPP-II,KKNP,KKNPPU2,KISHANGANGA,KHSTPP-I,KGSU3AND4,JHAJJAR,KGSU1AND2,ANTA_GF,AURY_CRF,DADRI_LF,AURY_RF,ANTA_CRF,ANTA_RF,AURY_LF,DADRI_GF,ANTA_LF,AURY_GF,DADRI_RF,DADRI_CRF,UNCHAHAR2,URI,UNCHAHAR1,UNCHAHAR4,VALLURNTECL,URI2,UNCHAHAR3,SALAL,SEWA2,SINGRAULI,TANDA2,SASAN,TALST2,TANAKPUR,TelanganaSTPP,SINGRAULI_HYDRO,SIMHST1,TALA,SIMHST2,TEHRI,FSTPP I & II,DULHASTI,DHAULIGNGA,RAPPB,RIHAND1,RSTPSU7,RAPPD,RSTPSU1TO6,RAMPUR,RAPPC,RIHAND3,PARBATI3,RIHAND2,NNTPP,NTPL,PARBATI2,NLCTS2EXP,CHAMERA3,CHAMERA2,DADRT2,BSIUL,BRBCL,CHAMERA1,KOLDAM,KOTESHWR,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,24.41,0,0,139.67,0,0,143.14,0,0,8.46,44.24,0,227.77,0,0,0,0,17.67,0,9.54,0,0,0,0,0,0,43.06,50.08,21.07,1.75,0,36.83,27.02,49.35,12.18,150.17,6.09,403.66,0,2.36,0,1.09,0,6.95,0,27.25,20.08,56.74,0,0,62.55,0,24.94,0,5.6,66.5,89.16,16.31,93.43,0,0,10.92,0,11.28,31.47,262.56,6.29,17.04,40.68,9.35,10.08,0,0,0,0,0

2,00:15-00:30,0,24.41,0,0,97.45,0,0,143.14,0,0,8.46,44.24,0,227.77,0,0,0,0,0,0,0,0,0,0,0,0,0,43.06,50.08,21.07,1.75,0,36.83,27.02,49.35,6.09,150.17,6.09,404.2,0,2.36,0,1.09,0,6.95,0,27.25,20.08,56.74,0,0,62.55,0,24.94,0,3.9,66.5,89.16,16.31,93.43,0,0,10.92,0,11.28,31.47,277.9,6.29,14.2,40.68,9.35,10.08,0,0,0,0,0

3,00:30-00:45,0,24.41,0,0,75.8,0,0,143.14,0,0,8.46,44.24,0,228.73,0,0,0,0,0,0,0,0,0,0,0,0,0,43.06,50.08,21.07,1.75,0,36.83,27.02,49.35,6.09,150.17,6.09,404.2,0,2.36,0,1.09,0,7.52,0,27.25,17.57,56.74,0,0,62.55,0,24.94,0,3.03,66.5,89.16,16.31,93.43,0,0,10.92,0,11.28,31.47,277.9,6.29,11.76,27.12,7.01,10.08,0,0,0,0,0

4,00:45-01:00,0,24.41,0,0,75.8,0,0,143.14,0,0,8.46,44.24,0,228.73,0,0,0,0,0,0,0,0,0,0,0,0,0,43.06,50.08,21.07,1.75,0,36.83,27.02,49.35,6.09,150.17,6.09,404.2,0,2.36,0,1.09,0,7.52,0,27.25,17.57,56.74,0,0,62.55,0,24.94,0,3.03,66.5,89.16,16.31,93.43,0,0,10.92,0,11.28,31.47,277.9,6.29,11.96,27.12,7.01,10.08,0,0,0,0,0

5,01:00-01:15,0,24.41,0,0,75.8,0,0,143.14,0,0,8.46,44.24,0,228.73,0,0,0,0,0,0,0,0,0,0,0,0,0,43.06,50.62,21.07,1.75,0,36.83,27.02,49.35,6.09,150.17,6.09,404.2,0,1.36,0,1.09,0,7.52,0,27.25,17.57,56.74,0,0,62.55,0,24.94,0,3.03,66.5,60.35,16.31,93.43,0,0,10.92,0,11.28,31.47,277.9,6.29,12.3,27.12,7.01,10.08,0,0,0,0,0

6,01:15-01:30,0,24.41,0,0,75.8,0,0,143.14,0,0,8.46,44.24,0,199.78,0,0,0,0,0,0,0,0,0,0,0,0,0,43.06,50.62,21.07,1.75,0,36.83,27.02,49.35,6.09,150.17,6.09,404.2,0,1.36,0,1.09,0,7.52,0,27.25,17.57,56.74,0,0,62.55,0,24.94,0,3.03,66.5,60.35,16.31,93.43,0,0,10.92,0,11.28,15.73,277.9,6.29,11.98,27.12,7.01,10.08,0,0,0,0,0

7,01:30-01:45,0,24.41,0,0,75.8,0,0,143.14,0,0,8.46,44.24,0,186.26,0,0,0,0,0,0,0,0,0,0,0,0,0,43.06,50.62,21.07,1.75,0,36.83,27.02,49.35,6.09,150.17,6.09,404.2,0,1.36,0,1.09,0,7.52,0,27.25,17.57,56.74,0,0,62.55,0,24.94,0,3.03,66.5,60.35,16.31,93.43,0,0,10.92,0,11.28,15.73,277.9,6.29,11.15,27.12,7.01,10.08,0,0,0,0,0

8,01:45-02:00,0,24.41,0,0,75.8,0,0,143.14,0,0,8.46,44.24,0,179.51,0,0,0,0,0,0,0,0,0,0,0,0,0,43.06,50.62,21.07,1.75,0,36.83,27.02,49.35,5.4,150.17,6.09,404.2,0,1.36,0,1.09,0,7.52,0,27.25,17.57,56.74,0,0,62.55,0,24.94,0,3.03,66.5,60.35,16.31,93.43,0,0,10.92,0,11.28,15.73,277.9,6.29,10.29,27.12,7.01,10.08,0,0,0,0,0

9,02:00-02:15,0,24.41,0,0,75.8,0,0,143.14,0,0,8.46,44.24,0,150.55,0,0,0,0,0,0,0,0,0,0,0,0,0,43.05,50.62,21.07,2.31,0,36.83,27.02,49.35,5.04,150.17,6.09,404.2,0,1.36,0,1.09,0,8.65,0,27.25,17.57,56.74,0,0,61.92,0,24.94,0,3.03,66.5,59.76,16.31,92.48,0,0,10.92,0,11.28,15.73,292.1,6.29,9.57,25.84,7.01,10.08,0,0,0,0,0

10,02:15-02:30,0,24.41,0,0,75.8,0,0,143.14,0,0,8.46,44.24,0,144.76,0,0,0,0,0,0,0,0,0,0,0,0,0,43.05,50.62,21.07,2.31,0,36.83,27.02,49.35,0,150.17,6.09,404.2,0,1.36,0,1.09,0,8.65,0,27.25,17.57,56.74,0,0,61.92,0,24.94,0,3.03,66.5,59.76,16.31,92.48,0,0,10.92,0,11.28,15.73,292.1,6.29,10.52,25.77,7.01,10.08,0,0,0,0,0

11,02:30-02:45,0,24.41,0,0,75.8,0,0,143.14,0,0,8.46,44.24,0,144.76,0,0,0,0,0,0,0,0,0,0,0,0,0,43.05,50.62,21.07,2.31,0,36.83,27.02,49.35,0,150.17,6.09,404.2,0,1.36,0,1.09,0,8.65,0,27.25,17.57,56.74,0,0,61.92,0,24.94,0,3.03,66.5,59.76,16.31,92.48,0,0,10.92,0,11.28,15.73,277.9,6.29,10.29,25.77,7.01,10.08,0,0,0,0,0

12,02:45-03:00,0,24.41,0,0,75.8,0,0,143.14,0,0,8.46,44.24,0,144.76,0,0,0,0,0,0,0,0,0,0,0,0,0,43.04,50.62,21.07,2.31,0,36.83,27.02,49.35,0,150.17,5.96,404.2,0,1.36,0,1.09,0,8.65,0,27.25,17.57,56.74,0,0,61.92,0,24.94,0,3.03,66.5,59.76,16.31,92.48,0,0,10.92,0,11.28,15.73,277.9,6.29,9.81,25.77,7.01,10.08,0,0,0,0,0

13,03:00-03:15,0,24.41,0,0,75.8,0,0,143.14,0,0,8.46,42.48,0,144.76,0,0,0,0,0,0,0,0,0,0,0,0,0,43.53,50.62,21.07,2.31,0,36.83,27.02,49.35,0,150.17,6.16,404.2,0,1.36,0,1.09,0,9.79,0,27.25,17.57,56.74,10.59,0,61.92,0,24.94,0,3.03,66.5,59.76,16.31,92.48,0,0,10.92,0,11.28,15.73,277.9,6.29,13.1,25.77,7.01,10.08,0,0,0,0,0

14,03:15-03:30,0,24.41,0,0,75.8,0,0,143.14,0,0,8.46,42.48,0,144.76,0,0,0,0,0,0,0,0,0,0,0,0,0,43.53,50.62,21.07,2.31,0,36.83,27.02,49.35,0,150.17,6.16,404.2,0,1.36,0,1.09,0,9.79,0,27.25,17.57,56.74,10.59,0,61.92,0,24.94,0,3.03,66.5,59.76,16.31,92.48,0,0,10.92,0,11.28,15.73,277.9,6.29,15.47,13.56,4.67,10.08,0,0,0,0,0

15,03:30-03:45,0,24.41,0,0,75.8,0,0,142.66,0,0,8.46,42.48,0,144.76,0,0,0,0,0,0,0,0,0,0,0,0,0,43.53,50.62,21.07,2.31,0,36.83,27.02,49.35,0,150.17,6.16,404.2,0,1.36,0,1.09,0,9.79,0,27.25,17.57,56.74,10.59,0,62.28,0,24.94,0,3.03,66.5,59.76,16.31,92.68,0,0,10.92,0,11.28,15.73,248.77,6.29,15.09,13.56,4.67,10.08,0,0,0,0,0

16,03:45-04:00,0,24.41,0,0,75.8,0,0,142.66,0,0,8.46,42.48,0,144.76,0,0,0,0,0,0,0,0,0,0,0,0,0,43.53,50.62,21.07,2.31,0,36.83,27.02,49.35,0,150.17,6.16,404.2,0,1.36,0,1.09,0,9.79,0,27.25,17.57,56.74,10.59,0,62.28,0,24.94,0,3.03,66.5,59.76,16.31,92.68,0,0,10.92,0,11.28,15.73,218.74,6.29,18.17,13.56,0,10.08,0,0,0,0,0

17,04:00-04:15,0,24.41,0,0,75.8,0,0,142.66,0,0,8.46,42.48,0,137.06,0,0,0,0,0,0,0,0,0,0,0,0,0,42.94,50.62,20.74,1.93,0,36.83,26.48,49.35,0,150.17,3.74,404.2,0,1.36,0,1.09,0,12.34,0,27.25,17.57,56.74,10.59,0,62.28,0,24.94,0,3.03,66.5,59.76,16.31,92.68,0,0,10.92,0,11.28,15.73,179.05,6.29,15.85,13.56,0,10.08,0,0,0,0,0

18,04:15-04:30,0,24.41,0,0,75.8,0,0,142.66,0,0,8.46,42.48,0,137.06,0,0,0,0,0,0,0,0,0,0,0,0,0,42.94,50.62,20.74,1.93,0,36.83,26.48,81.88,0,150.17,3.74,404.2,0,1.36,0,1.09,0,12.34,0,26.86,17.57,56.74,10.59,0,62.28,0,24.94,0,3.03,66.5,59.76,16.31,92.68,0,0,10.92,0,11.28,15.73,143.96,6.29,16.4,0,0,10.08,0,0,0,0,0

19,04:30-04:45,0,24.41,0,0,75.8,0,0,142.66,0,0,8.46,42.48,0,137.06,0,0,0,0,0,0,0,0,0,0,0,0,0,42.94,50.62,20.74,1.93,0,36.83,26.48,81.88,0,150.17,3.74,404.2,0,1.36,0,1.09,0,11.98,0,26.77,17.57,56.74,10.59,0,62.28,0,24.94,0,3.03,66.5,88.71,16.31,92.68,0,0,10.92,0,11.28,15.73,143.96,6.29,18.2,0,0,10.08,0,0,0,0,0

20,04:45-05:00,0,24.41,0,0,80.23,0,0,142.66,0,0,8.46,42.48,0,137.06,0,0,0,0,0,0,0,0,0,0,0,0,0,42.94,50.62,20.74,1.93,0,36.83,26.48,81.88,0,150.17,3.74,404.2,0,1.36,0,1.09,0,11.79,0,26.77,17.57,56.74,10.59,0,62.28,0,24.94,0,3.21,66.5,88.71,16.31,92.68,0,0,10.92,0,11.28,15.73,143.96,6.29,19.3,0,0,10.08,0,0,0,0,0

21,05:00-05:15,0,24.41,0,0,80.23,0,0,142.66,0,0,8.46,42.48,0,137.06,0,0,0,0,0,0,0,0,0,0,0,0,0,42.94,50.62,20.74,1.93,0,36.83,26.48,81.88,0,150.17,3.74,404.2,0,1.36,0,1.09,0,11.69,0,26.77,17.57,56.74,10.59,0,62.28,0,24.94,0,3.21,66.5,89.16,16.31,92.68,0,0,10.92,0,11.28,15.73,143.96,12.59,19.3,0,0,10.08,0,0,0,0,0

22,05:15-05:30,0,24.41,0,0,80.23,0,0,142.66,0,0,8.46,42.48,0,137.06,0,0,0,0,0,0,0,0,0,0,0,0,0,42.94,50.62,20.74,0.98,0,36.83,26.48,81.88,0,150.17,3.74,404.2,0,1.36,0,1.09,0,11.35,0,26.77,17.57,56.74,10.59,0,62.28,0,24.94,0,3.21,66.5,89.16,16.31,92.68,0,0,10.92,0,11.28,15.73,143.96,12.59,19.3,0,0,10.08,0,0,0,0,0

23,05:30-05:45,0,24.41,0,0,80.23,0,0,142.66,0,0,8.46,42.48,0,137.06,0,0,0,0,0,0,0,0,0,0,0,0,0,42.94,50.62,20.74,1.93,0,36.83,26.48,81.88,0,150.17,3.74,404.2,0,1.36,0,1.09,0,11.29,0,17.38,17.57,56.74,10.59,0,62.28,0,24.94,0,3.21,66.5,89.16,16.31,92.68,0,0,10.92,0,11.28,15.73,143.96,12.59,19.3,0,0,10.08,0,0,0,0,0

24,05:45-06:00,0,24.41,0,0,80.23,0,0,142.66,0,0,8.46,42.48,0,137.06,0,0,0,0,0,0,0,0,0,0,0,0,0,42.94,50.62,20.41,1.93,0,36.83,25.94,51.59,0,150.17,2.21,404.2,0,1.36,0,1.09,0,11.01,0,8.77,17.57,56.74,10.59,0,62.28,0,24.94,0,3.21,66.5,89.16,16.31,92.68,0,0,10.92,0,11.28,15.73,143.96,12.59,19.3,0,0,10.08,0,0,0,0,0

25,06:00-06:15,0,24.41,0,0,80.23,0,0,142.66,0,0,8.46,44.24,0,130.3,0,0,0,0,0,0,0,0,0,0,0,0,0,35.19,50.62,17.44,1.93,0,36.83,20.77,51.59,0,150.17,2.21,404.2,0,3.33,0,1.09,0,11.03,0,8.77,17.57,56.74,10.59,0,96.34,0,24.94,0,3.21,66.5,127.76,16.31,122.39,0,0,10.92,0,11.28,15.73,164.95,12.59,19.22,0,0,10.08,0,0,0,0,0

26,06:15-06:30,0,24.41,0,0,80.23,0,0,142.66,0,0,8.46,44.24,0,130.3,0,0,0,0,0,0,0,0,0,0,0,0,0,33.98,50.62,16.52,1.93,0,36.83,21.06,51.59,0,150.17,3.74,404.2,0,3.33,0,1.09,0,10.88,0,8.77,17.57,56.74,10.59,0,96.34,0,24.94,0,3.21,66.5,127.76,16.31,122.39,0,0,10.92,0,11.28,15.73,96.1,12.59,19.3,0,0,10.08,0,0,0,0,0

27,06:30-06:45,0,24.41,0,0,80.23,0,0,142.66,0,0,8.46,44.24,0,130.3,0,0,0,0,0,0,0,0,0,0,0,0,0,33.98,50.62,16.52,1.93,0,36.83,21.06,51.59,0,150.17,3.74,404.2,0,3.33,0,1.09,0,12.01,0,0,17.57,56.74,10.59,0,96.34,0,24.94,0,3.21,66.5,127.76,16.31,122.39,0,0,10.92,0,11.28,15.73,87.01,6.29,19.3,0,0,10.08,0,0,0,0,0

28,06:45-07:00,0,24.41,0,0,80.23,0,0,142.66,0,0,8.46,44.24,0,130.3,0,0,0,0,0,0,0,0,0,0,0,0,0,33.98,50.62,16.52,2.49,0,36.83,21.06,51.59,0,150.17,3.74,404.2,0,3.33,0,1.09,0,12.04,0,0,17.57,56.74,10.59,0,96.34,0,24.94,0,3.21,66.5,127.76,16.31,122.39,0,0,10.92,0,11.28,15.73,87.01,6.29,19.3,0,0,10.08,0,0,0,0,0

29,07:00-07:15,0,24.41,0,0,80.23,0,0,142.66,0,0,8.46,38.39,0,130.3,0,0,0,0,0,0,0,0,0,0,0,0,0,28,50.62,14.16,1.93,0,36.83,17.03,51.59,0,143.31,3.74,404.2,0,3.33,0,1.09,0,13.17,0,0,16.04,56.74,10.59,0,94.12,0,24.94,0,3.21,66.5,124.75,16.31,118.81,0,0,10.92,0,11.28,15.73,52.66,6.29,19.3,0,0,10.08,0,0,0,0,0

30,07:15-07:30,0,24.41,0,0,80.23,0,0,142.66,0,0,8.46,38.39,0,130.3,0,0,0,0,0,0,0,0,0,0,0,0,0,28,50.62,14.16,1.93,0,36.83,17.03,51.59,0,143.31,3.74,404.2,0,3.33,0,1.09,0,13.4,0,0,16.04,56.74,10.59,0,94.12,0,24.94,0,3.21,66.5,124.75,16.31,118.81,0,0,10.92,0,11.28,15.73,43.58,6.29,19.3,0,0,10.08,0,0,0,0,0

31,07:30-07:45,0,24.41,0,0,80.23,0,0,142.66,0,0,8.46,38.39,0,130.3,0,0,0,0,0,0,0,0,0,0,0,0,0,28,50.62,14.16,1.93,0,36.83,17.03,51.59,0,143.31,3.74,404.2,0,3.33,0,1.09,0,13.91,0,0,16.04,56.74,10.59,0,94.12,0,24.94,0,3.21,66.5,124.75,16.31,118.81,0,0,5.82,0,11.28,15.73,43.58,6.29,16.91,0,0,10.08,0,0,0,0,0

