Block,Time Block,DADRT2,JHAJJAR,DHAULIGNGA,FSTPP I & II,DULHASTI,KGSU1AND2,DADRI_GF,DADRI_CRF,AURY_RF,DADRI_LF,DADRI_RF,CHAMERA1,BSIUL,CHAMERA3,CHAMERA2,BRBCL,NLCIIST2,NLCTS2EXP,NNTPP,KHSTPP-I,KGSU3AND4,KHSTPP-II,KKNP,KISHANGANGA,MAPS,NLCIIST1,KOTESHWR,NJPC,KKNPPU2,KOLDAM,NAPP,KUDGI,NLCEXP,AURY_LF,UNCHAHAR1,VALLURNTECL,UNCHAHAR4,ANTA_LF,AURY_GF,URI2,UNCHAHAR3,ANTA_GF,AURY_CRF,UNCHAHAR2,URI,ANTA_CRF,ANTA_RF,TALST2,TANAKPUR,TALA,TANDA2,TelanganaSTPP,TEHRI,RIHAND3,PARBATI3,RAPPB,RIHAND2,SASAN,RIHAND1,RAMPUR,SIMHST1,SINGRAULI_HYDRO,RSTPSU1TO6,RAPPC,SIMHST2,RSTPSU7,NTPL,SALAL,SEWA2,SINGRAULI,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,585.81,111.52,39.14,18.23,35.1,0,0,0,0,0,0,27.23,6.32,31.08,42.84,17.09,0,0,0,37.85,0,83.09,0,1.4,0,0,18.72,161.9,0,5.18,43.23,0,0,0,17.77,0,0,0,0,34.93,22.95,0,0,36.46,28.88,0,0,0,4.97,10.71,0,0,34.34,123.63,17.43,0,117.92,329.18,87.72,3.43,0,0,0,58.36,0,0,0,81.07,0,123.53,0,0,0,0,0

2,00:15-00:30,585.81,111.52,39.14,17.94,35.1,0,0,0,0,0,0,27.23,6.32,31.08,42.84,16.94,0,0,0,37.85,0,83.09,0,1.4,0,0,18.72,161.9,0,5.18,43.23,0,0,0,17.77,0,0,0,0,34.93,22.95,0,0,36.46,28.88,0,0,0,4.97,10.71,0,0,34.34,123.63,17.43,0,117.92,329.18,87.72,3.43,0,0,0,58.36,0,0,0,81.07,0,123.53,0,0,0,0,0

3,00:30-00:45,585.81,111.52,39.14,17.94,35.1,0,0,0,0,0,0,27.23,6.32,31.08,42.84,15.65,0,0,0,42.93,0,95.8,0,1.4,0,0,18.72,161.9,0,5.18,43.23,0,0,0,15.9,0,0,0,0,34.93,20.28,0,0,31.39,28.88,0,0,0,12.04,11.97,0,0,34.34,123.63,17.01,0,117.92,329.18,87.72,3.43,0,0,0,58.36,0,0,0,81.07,0,123.53,0,0,0,0,0

4,00:45-01:00,585.81,111.52,39.14,17.94,35.1,0,0,0,0,0,0,27.23,6.32,31.08,42.84,15,0,0,0,42.93,0,95.8,0,1.4,0,0,18.72,161.9,0,5.18,43.23,0,0,0,14.56,0,0,0,0,34.93,18.98,0,0,30.64,28.88,0,0,0,12.04,11.97,0,0,34.34,123.63,17.01,0,117.92,329.18,87.72,3.43,0,0,0,58.36,0,0,0,81.07,0,123.53,0,0,0,0,0

5,01:00-01:15,585.81,111.52,39.14,17.94,35.1,0,0,0,0,0,0,27.23,6.32,31.08,42.84,15.03,0,0,0,42.93,0,95.8,0,1.4,0,0,9.56,161.9,0,5.18,43.23,0,0,0,14.56,0,0,0,0,34.93,18.98,0,0,30.64,28.88,0,0,0,12.04,11.97,0,0,34.34,123.63,17.01,0,117.92,329.18,87.72,3.43,0,0,0,58.36,0,0,0,81.07,0,123.53,0,0,0,0,0

6,01:15-01:30,585.81,111.52,39.14,17.94,35.1,0,0,0,0,0,0,27.23,6.32,31.08,42.84,15.07,0,0,0,42.93,0,95.8,0,1.4,0,0,9.36,161.9,0,5.18,43.23,0,0,0,14.56,0,0,0,0,34.93,18.98,0,0,30.64,28.88,0,0,0,12.04,11.97,0,0,34.34,123.63,17.01,0,117.92,329.18,87.72,3.43,0,0,0,58.36,0,0,0,81.07,0,123.53,0,0,0,0,0

7,01:30-01:45,585.81,111.52,39.14,17.94,35.1,0,0,0,0,0,0,27.23,6.32,31.08,42.84,14.43,0,0,0,42.93,0,95.8,0,1.4,0,0,9.36,161.9,0,5.18,43.23,0,0,0,14.56,0,0,0,0,25.77,18.98,0,0,30.64,28.88,0,0,0,12.04,11.97,0,0,34.34,123.63,3.82,0,117.92,329.18,87.72,3.43,0,0,0,58.36,0,0,0,81.07,0,93.53,0,0,0,0,0

8,01:45-02:00,585.81,111.52,39.14,17.94,35.1,0,0,0,0,0,0,27.23,6.32,31.08,42.84,13.08,0,0,0,42.93,0,95.8,0,1.4,0,0,9.36,161.9,0,5.18,43.23,0,0,0,14.56,0,0,0,0,25.77,18.98,0,0,30.64,28.88,0,0,0,12.04,11.97,0,0,34.34,123.63,3.82,0,117.92,329.18,87.72,3.43,0,0,0,58.36,0,0,0,81.07,0,93.53,0,0,0,0,0

9,02:00-02:15,585.81,111.52,39.14,17.94,35.1,0,0,0,0,0,0,26.57,6.32,31.08,42.84,13.41,0,0,0,42.93,0,95.8,0,1.4,0,0,9.36,161.9,0,5.18,43.23,0,0,0,14.56,0,0,0,0,25.77,18.98,0,0,30.64,28.88,0,0,0,12.04,11.97,0,0,34.34,123.63,3.82,0,117.92,329.18,87.72,3.43,0,0,0,58.36,0,0,0,81.07,0,93.53,0,0,0,0,0

10,02:15-02:30,585.81,111.52,39.14,17.94,35.1,0,0,0,0,0,0,23.57,6.32,31.08,42.84,12.8,0,0,0,42.93,0,95.8,0,1.4,0,0,9.36,161.9,0,5.18,43.23,0,0,0,14.56,0,0,0,0,25.77,18.98,0,0,30.64,28.88,0,0,0,12.04,11.97,0,0,34.34,123.63,3.82,0,117.92,329.18,87.72,3.43,0,0,0,58.36,0,0,0,81.07,0,93.53,0,0,0,0,0

11,02:30-02:45,585.81,111.52,39.14,20.15,35.1,0,0,0,0,0,0,23.57,6.32,31.08,42.84,15.41,0,0,0,42.59,0,95.04,0,1.4,0,0,9.36,161.9,0,5.18,43.23,0,0,0,14.56,0,0,0,0,25.77,18.98,0,0,30.64,28.88,0,0,0,12.04,11.97,0,0,34.34,123.63,3.82,0,117.92,329.18,87.72,3.43,0,0,0,58.36,0,0,0,81.07,0,93.53,0,0,0,0,0

12,02:45-03:00,585.81,111.52,39.14,20.15,35.1,0,0,0,0,0,0,23.57,6.32,31.08,42.84,14.54,0,0,0,42.93,0,95.8,0,1.4,0,0,9.36,161.9,0,5.18,43.23,0,0,0,14.56,0,0,0,0,25.77,18.98,0,0,30.64,28.88,0,0,0,12.04,11.97,0,0,34.34,123.63,3.82,0,117.92,329.18,87.72,3.43,0,0,0,58.36,0,0,0,81.07,0,93.53,0,0,0,0,0

13,03:00-03:15,585.81,111.52,39.14,20.15,35.1,0,0,0,0,0,0,23.57,6.32,31.08,42.84,15.02,0,0,0,42.93,0,95.8,0,1.4,0,0,9.36,161.9,0,5.18,43.23,0,0,0,14.56,0,0,0,0,25.77,18.98,0,0,30.64,28.88,0,0,0,12.04,11.97,0,0,34.34,123.63,3.82,0,117.92,329.18,87.72,3.43,0,0,0,58.36,0,0,0,77.69,0,93.53,0,0,0,0,0

14,03:15-03:30,557.12,111.52,39.14,16.88,35.1,0,0,0,0,0,0,23.57,6.32,31.08,42.84,18.99,0,0,0,42.93,0,95.8,0,1.4,0,0,9.36,161.9,0,5.18,43.23,0,0,0,14.56,0,0,0,0,25.77,18.98,0,0,30.64,28.88,0,0,0,12.04,11.97,0,0,34.34,123.63,3.82,0,117.92,329.18,87.72,3.43,0,0,0,58.36,0,0,0,77.69,0,93.53,0,0,0,0,0

15,03:30-03:45,508.67,111.52,39.14,16.88,35.1,0,0,0,0,0,0,23.57,6.32,31.08,42.84,19.38,0,0,0,42.93,0,95.8,0,1.4,0,0,9.36,161.9,0,5.18,43.23,0,0,0,14.56,0,0,0,0,25.77,18.98,0,0,30.64,28.88,0,0,0,10.92,11.97,0,0,34.34,123.63,3.4,0,117.92,329.18,87.72,3.43,0,0,0,58.36,0,0,0,77.69,0,93.53,0,0,0,0,0

16,03:45-04:00,508.67,111.52,39.14,16.88,35.1,0,0,0,0,0,0,23.57,6.32,31.08,42.84,19.38,0,0,0,42.93,0,95.8,0,1.4,0,0,9.36,161.9,0,5.18,43.23,0,0,0,14.56,0,0,0,0,25.77,18.98,0,0,30.64,28.88,0,0,0,10.92,11.97,0,0,34.34,123.63,3.4,0,117.92,329.18,87.72,3.43,0,0,0,58.36,0,0,0,77.69,0,93.53,0,0,0,0,0

17,04:00-04:15,460.23,111.52,39.14,16.88,35.1,0,0,0,0,0,0,23.57,6.32,31.08,42.84,19.38,0,0,0,35.58,0,80.94,0,1.4,0,0,9.36,161.9,0,5.18,43.23,0,0,0,14.56,0,0,0,0,25.77,18.98,0,0,30.64,28.88,0,0,0,10.92,11.97,0,0,34.34,123.63,3.4,0,117.92,344.65,87.72,3.43,0,0,0,58.36,0,0,0,77.69,0,93.53,0,0,0,0,0

18,04:15-04:30,411.78,111.52,39.14,16.88,35.1,0,0,0,0,0,0,23.57,6.32,31.08,42.84,19.38,0,0,0,35.58,0,80.94,0,1.4,0,0,9.36,161.9,0,5.18,43.23,0,0,0,14.56,0,0,0,0,25.77,18.98,0,0,30.64,28.88,0,0,0,10.92,11.97,0,0,34.34,123.63,17.01,0,117.92,354.17,87.72,3.43,0,0,0,58.36,0,0,0,77.69,0,93.53,0,0,0,0,0

