Block,Time,BSIUL,KUDGI,URI2,VALLURNTECL,CHAMERA1,KGSU1AND2,MAPS,NJPC,NNTPP,RIHAND1,RSTPSU1TO6,SALAL,SIMHST1,SIMHST2,UNCHAHAR3,AURY_CRF,DADRT2,KKNP,RAPPB,AURY_GF,DADRI_GF,DHAULIGNGA,KOLDAM,SEWA2,SINGRAULI,ANTA_GF,AURY_RF,FSTPP I & II,KGSU3AND4,KHSTPP-II,NLCIIST1,NLCIIST2,NLCTS2EXP,NTPL,RSTPSU7,TALA,TelanganaSTPP,DADRI_RF,CHAMERA3,DULHASTI,NLCEXP,PARBATI3,RAPPD,RIHAND3,TALST2,TANAKPUR,TEHRI,UNCHAHAR1,UNCHAHAR2,UNCHAHAR4,URI,ANTA_LF,AURY_LF,DADRI_LF,KKNPPU2,KOTESHWR,RAMPUR,RIHAND2,SINGRAULI_HYDRO,TEHRIPSP,ANTA_RF,BRBCL,CHAMERA2,JHAJJAR,KHSTPP-I,KISHANGANGA,NAPP,PARBATI2,RAPPC,SASAN,TANDA2,ANTA_CRF,DADRI_CRF
1,00:00-00:15,13.04,0,38.97,0,42.15,0,0,175.79,0,98.32,0,84.24,0,0,27.69,0,549.38,0,0,0,0,0,8.62,18.34,148.25,0,79.22,18.07,0,148.3,0,0,0,0,0,20.44,0,79.04,33.94,55.38,0,20.82,24.52,130.84,0,13.06,56.44,21.65,45,3.22,52.36,0,0,0,0,40.57,5.7,125.27,0.96,0,51.2,24.99,47.12,667.25,45.53,7.05,24.1,0,65.27,346.5,5.73,0,0

2,00:15-00:30,13.04,0,38.97,0,42.15,0,0,175.79,0,98.32,0,84.24,0,0,27.69,0,549.38,0,0,0,0,0,8.62,18.34,148.25,0,79.22,18.07,0,148.3,0,0,0,0,0,20.44,0,79.04,33.94,55.38,0,20.82,24.52,130.84,0,13.06,56.44,21.65,45,3.22,52.36,0,0,0,0,40.57,5.7,125.27,0.96,0,51.2,24.99,47.12,667.25,45.53,7.05,24.1,0,65.27,346.5,5.73,0,0

3,00:30-00:45,13.04,0,38.97,0,42.15,0,0,175.79,0,98.32,0,84.24,0,0,27.69,0,549.38,0,0,0,0,0,8.62,12.22,148.25,0,79.22,18.07,0,148.3,0,0,0,0,0,20.13,0,52.7,33.94,55.38,0,8.92,24.52,130.84,0,11.02,56.44,21.65,45,3.22,52.36,0,0,0,0,40.57,5.7,125.27,0.96,0,51.2,24.99,47.12,667.25,45.53,7.05,24.1,0,65.27,346.5,5.73,0,0

4,00:45-01:00,13.04,0,38.97,0,42.15,0,0,175.79,0,98.32,0,84.24,0,0,27.69,0,549.38,0,0,0,0,0,8.62,6.12,148.25,0,79.22,18.07,0,148.3,0,0,0,0,0,20.13,0,52.7,33.94,55.38,0,8.92,24.52,130.84,0,11.02,56.44,21.65,45,3.22,19.87,0,0,0,0,40.57,5.7,125.27,0.96,0,51.2,24.99,47.12,667.25,45.53,7.05,24.1,0,65.27,346.5,5.73,0,0

5,01:00-01:15,13.04,0,38.97,0,42.15,0,0,175.79,0,98.32,0,84.24,0,0,27.69,0,549.38,0,0,0,0,0,8.62,0,148.25,0,79.22,18.07,0,148.3,0,0,0,0,0,20.13,0,52.7,33.94,55.38,0,20.82,24.52,130.84,0,11.02,56.44,21.65,45,3.22,19.87,0,0,0,0,40.57,5.7,125.27,0.96,0,51.2,24.99,47.12,667.25,45.53,7.05,24.1,0,65.27,346.5,5.73,0,0

