Column1,Time,GNA/NR/2024/11/01/5474,NR/01102023/22052037/LT-59,GNA/NR/2024/11/01/9042,GNA/WR/2024/10/15/7089,GNA/WR/2024/11/01/4200,L_NR_2019_19,NR/01102023/13082046/L_NR_2021_12,NR/26072023/31072042/L_NR_2023_07,NR/01102023/08032047/L_NR_2021_14,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,NR/30092023/26122029/SH-06,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/11/01/9061,NR/01102023/06022042/L_NR_2012_02,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/05012040/L_NR_2020_02,NR/01102023/19072037/LT-05,NR/30092023/31122025/SH-07,NR/01102023/31102037/L_NR_2019_11,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2024/11/01/5444,GNA/NR/2024/11/01/1868,GNA/NR/2024/11/01/4503,NR/22102023/11042047/L_NR_2021_17,NR/22102023/11042047/L_NR_2021_16,NR/01102023/31052040/LT-31,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2024/11/01/3646,NR/01102023/30042040/GNA_LT_36,GNA/NR/2024/11/01/5428,NR/01102023/06022042/L_NR_2012_07,NR/01102023/30042040/GNA_LT_35,WR/01102023/30052048/L_NR_2022_10,SR/01102023/07102043/L_NR_2018_61,WR/01102023/01102023/L_NR_2022_09,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/L_NR_2019_05,WR/01102023/24112044/L_NR_2020_07
1,00:00-00:15,285.39,2.4,17.55,0,0,0,0,0,0,0,0,0,26.87,3.78,26.33,185.99,53.1,2.23,70.39,26.87,2.99,26.74,26.33,8.78,8.78,0,0,0,165.52,95.12,0,26.33,57.64,0,15,7.6,15,22,0,0,6.66,7.34,0,7.33

2,00:15-00:30,285.39,2.4,17.55,0,0,0,0,0,0,0,0,0,26.87,3.78,26.33,171.51,53.1,2.23,70.39,26.87,2.99,27.25,26.33,8.78,8.78,0,0,0,165.52,95.12,0,26.33,57.64,0,15,7.4,15,22,0,0,6.66,7.34,0,7.33

3,00:30-00:45,285.39,2.4,17.55,0,0,0,0,0,0,0,0,0,26.87,3.78,26.33,171.51,53.1,2.23,70.39,26.87,2.99,27.25,26.33,8.78,8.78,0,0,0,165.52,95.12,0,26.33,57.64,0,15,7.2,15,22,0,0,6.66,7.34,0,7.33

4,00:45-01:00,285.39,2.4,17.55,0,0,0,0,0,0,0,0,0,26.87,3.78,26.33,171.51,53.1,2.23,70.39,26.87,2.99,27.25,26.33,8.78,8.78,0,0,0,165.52,95.12,0,26.33,57.64,0,14.67,7,14.67,22,0,0,6.66,7.34,0,7.33

5,01:00-01:15,285.39,2.4,17.55,0,0,0,0,0,0,0,0,0,26.87,3.78,26.33,171.51,53.1,2.23,70.39,26.87,2.92,27.25,26.33,8.78,8.78,0,0,0,165.52,95.12,0,26.33,57.64,0,14.67,7,14.67,22,0,0,6.66,7.34,0,7.33

6,01:15-01:30,285.39,2.4,17.55,0,0,0,0,0,0,0,0,0,26.87,3.78,26.33,171.51,53.1,2.23,70.39,26.87,2.92,27.25,26.33,8.78,8.78,0,0,0,165.52,95.12,0,26.33,57.64,0,14.67,7,14.67,22,0,0,6.66,7.34,0,7.33
