Column1,Block,ER/2025/15683/A/53070,NR/2025/24882/A/52825,NR/2025/25234/C,NR/2024/24418/A/53219,WR/2025/26047/A/53078,NR/2025/25070/A/53119,NR/2025/25235/C,GNA/WR/2025/01/01/8625,NER/2025/2918/A/53072,NR/2025/24992/A/52824,GNA/SR/2025/02/01/6460,GNA/NR/2025/02/01/5886,GNA/WR/2024/11/01/4200,GNA/WR/2025/01/01/9606,GNA/SR/2025/02/01/7432,GNA/NR/2025/02/01/4863,NR/30092023/26122029/SH-06,GNA/NR/2025/02/01/2594,GNA/NR/2025/02/01/2143,NR/30092023/31122025/SH-07,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/02/01/9969,Total
,,APPCPL,IEXL,SJVNL,ITCLH,APPCPL,NVVNL,SJVNL,TPTCL,APPCPL,IEXL,APPCPL,NDMC,MANIKARAN,APPCPL,APPCPL,NDMC,PUNJAB,NDMC,NDMC,BAWANA_GAS,DELHI,NDMC,
,,DELHI_UT,TELANGANA_State,NA,ANDHRA_PRADESH_STATE,DELHI_UT,NA,NA,DELHI_UT,DELHI_UT,KARNATAKA_STATE,DELHI_UT,NA,DELHI_UT,DELHI_UT,DELHI_UT,NA,DELHI_UT,NA,NA,DELHI_UT,HIMACHAL_STATE,NA,
,,BYPL,NSLKSLWPRTY,TPSL_BKN2,ITCWIND,BRPL,JIPL,RSRPL_BKN,BYPL,BYPL,NSLSUGARALAND,BYPL,TRN_ENERGY,BRPL,BYPL,BYPL,SKS_Raigarh,BAWANA_GAS,RKM_POWER,RKM_POWER,BAWANA_GAS,CHANJUII,JPL2,
,,SIKKIM_STATE,DELHI_UT,DELHI_UT,DELHI_UT,GOA_State,DELHI_UT,DELHI_UT,MSEB_State,Manipur_State,DELHI_UT,KERALA_State,DELHI_UT,MSEB_State,MSEB_State,KERALA_State,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,
,,SIKKIM,MES_Delhi,NDMC,ITCLH,GOA_Beneficiary,NDMC,NDMC,TPC_MSEB,Manipur_Ben,MES_Delhi,KSEB,NDMC,AEML,AEML,KSEB,NDMC,PUNJAB,NDMC,NDMC,HARYANA,TPDDL,NDMC,
,,North-East,South-West-North,North-North,South-West-North,North-West,East-North,North-North,North-West,North-East-North East,South-West-North,North-West-South,West-North,North-West,North-West,North-West-South,West-North,North-North,West-North,West-North,North-North,North-North,West-North,
1,00:00-00:15,7.33,2.88,0,0.38,0,17.28,0,0,9.16,6.72,75,8.64,0,0,0,8.64,26.99,23.04,23.04,26.99,1.47,23.04,260.6

2,00:15-00:30,7.33,2.88,0,0.38,0,17.28,0,0,9.16,6.72,75,8.64,0,0,0,8.64,26.99,23.04,23.04,26.99,1.47,23.04,260.6

