Column1,Time,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_17,L_NR_2019_19,NR/01102023/02122045/L_NR_2021_13,WR/01102023/16072048/L_NR_2022_08,WR/01102023/24112044/L_NR_2020_07,WR/01102023/30052048/L_NR_2022_10,NR/01102023/13082046/L_NR_2021_12,NR/26072023/31072042/L_NR_2023_07,WR/01102023/01102023/L_NR_2020_06,WR/01102023/31032046/L_NR_2020_05,NR/01102023/08032047/L_NR_2021_14,NR/26072023/25122043/L_NR_2023_10,WR/01102023/01102023/L_NR_2022_09,NR/22102023/11042047/L_NR_2021_16,NR/01102023/22052037/LT-59,GNA/NR/2025/02/01/2594,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/02/01/2143,GNA/NR/2025/02/01/5886,GNA/WR/2025/01/01/9606,GNA/NR/2025/02/01/4863,GNA/WR/2024/11/01/4200,NR/01102023/31102037/L_NR_2019_11,NR/01102023/31052040/LT-31,NR/01102023/06022042/L_NR_2012_07,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/19072037/LT-05,NR/30092023/26122029/SH-06,NR/01102023/30042040/GNA_LT_35,NR/01102023/30042040/GNA_LT_36,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/30092023/31122025/SH-07,GNA/WR/2025/01/01/8625,NR/01102023/05012040/L_NR_2020_02,GNARE/NR/2024/12/20/3668,WR/01102023/29112042/L_NR_2019_05,GNARE/SR/2025/01/13/4532,WR/01102023/29112042/RUMS(L_NR_2019_06),GNA/NR/2025/02/01/9969,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/SR/2025/02/01/7432,GNA/SR/2025/02/01/6460
1,00:00-00:15,0,0,0,0,0,12,17.5,48.34,0,0,17.5,52.5,0,0,48.33,0,0.63,23.08,132.73,194.9,23.08,8.66,0,8.66,0,0.92,0,64.08,52.9,70.16,26.99,0,0,15.14,26.99,0,1.25,0,0,10.4,0,23.08,1.47,0,75

2,00:15-00:30,0,0,0,0,0,12.33,17.17,48,0,0,17.17,51.49,0,0,48,0,0.63,23.08,132.73,194.9,23.08,8.66,0,8.66,0,0.92,0,64.08,52.9,70.16,26.99,0,0,15.14,26.99,0,1.25,0,0,9.2,0,23.08,1.47,0,75

3,00:30-00:45,0,0,0,0,0,12,16.5,47.66,0,0,16.5,49.5,0,0,47.67,0,0.63,23.08,132.73,146.81,23.08,8.66,0,8.66,0,0.92,0,59.47,52.9,70.16,26.99,0,0,15.14,26.99,0,1.25,0,0,8.4,0,23.08,1.47,0,75

4,00:45-01:00,0,0,0,0,0,12.33,16,47,0,0,16,48,0,0,47,0,0.63,23.08,132.73,134.65,23.08,8.66,0,8.66,0,0.92,0,59.47,52.9,70.16,26.99,0,0,15.14,26.99,0,1.25,0,0,7.8,0,23.08,1.47,0,75

5,01:00-01:15,0,0,0,0,0,10,15.67,47.34,0,0,15.67,46.99,0,0,47.33,0,0,23.08,132.73,134.65,23.08,8.66,0,8.66,0,0.92,0,59.47,52.9,70.16,26.99,0,0,15.14,26.99,0,1.25,0,0,9.6,0,23.08,1.47,0,75

6,01:15-01:30,0,0,0,0,0,9.67,15.17,47,0,0,15.17,45.49,0,0,47,0,0,23.08,132.73,134.65,23.08,8.66,0,8.66,0,0.92,0,59.47,52.9,70.16,26.99,0,0,15.14,26.99,0,1.25,0,0,9,0,23.08,1.47,0,75

