Column1,Time,GNARE/SR/2025/01/13/4532,NR/01102023/08032047/L_NR_2021_14,NR/01102023/02122045/L_NR_2021_13,NR/01102023/13082046/L_NR_2021_12,NR/01102023/25072045/L_NR_2021_15,WR/01102023/01102023/L_NR_2020_06,NR/22102023/11042047/L_NR_2021_17,NR/22102023/11042047/L_NR_2021_16,GNARE/NR/2024/12/20/3668,WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/01102023/L_NR_2022_09,L_NR_2019_19,NR/26072023/25122043/L_NR_2023_10,WR/01102023/29112042/L_NR_2019_05,NR/26072023/31072042/L_NR_2023_07,WR/01102023/24112044/L_NR_2020_07,WR/01102023/31032046/L_NR_2020_05,NR/01102023/06022042/L_NR_2012_02,NR/01102023/05012040/L_NR_2020_02,NR/01102023/19072037/LT-05,NR/30092023/31122025/SH-07,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/08/01/2414,GNA/NR/2025/08/01/6452,GNA/NR/2025/08/01/4125,GNA/NR/2025/08/01/1196,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/08/01/5126,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/08/01/6209,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/07/01/2952,NR/01102023/31052040/LT-31,GNA/NR/2025/07/01/8128,GNA/NR/2025/08/01/5784,NR/30092023/26122029/SH-06,NR/01102023/22052037/LT-59,GNA/NR/2025/06/07/5932,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/07/01/1044,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/08/01/4452,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/08/01/3698,GNA/NR/2025/08/01/6475,GNA/NR/2025/08/01/6187
1,00:00-00:15,4,0,0,0,0,16.67,0,0,0,58.66,24,0,0,58.67,0,0,0,0,16.67,49.99,102.77,7.95,70.4,0,248.8,33.79,16.89,8.69,19.31,56.59,16.89,18.29,19.31,0,4.02,0,12.69,67.57,0,0,-0,24.23,0,3.24,53.09,15.3,0,8.69,20.83,17.38

2,00:15-00:30,4,0,0,0,0,16.67,0,0,0,58.34,23.33,0,0,58.33,0,0,0,0,16.67,49.99,102.77,7.95,70.4,0,248.8,33.79,16.89,8.69,19.31,56.59,16.89,18.29,19.31,0,4.02,0,12.69,67.57,0,0,-0,24.23,0,3.24,53.09,15.3,0,8.69,20.83,17.38

3,00:30-00:45,4,0,0,0,0,16.67,0,0,0,57.66,23,0,0,57.67,0,0,0,0,16.67,49.99,102.77,7.95,70.4,0,248.8,33.79,16.89,8.69,19.31,67.12,16.89,18.29,19.31,0,4.02,0,12.69,67.57,0,0,-0,25.23,0,3.24,100.56,15.3,0,8.69,20.83,17.38

4,00:45-01:00,4,0,0,0,0,16.83,0,0,0,57,22,0,0,57,0,0,0,0,16.83,50.51,102.77,7.95,70.4,0,248.8,33.79,16.89,8.69,19.31,67.12,16.89,18.29,19.31,0,4.02,0,12.69,67.57,0,0,-0,25.23,0,3.24,100.56,15.3,0,8.69,20.83,17.38

5,01:00-01:15,4,0,0,0,0,17,0,0,0,31.34,22.33,0,0,31.33,0,0,0,0,17,51,102.77,7.95,70.4,0,271.49,33.79,16.89,8.69,19.31,67.12,16.89,18.29,19.31,0,4.02,0,12.69,67.57,0,0,-0,24.23,0,3.24,100.56,15.3,0,8.69,20.83,17.38

6,01:15-01:30,4,0,0,0,0,17.83,0,0,0,30.66,22.67,0,0,30.67,0,0,0,0,17.83,53.51,102.77,7.95,70.4,0,271.49,33.79,16.89,8.69,19.31,67.12,16.89,18.29,19.31,0,4.02,0,12.69,67.57,0,0,-0,24.23,0,3.24,100.56,15.3,0,8.69,20.83,17.38

7,01:30-01:45,4,0,0,0,0,18.67,0,0,0,30.66,23.33,0,0,30.67,0,0,0,0,18.67,55.99,102.77,7.95,70.4,0,271.49,33.79,16.89,8.69,19.31,56.18,16.89,18.29,19.31,0,4.02,0,12.69,67.57,0,0,-0,24.23,0,3.24,100.56,15.3,0,8.69,20.83,17.38

8,01:45-02:00,4,0,0,0,0,19.17,0,0,0,30.34,24,0,0,30.33,0,0,0,0,19.17,57.49,84.49,7.95,70.4,0,271.49,33.79,16.89,8.69,19.31,56.18,16.89,18.29,19.31,0,4.02,0,12.69,67.57,0,0,-0,24.23,0,3.24,100.56,15.3,0,8.69,20.83,17.38

9,02:00-02:15,4,0,0,0,0,19.83,0,0,0,30.66,21.67,0,0,30.67,0,0,0,0,19.83,59.51,84.49,7.67,70.4,0,271.49,33.79,16.89,8.69,19.31,56.18,16.89,18.29,67.57,0,4.02,0,12.69,67.57,0,0,-0,24.23,0,3.24,100.56,15.3,0,8.69,20.83,17.38

10,02:15-02:30,4,0,0,0,0,20.67,0,0,0,31.34,20.67,0,0,31.33,0,0,0,0,20.67,61.99,84.49,7.67,70.4,0,271.49,33.79,16.89,8.69,19.31,56.18,16.89,18.29,67.57,0,4.02,0,12.69,67.57,0,0,-0,24.23,0,3.24,100.56,15.3,0,8.69,20.83,17.38

11,02:30-02:45,4,0,0,0,0,21.67,0,0,0,32,20,0,0,32,0,0,0,0,21.67,64.99,102.77,7.67,70.4,0,271.49,33.79,16.89,8.69,19.31,56.18,16.89,18.29,67.57,0,4.02,0,12.69,67.57,0,0,-0,24.23,0,3.24,100.56,15.3,0,8.69,20.83,17.38

12,02:45-03:00,4,0,0,0,0,22.5,0,0,0,32.34,19.33,0,0,32.33,0,0,0,0,22.5,67.5,102.77,7.67,70.4,0,271.49,33.79,16.89,8.69,19.31,56.18,16.89,18.29,67.57,0,4.02,0,12.69,67.57,0,0,-0,24.23,0,3.24,100.56,15.3,0,8.69,20.83,17.38

