Block,Time,CHAMERA2,DADRT2,DULHASTI,CHAMERA3,DHAULIGNGA,UNCHAHAR4,URI2,NAPP,SEWA2,JHAJJAR,RIHAND2,UNCHAHAR1,KOTESHWR,PARBATI3,RAMPUR,RIHAND1,TEHRI,UNCHAHAR3,SINGRAULI_HYDRO,KOLDAM,RAPPC,NJPC,TANDA2,RIHAND3,SINGRAULI,UNCHAHAR2,KISHANGANGA,CHAMERA1,BSIUL,URI,RAPPB,TANAKPUR,SALAL,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,SIMHST2,TALST2,TelanganaSTPP,VALLURNTECL,MAPS,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,RSTPSU1TO6,RSTPSU7,SIMHST1,KGSU1AND2,KGSU3AND4,KKNP,KKNPPU2,KUDGI,KHSTPP-II,KHSTPP-I,FSTPP I & II,TALA,BRBCL,SASAN
1,00:00-00:15,48.499828,688.415947,59.175403,34.831253,21.768069,3.094586,37.890519,48.981043,12.533744,390.343799,124.384996,22.630299,0,0,6.745516,97.055943,0,27.638981,1.147846,6.956102,67.655124,179.962454,5.534073,130.580717,149.98895,44.906625,8.340651,42.14808,6.5208,33.12,0,0.5124,79.37622,0,0,0,48.878287,0,76.446729,0,0,0,80.254056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.302375,44.311,20.801072,0,20.000002,397.125

2,00:15-00:30,48.499828,688.415947,59.175403,34.831253,21.768069,3.094586,37.890519,48.981043,12.533744,390.343799,124.384996,22.630299,0,0,6.745516,97.055943,0,27.638981,1.147846,6.956102,67.655124,179.962454,5.534073,130.580717,149.98895,44.906625,8.340651,42.14808,6.5208,33.12,0,0.5124,79.37622,0,0,0,48.878287,0,76.446729,0,0,0,81.591624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.302375,44.311,20.801072,0,20.000003,397.125

3,00:30-00:45,48.499828,688.415947,59.175403,34.831253,21.768069,3.094586,37.890519,48.981043,12.533744,390.343799,124.384996,22.630299,0,0,6.745516,97.055943,0,27.638981,1.147846,6.956102,67.655124,179.962454,5.534073,130.580717,149.98895,44.906625,8.340651,42.14808,6.5208,33.12,0,0.5124,79.37622,0,0,0,48.878287,0,76.446729,0,0,0,81.591623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.302375,44.311,20.801072,0,20.000002,397.125

4,00:45-01:00,48.499828,688.415947,59.175403,34.831253,21.768069,3.094586,37.890519,48.981043,12.533744,390.343799,124.384996,22.630299,0,0,6.745516,97.055943,0,27.638981,1.147846,6.956102,67.655124,179.962454,5.534073,130.580717,149.98895,44.906625,8.340651,42.14808,6.5208,33.12,0,0.5124,79.37622,0,0,0,48.878287,0,76.446729,0,0,0,81.591624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.302375,44.311,20.801072,0,20.000002,397.125

5,01:00-01:15,48.499828,688.415947,59.175403,34.831253,21.768069,3.094586,37.890519,48.981043,12.533744,390.343799,124.384996,22.630299,0,0,6.745516,97.055943,0,27.638981,1.147846,6.956102,67.655124,179.962454,5.534073,130.580717,149.98895,44.906625,8.340651,28.09872,13.0416,33.12,0,0.5124,79.37622,0,0,0,48.878287,0,78.076145,0,0,0,81.591624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.302375,44.311,20.801072,0,20,397.125

6,01:15-01:30,48.499828,688.415947,59.175403,34.831253,21.768069,3.094586,37.890519,48.981043,12.533744,390.343799,124.384996,22.630299,0,0,6.745516,97.055943,0,27.638981,1.147846,6.956102,67.655124,179.962454,5.534073,130.580717,149.98895,44.906625,8.340651,28.09872,13.0416,33.12,0,0.5124,79.37622,0,0,0,48.878287,0,78.076145,0,0,0,81.591624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.302375,44.311,20.801072,0,20,397.125

