Block,Time Block,AURY_LF,URI2,UNCHAHAR3,ANTA_LF,AURY_GF,ANTA_GF,URI,AURY_CRF,DADRI_CRF,AURY_RF,ANTA_CRF,UNCHAHAR4,VALLURNTECL,ANTA_RF,NLCIIST1,DHAULIGNGA,DULHASTI,JHAJJAR,KGSU1AND2,FSTPP I & II,KGSU3AND4,NLCEXP,BSIUL,CHAMERA1,DADRT2,CHAMERA2,CHAMERA3,KOLDAM,NAPP,KOTESHWR,NJPC,KUDGI,MAPS,KKNPPU2,BRBCL,KKNP,KHSTPP-I,KHSTPP-II,KISHANGANGA,NLCIIST2,NLCTS2EXP,RSTPSU7,RAPPB,RIHAND2,RIHAND1,NNTPP,RAMPUR,RAPPD,NTPL,PARBATI3,PARBATI2,RAPPC,RSTPSU1TO6,RIHAND3,DADRI_GF,DADRI_RF,DADRI_LF,SALAL,SASAN,SEWA2,SIMHST1,TALST2,SINGRAULI,UNCHAHAR2,TANAKPUR,TALA,UNCHAHAR1,TelanganaSTPP,TEHRI,TANDA2,SINGRAULI_HYDRO,SIMHST2,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,36.8,26.65,0,0,0,49.06,0,0,0,0,2.01,0,0,0,31.71,56.69,442.57,0,19.73,0,0,12.6,40.72,192.66,47.15,33.84,9.26,24.52,10.08,174.74,0,0,0,18.03,0,34.82,142.77,8.34,0,0,0,0,119.92,93.7,0,6.74,0,0,65.21,47.18,65.41,0,92.53,0,0,0,81.38,394.5,12.18,0,0,126.86,42.51,6.06,0,20.73,0,29.3,5.33,1.02,0,0,0,0,0,0

2,00:15-00:30,0,36.8,26.65,0,0,0,49.06,0,0,0,0,2.01,0,0,0,31.71,56.69,442.57,0,19.73,0,0,12.6,40.72,192.66,47.15,33.84,9.26,24.52,10.08,174.74,0,0,0,16.17,0,40.76,142.77,8.34,0,0,0,0,119.92,93.7,0,6.74,0,0,65.21,47.18,65.41,0,92.53,0,0,0,81.38,394.5,12.18,0,0,130.96,42.51,6.06,0,20.73,0,29.3,5.33,1.02,0,0,0,0,0,0

3,00:30-00:45,0,36.8,26.34,0,0,0,49.06,0,0,0,0,1.92,0,0,0,31.71,56.69,442.57,0,19.73,0,0,12.6,40.72,192.66,47.15,33.84,6.95,24.52,10.08,174.74,0,0,0,15.91,0,43.98,142.77,8.34,0,0,0,0,119.92,93.7,0,6.74,0,0,65.21,47.18,65.41,0,91.91,0,0,0,81.38,394.5,12.18,0,0,130.96,40.24,6.06,0,20.73,0,10.08,5.33,1.02,0,0,0,0,0,0

4,00:45-01:00,0,36.8,26.34,0,0,0,49.06,0,0,0,0,1.92,0,0,0,31.71,56.69,463,0,19.73,0,0,12.6,40.72,191.5,47.15,33.84,6.95,24.52,10.08,174.74,0,0,0,14.82,0,43.98,142.77,8.34,0,0,0,0,119.92,93.7,0,6.74,0,0,65.21,47.18,65.41,0,91.91,0,0,0,81.38,394.5,12.18,0,0,130.96,40.24,6.06,0,20.73,0,9.3,5.33,1.02,0,0,0,0,0,0

5,01:00-01:15,0,36.8,26.24,0,0,0,49.06,0,0,0,0,1.88,0,0,0,31.71,56.69,369.77,0,19.73,0,0,12.6,40.72,191.5,47.15,33.84,6.95,24.52,10.08,174.74,0,0,0,14.56,0,43.98,142.77,8.34,0,0,0,0,119.92,93.7,0,6.74,0,0,48.92,47.18,65.41,0,91.91,0,0,0,81.38,394.5,12.18,0,0,130.96,39.63,6.06,0,20.73,0,9.3,5.33,1.02,0,0,0,0,0,0

6,01:15-01:30,0,36.8,26.21,0,0,0,49.06,0,0,0,0,1.87,0,0,0,31.71,56.69,298.28,0,19.73,0,0,12.6,40.72,156.21,47.15,33.84,6.95,24.52,10.08,174.74,0,0,0,13.62,0,43.98,142.77,8.34,0,0,0,0,119.92,93.7,0,6.74,0,0,48.92,47.18,65.41,0,91.91,0,0,0,81.38,394.5,12.18,0,0,130.96,39.44,6.06,0,20.73,0,9.3,5.33,1.02,0,0,0,0,0,0

