Column1,Block,NR/2024/22052/A/30773,NR/2024/22058/A/30772,NR/2024/22353/C,NR/2024/22356/C,NR/2024/22010/A/30985,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,GNA/NR/2024/08/07/2729,NR/2024/21909/A/30959,NR/2024/22228/A/31024,NR/2024/21940/A/31030,NR/2024/22279/A/30955,NR/2024/22080/A/30621,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/2024/22042/A/30731,NR/01082024/15082024/IIPL/JPL-T-BRPL/04/Aug24,NR/2024/21974/A/31010,NR/2024/21971/A/31009,NR/2024/21956/A/31032,GNA/NR/2024/08/07/8214,NR/2024/22081/A/30967,NR/2024/21943/A/31028,NR/01082024/15082024/APL-Raigarh,NR/2024/21814/A/31011,NR/2024/21918/A/30988,NR/2024/21970/A/31008,NR/2024/21961/A/30859,NR/2024/21938/A/30993,NR/30092023/26122029/SH-06,NR/01082024/31082024/jitpl,NR/30092023/31122025/SH-07,NR/01082024/31082024/SKS-Raigarh,NR/2024/22364/C,NR/2024/22367/C,NR/2024/22351/C,NR/2024/22352/C,NR/2024/21658/A/30767,NR/2024/22377/C,NR/2024/22014/A/30732,NR/2024/21860/A/30968,NR/2024/22362/C,NR/2024/21966/A/30945,NR/2024/21968/A/31007,NR/2024/21954/A/31029,NR/2024/21983/A/30869,Total
,,SJVNL,SJVNL,NVVNL,SJVNL,MANIKARAN,APPCPL,HPXL,AEL,APPCPL,APPCPL,IEXL,DIAPL,DELHI,TPTCL,DELHI,IEXL,INSTINCT,NVVNL,NVVNL,APPCPL,PXIL,TPDDL,APPCPL,AEL,NVVNL,MANIKARAN,NVVNL,PTC,PTC,PUNJAB,JITPL,BAWANA_GAS,DELHI,IEXL,IEXL,NVVNL,NVVNL,ITCLH,IEXL,IEXL,TPDDL,IEXL,INSTINCT,NVVNL,APPCPL,TPTCL,
,,NA,NA,NA,NA,GOA_State,Arunachal_State,NA,NA,TAMILNADU_State,UTTARAKHAND_STATE,KARNATAKA_STATE,HIMACHAL_STATE,HIMACHAL_STATE,NA,MSEB_State,MSEB_State,NA,NA,NA,KERALA_State,NA,NA,MSEB_State,NA,NA,MSEB_State,NA,HIMACHAL_STATE,HIMACHAL_STATE,DELHI_UT,NA,DELHI_UT,NA,NA,NA,NA,NA,ANDHRA_PRADESH_STATE,MP_State,HIMACHAL_STATE,NA,DVC_STATE,NA,NA,Manipur_State,NA,
,,RSRPL_BKN,TPSL_BKN2,SOLAPUR_SOLAR,TPSL_BKN2,GOA_Beneficiary,Arunachal_Ben,SKS_Raigarh,APL_Raigarh_TPP,TANGEDCO,UTTARAKHAND,NSLSUGAR,GBHHPL,CHANJUII,SIMHAPURI,MSEB_Beneficiary,A_A_Energy_MH_Bio,JPL2,RKM_POWER,RKM_POWER,KSEB,SKS_Raigarh,JHAJJAR,AEML,APL_Raigarh_TPP,JPNIGRIE_JNSTPP,AEML,TRN_ENERGY,HP,HP,BAWANA_GAS,JITPL,BAWANA_GAS,SKS_Raigarh,SKS_Raigarh,SINGOLI,SORANG_HEP,Kameng,ITCWIND,Continuum_WFDPL_MP,NHCPL_HP,JPL2,DVC,JPL2,JPL2,Manipur_Ben,SIMHAPURI,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,NDMC,NDMC,MES_Delhi,NDMC,BRPL,BRPL,BRPL,BRPL,BYPL,BYPL,MES_Delhi,DIAPL,TPDDL,BRPL,TPDDL,MES_Delhi,BRPL,NDMC,NDMC,BYPL,BRPL,TPDDL,BRPL,BRPL,TPDDL,BYPL,NDMC,BRPL,BYPL,PUNJAB,NDMC,HARYANA,NDMC,BRPL,BRPL,TPDDL,TPDDL,ITCLH,BRPL,MES_Delhi,TPDDL,BRPL,BRPL,NDMC,BRPL,BRPL,
,,North-North,North-North,West-North,North-North,West-North,North East-East-North,West-North,West-North,South-West-North,North-North,South-East-West-North,North-North,North-North,South-West-North,West-North,West-North,West-North,West-North,West-North,South-West-North,West-North,North-North,West-North,West-North,West-North,West-North,West-North,North-North,North-North,North-North,East-North,North-North,West-North,West-North,North-North,North-North,North East-East-North,South-West-North,West-North,North-North,West-North,East-North,West-North,West-North,North East-East-North,South-East-North,
1,00:00-00:15,0,0,0,0,11.69,38.52,0,0,0,83.95,4.81,9.63,19.12,48.14,0,3.85,48.14,37.2,37.2,67.4,125.18,240.72,38.52,192.58,48.14,90.51,12.4,81.25,27.09,32,4.14,0,12.4,0,0,27.92,163.93,0.63,0,1.93,48.14,0,0,37.2,24,0,1618.3300000000006

2,00:15-00:30,0,0,0,0,11.69,38.52,0,0,0,83.95,4.81,9.63,19.12,48.14,0,3.85,48.14,37.2,37.2,67.4,125.18,240.72,38.52,192.58,48.14,90.51,12.4,81.25,27.09,32,4.14,0,12.4,0,0,27.92,163.93,0.63,0,1.93,48.14,0,0,37.2,24,0,1618.3300000000006

3,00:30-00:45,0,0,0,0,11.69,38.52,0,0,0,83.95,4.81,9.63,19.12,48.14,0,3.85,48.14,37.2,37.2,67.4,125.18,240.72,38.52,192.58,48.14,90.51,12.4,81.25,27.09,32,4.14,0,12.4,0,0,27.92,163.93,0.63,0,1.93,48.14,0,0,37.2,24,0,1618.3300000000006

4,00:45-01:00,0,0,0,0,11.69,38.52,0,0,0,83.95,4.81,9.63,19.12,48.14,0,3.85,48.14,37.2,37.2,67.4,125.18,240.72,38.52,192.58,48.14,90.51,12.4,81.25,27.09,32,4.14,0,12.4,0,0,27.92,163.93,0.63,0,1.93,48.14,0,0,37.2,24,0,1618.3300000000006

5,01:00-01:15,0,0,0,0,11.69,38.52,0,0,0,83.95,4.81,9.63,19.12,48.14,0,3.85,48.14,37.2,37.2,67.4,125.18,240.72,38.52,192.58,48.14,90.51,12.4,81.25,27.09,32,4.14,0,12.4,0,0,27.92,163.93,0.58,0,1.93,48.14,0,0,37.2,24,0,1618.2800000000004

6,01:15-01:30,0,0,0,0,11.69,38.52,0,0,0,83.95,4.81,9.63,19.12,48.14,0,3.85,48.14,37.2,37.2,67.4,125.18,240.72,38.52,192.58,48.14,90.51,12.4,81.25,27.09,32,4.14,0,12.4,0,0,27.92,163.93,0.58,0,1.93,48.14,0,0,37.2,24,0,1618.2800000000004

7,01:30-01:45,0,0,0,0,11.69,38.52,0,0,0,83.95,4.81,9.63,19.12,48.14,0,3.85,48.14,37.2,37.2,67.4,125.18,240.72,38.52,192.58,48.14,90.51,12.4,81.25,27.09,32,4.14,0,12.4,0,0,27.92,163.93,0.58,0,1.93,48.14,0,0,37.2,24,0,1618.2800000000004

8,01:45-02:00,0,0,0,0,11.69,38.52,0,0,0,83.95,4.81,9.63,19.12,48.14,0,3.85,48.14,37.2,37.2,67.4,125.18,240.72,38.52,192.58,48.14,90.51,12.4,81.25,27.09,32,4.14,0,12.4,0,0,27.92,163.93,0.58,0,1.93,48.14,0,0,37.2,24,0,1618.2800000000004

9,02:00-02:15,0,0,0,0,11.69,38.52,0,0,0,83.95,4.81,9.63,18.66,48.14,0,3.85,48.14,37.2,37.2,67.4,0,240.72,38.52,192.58,48.14,90.51,12.4,81.25,27.09,26.9071,4.14,26.9071,12.4,0,0,27.92,163.93,0.58,0,1.93,48.14,0,0,37.2,24,0,1514.4542000000001

10,02:15-02:30,0,0,0,0,11.69,38.52,0,0,0,83.95,4.81,9.63,18.66,48.14,0,3.85,48.14,37.2,37.2,67.4,0,240.72,38.52,192.58,48.14,90.51,12.4,81.25,27.09,26.9071,4.14,26.9071,12.4,0,0,27.92,163.93,0.58,0,1.93,48.14,0,0,37.2,24,0,1514.4542000000001

11,02:30-02:45,0,0,0,0,11.69,38.52,0,0,0,83.95,4.81,9.63,18.66,48.14,0,3.85,48.14,37.2,37.2,67.4,0,240.72,38.52,192.58,48.14,90.51,12.4,81.25,27.09,26.9071,4.14,26.9071,12.4,0,0,27.92,163.93,0.58,0,1.93,48.14,0,0,37.2,24,0,1514.4542000000001

12,02:45-03:00,0,0,0,0,11.69,38.52,0,0,0,83.95,4.81,9.63,18.66,48.14,0,3.85,48.14,37.2,37.2,67.4,0,240.72,38.52,192.58,48.14,90.51,12.4,81.25,27.09,26.9071,4.14,26.9071,12.4,0,0,27.92,163.93,0.58,0,1.93,48.14,0,0,37.2,24,0,1514.4542000000001

13,03:00-03:15,0,0,0,0,11.69,0,0,0,0,83.95,4.81,8.67,18.66,48.14,0,3.85,48.14,37.2,37.2,67.4,0,240.72,38.52,192.58,48.14,90.51,12.4,81.25,27.09,26.9071,4.14,26.9071,12.4,0,0,27.92,163.93,0.58,0,1.93,48.14,0,0,37.2,24,0,1474.9742

14,03:15-03:30,0,0,0,0,11.69,0,0,0,0,83.95,4.81,8.67,18.66,48.14,0,3.85,48.14,37.2,37.2,67.4,0,240.72,38.52,192.58,48.14,90.51,12.4,81.25,27.09,26.9071,4.14,26.9071,12.4,0,0,27.92,163.93,0.58,0,1.93,48.14,0,0,37.2,24,0,1474.9742

15,03:30-03:45,0,0,0,0,11.69,0,0,0,0,83.95,4.81,8.67,18.66,48.14,0,3.85,48.14,37.2,37.2,67.4,0,240.72,38.52,192.58,48.14,90.51,12.4,81.25,27.09,26.9071,4.14,26.9071,12.4,0,0,27.92,163.93,0.58,0,1.93,48.14,0,0,37.2,24,0,1474.9742

16,03:45-04:00,0,0,0,0,11.69,0,0,0,0,83.95,4.81,8.67,18.66,48.14,0,3.85,48.14,37.2,37.2,67.4,0,240.72,38.52,192.58,48.14,90.51,12.4,81.25,27.09,26.9071,4.14,26.9071,12.4,0,0,27.92,163.93,0.58,0,1.93,48.14,0,0,37.2,24,0,1474.9742

17,04:00-04:15,0,0,0,0,11.69,0,0,0,0,83.95,4.81,8.67,18.2,48.14,0,3.85,48.14,37.2,37.2,67.4,0,240.72,38.52,192.58,48.14,90.51,12.4,81.25,27.09,26.9071,4.14,26.9071,12.4,0,0,27.92,163.93,0.53,0,1.93,48.14,0,0,37.2,24,0,1474.4642000000001

18,04:15-04:30,0,0,0,0,11.69,0,0,0,0,83.95,4.81,8.67,18.2,48.14,0,3.85,48.14,37.2,37.2,67.4,0,240.72,38.52,192.58,48.14,90.51,12.4,81.25,27.09,26.9071,4.14,26.9071,12.4,0,0,27.92,163.93,0.53,0,1.93,48.14,0,0,37.2,24,0,1474.4642000000001

19,04:30-04:45,0,0,0,0,11.69,0,0,0,0,83.95,4.81,7.7,18.2,48.14,0,3.85,48.14,37.2,37.2,67.4,0,240.72,38.52,192.58,48.14,90.51,12.4,81.25,27.09,26.9071,4.14,26.9071,12.4,0,0,27.92,163.93,0.53,0,1.93,48.14,0,0,37.2,24,0,1473.4942000000003

20,04:45-05:00,0,0,0,0,11.69,0,0,0,0,83.95,4.81,7.7,18.2,48.14,0,3.85,48.14,37.2,37.2,67.4,0,240.72,38.52,192.58,48.14,90.51,12.4,81.25,27.09,26.9071,4.14,26.9071,12.4,0,0,27.92,163.93,0.53,0,1.93,48.14,0,0,37.2,24,0,1473.4942000000003

21,05:00-05:15,0,0,0,0,11.69,0,0,0,0,83.95,4.81,7.7,18.2,48.14,0,3.85,48.14,37.2,37.2,24.07,0,240.72,38.52,192.58,48.14,90.51,12.4,81.25,27.09,26.9071,4.14,26.9071,12.4,0,0,27.92,163.93,0.53,0,1.93,48.14,0,0,37.2,24,0,1430.1642000000002

22,05:15-05:30,0,0,0,0,11.69,0,0,0,0,83.95,4.81,7.7,18.2,48.14,0,3.85,48.14,37.2,37.2,24.07,0,240.72,38.52,192.58,48.14,90.51,12.4,81.25,27.09,26.9071,4.14,26.9071,12.4,0,0,27.92,163.93,0.53,0,1.93,48.14,0,0,37.2,24,0,1430.1642000000002

23,05:30-05:45,0,0,0,0,11.69,0,0,0,0,83.95,4.81,7.7,18.2,48.14,0,3.85,48.14,37.2,37.2,24.07,0,240.72,38.52,192.58,48.14,90.51,12.4,81.25,27.09,26.9071,4.14,26.9071,12.4,0,0,27.92,163.93,0.53,0,1.93,48.14,0,0,37.2,24,0,1430.1642000000002

24,05:45-06:00,0,0,0,0,11.69,0,0,0,0,83.95,4.81,7.7,18.2,48.14,0,3.85,48.14,37.2,37.2,24.07,0,240.72,38.52,192.58,48.14,90.51,12.4,81.25,27.09,26.9071,4.14,26.9071,12.4,0,0,27.92,163.93,0.53,0,1.93,48.14,0,0,37.2,24,0,1430.1642000000002

25,06:00-06:15,0,0,0,0,11.69,0,0,0,0,83.95,4.81,7.7,18.2,48.14,0,3.85,48.14,37.2,37.2,24.07,0,240.72,38.52,192.58,48.14,90.51,12.4,0,0,26.9071,4.14,26.9071,12.4,0,0,27.92,163.93,0.63,0,1.93,48.14,0,0,37.2,24,0,1321.9242000000004

26,06:15-06:30,0,0,0,0,11.69,0,0,0,0,83.95,4.81,7.7,18.2,48.14,0,3.85,48.14,37.2,37.2,24.07,0,240.72,38.52,192.58,48.14,90.51,12.4,0,0,26.9071,4.14,26.9071,12.4,0,0,27.92,163.93,0.63,0,1.93,48.14,0,0,37.2,24,0,1321.9242000000004

27,06:30-06:45,0,0,0,0,11.69,0,0,0,0,83.95,4.81,8.67,18.2,48.14,0,3.85,48.14,37.2,37.2,24.07,0,240.72,38.52,192.58,48.14,90.51,12.4,0,0,26.9071,4.14,26.9071,12.4,0,0,27.92,163.93,0.63,0,1.93,48.14,0,0,37.2,24,0,1322.8942000000004

28,06:45-07:00,0,0,0,0,11.69,0,0,0,0,83.95,4.81,8.67,18.2,48.14,0,3.85,48.14,37.2,37.2,24.07,0,240.72,38.52,192.58,48.14,90.51,12.4,0,0,26.9071,4.14,26.9071,12.4,0,0,27.92,163.93,0.63,0,1.93,48.14,0,0,37.2,24,0,1322.8942000000004

29,07:00-07:15,0,0,0,0,11.69,0,0,0,0,83.95,4.81,8.67,18.2,48.14,0,3.85,48.14,37.2,37.2,24.07,0,240.72,38.52,192.58,48.14,90.51,12.4,0,0,26.9071,4.14,26.9071,12.4,0,0,27.92,163.93,0.72,0,1.93,48.14,0,0,37.2,24,0,1322.9842000000003

30,07:15-07:30,0,0,0,0,11.69,0,0,0,0,83.95,4.81,8.67,18.2,48.14,0,3.85,48.14,37.2,37.2,24.07,0,240.72,38.52,192.58,48.14,90.51,12.4,0,0,26.9071,4.14,26.9071,12.4,0,0,27.92,163.93,0.72,0,1.93,48.14,0,0,37.2,24,0,1322.9842000000003

31,07:30-07:45,0,0,0,0,11.69,0,0,0,0,83.95,4.81,8.67,18.2,48.14,0,3.85,48.14,37.2,37.2,24.07,0,240.72,38.52,192.58,48.14,90.51,12.4,0,0,26.9071,4.14,26.9071,12.4,0,0,27.92,163.93,0.72,0,1.93,48.14,0,0,37.2,24,0,1322.9842000000003

32,07:45-08:00,0,0,0,0,11.69,0,0,0,0,83.95,4.81,8.67,18.2,48.14,0,3.85,48.14,37.2,37.2,24.07,0,240.72,38.52,192.58,48.14,90.51,12.4,0,0,26.9071,4.14,26.9071,12.4,0,0,27.92,163.93,0.72,0,1.93,48.14,0,0,37.2,24,0,1322.9842000000003

33,08:00-08:15,0,0,0,0,11.69,0,0,0,0,83.95,4.81,8.67,18.2,48.14,0,3.85,48.14,37.2,37.2,24.07,0,240.72,38.52,192.58,48.14,90.51,12.4,0,0,26.9071,4.14,26.9071,12.4,0,0,27.92,163.93,0.96,0,1.93,48.14,0,0,37.2,24,0,1323.2242000000003

34,08:15-08:30,0,0,0,0,11.69,0,0,0,0,83.95,4.81,8.67,18.2,48.14,0,3.85,48.14,37.2,37.2,24.07,0,240.72,38.52,192.58,48.14,90.51,12.4,0,0,26.9071,4.14,26.9071,12.4,0,0,27.92,163.93,0.96,0,1.93,48.14,0,0,37.2,24,0,1323.2242000000003

35,08:30-08:45,0,0,0,0,11.69,0,0,0,0,83.95,4.81,8.67,18.2,48.14,0,3.85,48.14,37.2,37.2,24.07,0,240.72,38.52,192.58,48.14,90.51,12.4,0,0,26.9071,4.14,26.9071,12.4,0,0,27.92,163.93,0.96,0,1.93,48.14,0,0,37.2,24,0,1323.2242000000003

36,08:45-09:00,0,0,0,0,11.69,0,0,0,0,83.95,4.81,8.67,18.2,48.14,0,3.85,48.14,37.2,37.2,24.07,0,240.72,38.52,192.58,48.14,90.51,12.4,0,0,26.9071,4.14,26.9071,12.4,0,0,27.92,163.93,0.96,0,1.93,48.14,0,0,37.2,24,0,1323.2242000000003

37,09:00-09:15,36.01,10.59,0,6.36,11.69,0,0,192.58,0,83.95,4.81,9.63,18.2,0,0,3.85,0,37.2,37.2,24.07,0,240.72,38.52,0,48.14,90.51,12.4,0,0,26.9071,4.14,26.9071,12.4,0,0,27.92,163.93,0.96,0,1.93,48.14,0,48.14,37.2,24,48.14,1377.1442000000004

38,09:15-09:30,39.19,10.59,0,3.18,11.69,0,0,192.58,0,83.95,4.81,9.63,18.2,0,0,3.85,0,37.2,37.2,24.07,0,240.72,38.52,0,48.14,90.51,12.4,0,0,26.9071,4.14,26.9071,12.4,0,0,27.92,163.93,0.96,0,1.93,48.14,0,48.14,37.2,24,48.14,1377.1442000000004

39,09:30-09:45,42.37,10.59,0,0,11.69,0,0,192.58,0,83.95,4.81,11.55,18.2,0,0,3.85,0,37.2,37.2,24.07,0,240.72,38.52,0,48.14,90.51,12.4,0,0,26.9071,4.14,26.9071,12.4,0,0,27.92,163.93,0.96,0,1.93,48.14,0,48.14,37.2,24,48.14,1379.0642000000003

40,09:45-10:00,42.37,10.59,0,0,11.69,0,0,192.58,0,83.95,4.81,11.55,18.2,0,0,3.85,0,37.2,37.2,24.07,0,240.72,38.52,0,48.14,90.51,12.4,0,0,26.9071,4.14,26.9071,12.4,0,0,27.92,163.93,0.96,0,1.93,48.14,0,48.14,37.2,24,48.14,1379.0642000000003

41,10:00-10:15,42.37,10.59,0,0,11.69,0,0,192.58,0,83.95,4.81,11.55,0,0,0,3.85,0,37.2,37.2,24.07,0,240.72,38.52,0,48.14,90.51,12.4,0,0,26.9071,5.57,26.9071,12.4,0,0,27.92,163.93,0.96,0,1.93,48.14,0,48.14,37.2,24,48.14,1362.2942000000005

42,10:15-10:30,42.37,10.59,0,0,11.69,0,0,192.58,0,83.95,4.81,11.55,0,0,0,3.85,0,37.2,37.2,24.07,0,240.72,38.52,0,48.14,90.51,12.4,0,0,26.9071,6.1,26.9071,12.4,0,0,27.92,163.93,0.96,0,1.93,48.14,0,48.14,37.2,24,48.14,1362.8242000000005

43,10:30-10:45,42.37,10.59,0,0,11.69,0,0,192.58,0,83.95,4.81,12.52,0,0,0,3.85,0,37.2,37.2,24.07,0,240.72,38.52,0,48.14,90.51,12.4,0,0,26.9071,6.8,26.9071,12.4,0,0,27.92,163.93,0.96,0,1.93,48.14,0,48.14,37.2,24,48.14,1364.4942000000003

