Column1,Time,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/L_NR_2019_05,GNARE/NR/2024/12/20/3668,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/01102023/L_NR_2020_06,NR/01102023/02122045/L_NR_2021_13,NR/01102023/13082046/L_NR_2021_12,NR/26072023/31072042/L_NR_2023_07,L_NR_2019_19,NR/01102023/08032047/L_NR_2021_14,NR/26072023/25122043/L_NR_2023_10,NR/22102023/11042047/L_NR_2021_16,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_17,WR/01102023/24112044/L_NR_2020_07,WR/01102023/30052048/L_NR_2022_10,GNARE/SR/2025/01/13/4532,WR/01102023/31032046/L_NR_2020_05,WR/01102023/16072048/L_NR_2022_08,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/30092023/26122029/SH-06,NR/01102023/05012040/L_NR_2020_02,NR/01102023/19072037/LT-05,NR/01102023/31102037/L_NR_2019_11,NR/30092023/31122025/SH-07,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/04/01/7459,NR/01102023/22052037/LT-59,GNA/NR/2025/04/01/8510,NR/01102023/06022042/L_NR_2012_07,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/04/01/8964,GNA/NR/2025/04/01/6216,GNA/NR/2025/04/01/6490,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/04/01/1831,NR/01102023/31052040/LT-31,NR/01102023/30042040/GNA_LT_35,GNA/SR/2025/04/01/2597,GNA/NR/2025/04/01/7960,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/04/01/8456,GNA/NR/2025/04/01/9334,GNA/NR/2025/04/01/4565,GNA/NR/2025/04/01/1333,GNA/WR/2025/04/01/4420,GNA/NR/2025/04/01/5285
1,00:00-00:15,63.33,0,0,0,0,28.33,0,0,0,0,0,0,0,0,0,28.33,63.33,2.98,85.01,18.66,30.78,30.5,2.24,115.01,3.3,20.86,0,9.62,3.11,5.77,86.76,6.91,260.29,0,9.62,9.62,271.98,1.92,0,0,52.5,25.97,100.21,0,2.89,48.1,2.89,0,2.89

2,00:15-00:30,63.33,0,0,0,0,29,0,0,0,0,0,0,0,0,0,29,63.33,2.98,87,19.34,31.29,30.5,2.24,115.01,3.3,20.86,0,9.62,3.11,5.77,86.76,6.91,260.29,0,9.62,9.62,271.98,1.92,0,0,52.5,25.97,100.21,0,2.89,48.1,2.89,0,2.89

3,00:30-00:45,63.33,0,0,0,0,29.5,0,0,0,0,0,0,0,0,0,29.5,63.33,3.04,88.5,19.34,31.29,30.5,2.24,115.01,3.3,20.86,0,9.62,3.11,5.77,86.76,6.91,260.29,0,9.62,9.62,271.98,1.92,0,0,52.5,25.97,100.21,0,2.89,48.1,2.89,0,2.89

4,00:45-01:00,63.33,0,0,0,0,30.17,0,0,0,0,0,0,0,0,0,30.17,63.33,3.06,90.49,19.34,31.29,30.5,2.24,115.01,3.3,20.86,0,9.62,3.11,5.77,86.76,6.91,260.29,0,9.62,9.62,271.98,1.92,0,0,52.5,25.97,100.21,0,2.89,48.1,2.89,0,2.89

5,01:00-01:15,63.33,0,0,0,0,31,0,0,0,0,0,0,0,0,0,31,63.33,3.06,93,23.34,31.29,30.5,2.24,115.01,3.22,20.86,0,9.62,3.11,5.77,86.76,6.81,260.29,0,9.62,9.62,271.98,1.92,0,0,52.5,25.97,100.21,0,2.89,48.1,2.89,0,2.89

