Block,Time,LT-05,SH-07,L_NR_2019_11,LT-59,L_NR_2020_02,LT-35,L_NR_2012_01,LT-36,SH-06,L_NR_2023_04,L_NR_2012_07,L_NR_2012_02,LT-31,LT_MEJA_Delhi,L_NR_2012_04,L_NR_2018_61,L_NR_2020_06,L_NR_2021_15,L_NR_2021_14,L_NR_2019_05,L_NR_2020_07,L_NR_2021_17,L_NR_2019_07,L_NR_2021_16,L_NR_2019_19,L_NR_2021_12,L_NR_2022_10,L_NR_2021_13,L_NR_2020_05,L_NR_2022_08,L_NR_2022_09,L_NR_2019_06
1,00:00-00:15,115.790000,30.970000,7.080000,7.320000,11.450000,0.000000,101.370000,0.000000,30.970000,0.000000,87.290000,261.860000,0.000000,3.910000,272.170000,32.19,0,0,0,0,0,0,0,0,0,0,44.24,0,0,35.18,44.24,0

2,00:15-00:30,115.790000,30.970000,7.080000,7.320000,11.450000,0.000000,101.370000,0.000000,30.970000,0.000000,87.290000,261.860000,0.000000,3.910000,272.170000,32.35,0,0,0,0,0,0,0,0,0,0,44.86,0,0,35.09,44.86,0

3,00:30-00:45,115.790000,30.970000,7.080000,8.180000,11.450000,0.000000,101.370000,0.000000,30.970000,0.000000,87.290000,261.860000,0.000000,3.910000,272.170000,32.08,0,0,0,0,0,0,0,0,0,0,44.13,0,0,35.13,44.13,0

4,00:45-01:00,115.790000,30.970000,7.080000,8.180000,11.450000,0.000000,101.370000,0.000000,30.970000,0.000000,87.290000,261.860000,0.000000,3.910000,272.170000,32.27,0,0,0,0,0,0,0,0,0,0,44.75,0,0,35.08,44.75,0

5,01:00-01:15,115.790000,30.970000,7.080000,8.180000,11.260000,0.000000,101.370000,0.000000,30.970000,0.000000,87.290000,261.860000,0.000000,3.910000,272.170000,32.45,0,0,0,0,0,0,0,0,0,0,44.05,0,0,35.07,44.05,0

6,01:15-01:30,115.790000,30.970000,7.080000,8.180000,11.260000,0.000000,101.370000,0.000000,30.970000,0.000000,87.290000,261.860000,0.000000,3.910000,272.170000,32.31,0,0,0,0,0,0,0,0,0,0,43.38,0,0,35.15,43.38,0

7,01:30-01:45,115.790000,30.970000,7.080000,7.860000,11.260000,0.000000,101.370000,0.000000,30.970000,0.000000,87.290000,261.860000,0.000000,3.910000,272.170000,38.15,0,0,0,0,0,0,0,0,0,0,43.83,0,0,35.17,43.83,0

8,01:45-02:00,115.790000,30.970000,7.080000,7.860000,11.260000,0.000000,101.370000,0.000000,30.970000,0.000000,87.290000,261.860000,0.000000,3.910000,272.170000,37.95,0,0,0,0,0,0,0,0,0,0,43.17,0,0,34.98,43.17,0

9,02:00-02:15,115.790000,30.970000,7.080000,7.860000,11.070000,0.000000,101.370000,0.000000,30.970000,0.000000,87.290000,261.860000,0.000000,3.910000,272.170000,37.92,0,0,0,0,0,0,0,0,0,0,47.85,0,0,36.55,47.85,0

10,02:15-02:30,115.790000,30.970000,7.080000,7.860000,11.070000,0.000000,101.370000,0.000000,30.970000,0.000000,87.290000,261.860000,0.000000,3.910000,272.170000,37.95,0,0,0,0,0,0,0,0,0,0,47.17,0,0,36.59,47.17,0

11,02:30-02:45,115.790000,30.970000,7.080000,7.860000,11.070000,0.000000,101.370000,0.000000,30.970000,0.000000,87.290000,261.860000,0.000000,3.910000,272.170000,38,0,0,0,0,0,0,0,0,0,0,47.38,0,0,36.83,47.38,0

12,02:45-03:00,115.790000,30.970000,7.080000,7.860000,11.070000,0.000000,101.370000,0.000000,30.970000,0.000000,87.290000,261.860000,0.000000,3.910000,272.170000,38.3,0,0,0,0,0,0,0,0,0,0,46.53,0,0,36.59,46.53,0

13,03:00-03:15,115.790000,30.970000,6.930000,7.630000,10.890000,0.000000,101.370000,0.000000,30.970000,0.000000,87.290000,261.860000,0.000000,3.910000,272.170000,38.38,0,0,0,0,0,0,0,0,0,0,46.38,0,0,36.68,46.38,0

14,03:15-03:30,115.790000,30.970000,6.930000,7.630000,10.890000,0.000000,101.370000,0.000000,30.970000,0.000000,87.290000,261.860000,0.000000,3.910000,272.170000,35.54,0,0,0,0,0,0,0,0,0,0,45.53,0,0,36.69,45.53,0

15,03:30-03:45,115.790000,30.970000,6.930000,7.630000,10.890000,0.000000,101.370000,0.000000,30.970000,0.000000,87.290000,261.860000,0.000000,3.910000,272.170000,35.3,0,0,0,0,0,0,0,0,0,0,46.85,0,0,36.63,46.85,0

16,03:45-04:00,115.790000,30.970000,6.930000,7.630000,10.890000,0.000000,101.370000,0.000000,30.970000,0.000000,87.290000,261.860000,0.000000,3.910000,272.170000,35.25,0,0,0,0,0,0,0,0,0,0,46.73,0,0,36.67,46.73,0

17,04:00-04:15,115.790000,30.970000,6.930000,7.320000,10.700000,0.000000,101.370000,0.000000,30.970000,0.000000,87.290000,261.860000,0.000000,3.910000,272.170000,35.34,0,0,0,0,0,0,0,0,0,0,46.7,0,0,36.73,46.7,0

