Column1,Time,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/L_NR_2019_05,WR/01102023/31032046/L_NR_2020_05,WR/01102023/24112044/L_NR_2020_07,SR/01102023/07102043/L_NR_2018_61,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_16,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_17,NR/01102023/02122045/L_NR_2021_13,L_NR_2019_19,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,WR/01102023/30052048/L_NR_2022_10,GNA/NR/2024/09/01/7119,NR/01102023/22052037/LT-59,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/05012040/L_NR_2020_02,NR/01102023/06022042/L_NR_2012_07,NR/01102023/31102037/L_NR_2019_11,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2024/09/01/6020,GNA/NR/2024/09/01/9821,GNA/NR/2024/09/01/7196,GNA/NR/2024/09/01/3451,NR/01102023/31052040/LT-31,NR/01102023/30042040/GNA_LT_35,GNA/NR/2024/09/01/6566,GNA/NR/2024/09/01/8090,NR/01082024/30092024/LT_MEJA_DELHI,NR/01102023/19072037/LT-05,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/09/01/2171,NR/01102023/15082037/GNA_NR_2012_01,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,GNA/NR/2024/09/01/4802,NR/01102023/30042040/GNA_LT_36,GNA/NR/2024/09/01/7908
1,00:00-00:15,0,0,0,68,22.67,27.01,0,0,0,0,0,0,0,0,0,18.66,22.66,52.67,52.67,24.8,0,232.44,29.27,4.94,75.54,0,111.38,82.32,32.93,41.16,41.16,0,0,20.58,12.47,3.79,70.59,12.95,1.94,53.27,32,26.32,82.32,0,18.4

2,00:15-00:30,0,0,0,69.5,23.17,26.81,0,0,0,0,0,0,0,0,0,19,23.16,53,53,24.8,0,193.7,29.27,4.94,75.54,0,111.38,82.32,32.93,41.16,41.16,0,0,20.58,12.47,3.79,70.59,12.95,1.94,53.27,32,26.32,82.32,0,18.4

3,00:30-00:45,0,0,0,72,24,26.61,0,0,0,0,0,0,0,0,0,19.66,24,52.67,52.67,24.8,0,150.61,29.27,4.94,75.54,0,111.38,82.32,32.93,41.16,41.16,0,0,20.58,12.47,3.79,70.59,12.95,1.94,53.27,32,26.32,82.32,0,18.4

4,00:45-01:00,0,0,0,74,24.67,26.21,0,0,0,0,0,0,0,0,0,20.34,24.66,53.33,53.33,24.8,0,150.61,29.27,4.94,75.54,0,111.38,82.32,32.93,41.16,41.16,0,0,20.58,12.47,3.79,70.59,12.95,1.94,53.27,32,26.32,82.32,0,18.4

5,01:00-01:15,0,0,0,76.5,25.5,23.01,0,0,0,0,0,0,0,0,0,21,25.5,55,55,24.8,0,150.61,29.27,4.94,75.54,0,111.38,82.32,32.93,41.16,41.16,0,0,20.58,12.47,3.79,70.59,12.95,1.94,53.27,26.91,26.91,82.32,0,18.4

6,01:15-01:30,0,0,0,78,26,22.41,0,0,0,0,0,0,0,0,0,21.34,26,56.67,56.67,24.8,0,150.61,28.76,4.94,75.54,0,111.38,82.32,32.93,41.16,41.16,0,0,20.58,12.47,3.79,70.59,12.95,1.94,53.27,26.91,26.91,82.32,0,18.4

7,01:30-01:45,0,0,0,79,26.33,21.81,0,0,0,0,0,0,0,0,0,22,26.34,71.67,71.67,24.8,0,150.61,28.76,4.94,75.54,0,111.38,82.32,32.93,41.16,41.16,0,0,20.58,12.47,3.79,70.59,12.95,1.94,53.27,26.91,26.91,82.32,0,18.4

8,01:45-02:00,0,0,0,81.5,27.17,21.01,0,0,0,0,0,0,0,0,0,22.34,27.16,72.33,72.33,24.8,0,150.61,28.76,4.94,75.54,0,111.38,82.32,32.93,41.16,41.16,0,0,20.58,12.47,3.79,70.59,12.95,1.94,53.27,26.91,26.91,82.32,0,18.4

9,02:00-02:15,0,0,0,86.5,28.83,20.41,0,0,0,0,0,0,0,0,0,22.66,28.84,72.67,72.67,24.8,0,150.61,28.76,4.94,75.54,0,111.38,82.32,32.93,41.16,41.16,0,0,20.58,12.47,3.79,70.59,12.95,1.94,53.27,26.91,26.91,82.32,0,18.4

10,02:15-02:30,0,0,0,88.5,29.5,19.41,0,0,0,0,0,0,0,0,0,23,29.5,73.33,73.33,24.8,0,150.61,28.76,4.94,75.54,0,111.38,82.32,32.93,41.16,41.16,0,0,20.58,12.47,3.79,70.59,12.95,1.94,53.27,26.91,26.91,82.32,0,18.4

11,02:30-02:45,0,0,0,67.5,22.5,23.21,0,0,0,0,0,0,0,0,0,23,22.5,59.67,59.67,24.8,0,150.61,28.76,4.94,75.54,0,111.38,82.32,32.93,41.16,41.16,0,0,20.58,12.47,3.79,70.59,12.95,1.94,53.27,26.91,26.91,82.32,0,18.4

12,02:45-03:00,0,0,0,67,22.33,23.01,0,0,0,0,0,0,0,0,0,23.34,22.34,59.67,59.67,24.8,0,150.61,28.76,4.94,75.54,0,111.38,82.32,32.93,41.16,41.16,0,0,20.58,12.47,3.79,70.59,12.95,1.94,53.27,26.91,26.91,82.32,0,18.4

13,03:00-03:15,0,0,0,67,22.33,29.01,0,0,0,0,0,0,0,0,0,19,22.34,59.67,59.67,24.8,0,150.61,28.76,4.66,75.54,0,111.38,82.32,0,41.16,41.16,0,0,20.58,12.47,3.79,70.59,12.76,1.94,53.27,26.91,26.91,82.32,0,18.4

14,03:15-03:30,0,0,0,66,22,28.61,0,0,0,0,0,0,0,0,0,18.66,22,59.67,59.67,24.8,0,150.61,28.26,4.66,75.54,0,111.38,82.32,0,41.16,41.16,0,0,20.58,12.47,3.79,70.59,12.76,1.94,53.27,26.91,26.91,82.32,0,18.4

