Column1,Time,GNA/NR/2025/01/01/3925,GNA/NR/2025/01/01/6775,NR/30092023/26122029/SH-06,NR/01102023/05012040/L_NR_2020_02,NR/01102023/19072037/LT-05,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/01/01/8058,NR/30092023/31122025/SH-07,SR/01102023/07102043/L_NR_2018_61,WR/01102023/01102023/L_NR_2022_09,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/01/01/7459,NR/01102023/30042040/GNA_LT_35,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/22052037/LT-59,GNA/NR/2025/01/01/8738,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/01/01/3514,GNA/NR/2025/01/01/3733,GNA/NR/2025/01/01/5531,GNA/NR/2025/01/01/6528,GNA/NR/2025/01/01/3945,NR/01102023/30042040/GNA_LT_36,NR/01102023/31052040/LT-31,GNA/WR/2025/01/01/8625,GNA/NR/2025/01/02/1250,NR/01102023/27052033/DIAPL(L_NR_2023_04),WR/01102023/16072048/L_NR_2022_08,WR/01102023/30052048/L_NR_2022_10,NR/01102023/02122045/L_NR_2021_13,WR/01102023/01102023/L_NR_2020_06,GNARE/NR/2024/12/20/3668,WR/01102023/29112042/L_NR_2019_05,NR/01102023/25072045/L_NR_2021_15,WR/01102023/31032046/L_NR_2020_05,NR/22102023/11042047/L_NR_2021_17,NR/26072023/31072042/L_NR_2023_07,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/RUMS(L_NR_2019_06),NR/26072023/25122043/L_NR_2023_10,L_NR_2019_19,NR/01102023/13082046/L_NR_2021_12,WR/01102023/24112044/L_NR_2020_07,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_16,GNA/WR/2024/11/01/4200,GNA/WR/2025/01/01/9606,NR/01102023/31102037/L_NR_2019_11
1,00:00-00:15,47.8,25.81,0,1.47,69.71,114.71,26.77,0,9,30.33,1.46,62.13,25.81,0,52.57,0,47.8,59.1,19.12,20.07,28.68,8.6,25.81,0,0,0,47.8,25.24,8.33,30.34,0,9.67,0,0,0,28.99,0,0,0,0,0,0,0,9.67,0,0,0,0,1.02

2,00:15-00:30,47.8,25.81,0,1.47,69.71,95.59,26.77,0,9.6,29.67,1.46,62.13,25.81,0,52.57,0,47.8,59.1,19.12,20.07,28.68,8.6,25.81,0,0,0,47.8,25.24,8.33,29.66,0,9.17,0,0,0,27.49,0,0,0,0,0,0,0,9.17,0,0,0,0,1.02

3,00:30-00:45,47.8,25.81,0,1.47,69.71,74.33,26.77,0,10.2,29.67,1.46,62.13,25.81,0,52.57,0,47.8,59.1,19.12,20.07,28.68,8.6,25.81,0,0,0,47.8,25.24,8.33,29.66,0,8.67,0,0,0,25.99,0,0,0,0,0,0,0,8.67,0,0,0,0,1.02

4,00:45-01:00,47.8,25.81,0,1.47,69.71,74.33,26.77,0,11,29.33,1.46,62.13,25.81,0,52.57,0,47.8,59.1,19.12,20.07,28.68,8.6,25.81,0,0,0,47.8,25.24,8,29.34,0,8.33,0,0,0,25.01,0,0,0,0,0,0,0,8.33,0,0,0,0,1.02

5,01:00-01:15,47.8,25.81,0,1.47,69.71,74.33,26.77,0,11.61,19.33,1.46,62.13,25.81,0,52.57,0,47.8,59.1,19.12,20.07,28.68,8.6,25.81,0,0,0,47.8,25.24,8,19.34,0,8.17,0,0,0,24.49,0,0,0,0,0,0,0,8.17,0,0,0,0,1.02

6,01:15-01:30,47.8,25.81,0,1.47,69.71,74.33,26.77,0,12.41,19.67,1.46,62.13,25.81,0,52.57,0,47.8,59.1,19.12,20.07,28.68,8.6,25.81,0,0,0,47.8,25.24,8,19.66,0,8.17,0,0,0,24.49,0,0,0,0,0,0,0,8.17,0,0,0,0,1.02

7,01:30-01:45,47.8,25.81,0,1.47,69.71,74.33,26.77,0,12.61,19.33,1.46,62.13,25.81,0,52.57,0,47.8,59.1,19.12,20.07,28.68,8.6,25.81,0,0,0,47.8,25.24,7.67,19.34,0,8.17,0,0,0,24.49,0,0,0,0,0,0,0,8.17,0,0,0,0,1.02

8,01:45-02:00,47.8,25.81,0,1.47,69.71,74.33,26.77,0,12.81,19,1.46,62.13,25.81,0,52.57,0,47.8,59.1,19.12,20.07,28.68,8.6,25.81,0,0,0,47.8,25.24,7.67,19,0,8.33,0,0,0,25.01,0,0,0,0,0,0,0,8.33,0,0,0,0,1.02

9,02:00-02:15,47.8,25.81,0,1.47,69.71,74.33,26.77,0,13.01,18,1.46,62.13,25.81,0,52.57,0,47.8,59.1,19.12,20.07,28.68,8.6,25.81,0,0,0,47.8,24.73,7.67,18,0,8.5,0,0,0,25.5,0,0,0,0,0,0,0,8.5,0,0,0,0,0.98

10,02:15-02:30,47.8,25.81,0,1.47,69.71,74.33,26.77,0,13.01,16.67,1.46,62.13,25.81,0,52.57,0,47.8,59.1,19.12,20.07,28.68,8.6,25.81,0,0,0,47.8,24.73,7.67,16.66,0,8.83,0,0,0,26.51,0,0,0,0,0,0,0,8.83,0,0,0,0,0.98

11,02:30-02:45,47.8,25.81,0,1.47,69.71,74.33,26.77,0,15.01,16.67,1.46,62.13,25.81,0,52.57,0,47.8,59.1,19.12,20.07,28.68,8.6,25.81,0,0,0,47.8,24.73,7.67,16.66,0,9,0,0,0,27,0,0,0,0,0,0,0,9,0,0,0,0,0.98

12,02:45-03:00,47.8,25.81,0,1.47,69.71,74.33,26.77,0,15.21,15.33,1.46,62.13,25.81,0,52.57,0,47.8,59.1,19.12,20.07,28.68,8.6,25.81,0,0,0,47.8,24.73,7.67,15.34,0,9.33,0,0,0,28.01,0,0,0,0,0,0,0,9.33,0,0,0,0,0.98

13,03:00-03:15,47.8,25.81,0,1.42,69.71,74.33,26.77,0,15.21,14.33,1.37,62.13,25.81,0,52.57,0,47.8,59.1,19.12,20.07,28.68,8.6,25.81,0,0,0,47.8,24.73,7.67,14.34,0,9.83,0,0,0,29.51,0,0,0,0,0,0,0,9.83,0,0,0,0,0.98

14,03:15-03:30,47.8,25.81,0,1.42,69.71,74.33,26.77,0,15.21,14.67,1.37,62.13,25.81,0,52.57,0,47.8,59.1,19.12,20.07,28.68,8.6,25.81,0,0,0,47.8,24.73,7.67,14.66,0,10.33,0,0,0,31.01,0,0,0,0,0,0,0,10.33,0,0,0,0,0.98

15,03:30-03:45,47.8,25.81,0,1.42,69.71,74.33,26.77,0,15.41,14.33,1.37,62.13,25.81,0,52.57,0,47.8,59.1,19.12,20.07,28.68,8.6,25.81,0,0,0,47.8,24.73,7.67,14.34,0,9.17,0,0,0,27.49,0,0,0,0,0,0,0,9.17,0,0,0,0,0.98

16,03:45-04:00,47.8,25.81,0,1.42,69.71,74.33,26.77,0,15.61,15.33,1.37,62.13,25.81,0,52.57,0,47.8,59.1,19.12,20.07,28.68,8.6,25.81,0,0,0,47.8,24.73,7.67,15.34,0,9.67,0,0,0,28.99,0,0,0,0,0,0,0,9.67,0,0,0,0,0.98

17,04:00-04:15,47.8,25.81,0,1.42,69.71,74.33,26.77,0,11,16.33,1.46,62.13,25.81,0,52.57,0,47.8,59.1,19.12,20.07,28.68,8.6,25.81,0,0,0,47.8,24.73,7.67,16.34,0,10.17,0,0,0,30.49,0,0,0,0,0,0,0,10.17,0,0,0,0,0.98

18,04:15-04:30,47.8,25.81,0,1.42,69.71,74.33,26.77,0,11,16.67,1.46,62.13,25.81,0,52.57,0,47.8,59.1,19.12,20.07,28.68,8.6,25.81,0,0,0,47.8,24.73,7.67,16.66,0,10.83,0,0,0,32.51,0,0,0,0,0,0,0,10.83,0,0,0,0,0.98

19,04:30-04:45,47.8,25.81,0,1.42,69.71,74.33,26.77,0,11,17.33,1.46,62.13,25.81,0,52.57,0,47.8,59.1,19.12,20.07,28.68,8.6,25.81,0,0,0,47.8,24.73,7.67,17.34,0,11.5,0,0,0,34.5,0,0,0,0,0,0,0,11.5,0,0,0,0,0.98

20,04:45-05:00,47.8,25.81,0,1.42,69.71,74.33,26.77,0,11,17.67,1.46,62.13,25.81,0,52.57,0,47.8,59.1,19.12,20.07,28.68,8.6,25.81,0,0,0,47.8,24.73,7.67,17.66,0,11.67,0,0,0,34.99,0,0,0,0,0,0,0,11.67,0,0,0,0,0.98

21,05:00-05:15,47.8,25.81,0,1.42,69.71,74.33,26.77,0,11,18,1.46,62.13,25.81,0,52.57,0,47.8,59.1,19.12,20.07,28.68,8.6,25.81,0,0,0,47.8,24.22,7.67,18,0,11.67,0,0,0,34.99,0,0,0,0,0,0,0,11.67,0,0,0,0,0.98

22,05:15-05:30,47.8,25.81,0,1.42,69.71,74.33,26.77,0,11,17.67,1.46,62.13,25.81,0,52.57,0,47.8,59.1,19.12,20.07,28.68,8.6,25.81,0,0,0,47.8,24.22,7.67,17.66,0,11.67,0,0,0,34.99,0,0,0,0,0,0,0,11.67,0,0,0,0,0.98

23,05:30-05:45,47.8,25.81,0,1.42,69.71,74.33,26.77,0,11.41,17.33,1.46,62.13,25.81,0,52.57,0,47.8,59.1,19.12,20.07,28.68,8.6,25.81,0,0,0,47.8,24.22,7.67,17.34,0,11.67,0,0,0,34.99,0,0,0,0,0,0,0,11.67,0,0,0,0,0.98

24,05:45-06:00,47.8,25.81,0,1.42,69.71,95.59,26.77,0,11.41,17.67,1.46,62.13,25.81,0,52.57,0,47.8,59.1,19.12,20.07,28.68,8.6,25.81,0,0,0,47.8,24.22,7.67,17.66,0,11.67,0,0,0,34.99,0,0,0,0,0,0,0,11.67,0,0,0,0,0.98

25,06:00-06:15,47.8,25.81,0,1.42,65.59,114.71,26.77,0,11.41,18,1.46,78.82,25.81,0,99.59,0,47.8,59.1,19.12,20.07,28.68,14.34,25.81,0,0,0,47.8,24.22,7.67,18,0,11.67,0,0,0,34.99,0,0,0,0,0,0,0,11.67,0,0,0,0,0.98

26,06:15-06:30,47.8,25.81,0,1.42,65.59,132.66,26.77,0,11,18.67,1.46,97.91,25.81,0,99.59,0,47.8,59.1,19.12,20.07,28.68,14.34,25.81,0,0,0,47.8,24.22,7.33,18.66,0,11.67,0.1,0,0,34.99,0,0,0,0,0,0,0,11.67,0,0,0,0,0.98

27,06:30-06:45,47.8,25.81,0,1.42,65.59,132.66,26.77,0,22.01,18.33,1.46,129.76,25.81,0,99.59,0,47.8,63.68,19.12,20.07,28.68,14.34,25.81,0,0,0,47.8,24.22,7.33,18.34,0,11.67,0.22,0,0,34.99,0,0,0,0,0,0,0,11.67,0,0,0,0,0.98

28,06:45-07:00,47.8,25.81,0,1.42,65.59,132.66,26.77,0,22.01,19.33,1.46,129.76,25.81,0.1,99.59,0,47.8,63.68,19.12,20.07,28.68,14.34,43.02,0.1,0.1,0,47.8,24.22,7.33,19.34,0,11.67,0.33,0.24,0,34.99,0,0,1,0.25,0,0,0,11.67,0,0,0,0,0.98

29,07:00-07:15,47.8,25.81,0,1.42,65.59,132.66,26.77,0,21.81,19.67,1.37,129.76,25.81,0.23,99.59,0,47.8,86.22,19.12,20.07,28.68,14.34,43.02,0.23,0.23,50,47.8,24.22,7.33,19.66,0,11.5,1.16,4.56,0,34.5,0,0,3,4.78,0,0.11,0,11.5,2,1,0,0,0.98

30,07:15-07:30,47.8,25.81,0,1.42,93.71,132.66,26.77,0,21.41,19.67,1.37,129.76,25.81,0.51,99.59,0,47.8,86.22,19.12,20.07,28.68,14.34,43.02,0.53,0.51,50,47.8,23.21,7.33,19.66,0,11.17,2.58,11.05,0,33.49,1,1,7,11.83,0,0.65,0,11.17,3,2,0,0,0.98

31,07:30-07:45,47.8,25.81,0,1.42,114.33,132.66,26.77,0,21.01,19.67,1.37,129.76,25.81,0.94,99.59,0,47.8,86.22,19.12,20.07,28.68,14.34,43.02,0.96,0.94,50,47.8,23.21,7,19.66,0.05,10.83,7.08,19.46,1,32.51,2,4,10,20.64,1,2.14,0.24,10.83,5,3,0,0,0.98

32,07:45-08:00,47.8,25.81,0,1.42,114.33,132.66,26.77,0,20.41,19.33,1.37,129.76,25.81,1.7,99.59,0,47.8,86.22,19.12,20.07,28.68,14.34,43.02,1.74,1.7,50,47.8,23.21,7,19.34,0.17,10.5,8.82,26.7,2,31.5,2,7,18,26.7,3,4.66,0.87,10.5,7,5,0,0,0.98

33,08:00-08:15,47.8,25.81,0,1.38,114.33,132.66,26.77,0,19.81,19.33,1.46,129.76,25.81,2.29,99.59,0,47.8,86.22,19.12,20.07,28.68,14.34,43.02,2.35,2.29,50,47.8,23.21,6.67,19.34,2.74,10.17,11,24.07,3,30.49,3,11,24.07,24.06,4,8.48,13.73,10.17,8,5,0,0,0.98

34,08:15-08:30,47.8,25.81,0,1.38,114.33,132.66,26.77,0,19.01,19.67,1.46,129.76,25.81,2.8,99.59,0,47.8,86.22,19.12,20.07,28.68,14.34,43.02,2.87,2.8,50,47.8,23.21,6.67,19.66,4.23,9.67,16.46,24.23,4,28.99,3,14,24.23,24.24,6,13.83,21.13,9.67,9,7,0,0,0.98

35,08:30-08:45,47.8,25.81,0,1.38,114.33,132.66,26.77,0,18.21,19.67,1.46,129.76,25.81,3.12,99.59,0,47.8,86.22,19.12,20.07,28.68,14.34,43.02,3.2,3.12,50,47.8,23.21,6.67,19.66,4.56,9.17,21.91,24.67,5,27.49,4,14,24.67,24.66,6,21.36,22.82,9.17,11,9,0,0,0.98

36,08:45-09:00,47.8,25.81,0,1.38,114.33,132.66,26.77,0,17.61,19.33,1.46,129.76,25.81,3.61,99.59,0,47.8,86.22,19.12,20.07,28.68,14.34,43.02,3.71,3.61,50,47.8,23.21,6.67,19.34,5.02,8.67,27.38,25,6,25.99,6,18,25,25,7,32.06,25.13,8.67,11,11,0,0,0.98

37,09:00-09:15,47.8,25.81,0,1.38,114.33,132.66,26.77,0,17.01,18.33,1.46,129.76,25.81,4.17,99.59,0,47.8,86.22,19.12,20.07,28.68,14.34,43.02,4.28,4.17,0,47.8,23.21,6.67,18.34,5.21,8.17,33.67,25.33,7,24.49,6,21,25.33,25.34,9,39.87,26.04,8.17,14,12,0,0,0.98

