Column1,Block,NR/2025/25311/C,NR/30092023/26122029/SH-06,GNA/WR/2024/11/01/4200,GNA/WR/2025/01/01/9606,NR/30092023/31122025/SH-07,GNA/NR/2025/02/16/1676,GNA/NR/2025/02/01/2143,GNA/SR/2025/02/01/7432,NR/2025/24882/A/53826,NR/2024/24418/A/53787,WR/2025/26047/A/54087,NR/2025/25070/A/54134,GNA/WR/2025/01/01/8625,NR/2025/24992/A/53822,GNA/SR/2025/02/01/6460,GNA/NR/2025/02/01/2594,GNA/NR/2025/02/01/9969,GNA/NR/2025/02/01/4863,GNA/NR/2025/02/01/5886,GNA/NR/2025/02/16/1380,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2025/25266/A/54019,NR/2025/25265/A/54036,NR/2025/25267/A/54041,NR/2025/25308/C,Total
,,SJVNL,PUNJAB,MANIKARAN,APPCPL,BAWANA_GAS,PTC,NDMC,APPCPL,IEXL,ITCLH,APPCPL,NVVNL,TPTCL,IEXL,APPCPL,NDMC,NDMC,NDMC,NDMC,PTC,DELHI,ABLWM1_AEROCITY,OIDLWM2_AEROCITY,OIDLWM3_AEROCITY,SJVNL,
,,NA,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,NA,DELHI_UT,TELANGANA_State,ANDHRA_PRADESH_STATE,DELHI_UT,NA,DELHI_UT,KARNATAKA_STATE,DELHI_UT,NA,NA,NA,NA,DELHI_UT,HIMACHAL_STATE,NA,NA,NA,NA,
,,RSRPL_BKN,BAWANA_GAS,BRPL,BYPL,BAWANA_GAS,BRPL,RKM_POWER,BYPL,NSLKSLWPRTY,ITCWIND,BRPL,JIPL,BYPL,NSLSUGARALAND,BYPL,RKM_POWER,JPL2,SKS_Raigarh,TRN_ENERGY,BYPL,CHANJUII,TCSPL_BKN2,TCSPL_BKN2,TCSPL_BKN2,TPSL_BKN2,
,,DELHI_UT,PUNJAB_STATE,MSEB_State,MSEB_State,HARYANA_STATE,HIMACHAL_STATE,DELHI_UT,KERALA_State,DELHI_UT,DELHI_UT,GOA_State,DELHI_UT,MSEB_State,DELHI_UT,KERALA_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HIMACHAL_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,NDMC,PUNJAB,AEML,AEML,HARYANA,HP,NDMC,KSEB,MES_Delhi,ITCLH,GOA_Beneficiary,NDMC,TPC_MSEB,MES_Delhi,KSEB,NDMC,NDMC,NDMC,NDMC,HP,TPDDL,ABLWM1_AEROCITY,OIDLWM2_AEROCITY,OIDLWM3_AEROCITY,NDMC,
,,North-North,North-North,North-West,North-West,North-North,North-North,West-North,North-West-South,South-West-North,South-West-North,North-West,East-North,North-West,South-West-North,North-West-South,West-North,West-North,West-North,West-North,North-North,North-North,North-North,North-North,North-North,North-North,
1,00:00-00:15,0,26.99,0,0,26.99,23.78,23.07,0,2.88,0.38,0,17.3,0,6.73,75,23.07,23.07,8.65,8.65,7.93,1.19,0,0,0,0,275.67999999999995

2,00:15-00:30,0,26.99,0,0,26.99,23.78,23.07,0,2.88,0.38,0,17.3,0,6.73,75,23.07,23.07,8.65,8.65,7.93,1.19,0,0,0,0,275.67999999999995

3,00:30-00:45,0,26.99,0,0,26.99,23.78,23.07,0,2.88,0.38,0,17.3,0,6.73,75,23.07,23.07,8.65,8.65,7.93,1.19,0,0,0,0,275.67999999999995

4,00:45-01:00,0,26.99,0,0,26.99,23.78,23.07,0,2.88,0.38,0,17.3,0,6.73,75,23.07,23.07,8.65,8.65,7.93,1.19,0,0,0,0,275.67999999999995

5,01:00-01:15,0,26.99,0,0,26.99,23.78,23.07,0,2.88,0.38,0,17.3,0,6.73,75,23.07,23.07,8.65,8.65,7.93,1.19,0,0,0,0,275.67999999999995

6,01:15-01:30,0,26.99,0,0,26.99,23.78,23.07,0,2.88,0.38,0,17.3,0,6.73,75,23.07,23.07,8.65,8.65,7.93,1.19,0,0,0,0,275.67999999999995

