Block,Time,NR/01102023/02122045/L_NR_2021_13,NR/01102023/31102037/L_NR_2019_11,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/05012040/L_NR_2020_02,NR/22102023/11042047/L_NR_2021_17,NR/01102023/25072045/L_NR_2021_15,NR/01102023/31052040/LT-31,NR/01102023/02012046/L_NR_2021_17,NR/01042024/31072024/LT_MEJA_DELHI,NR/01102023/19072037/LT-05,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/30092023/26122029/SH-06,NR/01102023/22052037/LT-59,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/01102023/06022042/L_NR_2012_07,NR/01102023/23072042/L_NR_2012_04,NR/01072024/04072024/1000011434-JITPL-BRPL(DISCOM),WR/01102023/29112042/L_NR_2019_05,NR/01072024/31072024/R2,WR/01102023/01102023/L_NR_2020_06,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01102023/25122043/GNA_MEJA_DELHI,WR/01102023/01102023/L_NR_2022_09,WR/01102023/24112044/L_NR_2020_07,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/06022042/L_NR_2012_02,NR/30092023/31122025/SH-07,WR/01102023/31032046/L_NR_2020_05,NR/01102023/14082046/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_16,NR/01072024/15072024/NR/01072024/15072024/717759,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,WR/01102023/29112042/RUMS(L_NR_2019_06),SR/01102023/07102043/L_NR_2018_61,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/30042040/GNA_LT_35,WR/01102023/16072048/L_NR_2022_08,L_NR_2019_19,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,NR/01102023/30042040/GNA_LT_36,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1
1,00:00-00:15,0,10.580000,100.420000,8.900000,0,0,0.000000,0,12.760000,115.220000,18.680000,30.840000,10.390000,24.830000,12.420000,86.940000,0.000000,96.390000,0,24.100000,30,38.560000,0.000000,0.000000,68.33,30,31.290000,261.700000,30.840000,90,0,0,192.780000,272.540000,0,10.41,96.390000,68.33,0,0.000000,27.34,0,0,0,0,0,0.000000,72.290000

2,00:15-00:30,0,10.580000,100.420000,8.900000,0,0,0.000000,0,12.760000,115.220000,18.680000,30.840000,10.390000,24.830000,12.420000,86.940000,0.000000,96.390000,0,24.100000,30.34,38.560000,0.000000,0.000000,69.33,30.33,31.290000,261.700000,30.840000,91,0,0,192.780000,272.540000,0,10.21,96.390000,69.33,0,0.000000,27.66,0,0,0,0,0,0.000000,72.290000

3,00:30-00:45,0,10.580000,100.420000,8.900000,0,0,0.000000,0,12.760000,115.220000,18.680000,29.880000,10.390000,24.830000,12.420000,86.940000,0.000000,96.390000,0,24.100000,31,38.560000,0.000000,0.000000,69.33,31,31.290000,261.700000,30.840000,93,0,0,192.780000,272.540000,0,10.61,96.390000,69.33,0,0.000000,28,0,0,0,0,0,0.000000,72.290000

4,00:45-01:00,0,10.580000,100.420000,8.900000,0,0,0.000000,0,12.760000,115.220000,18.680000,29.880000,10.390000,24.830000,12.420000,86.940000,0.000000,96.390000,0,24.100000,31.5,38.560000,0.000000,0.000000,69.33,31.5,31.290000,261.700000,30.840000,94.5,0,0,192.780000,272.540000,0,10.81,96.390000,69.33,0,0.000000,28,0,0,0,0,0,0.000000,72.290000

5,01:00-01:15,0,10.580000,100.420000,8.620000,0,0,0.000000,0,15.600000,115.220000,18.680000,29.880000,10.390000,24.830000,12.420000,86.940000,0.000000,96.390000,0,24.100000,31.84,38.560000,0.000000,0.000000,69,31.83,31.290000,261.700000,29.880000,95.5,0,0,192.780000,272.540000,0,11.21,96.390000,69,0,0.000000,30.34,0,0,0,0,0,0.000000,72.290000

