Block,Time,NR/01102023/19072037/LT-05,NR/01102023/31102037/L_NR_2019_11,NR/30092023/31122025/SH-07,NR/01102023/25122043/GNA_MEJA_DELHI,WR/01102023/29112042/L_NR_2019_05,NR/01102023/22052037/LT-59,NR/01102023/06022042/L_NR_2012_02,WR/01102023/24112044/L_NR_2020_07,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/06022042/L_NR_2012_07,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/31032046/L_NR_2020_05,L_NR_2019_19,NR/01102023/30042040/GNA_LT_35,NR/30092023/26122029/SH-06,NR/01102023/31052040/LT-31,NR/01102023/05012040/L_NR_2020_02,WR/01102023/30052048/L_NR_2022_10,NR/01102023/23072042/L_NR_2012_04,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2022_09,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/30042040/GNA_LT_36,NR/26072023/25122043/L_NR_2023_10,NR/01102023/02012046/L_NR_2021_17,NR/01102023/25072045/L_NR_2021_15,NR/01102023/08032047/L_NR_2021_14,NR/01102023/02122045/L_NR_2021_13,SR/01102023/07102043/L_NR_2018_61,NR/26072023/31072042/L_NR_2023_07,NR/01102023/13082046/L_NR_2021_12,NR/01102023/14082046/L_NR_2021_16
1,00:00-00:15,118.080000,3.620000,41.140000,0.000000,0,3.890000,261.910000,8.87,30.930000,0.000000,8.87,0,26.62,0,0.000000,30.970000,0.000000,3.580000,23.1,272.220000,0,9.33,23.1,101.380000,0.000000,0,0,0,0,0,7.21,0,0,0

2,00:15-00:30,118.080000,3.620000,41.140000,0.000000,0,3.890000,261.910000,8.64,30.930000,0.000000,8.65,0,25.93,0,0.000000,30.970000,0.000000,3.580000,22.14,272.220000,0,9.26,22.14,101.380000,0.000000,0,0,0,0,0,7.21,0,0,0

3,00:30-00:45,118.080000,3.620000,41.140000,0.000000,0,3.890000,261.910000,8.34,30.930000,0.000000,8.35,0,25.03,0,0.000000,30.970000,0.000000,3.580000,21.86,272.220000,0,9.21,21.86,101.380000,0.000000,0,0,0,0,0,7.21,0,0,0

4,00:45-01:00,118.080000,3.620000,41.140000,0.000000,0,3.890000,261.910000,8.04,30.930000,0.000000,8.04,0,24.13,0,0.000000,30.970000,0.000000,3.580000,27.91,272.220000,0,9.06,27.91,101.380000,0.000000,0,0,0,0,0,7.21,0,0,0

5,01:00-01:15,118.080000,3.540000,41.140000,0.000000,0,3.810000,249.720000,8.02,30.930000,0.000000,8,0,24.05,0,0.000000,30.970000,0.000000,3.580000,26.97,272.220000,0,8.86,26.97,101.380000,0.000000,0,0,0,0,0,7.21,0,0,0

6,01:15-01:30,118.080000,3.540000,41.140000,0.000000,0,3.810000,249.720000,8.01,30.930000,0.000000,7.99,0,24.02,0,0.000000,30.970000,0.000000,3.580000,26.22,272.220000,0,8.6,26.22,101.380000,0.000000,0,0,0,0,0,7.21,0,0,0

7,01:30-01:45,118.080000,3.540000,41.140000,0.000000,0,3.810000,249.720000,8.04,30.930000,0.000000,8.03,0,24.11,0,0.000000,30.970000,0.000000,3.580000,25.13,272.220000,0,8.34,25.13,101.380000,0.000000,0,0,0,0,0,7.21,0,0,0

8,01:45-02:00,118.080000,3.540000,41.140000,0.000000,0,3.810000,249.720000,8.06,30.930000,0.000000,8.06,0,24.19,0,0.000000,30.970000,0.000000,3.580000,24.01,272.220000,0,8.3,24.01,101.380000,0.000000,0,0,0,0,0,7.21,0,0,0

9,02:00-02:15,118.080000,3.540000,41.140000,0.000000,0,3.740000,249.720000,8.24,30.930000,0.000000,8.23,0,24.71,0,0.000000,30.970000,0.000000,3.580000,20.75,272.220000,0,8.29,20.75,101.380000,0.000000,0,0,0,0,0,7.21,0,0,0

10,02:15-02:30,118.080000,3.540000,41.140000,0.000000,0,3.740000,249.720000,8.55,30.930000,0.000000,8.54,0,25.65,0,0.000000,30.970000,0.000000,3.580000,19.76,272.220000,0,8.21,19.76,101.380000,0.000000,0,0,0,0,0,7.21,0,0,0

11,02:30-02:45,118.080000,3.540000,41.140000,0.000000,0,3.740000,249.720000,8.59,29.000000,0.000000,8.6,0,25.78,0,0.000000,30.970000,0.000000,3.580000,19.5,272.220000,0,8.14,19.5,101.380000,0.000000,0,0,0,0,0,7.21,0,0,0

