Block,Time Block,RIHAND1,RAPPC,RAMPUR,RIHAND3,RIHAND2,RAPPB,SASAN,TALST2,TANAKPUR,TelanganaSTPP,SIMHST1,SINGRAULI_HYDRO,RSTPSU1TO6,SIMHST2,RSTPSU7,TALA,TEHRI,SALAL,SEWA2,SINGRAULI,TANDA2,BSIUL,BRBCL,CHAMERA2,CHAMERA1,KOLDAM,KISHANGANGA,MAPS,KOTESHWR,KHSTPP-II,KKNP,KKNPPU2,KUDGI,NTPL,PARBATI3,NLCEXP,NJPC,NAPP,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,DADRI_GF,DADRI_RF,DADRI_LF,KHSTPP-I,JHAJJAR,KGSU3AND4,KGSU1AND2,DHAULIGNGA,FSTPP I & II,DULHASTI,DADRT2,AURY_CRF,DADRI_CRF,ANTA_RF,AURY_LF,ANTA_LF,ANTA_GF,AURY_GF,AURY_RF,VALLURNTECL,ANTA_CRF,UNCHAHAR4,URI2,UNCHAHAR3,UNCHAHAR2,URI,UNCHAHAR1,CHAMERA3,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,88.5,51.52,0,119.6,114.24,0,402.86,0,7.51,0,0,0,0,0,0,0,0,1.35,0,104.44,0,0,18.99,0,0,0,0,0,8.54,85.95,0,0,0,0,0,0,0,41.91,0,0,0,0,0,0,0,36.04,345.54,0,0,0,9.63,15.85,361.41,0,0,0,0,0,0,0,0,0,0,0,4.27,14.27,22.51,1.28,11.55,0,0,0,0,0,0

2,00:15-00:30,88.5,51.52,0,119.6,114.24,0,402.86,0,7.51,0,0,0,0,0,0,0,0,1.35,0,93.66,0,0,19.24,0,0,0,0,0,8.54,78.47,0,0,0,0,0,0,0,41.91,0,0,0,0,0,0,0,24.55,345.54,0,0,0,9.63,15.85,361.41,0,0,0,0,0,0,0,0,0,0,0,4.27,14.27,22.51,1.28,11.55,0,0,0,0,0,0

3,00:30-00:45,60.89,51.52,0,119.6,114.24,0,402.86,0,7.51,0,0,0,0,0,0,0,0,1.35,0,92.11,0,0,19.24,0,0,0,0,0,8.54,78.47,0,0,0,0,0,0,0,41.91,0,0,0,0,0,0,0,24.55,345.54,0,0,0,9.63,15.85,361.41,0,0,0,0,0,0,0,0,0,0,0,4.27,14.27,22.51,1.28,11.55,0,0,0,0,0,0

4,00:45-01:00,60.89,51.52,0,106.45,91.66,0,402.86,0,7.51,0,0,0,0,0,0,0,0,1.35,0,77.4,0,0,17.8,0,0,0,0,0,8.54,78.47,0,0,0,0,0,0,0,41.91,0,0,0,0,0,0,0,24.55,345.54,0,0,0,9.63,15.85,361.41,0,0,0,0,0,0,0,0,0,0,0,4.27,14.27,22.51,1.28,11.55,0,0,0,0,0,0

5,01:00-01:15,60.89,51.52,0,94.26,91.66,0,402.86,0,7.51,0,0,0,0,0,0,0,0,1.35,0,66.65,0,0,16.94,0,0,0,0,0,8.54,78.47,0,0,0,0,0,0,0,41.91,0,0,0,0,0,0,0,24.55,345.54,0,0,0,9.63,15.85,361.41,0,0,0,0,0,0,0,0,0,0,0,4.27,14.27,22.51,1.28,11.55,0,0,0,0,0,0

6,01:15-01:30,60.89,51.52,0,87.21,91.66,0,402.86,0,7.51,0,0,0,0,0,0,0,0,1.35,0,66.65,0,0,17.15,0,0,0,0,0,8.54,78.47,0,0,0,0,0,0,0,41.91,0,0,0,0,0,0,0,24.55,345.54,0,0,0,9.63,15.85,361.41,0,0,0,0,0,0,0,0,0,0,0,4.27,14.27,22.51,1.28,11.55,0,0,0,0,0,0

7,01:30-01:45,60.89,51.52,0,87.21,91.66,0,402.86,0,7.51,0,0,0,0,0,0,0,0,1.35,0,66.65,0,0,14.4,0,0,0,0,0,8.54,78.47,0,0,0,0,0,0,0,41.91,0,0,0,0,0,0,0,24.55,345.54,0,0,0,9.63,15.85,361.41,0,0,0,0,0,0,0,0,0,0,0,4.27,14.27,22.51,2.13,11.55,0,0,0,0,0,0

8,01:45-02:00,60.89,51.52,0,87.21,91.66,0,402.86,0,7.51,0,0,0,0,0,0,0,0,1.35,0,66.65,0,0,13.54,0,0,0,0,0,8.54,78.47,0,0,0,0,0,0,0,41.91,0,0,0,0,0,0,0,24.55,345.54,0,0,0,9.63,15.85,361.41,0,0,0,0,0,0,0,0,0,0,0,4.27,14.27,22.51,2.13,11.55,0,0,0,0,0,0

9,02:00-02:15,60.89,51.52,0,87.21,91.66,0,402.86,0,1.97,0,0,0,0,0,0,0,0,1.35,0,66.65,0,0,15.4,0,0,0,0,0,8.54,78.47,0,0,0,0,0,0,0,41.91,0,0,0,0,0,0,0,24.55,345.54,0,0,0,9.63,15.85,361.41,0,0,0,0,0,0,0,0,0,0,0,4.27,14.27,22.51,1.28,11.55,0,0,0,0,0,0

10,02:15-02:30,60.89,51.52,0,87.21,91.66,0,402.86,0,1.97,0,0,0,0,0,0,0,0,1.35,0,66.65,0,0,13.73,0,0,0,0,0,8.54,78.47,0,0,0,0,0,0,0,41.91,0,0,0,0,0,0,0,24.55,345.54,0,0,0,9.63,15.85,361.41,0,0,0,0,0,0,0,0,0,0,0,4.27,14.27,22.51,1.28,11.55,0,0,0,0,0,0

11,02:30-02:45,60.89,51.52,0,64.45,78.03,0,402.86,0,1.97,0,0,0,0,0,0,0,0,1.35,0,66.65,0,0,15.06,0,0,0,0,0,8.54,78.47,0,0,0,0,0,0,0,41.91,0,0,0,0,0,0,0,24.55,345.54,0,0,0,9.63,15.85,361.41,0,0,0,0,0,0,0,0,0,0,0,4.27,14.27,22.51,1.28,11.55,0,0,0,0,0,0

12,02:45-03:00,60.89,51.52,0,64.45,78.03,0,402.86,0,1.97,0,0,0,0,0,0,0,0,1.35,0,66.65,0,0,19.24,0,0,0,0,0,8.54,78.47,0,0,0,0,0,0,0,41.91,0,0,0,0,0,0,0,24.55,345.54,0,0,0,9.63,15.85,361.41,0,0,0,0,0,0,0,0,0,0,0,4.27,14.27,22.51,1.28,11.55,0,0,0,0,0,0

13,03:00-03:15,60.89,51.52,0,64.45,78.03,0,402.86,0,1.97,0,0,0,0,0,0,0,0,1.35,0,66.65,0,0,19.24,0,0,0,0,0,8.54,78.47,0,0,0,0,0,0,0,41.91,0,0,0,0,0,0,0,24.55,345.54,0,0,0,9.63,15.85,361.41,0,0,0,0,0,0,0,0,0,0,0,4.27,14.27,22.51,1.28,11.55,0,0,0,0,0,0

14,03:15-03:30,60.89,51.52,0,64.45,78.03,0,402.86,0,1.97,0,0,0,0,0,0,0,0,1.35,0,66.65,0,0,19.24,0,0,0,0,0,8.54,78.47,0,0,0,0,0,0,0,41.91,0,0,0,0,0,0,0,24.55,345.54,0,0,0,9.63,15.85,361.41,0,0,0,0,0,0,0,0,0,0,0,4.27,14.27,22.51,1.28,11.55,0,0,0,0,0,0

15,03:30-03:45,60.89,51.52,0,64.45,78.03,0,402.86,0,7.51,0,0,0,0,0,0,0,0,1.35,0,66.65,0,0,19.24,0,0,0,0,0,8.54,78.47,0,0,0,0,0,0,0,41.91,0,0,0,0,0,0,0,24.55,345.54,0,0,0,9.63,15.85,361.41,0,0,0,0,0,0,0,0,0,0,0,4.27,14.27,22.51,1.28,11.55,0,0,0,0,0,0

16,03:45-04:00,60.89,51.52,0,69.58,78.03,0,402.86,0,7.51,0,0,0,0,0,0,0,0,1.35,0,66.65,0,0,19.24,0,0,0,0,0,8.54,78.47,0,0,0,0,0,0,0,41.91,0,0,0,0,0,0,0,24.55,345.54,0,0,0,9.63,15.85,361.41,0,0,0,0,0,0,0,0,0,0,0,4.27,14.27,22.51,1.28,11.55,0,0,0,0,0,0

17,04:00-04:15,60.89,51.52,0,64.45,78.03,0,402.86,0,7.51,0,0,0,0,0,0,0,0,1.35,0,66.65,0,0,19.24,0,0,0,0,0,8.54,78.47,0,0,0,0,0,0,0,41.91,0,0,0,0,0,0,0,24.55,345.54,0,0,0,9.63,15.85,361.41,0,0,0,0,0,0,0,0,0,0,0,4.27,14.27,22.5,1.28,11.55,0,0,0,0,0,0

18,04:15-04:30,60.89,51.52,0,64.45,78.03,0,402.86,0,7.51,0,0,0,0,0,0,0,0,1.35,0,66.65,0,0,19.24,0,0,0,0,0,8.54,78.47,0,0,0,0,0,0,0,41.91,0,0,0,0,0,0,0,24.55,345.54,0,0,0,9.63,15.85,361.41,0,0,0,0,0,0,0,0,0,0,0,4.27,14.27,22.5,1.28,11.55,0,0,0,0,0,0

19,04:30-04:45,60.89,51.52,0,92.14,114.24,0,402.86,0,2.46,0,0,0,0,0,0,0,0,1.35,0,93.41,0,0,19.24,0,0,0,0,0,8.54,78.47,0,0,0,0,0,0,0,41.91,0,0,0,0,0,0,0,24.55,345.54,0,0,0,9.63,15.85,361.41,0,0,0,0,0,0,0,0,0,0,0,4.15,14.27,22.5,1.28,11.55,0,0,0,0,0,0

20,04:45-05:00,87.97,51.52,0,118.29,114.24,0,402.86,0,2.46,0,0,0,0,0,0,0,0,1.35,0,104.44,0,0,19.24,0,0,0,0,0,8.54,78.47,0,0,0,0,0,0,0,41.91,0,0,0,0,0,0,0,24.55,345.54,0,0,0,9.63,15.85,361.41,0,0,0,0,0,0,0,0,0,0,0,4.15,14.27,22.5,1.28,11.55,0,0,0,0,0,0

21,05:00-05:15,88.5,51.52,0,119.6,114.24,0,402.86,0,2.46,0,0,0,0,0,0,0,0,8.94,0,104.44,0,0,19.24,0,0,0,0,0,8.54,85.64,0,0,0,0,0,0,0,41.91,0,0,0,0,0,0,0,24.55,345.54,0,0,0,9.63,15.85,361.41,0,0,0,0,0,0,0,0,0,0,0,4.15,14.27,22.5,1.28,11.55,0,0,0,0,0,0

22,05:15-05:30,88.5,51.52,0,119.6,114.24,0,402.86,0,2.46,0,0,0,0,0,0,0,0,53.65,0,104.44,0,0,19.24,0,0,0,0,0,8.54,105,0,0,0,0,0,0,0,41.91,0,0,0,0,0,0,0,32.51,345.54,0,0,0,12.56,15.85,361.41,0,0,0,0,0,0,0,0,0,0,0,4.15,14.27,22.5,1.28,11.55,0,0,0,0,0,0

23,05:30-05:45,88.5,51.52,0,119.6,114.24,0,402.86,0,3.08,0,0,0,0,0,0,0,14.97,53.65,0,121.17,0,0,19.24,0,0,0,0,0,8.54,105,0,0,0,0,0,0,20.95,41.91,0,0,0,0,0,0,0,32.51,349.63,0,0,0,15.09,15.85,296.9,0,0,0,0,0,0,0,0,0,0,0,4.15,19.29,30.57,1.28,14.91,0,0,0,0,0,0

24,05:45-06:00,88.5,51.52,0,119.6,114.24,0,402.86,0,3.08,0,0,0,0,0,0,0,14.97,53.65,0,121.17,0,0,19.24,0,0,0,0,0,8.54,124.7,0,0,0,0,0,0,45.01,41.91,0,0,0,0,0,0,0,38.51,349.63,0,0,0,15.09,15.85,297.26,0,0,0,0,0,0,0,0,0,0,0,4.15,19.29,30.57,1.28,14.91,0,0,0,0,0,0

