Time,Block,NR/2023/18074/A/3440,NR/2024/18415/C,NR/2023/18204/A/3446,NR/2024/18285/A/3591,NR/2023/18183/A/3619,NR/2024/18331/A/3618,NR/2024/18414/C,WR/2023/20937/A/3620,WR/2023/20914/A/3599,Total
,,ITCLH,SJVNL,IEXL,HPXL,MANIKARAN,MANIKARAN,NVVNL,MANIKARAN,APPCPL,Total

,,ANDHRA PRADESH,TELANGANA,ANDHRA PRADESH,MP,DELHI,DELHI,NA,DELHI,DELHI,
,,ITCWIND,NSLKSLWPRTY,SNJSUGARLTDAP,MSPIL,BRPL,BRPL,SOLAPUR_SOLAR,BRPL,BRPL,
,,DELHI,DELHI,DELHI,DELHI,HIMACHAL PRADESH,HIMACHAL PRADESH,DELHI,GOA,GOA,
,,ITCLH,NDMC,MES (Delhi),NDMC,HP,HP,MES (Delhi),GOA_Beneficiary,GOA_Beneficiary,
,,South-West-North,South-East-North,South-East-North,West-North,North-North,North-North,West-North,North-West,North-West,
1,00:00-00:15,0.380000,0.000000,5.770000,9.610000,0.000000,0.000000,0,0.000000,0.000000,15.76

2,00:15-00:30,0.380000,0.000000,5.770000,9.610000,0.000000,0.000000,0,0.000000,0.000000,15.76

3,00:30-00:45,0.380000,0.000000,5.770000,9.610000,0.000000,0.000000,0,0.000000,0.000000,15.76

4,00:45-01:00,0.380000,0.000000,5.770000,9.610000,0.000000,0.000000,0,0.000000,0.000000,15.76

5,01:00-01:15,0.380000,0.000000,5.770000,9.610000,0.000000,0.000000,0,0.000000,0.000000,15.76

6,01:15-01:30,0.380000,0.000000,5.770000,9.610000,0.000000,0.000000,0,0.000000,0.000000,15.76

7,01:30-01:45,0.380000,0.000000,5.770000,9.610000,0.000000,0.000000,0,0.000000,0.000000,15.76

8,01:45-02:00,0.380000,0.000000,5.770000,9.610000,0.000000,0.000000,0,0.000000,0.000000,15.76

9,02:00-02:15,0.380000,0.000000,5.770000,9.610000,0.000000,0.000000,0,0.000000,0.000000,15.76

10,02:15-02:30,0.380000,0.000000,5.770000,9.610000,0.000000,0.000000,0,0.000000,0.000000,15.76

11,02:30-02:45,0.380000,0.000000,5.770000,9.610000,0.000000,0.000000,0,0.000000,0.000000,15.76

12,02:45-03:00,0.380000,0.000000,5.770000,9.610000,0.000000,0.000000,0,0.000000,0.000000,15.76

13,03:00-03:15,0.380000,0.000000,5.770000,9.610000,0.000000,0.000000,0,0.000000,0.000000,15.76

14,03:15-03:30,0.380000,0.000000,5.770000,9.610000,0.000000,0.000000,0,0.000000,0.000000,15.76

15,03:30-03:45,0.380000,0.000000,5.770000,9.610000,0.000000,0.000000,0,0.000000,0.000000,15.76

16,03:45-04:00,0.380000,0.000000,5.770000,9.610000,0.000000,0.000000,0,0.000000,0.000000,15.76

17,04:00-04:15,0.380000,0.000000,5.770000,9.610000,0.000000,0.000000,0,0.000000,0.000000,15.76

18,04:15-04:30,0.380000,0.000000,5.770000,9.610000,0.000000,0.000000,0,0.000000,0.000000,15.76

19,04:30-04:45,0.380000,0.000000,5.770000,9.610000,0.000000,0.000000,0,0.000000,0.000000,15.76

20,04:45-05:00,0.380000,0.000000,5.770000,9.610000,0.000000,0.000000,0,0.000000,0.000000,15.76

21,05:00-05:15,0.430000,0.000000,5.770000,9.610000,0.000000,0.000000,0,0.000000,0.000000,15.81

22,05:15-05:30,0.430000,0.000000,5.770000,9.610000,0.000000,0.000000,0,0.000000,0.000000,15.81

23,05:30-05:45,0.430000,0.000000,5.770000,9.610000,0.000000,0.000000,0,0.000000,0.000000,15.81

24,05:45-06:00,0.430000,0.000000,5.770000,9.610000,0.000000,0.000000,0,0.000000,0.000000,15.81

25,06:00-06:15,0.380000,0.000000,5.770000,9.610000,158.480000,0.000000,0,0.000000,0.000000,174.24

26,06:15-06:30,0.380000,0.000000,5.770000,9.610000,158.480000,0.000000,0,0.000000,0.000000,174.24

27,06:30-06:45,0.380000,0.000000,5.770000,9.610000,158.480000,0.000000,0,0.000000,0.000000,174.24

28,06:45-07:00,0.380000,0.000000,5.770000,9.610000,158.480000,0.000000,0,0.000000,0.000000,174.24

29,07:00-07:15,0.530000,0.000000,5.770000,9.610000,158.480000,0.000000,0,0.000000,0.000000,174.39

30,07:15-07:30,0.530000,0.000000,5.770000,9.610000,158.480000,0.000000,0.1,0.000000,0.000000,174.49

31,07:30-07:45,0.530000,0.000000,5.770000,9.610000,158.480000,0.000000,0.24,0.000000,0.000000,174.63

32,07:45:08:00,0.530000,0.000000,5.770000,9.610000,158.480000,0.000000,0.67,0.000000,0.000000,175.06

33,08:00-08:15,0.870000,0.000000,5.770000,9.610000,158.480000,0.000000,1.1,0.000000,0.000000,175.83

34,08:15-08:30,0.870000,0.000000,5.770000,9.610000,158.480000,0.000000,1.62,0.000000,0.000000,176.35

