Column1,Block,NR/2025/30083/A/86141,NR/2025/30086/A/86136,NR/2025/30817/C,NR/2025/30084/A/86139,NR/2025/29910/A/86152,NR/2025/26975/A/86160,NR/2025/27978/A/86205,NR/2025/30105/A/86134,NR/2025/29352/A/85692,NR/2025/27962/A/86069,NR/2025/27964/A/86071,NR/2025/27970/A/86073,NR/2025/30813/C,NR/2025/30774/C,NR/2025/27963/A/86070,NR/2025/27968/A/86072,NR/2025/30814/C,NR/2025/28725/A/86049,NR/2025/30815/C,NR/2025/30811/C,NR/2025/29353/A/85691,NR/2025/30798/C,NR/2025/30696/C,NR/2025/29986/A/85793,NR/2025/30758/C,NR/2025/30799/C,NR/2025/30759/C,NR/2025/30760/C,NR/2025/30764/C,NR/2025/29992/A/85760,NR/2025/30712/C,NR/2025/30082/A/86127,NR/2025/30748/C,NR/2025/30334/A/85652,NR/2025/29985/A/85790,NR/2025/30835/C,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,GNA/NR/2025/07/01/8154,GNA/NR/2025/07/01/3109,NR/2025/30492/A/85743,NR/2025/30807/C,NR/2025/30217/A/86133,NR/2025/29440/A/85686,NR/2025/30808/C,NR/2025/30101/A/86201,NR/2025/30067/A/86115,NR/2025/29439/A/85762,NR/2025/30834/C,NR/2025/30191/A/85656,GNA/NR/2025/07/01/8230,GNA/NR/2025/07/05/9146,GNA/NR/2025/07/01/8139,NR/2025/30121/A/85659,NR/2025/30804/C,GNA/NR/2025/07/01/2786,NR/2025/29167/A/85877,NR/2025/30837/C,NR/2025/30803/C,GNA/NR/2025/07/01/2236,NR/2025/30831/C,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/07/01/1192,NR/2025/29628/A/86156,NR/2025/29915/A/85876,GNA/NR/2025/07/01/2997,GNARE/NR/2024/12/20/3668,NR/2025/30793/C,Total
,,APPCPL,APPCPL,APPCPL,APPCPL,APPCPL,APPCPL,NVVNL,APPCPL,PTC,PowerPulse,PowerPulse,PowerPulse,APPCPL,ITCLH,PowerPulse,PowerPulse,APPCPL,PowerPulse,APPCPL,APPCPL,PTC,NVVNL,IEXL,BRPL,PowerPulse,NVVNL,PowerPulse,PowerPulse,HPXL,BYPL,BYPL,HPXL,PowerPulse,IEXL,BRPL,HPXL,PUNJAB,BAWANA_GAS,MANIKARAN,APPCPL,DIAPL,APPCPL,APPCPL,ITCLH,APPCPL,NVVNL,MANIKARAN,IVPL_Trader,HPXL,IEXL,PowerPulse,HPXL,PowerPulse,IEXL,NVVNL,NDMC,TPTCL,PXIL,NVVNL,PowerPulse,IEXL,DELHI,PTC,APPCPL,TPTCL,APPCPL,SECI_Trader,MES_Delhi,
,,NA,NA,NA,NA,KERALA_State,Manipur_State,NA,NA,GoHP_Chamera1_STATE,NA,NA,NA,NA,ANDHRA_PRADESH_STATE,NA,NA,NA,NA,NA,NA,GoHP_NJPC_STATE,MP_State,NA,NA,NA,NA,NA,NA,NA,KERALA_State,KERALA_State,NA,NA,NA,NA,NA,DELHI_UT,DELHI_UT,MSEB_State,GOA_State,HIMACHAL_STATE,MSEB_State,NA,ANDHRA_PRADESH_STATE,KERALA_State,MP_State,NA,MSEB_State,NA,NA,NA,KARNATAKA_STATE,NA,TAMILNADU_State,NA,NA,MSEB_State,HIMACHAL_STATE,NA,NA,Meghalaya_State,HIMACHAL_STATE,NA,MSEB_State,UTTARPRADESH_STATE,GOA_State,NA,NA,
,,SKS_Raigarh,RKM_POWER,RKM_POWER,RKM_POWER,KSEB,Manipur_Ben,JPNIGRIE_JNSTPP,JIPL,GoHP_Chamera1,APL_Raipur_TPP,MAHAN_ENERGEN,APL_Raigarh_TPP,RKM_POWER,ITCWIND,MAHAN_ENERGEN,APL_Raigarh_TPP,JIPL,MAHAN_ENERGEN,TRN_ENERGY,SKS_Raigarh,GoHP_NJPC,JP_BINA,IND_BHARAT,DADRT2,MAHAN_ENERGEN,JPNIGRIE_JNSTPP,APL_Raigarh_TPP,APL_Raipur_TPP,SKS_Raigarh,KSEB,KSEB,SKS_Raigarh,MAHAN_ENERGEN,TPSL_BKN2,TS1PL_BKN,HIRIYUR_OSTROKANNADA,BAWANA_GAS,BAWANA_GAS,AEML,GOA_Beneficiary,GBHHPL,AEML,TRN_ENERGY,ITCWIND,KSEB,JP_BINA,MBMP,TPC_MSEB,SINGOLI,IND_BHARAT,APL_Raipur_TPP,KPTCL,APL_Raipur_TPP,PCBLTNLTD_UNIT2,Kameng,JPL2,TPC_MSEB,HP,SORANG_HEP,MAHAN_ENERGEN,Meghalaya_Ben,CHANJUII,MEENAKSHI,AEML,PPGCL,GOA_Beneficiary,APSEPL_FTG,NTPCREL_PSS2_KPS2_S,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,NDMC,NDMC,NDMC,NDMC,BYPL,BYPL,TPDDL,NDMC,BRPL,TPDDL,TPDDL,TPDDL,NDMC,ITCLH,TPDDL,TPDDL,NDMC,BRPL,NDMC,NDMC,BRPL,TPDDL,BRPL,BRPL,TPDDL,TPDDL,TPDDL,TPDDL,BRPL,BYPL,BYPL,BRPL,BRPL,MES_Delhi,BRPL,BRPL,PUNJAB,HARYANA,BRPL,BRPL,DIAPL,BYPL,NDMC,ITCLH,BYPL,TPDDL,BRPL,BYPL,BRPL,BRPL,BRPL,BRPL,BRPL,MES_Delhi,TPDDL,NDMC,BYPL,BRPL,TPDDL,BRPL,BRPL,TPDDL,BRPL,BYPL,BRPL,BRPL,TPDDL,MES_Delhi,
,,West-North,West-North,West-North,West-North,South-West-North,North East-East-North,West-North,East-North,North-North,West-North,West-North,West-North,West-North,South-West-North,West-North,West-North,East-North,West-North,West-North,West-North,North-North,West-North,East-North,North-North,West-North,West-North,West-North,West-North,West-North,South-West-North,South-West-North,West-North,West-North,North-North,North-North,South-West-North,North-North,North-North,West-North,West-North,North-North,West-North,West-North,South-West-North,South-West-North,West-North,West-North,West-North,North-North,East-North,West-North,South-East-North,West-North,South-West-North,North East-East-North,West-North,West-North,North-North,North-North,West-North,North East-East-North,North-North,South-East-North,West-North,North-North,West-North,North-North,West-North,
1,00:00-00:15,8.75,26.25,0,26.25,19.25,26.47,96.25,17.5,28.63,96.25,0,0,0,0,144.38,144.38,0,143.17,0,0,81.81,0,0,134.75,0,0,0,0,0,44.28,0,48.12,0,0,0,0,30,30,20.76,19.25,12.51,0,7.7,0.91,0,48.12,204.53,25.1,0,48.12,224.98,0,134.99,6.74,163.87,43.75,54.14,0,27.91,81.81,0,14.55,49.09,105.88,20.45,15.26,0,0,2476.91

2,00:15-00:30,8.75,26.25,0,26.25,19.25,26.47,96.25,17.5,28.63,96.25,0,0,0,0,144.38,144.38,0,143.17,0,0,81.81,0,0,134.75,0,0,0,0,0,44.28,0,48.12,0,0,0,0,30,30,20.76,19.25,12.51,0,7.7,0.91,0,48.12,204.53,25.1,0,48.12,224.98,0,134.99,6.74,163.87,43.75,54.14,0,27.91,81.81,0,14.55,49.09,105.88,20.45,15.26,0,0,2476.91

