Block,Time,NR/20122023/29022024/IEX_LDC_231218_00502,NR/01102023/30042040/GNA_LT_36,NR/01102023/19072037/LT-05,NR/30092023/31122025/SH-07,NR/20122023/29022024/IEX_LDC_231218_00501,NR/25122023/27122023/IEX_231223_05926,NR/27122023/27122023/DD20231227NR21943,NR/20122023/31122023/HPX-GTAMLDCRA-141223-05421,NR/23122023/31122023/HP-17,NR/20122023/31122023/HPX-GTAMLDCRA-141223-05422,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/06022042/L_NR_2012_07,NR/23122023/31122023/HP-21,NR/01102023/22052037/LT-59,NR/01102023/31102037/L_NR_2019_11,NR/01102023/05012040/L_NR_2020_02,NR/01102023/31052040/LT-31,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/30042040/GNA_LT_35,NR/01102023/23072042/L_NR_2012_04,NR/27122023/27122023/IEX_231226_05949,NR/01102023/06022042/L_NR_2012_02,NR/30092023/26122029/SH-06,NR/01122023/31122023/5412UPCL/CE(Comm)/SE/Banking dt. 17.11.2023,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/23122023/31122023/SJVN231223NR1309,WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/L_NR_2019_05,NR/26072023/31072042/L_NR_2023_07,NR/01102023/25072045/L_NR_2021_15,NR/23122023/31122023/SJVN231223NR1310,SR/01122023/31122023/BYPL_KSEB_DEC23,NR/22102023/11042047/L_NR_2021_16,NR/26072023/25122043/L_NR_2023_10,NR/01102023/02122045/L_NR_2021_13,WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/31032046/L_NR_2020_05,NR/22102023/11042047/L_NR_2021_17,WR/01102023/01102023/L_NR_2022_09,WR/01102023/01102023/L_NR_2020_06,NR/01102023/13082046/L_NR_2021_12,WR/01102023/16072048/L_NR_2022_08,L_NR_2019_19,SR/01102023/07102043/L_NR_2018_61,NR/01102023/08032047/L_NR_2021_14
1,00:00-00:15,11.560000,0.000000,67.420000,25.990000,8.190000,192.620000,0.000000,5.780000,114.950000,14.450000,23.110000,42.970000,147.720000,1.010000,1.150000,1.670000,0.000000,48.160000,0.000000,0.000000,192.620000,0.000000,165.350000,25.990000,96.310000,0,0,7.33,0,0,0,0,48.16,0,0,0,14.67,0,22,0,14.67,7.34,0,6.66,0,26.01,0

2,00:15-00:30,11.560000,0.000000,67.420000,25.990000,8.190000,192.620000,0.000000,5.780000,114.950000,14.450000,23.110000,36.600000,147.720000,1.010000,1.150000,1.670000,0.000000,48.160000,0.000000,0.000000,192.620000,0.000000,165.350000,25.990000,96.310000,0,0,7.33,0,0,0,0,48.16,0,0,0,14.67,0,22,0,14.67,7.34,0,6.66,0,26.01,0

3,00:30-00:45,11.560000,0.000000,67.420000,25.990000,8.190000,192.620000,0.000000,5.780000,114.950000,14.450000,23.110000,36.600000,147.720000,1.010000,1.150000,1.670000,0.000000,48.160000,0.000000,0.000000,192.620000,0.000000,165.350000,25.990000,96.310000,0,0,7.33,0,0,0,0,48.16,0,0,0,14.67,0,22,0,14.67,7.34,0,6.66,0,26.01,0

4,00:45-01:00,11.560000,0.000000,71.650000,25.990000,8.190000,192.620000,0.000000,5.780000,114.950000,14.450000,24.080000,36.600000,147.720000,1.010000,1.150000,1.670000,0.000000,48.160000,0.000000,0.000000,192.620000,0.000000,165.350000,25.990000,96.310000,0,0,7.33,0,0,0,0,48.16,0,0,0,14.67,0,22,0,14.67,7.34,0,6.66,0,26.01,0

5,01:00-01:15,11.560000,0.000000,71.650000,25.990000,8.190000,192.620000,0.000000,5.780000,114.950000,14.450000,24.080000,36.600000,147.720000,1.010000,1.150000,1.670000,0.000000,48.160000,0.000000,0.000000,192.620000,0.000000,165.350000,25.990000,96.310000,0,0,7.33,0,0,0,0,48.16,0,0,0,14.67,0,22,0,14.67,7.34,0,6.66,0,26.01,0

6,01:15-01:30,11.560000,0.000000,71.650000,25.990000,8.190000,192.620000,0.000000,5.780000,114.950000,14.450000,24.080000,36.600000,147.720000,1.010000,1.150000,1.670000,0.000000,48.160000,0.000000,0.000000,192.620000,0.000000,165.350000,25.990000,96.310000,0,0,7.33,0,0,0,0,48.16,0,0,0,14.67,0,22,0,14.67,7.34,0,6.66,0,26.01,0

7,01:30-01:45,11.560000,0.000000,71.650000,25.990000,8.190000,192.620000,0.000000,5.780000,114.950000,14.450000,24.080000,36.600000,147.720000,1.010000,1.150000,1.670000,0.000000,48.160000,0.000000,0.000000,148.970000,0.000000,165.350000,25.990000,96.310000,0,0,7.33,0,0,0,0,48.16,0,0,0,14.67,0,22,0,14.67,7.34,0,6.66,0,26.01,0

8,01:45-02:00,11.560000,0.000000,71.650000,25.990000,8.190000,192.620000,0.000000,5.780000,114.950000,14.450000,24.080000,36.600000,147.720000,1.010000,1.150000,1.670000,0.000000,48.160000,0.000000,0.000000,148.970000,0.000000,165.350000,25.990000,96.310000,0,0,7.33,0,0,0,0,48.16,0,0,0,14.67,0,22,0,14.67,7.34,0,6.66,0,26.32,0

9,02:00-02:15,11.560000,0.000000,71.650000,25.990000,8.190000,192.620000,0.000000,5.780000,114.950000,14.450000,24.080000,36.600000,147.720000,1.010000,1.150000,1.670000,0.000000,48.160000,0.000000,0.000000,148.970000,0.000000,165.350000,25.990000,96.310000,0,0,7.33,0,0,0,0,48.16,0,0,0,14.67,0,22,0,14.67,7.34,0,6.66,0,26.38,0

10,02:15-02:30,11.560000,0.000000,71.650000,25.990000,8.190000,192.620000,0.000000,5.780000,114.950000,14.450000,23.110000,36.600000,147.720000,1.010000,1.150000,1.670000,0.000000,48.160000,0.000000,0.000000,148.970000,0.000000,165.350000,25.990000,96.310000,0,0,7.33,0,0,0,0,48.16,0,0,0,14.67,0,22,0,14.67,7.34,0,6.66,0,26.52,0

11,02:30-02:45,11.560000,0.000000,71.650000,25.990000,8.190000,192.620000,0.000000,5.780000,114.950000,14.450000,23.110000,36.600000,147.720000,1.010000,1.150000,1.670000,0.000000,48.160000,0.000000,0.000000,148.970000,0.000000,165.350000,25.990000,96.310000,0,0,7.33,0,0,0,0,48.16,0,0,0,14.67,0,22,0,14.67,7.34,0,6.66,0,26.58,0

12,02:45-03:00,11.560000,0.000000,71.650000,25.990000,8.190000,192.620000,0.000000,5.780000,114.950000,14.450000,23.110000,36.600000,147.720000,1.010000,1.150000,1.670000,0.000000,48.160000,0.000000,0.000000,148.970000,0.000000,165.350000,25.990000,96.310000,0,0,7.33,0,0,0,0,48.16,0,0,0,14.67,0,22,0,14.67,7.34,0,6.66,0,26.72,0

13,03:00-03:15,11.560000,0.000000,67.420000,25.990000,8.190000,192.620000,0.000000,5.780000,114.950000,14.450000,23.110000,36.600000,147.720000,1.010000,1.070000,1.620000,0.000000,48.160000,0.000000,0.000000,148.970000,0.000000,165.350000,25.990000,96.310000,0,0,7.33,0,0,0,0,48.16,0,0,0,20.3,0,22,0,20.3,7.34,0,6.66,0,25.02,0

