Block,Time,DADRT2,JHAJJAR,TelanganaSTPP,VALLURNTECL,BRBCL,KHSTPP-I,KHSTPP-II,KKNP,KOTESHWR,NLCEXP,RIHAND2,SEWA2,SIMHST2,SINGRAULI,UNCHAHAR2,URI2,DADRI_RF,CHAMERA2,CHAMERA3,KGSU1AND2,KOLDAM,TANAKPUR,UNCHAHAR4,ANTA_GF,AURY_GF,DADRI_CRF,KGSU3AND4,KISHANGANGA,KUDGI,NAPP,NJPC,PARBATI3,RSTPSU7,SALAL,SASAN,SINGRAULI_HYDRO,TALST2,TEHRI,UNCHAHAR3,ANTA_LF,AURY_CRF,DADRI_LF,CHAMERA1,DULHASTI,KKNPPU2,MAPS,NNTPP,NTPL,PARBATI2,RAPPD,URI,ANTA_CRF,DHAULIGNGA,NLCIIST2,RAMPUR,RSTPSU1TO6,TEHRIPSP,AURY_RF,DADRI_GF,BSIUL,FSTPP I & II,NLCIIST1,NLCTS2EXP,RIHAND1,RIHAND3,SIMHST1,TALA,TANDA2,UNCHAHAR1,ANTA_RF,RAPPB,RAPPC,AURY_LF
1,00:00-00:15,549.38,667.25,0,0,24.99,45.53,148.3,0,40.57,0,125.27,0,0,149.89,45,21.82,79.04,47.12,33.94,0,8.62,13.06,3.22,0,0,0,0,7.05,0,21.17,175.79,19.32,0,85.41,343.12,0.96,0,55.52,27.69,0,0,0,42.15,55.38,0,0,0,0,0,24.52,26.49,0,42.46,0,5.7,0,0,79.22,0,13.04,19.18,0,0,98.32,130.84,0,21.14,5.73,21.65,51.2,0,65.42,0

2,00:15-00:30,549.38,667.25,0,0,24.99,45.53,148.3,0,40.57,0,125.27,0,0,149.89,45,21.82,79.04,47.12,33.94,0,8.62,13.06,3.22,0,0,0,0,7.05,0,21.17,175.79,19.32,0,85.41,343.12,0.96,0,55.52,27.69,0,0,0,42.15,55.38,0,0,0,0,0,24.52,26.49,0,42.46,0,5.7,0,0,79.22,0,13.04,19.18,0,0,98.32,130.84,0,21.14,5.73,21.65,51.2,0,65.42,0

3,00:30-00:45,549.38,667.25,0,0,24.99,45.53,148.3,0,40.57,0,125.27,0,0,149.89,45,21.82,79.04,47.12,33.94,0,8.62,13.06,3.22,0,0,0,0,7.05,0,21.17,175.79,19.32,0,85.41,343.12,0.96,0,55.52,27.69,0,0,0,42.15,55.38,0,0,0,0,0,24.52,26.49,0,42.46,0,5.7,0,0,79.22,0,13.04,19.18,0,0,98.32,130.84,0,21.14,5.73,21.65,51.2,0,65.42,0

4,00:45-01:00,549.38,667.25,0,0,24.99,45.53,148.3,0,40.57,0,125.27,0,0,149.89,45,21.82,79.04,47.12,33.94,0,8.62,13.06,3.22,0,0,0,0,7.05,0,21.17,175.79,19.32,0,85.41,343.12,0.96,0,55.52,27.69,0,0,0,42.15,55.38,0,0,0,0,0,24.52,26.49,0,42.46,0,5.7,0,0,79.22,0,13.04,19.18,0,0,98.32,130.84,0,21.14,5.73,21.65,51.2,0,65.42,0

5,01:00-01:15,549.38,667.25,0,0,24.99,45.53,148.3,0,40.57,0,125.27,0,0,149.89,45,21.82,79.04,47.12,33.94,0,8.62,13.06,3.22,0,0,0,0,7.05,0,21.17,175.79,19.32,0,85.41,343.12,0.96,0,55.52,27.69,0,0,0,42.15,55.38,0,0,0,0,0,24.52,26.49,0,42.46,0,5.7,0,0,79.22,0,13.04,19.18,0,0,98.32,130.84,0,21.14,5.73,21.65,51.2,0,65.42,0

