Column1,Block,GNA/WR/2025/01/01/9606,GNA/WR/2024/11/01/4200,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/02/01/5886,GNA/NR/2025/02/01/2143,GNA/NR/2025/02/01/2594,NR/30092023/26122029/SH-06,GNA/WR/2025/01/01/8625,GNA/SR/2025/02/01/6460,GNA/SR/2025/02/01/7432,ER/2025/15683/A/53483,GNA/NR/2025/02/01/4863,GNA/NR/2025/02/01/9969,NR/30092023/31122025/SH-07,NR/2024/24418/A/53284,NER/2025/2918/A/53485,NR/2025/25273/C,NR/2025/25272/C,NR/2025/24992/A/53268,WR/2025/26047/A/53486,NR/2025/25070/A/53500,NR/2025/24882/A/53269,Total
,,APPCPL,MANIKARAN,DELHI,NDMC,NDMC,NDMC,PUNJAB,TPTCL,APPCPL,APPCPL,APPCPL,NDMC,NDMC,BAWANA_GAS,ITCLH,APPCPL,SJVNL,SJVNL,IEXL,APPCPL,NVVNL,IEXL,
,,DELHI_UT,DELHI_UT,HIMACHAL_STATE,NA,NA,NA,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,NA,NA,DELHI_UT,ANDHRA_PRADESH_STATE,DELHI_UT,NA,NA,KARNATAKA_STATE,DELHI_UT,NA,TELANGANA_State,
,,BYPL,BRPL,CHANJUII,TRN_ENERGY,RKM_POWER,RKM_POWER,BAWANA_GAS,BYPL,BYPL,BYPL,BYPL,SKS_Raigarh,JPL2,BAWANA_GAS,ITCWIND,BYPL,RSRPL_BKN,TPSL_BKN2,NSLSUGARALAND,BRPL,JIPL,NSLKSLWPRTY,
,,MSEB_State,MSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,MSEB_State,KERALA_State,KERALA_State,SIKKIM_STATE,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,Manipur_State,DELHI_UT,DELHI_UT,DELHI_UT,GOA_State,DELHI_UT,DELHI_UT,
,,AEML,AEML,TPDDL,NDMC,NDMC,NDMC,PUNJAB,TPC_MSEB,KSEB,KSEB,SIKKIM,NDMC,NDMC,HARYANA,ITCLH,Manipur_Ben,NDMC,NDMC,MES_Delhi,GOA_Beneficiary,NDMC,MES_Delhi,
,,North-West,North-West,North-North,West-North,West-North,West-North,North-North,North-West,North-West-South,North-West-South,North-East,West-North,West-North,North-North,South-West-North,North-East-North East,North-North,North-North,South-West-North,North-West,East-North,South-West-North,
1,00:00-00:15,0,0,1.29,8.64,23.04,23.04,26.99,0,75,0,7.33,8.64,23.04,26.99,0.38,9.16,0,0,6.72,0,17.28,2.88,260.42

2,00:15-00:30,0,0,1.29,8.64,23.04,23.04,26.99,0,75,0,7.33,8.64,23.04,26.99,0.38,9.16,0,0,6.72,0,17.28,2.88,260.42

3,00:30-00:45,0,0,1.29,8.64,23.04,23.04,26.99,0,75,0,7.33,8.64,23.04,26.99,0.38,9.16,0,0,6.72,0,17.28,2.88,260.42

4,00:45-01:00,0,0,1.29,8.64,23.04,23.04,26.99,0,75,0,7.33,8.64,23.04,26.99,0.38,9.16,0,0,6.72,0,17.28,2.88,260.42

5,01:00-01:15,0,0,1.29,8.64,23.04,23.04,26.99,0,75,0,7.33,8.64,23.04,26.99,0.38,9.16,0,0,6.72,0,17.28,2.88,260.42

6,01:15-01:30,0,0,1.29,8.64,23.04,23.04,26.99,0,75,0,7.33,8.64,23.04,26.99,0.38,9.16,0,0,6.72,0,17.28,2.88,260.42

7,01:30-01:45,0,0,1.29,8.64,23.04,23.04,26.99,0,75,0,7.33,8.64,23.04,26.99,0.38,9.16,0,0,6.72,0,17.28,2.88,260.42

8,01:45-02:00,0,0,1.29,8.64,23.04,23.04,26.99,0,75,0,7.33,8.64,23.04,26.99,0.38,9.16,0,0,6.72,0,17.28,2.88,260.42

9,02:00-02:15,0,0,1.29,8.64,23.04,23.04,26.99,0,75,0,7.33,8.64,23.04,26.99,0.38,9.16,0,0,6.72,0,17.28,2.88,260.42

10,02:15-02:30,0,0,1.29,8.64,23.04,23.04,26.99,0,75,0,7.33,8.64,23.04,26.99,0.38,9.16,0,0,6.72,0,17.28,2.88,260.42

11,02:30-02:45,0,0,1.29,8.64,23.04,23.04,26.99,0,75,0,7.33,8.64,23.04,26.99,0.38,9.16,0,0,6.72,0,17.28,2.88,260.42

12,02:45-03:00,0,0,1.29,8.64,23.04,23.04,26.99,0,75,0,7.33,8.64,23.04,26.99,0.38,9.16,0,0,6.72,0,17.28,2.88,260.42

13,03:00-03:15,0,0,1.29,8.64,23.04,23.04,26.99,0,75,0,7.33,8.64,23.04,26.99,0.38,9.16,0,0,6.72,0,17.28,2.88,260.42

14,03:15-03:30,0,0,1.29,8.64,23.04,23.04,26.99,0,75,0,7.33,8.64,23.04,26.99,0.38,9.16,0,0,6.72,0,17.28,2.88,260.42

15,03:30-03:45,0,0,1.29,8.64,23.04,23.04,26.99,0,75,0,7.33,8.64,23.04,26.99,0.38,9.16,0,0,6.72,0,17.28,2.88,260.42

16,03:45-04:00,0,0,1.29,8.64,23.04,23.04,26.99,0,75,0,7.33,8.64,23.04,26.99,0.38,9.16,0,0,6.72,0,17.28,2.88,260.42

17,04:00-04:15,0,0,1.29,8.64,23.04,23.04,26.99,0,75,0,7.33,8.64,23.04,26.99,0.38,9.16,0,0,6.72,0,17.28,2.88,260.42

