Time,Block,NR/2024/19429/C,NR/2024/19143/A/14878,NR/2024/18934/A/14771,NR/2024/18977/A/14782,NR/2024/19075/A/14856,NR/2024/18935/A/14772,NR/2024/18936/A/14773,NR/2024/19043/A/14857,NR/2024/18855/A/14904,NR/2024/19172/A/15469,NR/2024/18919/A/15357,NR/2024/18976/A/14781,NR/2024/18996/A/15384,NR/2024/19245/A/15085,NR/2024/19115/A/14889,NR/2024/19428/C,NR/2024/18986/A/14858,NR/2024/19290/A/15468,NR/2024/19030/A/14865,NR/2024/19121/A/14903,NR/2024/19024/A/15090,NR/2024/18978/A/14783,NR/2024/19337/A/15082,Total
,,NVVNL,IEXL,PXIL,PXIL,IEXL,PXIL,PXIL,IEXL,GMRETL,TPDDL,APPCPL,PXIL,PTC,DIAPL,IEXL,NVVNL,ITCLH,TPDDL,IEXL,GMRETL,DIAPL,PXIL,DIAPL,Total

,,NA,DELHI,TAMIL NADU,NA,ODISHA,TAMIL NADU,TAMIL NADU,NA,RAJASTHAN,NA,NAGALAND,ODISHA,MAHARASHTRA,HIMACHAL PRADESH,MAHARASHTRA,NA,ANDHRA PRADESH,NA,NA,RAJASTHAN,HIMACHAL PRADESH,TAMIL NADU,HIMACHAL PRADESH,
,,SOLAPUR_SOLAR,EDWPCL12,SAKTHISUGRAR_TN,MEENAKSHI,VSL,SAKTHISUGARS_ELMTN,SAKTHISUGARSLTD,MBMP,RUVNL,JHAJJAR,Nagaland_Ben,FACORPOWER,JPL_DHULE,GBHHPL,SWPL,KAMENG,ITCWIND,JHAJJAR,JHABUA_IPP,RUVNL,GBHHPL,BIRLACARBONTN,GBHHPL,
,,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,MES (Delhi),UPPCL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BYPL,TPDDL,BYPL,BRPL,BRPL,DIAPL,BRPL,TPDDL,ITCLH,TPDDL,BRPL,BYPL,DIAPL,BRPL,DIAPL,
,,West-North,North-North,South-West-North,South-West-North,East-North,South-West-North,South-West-North,West-East-North,North-North,North-North,North East-East-North,East-West-North,West-North,North-North,West-East-North,North East-East-North,South-West-North,North-North,West-East-North,North-North,North-North,South-West-North,North-North,
1,00:00-00:15,0,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.890000,116.000000,9.670000,0.000000,0.000000,0.000000,0.000000,52.590000,0.530000,67.670000,0.000000,0.000000,4.830000,0.000000,1.930000,322.11

2,00:15-00:30,0,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.890000,116.000000,9.670000,0.000000,0.000000,0.000000,0.000000,52.590000,0.530000,67.670000,0.000000,0.000000,4.830000,0.000000,1.930000,322.11

3,00:30-00:45,0,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.890000,116.000000,9.670000,0.000000,0.000000,0.000000,0.000000,52.590000,0.530000,67.670000,0.000000,0.000000,4.830000,0.000000,1.930000,322.11

4,00:45-01:00,0,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.890000,116.000000,9.670000,0.000000,0.000000,0.000000,0.000000,52.590000,0.530000,67.670000,0.000000,0.000000,4.830000,0.000000,1.930000,322.11

5,01:00-01:15,0,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.890000,116.000000,9.670000,0.000000,0.000000,0.000000,0.000000,52.590000,0.480000,67.670000,0.000000,0.000000,4.830000,0.000000,1.930000,322.06

6,01:15-01:30,0,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.890000,116.000000,9.670000,0.000000,0.000000,0.000000,0.000000,52.590000,0.480000,67.670000,0.000000,0.000000,4.830000,0.000000,1.930000,322.06

7,01:30-01:45,0,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.890000,116.000000,9.670000,0.000000,0.000000,0.000000,0.000000,52.590000,0.480000,67.670000,0.000000,0.000000,4.830000,0.000000,1.930000,322.06

8,01:45-02:00,0,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.890000,116.000000,9.670000,0.000000,0.000000,0.000000,0.000000,52.590000,0.480000,67.670000,0.000000,0.000000,4.830000,0.000000,1.930000,322.06

9,02:00-02:15,0,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.890000,116.000000,9.670000,0.000000,0.000000,0.000000,0.000000,52.590000,0.480000,67.670000,0.000000,0.000000,4.830000,0.000000,1.930000,322.06

10,02:15-02:30,0,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.890000,116.000000,9.670000,0.000000,0.000000,0.000000,0.000000,52.590000,0.480000,67.670000,0.000000,0.000000,4.830000,0.000000,1.930000,322.06

11,02:30-02:45,0,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.890000,116.000000,9.670000,0.000000,0.000000,0.000000,0.000000,52.590000,0.480000,67.670000,0.000000,0.000000,4.830000,0.000000,1.930000,322.06

12,02:45-03:00,0,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.890000,116.000000,9.670000,0.000000,0.000000,0.000000,0.000000,52.590000,0.480000,67.670000,0.000000,0.000000,4.830000,0.000000,1.930000,322.06

13,03:00-03:15,0,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.890000,116.000000,9.670000,0.000000,0.000000,0.000000,0.000000,52.590000,0.480000,67.670000,0.000000,0.000000,4.830000,0.000000,1.930000,322.06

14,03:15-03:30,0,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.890000,116.000000,9.670000,0.000000,0.000000,0.000000,0.000000,52.590000,0.480000,67.670000,0.000000,0.000000,4.830000,0.000000,1.930000,322.06

15,03:30-03:45,0,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.890000,116.000000,9.670000,0.000000,0.000000,0.000000,0.000000,52.590000,0.480000,67.670000,0.000000,0.000000,4.830000,0.000000,1.930000,322.06

16,03:45-04:00,0,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.890000,116.000000,9.670000,0.000000,0.000000,0.000000,0.000000,52.590000,0.480000,67.670000,0.000000,0.000000,4.830000,0.000000,1.930000,322.06

17,04:00-04:15,0,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.890000,116.000000,9.670000,0.000000,0.000000,0.000000,0.000000,52.590000,0.480000,67.670000,0.000000,0.000000,4.830000,0.000000,1.930000,322.06

18,04:15-04:30,0,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.890000,116.000000,9.670000,0.000000,0.000000,0.000000,0.000000,52.590000,0.480000,67.670000,0.000000,0.000000,4.830000,0.000000,1.930000,322.06

19,04:30-04:45,0,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.890000,116.000000,9.670000,0.000000,0.000000,0.000000,0.000000,52.590000,0.480000,67.670000,0.000000,0.000000,4.830000,0.000000,1.930000,322.06

20,04:45-05:00,0,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.890000,116.000000,9.670000,0.000000,0.000000,0.000000,0.000000,52.590000,0.480000,67.670000,0.000000,0.000000,4.830000,0.000000,1.930000,322.06

21,05:00-05:15,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,116.000000,9.670000,0.000000,0.000000,0.000000,0.000000,52.590000,0.480000,67.670000,0.000000,66.890000,4.830000,0.000000,1.930000,320.06

22,05:15-05:30,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,116.000000,9.670000,0.000000,0.000000,0.000000,0.000000,52.590000,0.480000,67.670000,0.000000,66.890000,4.830000,0.000000,1.930000,320.06

