Block,Time,KHSTPP-II,BRBCL,FSTPP I & II,KHSTPP-I,TALA,SASAN,KOLDAM,RIHAND1,ANTA_RF,ANTA_LF,UNCHAHAR1,KISHANGANGA,JHAJJAR,SINGRAULI_HYDRO,NJPC,RAPPC,DADRI_GF,SEWA2,TEHRI,ANTA_GF,DADRT2,DHAULIGNGA,CHAMERA3,UNCHAHAR4,CHAMERA2,AURY_CRF,RIHAND3,PARBATI3,SINGRAULI,TANAKPUR,RAPPB,AURY_RF,UNCHAHAR3,BSIUL,NAPP,CHAMERA1,URI2,ANTA_CRF,DADRI_RF,KOTESHWR,AURY_GF,TANDA2,DULHASTI,SALAL,RIHAND2,DADRI_CRF,RAMPUR,URI,AURY_LF,DADRI_LF,UNCHAHAR2,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,143.420930,19.341973,17.475497,44.872550,0.000000,385.650467,4.484831,91.348342,0.000000,0.000000,21.498633,5.377496,614.737985,0.754018,21.553150,67.052826,0.000000,18.709627,40.071093,0.000000,535.001944,0.000000,33.685305,1.440979,46.904184,0.000000,123.189198,0.000000,139.928684,0.495542,0.000000,0.000000,26.149399,18.918797,49.655497,40.761408,33.998240,0.000000,0.000000,8.919085,0.000000,5.181808,38.152355,64.054901,117.483308,0.000000,0.834066,33.631870,0.000000,0.000000,21.131135,0,0,0,0,0

2,00:15-00:30,143.420930,19.093990,17.475497,44.872550,0.000000,385.650467,2.242416,91.348342,0.000000,0.000000,21.498633,5.377496,614.737985,0.754018,21.553150,67.052826,0.000000,18.709627,30.053320,0.000000,505.988944,0.000000,33.685305,1.440979,46.904184,0.000000,123.189198,0.000000,139.928684,0.495542,0.000000,0.000000,26.149399,18.918797,49.655497,40.761408,33.998240,0.000000,0.000000,8.919085,0.000000,5.181808,38.152355,64.054901,117.483308,0.000000,0.834066,33.631870,0.000000,0.000000,21.131135,0,0,0,0,0

3,00:30-00:45,143.420930,15.943828,17.475497,44.872550,0.000000,323.993974,0.000000,84.206607,0.000000,0.000000,21.498633,5.377496,614.737985,0.754018,21.553150,67.052826,0.000000,18.709627,20.035547,0.000000,447.962944,0.000000,33.685305,1.440979,46.904184,0.000000,123.189198,0.000000,139.928684,0.495542,0.000000,0.000000,26.149399,12.612531,49.655497,40.761408,33.998240,0.000000,0.000000,8.919085,0.000000,5.181808,38.152355,68.549982,117.483308,0.000000,0.834066,33.631870,0.000000,0.000000,21.131135,0,0,0,0,0

4,00:45-01:00,143.420930,14.657624,17.475497,44.872550,0.000000,323.993974,0.000000,76.044624,0.000000,0.000000,21.498633,5.377496,614.737985,0.754018,21.553150,67.052826,0.000000,18.709627,10.017773,0.000000,385.910810,0.000000,33.685305,1.440979,46.904184,0.000000,123.189198,0.000000,139.928684,0.495542,0.000000,0.000000,26.149399,12.612531,49.655497,40.761408,33.998240,0.000000,0.000000,8.919085,0.000000,5.181808,38.152355,68.549982,117.483308,0.000000,0.834066,33.631870,0.000000,0.000000,21.131135,0,0,0,0,0

5,01:00-01:15,143.420930,14.016439,17.475497,44.872550,0.000000,323.993974,0.000000,76.044624,0.000000,0.000000,21.498633,5.377496,545.713351,0.754018,21.553150,67.052826,0.000000,18.709627,10.017773,0.000000,368.503010,0.000000,33.685305,1.440979,46.904184,0.000000,123.189198,0.000000,139.928684,0.495542,0.000000,0.000000,26.149399,12.612531,49.655497,40.761408,33.998240,0.000000,0.000000,8.919085,0.000000,5.181808,38.152355,68.549982,117.483308,0.000000,0.834066,33.631870,0.000000,0.000000,21.131135,0,0,0,0,0

6,01:15-01:30,143.420930,12.762707,17.475497,44.872550,0.000000,323.993974,0.000000,76.044624,0.000000,0.000000,21.498633,5.377496,505.095151,0.754018,21.553150,67.052826,0.000000,18.709627,10.017773,0.000000,368.503010,0.000000,22.434239,1.440979,46.904184,0.000000,123.189198,0.000000,139.928684,0.495542,0.000000,0.000000,26.149399,12.612531,49.655497,40.761408,33.998240,0.000000,0.000000,8.919085,0.000000,5.181808,38.152355,68.549982,117.483308,0.000000,0.834066,33.631870,0.000000,0.000000,21.131135,0,0,0,0,0

7,01:30-01:45,143.420930,13.161759,17.475497,44.872550,0.000000,323.993974,0.000000,76.044624,0.000000,0.000000,21.498633,5.377496,505.095151,0.754018,21.553150,67.052826,0.000000,18.709627,10.017773,0.000000,368.503010,0.000000,22.434239,1.440979,46.904184,0.000000,123.189198,0.000000,139.928684,0.495542,0.000000,0.000000,26.149399,12.612531,49.655497,40.761408,33.998240,0.000000,0.000000,8.919085,0.000000,5.181808,38.152355,68.549982,117.483308,0.000000,0.834066,33.631870,0.000000,0.000000,21.131135,0,0,0,0,0

8,01:45-02:00,143.420930,14.129287,17.475497,44.872550,0.000000,323.993974,0.000000,76.044624,0.000000,0.000000,21.498633,5.377496,505.095151,0.754018,21.553150,67.052826,0.000000,18.709627,10.017773,0.000000,368.503010,0.000000,22.434239,1.440979,46.904184,0.000000,123.189198,0.000000,139.928684,0.495542,0.000000,0.000000,26.149399,18.918797,49.655497,40.761408,33.998240,0.000000,0.000000,8.919085,0.000000,5.181808,38.152355,68.549982,117.483308,0.000000,0.834066,33.631870,0.000000,0.000000,21.131135,0,0,0,0,0

9,02:00-02:15,143.420930,13.951392,17.475497,44.872550,0.000000,385.650467,0.000000,76.043073,0.000000,0.000000,18.975082,5.377496,437.774933,0.754018,21.553150,67.052826,0.000000,18.709627,10.017773,0.000000,368.515969,0.000000,22.434239,2.988339,46.904184,0.000000,123.189198,0.000000,139.928684,0.495542,0.000000,0.000000,23.214559,18.918797,49.655497,40.761408,33.998240,0.000000,0.000000,8.919085,0.000000,5.181808,38.152355,68.549982,117.483308,0.000000,0.834066,33.631870,0.000000,0.000000,18.473738,0,0,0,0,0

10,02:15-02:30,143.420930,13.755244,17.475497,44.872550,0.000000,385.650467,0.000000,76.043073,0.000000,0.000000,18.975082,5.377496,370.077933,0.754018,21.553150,67.052826,0.000000,18.709627,10.017773,0.000000,368.515969,0.000000,22.434239,2.988339,46.904184,0.000000,123.189198,0.000000,139.928684,0.495542,0.000000,0.000000,23.214559,18.918797,49.655497,40.761408,33.998240,0.000000,0.000000,8.919085,0.000000,5.181808,38.152355,68.549982,117.483308,0.000000,0.834066,33.631870,0.000000,0.000000,18.473738,0,0,0,0,0

