Block,Time Block,BSIUL,BRBCL,CHAMERA2,CHAMERA1,KKNP,KKNPPU2,KOLDAM,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,NLCEXP,NJPC,NAPP,DULHASTI,FSTPP I & II,MAPS,URI,VALLURNTECL,URI2,ANTA_CRF,AURY_RF,DADRI_LF,ANTA_RF,AURY_LF,DADRI_GF,ANTA_LF,AURY_GF,DADRI_CRF,DADRI_RF,ANTA_GF,AURY_CRF,KHSTPP-I,KISHANGANGA,KHSTPP-II,RIHAND3,RSTPSU7,SALAL,SEWA2,RIHAND2,RIHAND1,SASAN,RSTPSU1TO6,RAPPD,SIMHST1,UNCHAHAR1,SIMHST2,TALST2,TANAKPUR,SINGRAULI,TEHRIPSP,UNCHAHAR4,TALA,UNCHAHAR3,TEHRI,TelanganaSTPP,TANDA2,UNCHAHAR2,SINGRAULI_HYDRO,RAPPB,PARBATI2,RAMPUR,PARBATI3,RAPPC,KGSU1AND2,KGSU3AND4,KUDGI,KOTESHWR,DHAULIGNGA,DADRT2,CHAMERA3,JHAJJAR,NTPL,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,15.89,45.41,40.62,0,0,8.31,0,0,0,0,0,169.43,23.73,53.38,16.75,0,51.07,0,36.07,0,0,0,0,0,0,0,0,0,0,0,0,43.88,6.71,94.01,126.1,0,0,17.68,120.74,94.76,403.61,0,23.14,0,20.06,0,0,12.59,108.72,170.77,0.78,20.11,25.4,68.96,0,1.37,40.75,0,0,23.74,5.49,63.05,63.05,0,0,0,29.33,40.92,609.8,32.71,392.02,0,0,0,0,0,0

2,00:15-00:30,0,13.25,45.41,40.62,0,0,8.31,0,0,0,0,0,169.43,23.73,53.38,16.75,0,51.07,0,36.07,0,0,0,0,0,0,0,0,0,0,0,0,43.88,6.71,94.01,126.1,0,0,17.68,120.74,94.76,403.61,0,23.14,0,20.06,0,0,12.59,108.72,85.38,0.78,20.11,25.4,68.96,0,1.37,40.75,0,0,23.74,5.49,63.05,63.05,0,0,0,29.33,40.92,609.8,32.71,367.92,0,0,0,0,0,0

3,00:30-00:45,0,14.65,45.41,40.62,0,0,8.31,0,0,0,0,0,169.43,23.73,53.38,16.75,0,44.69,0,30.04,0,0,0,0,0,0,0,0,0,0,0,0,43.88,6.71,94.01,126.1,0,0,17.68,120.74,94.76,403.61,0,23.14,0,20.06,0,0,12.59,108.72,0,0.78,20.11,25.4,68.96,0,1.37,40.75,0,0,23.74,5.49,63.05,63.05,0,0,0,29.33,40.92,609.8,32.71,367.92,0,0,0,0,0,0

4,00:45-01:00,0,12.34,45.41,40.62,0,0,8.31,0,0,0,0,0,169.43,23.73,53.38,16.75,0,44.69,0,30.04,0,0,0,0,0,0,0,0,0,0,0,0,43.88,6.71,94.01,126.1,0,0,17.68,120.74,94.76,403.61,0,23.14,0,20.46,0,0,12.59,108.72,0,0.69,20.11,25.38,68.96,0,1.37,40.75,0,0,23.74,5.49,63.05,63.05,0,0,0,29.33,40.92,595.34,32.71,367.92,0,0,0,0,0,0

5,01:00-01:15,0,11.58,45.41,40.62,0,0,8.31,0,0,0,0,0,169.43,23.73,53.38,16.75,0,44.69,0,36.07,0,0,0,0,0,0,0,0,0,0,0,0,43.88,6.71,94.01,126.1,0,0,17.68,120.74,94.76,403.61,0,23.14,0,20.46,0,0,12.59,108.72,0,1.91,20.11,25.54,68.96,0,1.37,41.17,0,0,23.74,5.49,63.05,63.05,0,0,0,19.77,40.92,536.98,32.71,319.73,0,0,0,0,0,0

