Column1,Time,WR/01102023/24112044/L_NR_2020_07,WR/01102023/16072048/L_NR_2022_08,WR/01102023/30052048/L_NR_2022_10,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,NR/26072023/31072042/L_NR_2023_07,NR/22102023/11042047/L_NR_2021_16,NR/26072023/25122043/L_NR_2023_10,NR/22102023/11042047/L_NR_2021_17,NR/01102023/02012046/L_NR_2021_17,NR/01102023/14082046/L_NR_2021_16,NR/01102023/02122045/L_NR_2021_13,L_NR_2019_19,NR/01102023/25072045/L_NR_2021_15,SR/01102023/07102043/L_NR_2018_61,NR/01102023/08032047/L_NR_2021_14,NR/01102023/13082046/L_NR_2021_12,NR/30092023/31122025/SH-07,NR/01082024/31082024/SKS-Raigarh,NR/01102023/30042040/GNA_LT_36,NR/01102023/30042040/GNA_LT_35,NR/01102023/31052040/LT-31,NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01082024/30092024/LT_MEJA_DELHI,NR/01082024/15082024/IIPL/JPL-T-BRPL/04/Aug'24,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/01102023/06022042/L_NR_2012_07,NR/01102023/31102037/L_NR_2019_11,NR/01102023/19072037/LT-05,NR/01102023/15082037/GNA_NR_2012_01,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,DD20240805NR26059,NR/01082024/15082024/APL-Raigarh,NR/01102023/05012040/L_NR_2020_02,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/22052037/LT-59,NR/01082024/31082024/jitpl,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/06022042/L_NR_2012_02,NR/30092023/26122029/SH-06
1,00:00-00:15,19.17,20.66,46,57.5,0,0,0,19.16,46,0,0,0,0,0,0,0,0,0,7,0,0,32,12.4,0,0,0,0,11.77,0,48.14,48.14,76.35,0,66.03,52.96,38.52,96.29,192.58,5.5597995,272.26,0,12.16,28.76,258.59,32

2,00:15-00:30,19,20.66,45.33,57,0,0,0,19,45.33,0,0,0,0,0,0,0,0,0,7,0,0,32,12.4,0,0,0,0,11.77,0,48.14,48.14,76.35,0,66.03,52.96,38.52,96.29,192.58,5.5597995,272.26,0,12.16,28.76,258.59,32

3,00:30-00:45,18.67,20.66,45,56,0,0,0,18.66,45,0,0,0,0,0,0,0,0,0,7,0,0,32,12.4,0,0,0,0,11.77,0,48.14,48.14,76.35,0,70.17,52.96,38.52,96.29,192.58,5.5597995,272.26,0,12.16,28.76,224.01,32

4,00:45-01:00,18.5,21.34,44.33,55.5,0,0,0,18.5,44.33,0,0,0,0,0,0,0,0,0,7,0,0,32,12.4,0,0,0,0,11.77,0,48.14,48.14,76.35,0,70.17,52.96,38.52,96.29,192.58,5.5597995,272.26,0,12.16,28.76,224.01,32

5,01:00-01:15,18.39,13.34,36.67,55.16,0,0,0,18.38,36.67,0,0,0,0,0,0,0,0,0,7,0,0,23.1255,12.4,0,0,0,0,11.77,0,48.14,48.14,76.35,0,70.17,46.6,38.52,96.29,192.58,5.36747285,272.26,0,12.16,28.76,224.01,23.1255

6,01:15-01:30,13.83,13.47,36,41.5,0,0,0,13.84,36,0,0,0,0,0,0,0,0,0,7,0,0,23.1255,12.4,0,0,0,0,11.77,0,48.14,48.14,76.35,0,70.17,46.6,38.52,96.29,192.58,5.36747285,272.26,0,12.16,28.76,224.01,23.1255

7,01:30-01:45,13.67,13.37,35,41,0,0,0,13.66,35,0,0,0,0,0,0,0,0,0,7,0,0,23.1255,12.4,0,0,0,0,11.77,0,48.14,48.14,76.35,0,70.17,46.6,38.52,96.29,192.58,5.36747285,272.26,0,12.16,28.76,224.01,23.1255

8,01:45-02:00,13.33,13.24,32.67,40,0,0,0,13.34,32.67,0,0,0,0,0,0,0,0,0,7,0,0,23.1255,12.4,0,0,0,0,11.77,0,48.14,48.14,76.35,0,70.17,46.6,38.52,96.29,192.58,5.36747285,272.26,0,12.16,28.76,224.01,23.1255

9,02:00-02:15,12.5,13.23,31.67,37.5,0,0,0,12.5,31.67,0,0,0,0,0,0,0,0,0,9.6,0,0,26.3026,12.4,0,0,0,0,14.52,0,48.14,48.14,76.35,0,70.17,46.6,38.52,0,192.58,5.1851462,272.26,0,12.16,28.76,224.01,26.3026

10,02:15-02:30,12.17,12.66,30.33,36.5,0,0,0,12.16,30.33,0,0,0,0,0,0,0,0,0,9.4,0,0,26.3026,12.4,0,0,0,0,14.52,0,48.14,48.14,76.35,0,70.17,46.6,38.52,0,192.58,5.1851462,272.26,0,12.16,28.76,224.01,26.3026

11,02:30-02:45,15.12,12.07,28.33,45.37,0,0,0,15.13,28.33,0,0,0,0,0,0,0,0,0,9.2,0,0,26.3026,12.4,0,0,0,0,14.52,0,48.14,48.14,76.35,0,70.17,46.6,38.52,0,192.58,5.1851462,272.26,0,12.16,28.26,224.01,26.3026

12,02:45-03:00,15.07,11.42,27.67,45.2,0,0,0,15.06,27.67,0,0,0,0,0,0,0,0,0,9,0,0,26.3026,12.4,0,0,0,0,14.52,0,48.14,48.14,76.35,0,70.17,46.6,38.52,0,192.58,5.1851462,272.26,0,12.16,28.26,224.01,26.3026

13,03:00-03:15,15.05,15.53,35,45.15,0,0,0,15.04,35,0,0,0,0,0,0,0,0,0,8.8,0,0,26.3026,12.4,0,0,0,0,14.52,0,48.14,48.14,76.35,0,70.17,46.6,0,0,192.58,5.00281955,272.26,0,12.16,28.77,224.01,26.3026

14,03:15-03:30,15.01,15.03,34.94,45.03,0,0,0,15,34.94,0,0,0,0,0,0,0,0,0,8.6,0,0,26.3026,12.4,0,0,0,0,14.52,0,48.14,48.14,57.49,0,70.17,46.6,0,0,192.58,5.00281955,272.26,0,12.16,28.77,224.01,26.3026

15,03:30-03:45,14.87,15,34.5,44.6,0,0,0,14.86,34.5,0,0,0,0,0,0,0,0,0,8.4,0,0,26.3026,12.4,0,0,0,0,14.52,0,48.14,48.14,57.49,0,70.17,46.6,0,0,192.58,5.00281955,272.26,0,12.16,28.77,199.94,26.3026

16,03:45-04:00,14.76,14.68,33.99,44.28,0,0,0,14.75,33.99,0,0,0,0,0,0,0,0,0,8.2,0,0,26.3026,12.4,0,0,0,0,14.52,0,48.14,48.14,57.49,0,70.17,46.6,0,0,192.58,5.00281955,272.26,0,12.16,28.77,199.94,26.3026

17,04:00-04:15,14.67,14.66,33.49,44,0,0,0,14.66,33.49,0,0,0,0,0,0,0,0,0,8,0,0,26.3026,12.4,0,0,0,0,14.52,0,48.14,48.14,57.49,0,70.17,46.6,0,0,192.58,4.8104929,272.26,0,12.16,29.27,199.94,26.3026

18,04:15-04:30,14.49,14.56,33.33,43.48,0,0,0,14.5,33.33,0,0,0,0,0,0,0,0,0,7.8,0,0,26.3026,12.4,0,0,0,0,14.52,0,48.14,48.14,57.49,0,70.17,46.6,0,0,192.58,4.8104929,272.26,0,12.16,29.27,199.94,26.3026

19,04:30-04:45,11.17,11.66,33.33,33.5,0,0,0,11.16,33.33,0,0,0,0,0,0,0,0,0,7.6,0,0,26.3026,12.4,0,0,0,0,14.52,0,48.14,48.14,57.49,0,70.17,46.6,0,0,192.58,4.8104929,272.26,0,12.16,30.27,199.94,26.3026

20,04:45-05:00,11.17,11.66,33.33,33.5,0,0,0,11.16,33.33,0,0,0,0,0,0,0,0,0,7.4,0,0,26.3026,12.4,0,0,0,0,14.52,0,48.14,48.14,57.49,0,70.17,46.6,0,0,192.58,4.8104929,272.26,0,12.16,30.27,199.94,26.3026

21,05:00-05:15,11.17,11.66,24.35,33.5,0,0,0,11.16,24.35,0,0,0,0,0,0,0,0,0,7.2,0,0,26.3026,12.4,0,0,0,0,17.28,0,48.14,48.14,57.49,0,70.17,46.6,0,0,192.58,4.62816625,272.26,0,12.16,30.27,171.05,26.3026

22,05:15-05:30,11,11.66,24.55,33,0,0,0,11,24.55,0,0,0,0,0,0,0,0,0,7,0,0,26.3026,12.4,0,0,0,0,17.28,0,48.14,48.14,57.49,0,70.17,46.6,0,0,192.58,4.62816625,272.26,0,12.16,30.27,199.94,26.3026

23,05:30-05:45,10.83,11.66,24.47,32.5,0,0,0,10.84,24.47,0,0,0,0,0,0,0,0,0,7,0,0,26.3026,12.4,0,0,0,0,17.28,0,48.14,48.14,57.49,0,70.17,46.6,0,0,192.58,4.62816625,272.26,0,12.16,29.26,199.94,26.3026

24,05:45-06:00,11,11.66,24.72,33,0,0,0,11,24.72,0,0,0,0,0,0,0,0.68,0,7,0,0,26.3026,12.4,0,0,0,0,17.28,0,48.14,48.14,76.35,0,70.17,46.6,0,0,192.58,4.62816625,272.26,0,12.16,29.26,224.01,26.3026

25,06:00-06:15,11.02,11.66,25.08,33.06,0,10.04,10.24,11.02,25.08,1,1,1,0,0,0,0.28,3.67,1,7,0.82,1.41,26.3026,12.4,0,0,0,0,17.28,0,48.14,48.14,76.35,0,70.17,46.6,0,0,192.58,4.4458396,272.26,0,12.16,29.26,224.01,26.3026

26,06:15-06:30,11.18,11.66,25.33,33.54,1,15.78,16.11,11.18,25.33,4,2,1,1,0,0,0.77,7.17,2,7,2.92,3.84,26.3026,12.4,0.41,0.4,0.4,0,17.28,0,48.14,48.14,76.35,0,70.17,46.6,0,0,192.58,4.4458396,272.26,0,12.16,29.26,224.01,26.3026

27,06:30-06:45,11.25,11.66,25.65,33.74,5,25.89,26.42,11.23,25.65,7,5,3,3,0,0,1.48,10.85,3,7,4.94,7.42,26.3026,12.4,0.82,0.8,0.8,0,17.28,0,48.14,48.14,76.35,0,70.17,46.6,0,0,192.58,4.4458396,272.26,0,12.16,28.26,224.01,26.3026

28,06:45-07:00,11.5,11.66,25.89,34.5,12,33,33,11.5,25.89,14,8,6,4,0,0,2.47,15.26,5,7,7.94,12.35,26.3026,12.4,1.18,1.16,1.16,0,17.28,0,48.14,48.14,76.35,0,70.17,46.6,0,0,192.58,4.4458396,272.26,0,12.16,28.26,224.01,26.3026

29,07:00-07:15,11.67,12.34,26.67,35,20,33,33,11.66,26.67,21,10,9,5,0,0,3.39,20.7,7,7,11,16.96,26.3026,12.4,1.4,1.37,1.37,0,17.28,0,48.14,48.14,76.35,0,70.17,46.6,0,0,192.58,4.301594613,272.26,0,12.16,28.77,224.01,26.3026

30,07:15-07:30,12,12.34,27.55,36,30,33,33,12,27.55,28,12,12,6,0,0,5.04,27.3,7.5,7,14,25.21,26.3026,12.4,1.78,1.73,1.73,0,17.28,0,48.14,48.14,76.35,0,70.17,46.6,0,0,192.58,4.301594613,272.26,0,12.16,29.27,224.01,26.3026

31,07:30-07:45,12.5,12.34,28.66,37.5,32.66,32.67,32.67,12.5,28.66,39,15,16,7,0,0,5.49,36.38,8.5,7,17,27.46,26.8708,12.4,2.26,2.21,2.21,0,17.28,0,48.14,48.14,76.35,0,70.17,46.6,0,0,192.58,4.301594613,272.26,0,12.16,29.27,224.01,26.8708

32,07:45-08:00,12.5,12.34,29.68,37.5,33,33,33,12.5,29.68,49,20,21,10,0,0,5.89,45.23,9.5,7,21,29.46,26.8708,12.4,2.83,2.76,2.76,0,17.28,0,48.14,48.14,57.49,0,70.17,46.6,0,0,192.58,4.301594613,231.1,0,12.16,29.27,171.05,26.8708

33,08:00-08:15,12.67,13.55,29.82,38,33,33,33,12.66,29.82,55,27,23,13,0,0,5.88,52.64,14,7,23,29.43,26.8708,12.4,2.88,2.8,2.8,0,17.28,0,48.14,48.14,57.49,0,70.17,52.96,0,0,192.58,4.167349625,192.58,0,12.16,30.28,171.05,26.8708

34,08:15-08:30,12.83,13.88,29.87,38.5,33,33,33,12.84,29.87,69,34,29,16,0,0,6.03,58.29,17,7,30,30.14,26.8708,12.4,2.9,2.82,2.82,0,17.28,0,48.14,48.14,57.49,0,70.17,52.96,0,0,192.58,4.167349625,149.74,0,12.16,30.28,171.05,26.8708

35,08:30-08:45,13,14.23,22,39,33,33,33,13,22,74,37,31,17,0,0,6.17,64.28,20,7,35,30.86,26.8708,12.4,3.08,3,3,0,17.28,0,48.14,48.14,57.49,0,70.17,52.96,0,0,192.58,4.167349625,149.74,0,12.16,0,171.05,26.8708

36,08:45-09:00,13.33,14.58,23,40,33,33,33,13.34,23,88,43,37,20,0,0,6.31,69.87,23,7,40,31.57,26.8708,12.4,3.27,3.19,3.19,0,17.28,0,48.14,48.14,57.49,0,70.17,52.96,0,0,192.58,4.167349625,149.74,0,12.16,0,171.05,26.8708

37,09:00-09:15,13.67,10,25.67,41,33,33,33,13.66,25.67,107,51,46,24,0,0,6.98,75.64,29,7,48,34.92,26.8708,12.4,3.65,3.56,3.56,0,17.28,0,0,0,57.49,0,70.17,52.96,0,0,0,4.167349625,149.74,0,12.16,0,171.05,26.8708

38,09:15-09:30,14,10.66,25.67,42,33,33,33,14,25.67,118,57,50,27,0,0,7.65,82.2,32,7,54,38.27,26.8708,12.4,4.21,4.11,4.11,0,17.28,0,0,0,57.49,0,70.17,52.96,0,0,0,4.167349625,149.74,0,12.16,0,171.05,26.8708

39,09:30-09:45,14.17,11,26.33,42.5,33,33,33,14.16,26.33,130,63,55,30,0,0,8.32,88.16,30,7,55,41.61,26.8708,12.4,4.79,4.66,4.66,0,17.28,0,0,0,57.49,0,70.17,52.96,0,0,0,4.167349625,149.74,0,12.16,0,171.05,26.8708

40,09:45-10:00,15,11.34,26.67,45,33,33,33,15,26.67,140,67,60,32,0,0,8.99,93.27,32,7,57,44.96,26.8708,12.4,5.72,5.58,5.58,0,17.28,0,0,0,57.49,0,70.17,52.96,0,0,0,4.167349625,149.74,0,12.16,0,171.05,26.8708

41,10:00-10:15,9.33,11.34,28,28,33,33,33,9.34,28,154,74,66,36,0,0,7.5,97.55,28,7,55,37.5,26.8708,12.4,6.1,5.95,5.95,0,15.44,0,0,0,57.49,0,70.17,52.96,0,0,0,4.023104638,192.58,0,12.16,0,171.05,26.8708

42,10:15-10:30,9.67,11.66,28.67,29,33,33,33,9.66,28.67,161,78,69,37,0,0,8.33,100.64,30,7,57,41.67,26.8708,12.4,6.66,6.5,6.5,0,15.44,0,0,0,57.49,0,70.17,52.96,0,0,0,4.023104638,192.58,0,12.16,0,171.05,26.8708

43,10:30-10:45,14.67,16,29.67,44,33,33,33,14.66,29.67,168,78,72,37,0,0,9.17,102.6,30,7,57,45.83,26.8708,12.4,7.05,6.87,6.87,0,15.44,1.89,0,0,57.49,0,70.17,52.96,0,0,0,4.023104638,231.1,0,12.16,0,171.05,26.8708

44,10:45-11:00,15.83,16.66,30.33,47.5,33,33,33,15.84,30.33,175,80,75,38,0,0,10,104.1,32,7,60,50,26.8708,12.4,7.61,7.42,7.42,0,15.44,1.89,0,0,57.49,0,70.17,52.96,0,0,0,4.023104638,231.1,0,12.16,0,171.05,26.8708

