Block,Time,NR/01022024/29022024/HPX-GTAMLDCRA-090124-05713,NR/01022024/29022024/5412UPCL/CE(Comm)/SE/Banking dt. 17.11.2023,NR/01022024/29022024/79,NR/30092023/26122029/SH-06,NR/01022024/29022024/HPX-GTAMLDCRA-090124-05718,NR/16022024/29022024/HP-36,NR/30092023/31122025/SH-07,NR/01012024/31032024/ ChanjuII,NR/16022024/29022024/HP-38,NR/16022024/29022024/HP-40,NR/16022024/29022024/HP-45,NR/01102023/06022042/L_NR_2012_07,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/31102037/L_NR_2019_11,NR/20122023/29022024/IEX_LDC_231218_00502,NR/01102023/23072042/L_NR_2012_04,NR/01102023/30042040/GNA_LT_35,NR/01102023/05012040/L_NR_2020_02,NR/20122023/29022024/IEX_LDC_231218_00501,NR/01102023/06022042/L_NR_2012_02,NR/01102023/30042040/GNA_LT_36,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/19072037/LT-05,NR/01102023/31052040/LT-31,NR/01022024/29022024/HPX-GTAMLDCRA-141223-05420,NR/01022024/29022024/HPX-GTAMLDCRA-090124-05714,NR/01022024/29022024/HPX-GTAMLDCRA-141223-05406,NR/19022024/29022024/NVVN/OA/16907,NR/01102023/22052037/LT-59,NR/01102023/15082037/GNA_NR_2012_01,WR/01102023/01102023/L_NR_2020_06,NR/01102023/25072045/L_NR_2021_15,WR/01102023/29112042/L_NR_2019_05,NR/22102023/11042047/L_NR_2021_17,NR/01102023/14082046/L_NR_2021_16,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/13082046/L_NR_2021_12,WR/01102023/31032046/L_NR_2020_05,NR/26072023/25122043/L_NR_2023_10,L_NR_2019_19,NR/01102023/02122045/L_NR_2021_13,SR/01102023/07102043/L_NR_2018_61,WR/01102023/24112044/L_NR_2020_07,SR/14022024/29022024/SJVN140224NR1518,NR/01022024/29022024/SJVN010224NR1468,NR/01022024/29022024/SJVN010224NR1469,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/02012046/L_NR_2021_17,NR/01102023/08032047/L_NR_2021_14,WR/01102023/16072048/L_NR_2022_08,NR/22102023/11042047/L_NR_2021_16,WR/01102023/01102023/L_NR_2022_09,NR/26072023/31072042/L_NR_2023_07,WR/01102023/30052048/L_NR_2022_10
1,00:00-00:15,18.310000,96.350000,0.000000,25.370000,6.740000,38.170000,25.930000,2.210000,128.130000,0.000000,16.320000,33.720000,24.090000,0.950000,11.560000,231.240000,0.000000,1.390000,8.190000,140.670000,0.000000,0.000000,47.210000,0.000000,6.740000,5.780000,4.820000,19.270000,0.690000,52.030000,21.28,0,0,0,0,0,0,63.87,0,0,0,8.01,21.29,0,0,0,0,0,0,15.16,0,46.8,0,46.8

2,00:15-00:30,18.310000,96.350000,0.000000,25.370000,6.740000,38.170000,25.930000,2.210000,128.130000,0.000000,16.320000,52.670000,24.090000,0.950000,11.560000,270.980000,0.000000,1.390000,8.190000,167.350000,0.000000,0.000000,42.960000,0.000000,6.740000,5.780000,4.820000,19.270000,0.690000,52.030000,21.56,0,0,0,0,0,0,64.71,0,0,0,7.81,21.57,0,0,0,0,0,0,15.1,0,46.5,0,46.5

3,00:30-00:45,18.310000,96.350000,0.000000,25.370000,6.740000,38.170000,25.930000,2.210000,128.130000,0.000000,16.320000,33.720000,25.050000,0.950000,11.560000,231.240000,0.000000,1.390000,8.190000,140.670000,0.000000,0.000000,38.710000,0.000000,6.740000,5.780000,4.820000,19.270000,0.690000,52.030000,21.96,0,0,0,0,0,0,65.83,0,0,0,7.61,21.94,0,0,0,0,0,0,14.84,0,46.5,0,46.5

4,00:45-01:00,18.310000,96.350000,0.000000,25.370000,6.740000,38.170000,25.930000,2.210000,128.130000,0.000000,16.320000,33.720000,25.050000,0.950000,11.560000,209.080000,0.000000,1.390000,8.190000,111.770000,0.000000,0.000000,34.460000,0.000000,6.740000,5.780000,4.820000,19.270000,0.690000,52.030000,22.05,0,0,0,0,0,0,66.13,0,0,0,7.61,22.04,0,0,0,0,0,0,14.51,0,46.37,0,46.37

5,01:00-01:15,18.310000,96.350000,0.000000,25.370000,6.740000,38.170000,25.930000,2.210000,128.130000,0.000000,16.320000,33.720000,25.050000,0.950000,11.560000,209.080000,0.000000,1.390000,8.190000,111.770000,0.000000,0.000000,35.130000,0.000000,6.740000,5.780000,4.820000,19.270000,0.690000,52.030000,21.71,0,0,0,0,0,0,65.14,0,0,0,7.41,21.71,0,0,0,0,0,0,13.84,0,46.34,0,46.34

