Block,Time,RIHAND2,ANTA_CRF,KOLDAM,UNCHAHAR3,NJPC,URI,RAMPUR,RAPPC,ANTA_LF,DADRI_LF,SINGRAULI_HYDRO,JHAJJAR,DADRI_CRF,ANTA_RF,TANDA2,ANTA_GF,UNCHAHAR1,DADRI_GF,AURY_CRF,NAPP,AURY_GF,RIHAND3,AURY_LF,CHAMERA2,TANAKPUR,CHAMERA1,KOTESHWR,DADRT2,DADRI_RF,BSIUL,SALAL,KISHANGANGA,UNCHAHAR2,RAPPB,CHAMERA3,AURY_RF,URI2,SINGRAULI,DULHASTI,SEWA2,TEHRI,UNCHAHAR4,RIHAND1,DHAULIGNGA,PARBATI3,KUDGI,BRBCL,KHSTPP-I,FSTPP I & II,TALA,KHSTPP-II,SASAN,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,114.037875,0.000000,0.000000,25.475248,147.648759,45.829469,0.000000,49.371232,0.000000,0.000000,0.978809,630.551107,0.000000,0.000000,0.000000,0.000000,16.528890,0.000000,0.000000,37.427013,0.000000,119.386794,0.000000,38.143070,11.377432,41.183964,5.711306,663.017371,0.000000,18.945010,82.003200,0.000000,40.923403,0.000000,28.397762,0.000000,31.687208,134.489874,47.726051,15.257228,35.518997,0.000000,88.816800,35.325627,15.730614,33.79,11.140233,31.055839,9.631933,26.963622,142.411584,330.130598,0,0,0,0,0

2,00:15-00:30,114.037875,0.000000,0.000000,25.477003,147.648759,45.829469,0.000000,49.371232,0.000000,0.000000,0.978809,630.551107,0.000000,0.000000,0.000000,0.000000,16.537302,0.000000,0.000000,37.427013,0.000000,119.386794,0.000000,38.143070,11.377432,41.183964,5.711306,663.017371,0.000000,18.945010,82.003200,0.000000,40.923403,0.000000,28.397762,0.000000,31.687208,134.489874,47.726051,15.257228,35.518997,0.000000,88.816800,35.325627,15.730614,33.79,11.140233,31.057015,9.631933,26.963622,142.411584,330.166800,0,0,0,0,0

3,00:30-00:45,114.037875,0.000000,0.000000,25.477003,147.648759,45.829469,0.000000,49.371232,0.000000,0.000000,0.978809,630.551107,0.000000,0.000000,0.000000,0.000000,16.537302,0.000000,0.000000,37.427013,0.000000,119.386794,0.000000,38.143070,11.377432,41.183964,5.711306,663.017371,0.000000,18.945010,82.003200,0.000000,40.923403,0.000000,28.397762,0.000000,31.687208,134.489874,47.726051,15.257228,26.639248,0.000000,88.816800,35.325627,15.730614,33.79,11.140233,31.057015,9.631933,26.963622,142.411584,330.166800,0,0,0,0,0

4,00:45-01:00,114.037875,0.000000,0.000000,25.477003,147.648759,45.829469,0.000000,49.371232,0.000000,0.000000,0.978809,630.551107,0.000000,0.000000,0.000000,0.000000,16.537302,0.000000,0.000000,37.427013,0.000000,119.386794,0.000000,38.143070,11.377432,41.183964,5.711306,663.017371,0.000000,18.945010,82.003200,0.000000,40.923403,0.000000,28.397762,0.000000,31.687208,134.489874,47.726051,15.257228,26.639248,0.000000,88.816800,35.325627,15.730614,33.79,11.140233,31.057015,9.631933,26.963622,142.411584,330.166800,0,0,0,0,0

5,01:00-01:15,114.037875,0.000000,0.000000,25.477003,147.648759,45.829469,0.000000,49.371232,0.000000,0.000000,0.978809,630.551107,0.000000,0.000000,0.000000,0.000000,16.537302,0.000000,0.000000,37.427013,0.000000,119.386794,0.000000,38.143070,11.377432,41.183964,5.711306,663.017371,0.000000,18.945010,82.003200,0.000000,40.923403,0.000000,28.397762,0.000000,31.687208,134.489874,47.726051,15.257228,26.639248,0.000000,88.816800,35.325627,15.730614,28.96,11.140233,31.057015,9.631933,26.963622,142.411584,330.166800,0,0,0,0,0

