Block,Time,NR/01102023/31102037/L_NR_2019_11,NR/04112023/04112023/HPX-TAMCTG-041123-05164,NR/01102023/15082037/GNA_NR_2012_01,NR/01112023/30112023/HP-09,WR/01102023/29112042/L_NR_2019_05,NR/01102023/25072045/L_NR_2021_15,NR/30092023/31122025/SH-07,NR/01102023/31052040/LT-31,NR/22102023/11042047/L_NR_2021_17,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2022_09,NR/01102023/14082046/L_NR_2021_16,NR/01102023/30042040/GNA_LT_35,NR/01102023/23072042/L_NR_2012_04,NR/01102023/02122045/L_NR_2021_13,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/19072037/LT-05,NR/01102023/05012040/L_NR_2020_02,WR/01102023/31032046/L_NR_2020_05,SR/01102023/07102043/L_NR_2018_61,NR/26072023/31072042/L_NR_2023_07,NR/01102023/06022042/L_NR_2012_02,WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/13082046/L_NR_2021_12,NR/01102023/06022042/L_NR_2012_07,NR/26072023/25122043/L_NR_2023_10,NR/01102023/30042040/GNA_LT_36,L_NR_2019_19,WR/01102023/01102023/L_NR_2020_06,SR/01112023/30112023/KSEB_BYPL-NOV23,NR/01102023/08032047/L_NR_2021_14,NR/03112023/30112023/IEX-231101-05680,NR/30092023/26122029/SH-06,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/22052037/LT-59,NR/01102023/02012046/L_NR_2021_17,NR/01112023/30112023/HP-10,WR/01102023/30052048/L_NR_2022_10,NR/22102023/11042047/L_NR_2021_16,NR/02112023/15112023/D20231102NR21539,NR/03112023/30112023/HPX-TAMDLY-011123-05147,WR/01102023/29112042/RUMS(L_NR_2019_07)
1,00:00-00:15,2.080000,0.000000,101.260000,76.850000,0,0,26.090000,0.000000,0,9.19,19.69,0,0.000000,271.910000,0,27.070000,87.010000,2.650000,22.64,7.21,0,261.620000,7.55,0,0,74.130000,0,0.000000,0,7.53,145.02,0,48.340000,26.090000,0.000000,2.100000,0,49.320000,19.69,0,48.340000,48.340000,0

2,00:15-00:30,2.080000,0.000000,101.260000,76.850000,0,0,26.090000,0.000000,0,9.12,19.56,0,0.000000,271.910000,0,27.070000,87.010000,2.650000,22.58,7.21,0,261.620000,7.53,0,0,74.130000,0,0.000000,0,7.51,145.02,0,48.340000,26.090000,0.000000,2.100000,0,49.320000,19.56,0,48.340000,48.340000,0

3,00:30-00:45,2.080000,0.000000,101.260000,76.850000,0,0,26.090000,0.000000,0,9.1,19.56,0,0.000000,271.910000,0,27.070000,87.010000,2.650000,22.51,7.21,0,261.620000,7.5,0,0,74.130000,0,0.000000,0,7.5,145.02,0,48.340000,26.090000,0.000000,2.100000,0,49.320000,19.56,0,48.340000,48.340000,0

4,00:45-01:00,2.080000,0.000000,101.260000,76.850000,0,0,26.090000,0.000000,0,8.97,19.52,0,0.000000,271.910000,0,27.070000,87.010000,2.650000,22.48,7.21,0,261.620000,7.49,0,0,74.130000,0,0.000000,0,7.49,145.02,0,48.340000,26.090000,0.000000,2.100000,0,49.320000,19.52,0,48.340000,48.340000,0

5,01:00-01:15,2.080000,0.000000,101.260000,76.850000,0,0,26.090000,0.000000,0,8.54,19.11,0,0.000000,271.910000,0,28.040000,87.010000,2.650000,22.43,7.21,0,261.620000,7.48,0,0,74.130000,0,0.000000,0,7.46,145.02,0,48.340000,26.090000,0.000000,2.100000,0,49.320000,19.11,0,48.340000,48.340000,0

6,01:15-01:30,2.080000,0.000000,101.260000,76.850000,0,0,26.090000,0.000000,0,8.44,18.99,0,0.000000,271.910000,0,28.040000,87.010000,2.650000,22.4,7.21,0,261.620000,7.47,0,0,74.130000,0,0.000000,0,7.45,145.02,0,48.340000,26.090000,0.000000,2.100000,0,49.320000,18.99,0,48.340000,48.340000,0

7,01:30-01:45,2.080000,0.000000,101.260000,76.850000,0,0,26.090000,0.000000,0,8.2,18.67,0,0.000000,271.910000,0,27.070000,87.010000,2.650000,22.36,7.21,0,261.620000,7.45,0,0,74.130000,0,0.000000,0,7.46,145.02,0,48.340000,26.090000,0.000000,2.100000,0,49.320000,18.67,0,48.340000,48.340000,0

8,01:45-02:00,2.080000,0.000000,101.260000,76.850000,0,0,26.090000,0.000000,0,7.88,18.59,0,0.000000,271.910000,0,27.070000,87.010000,2.650000,22.34,7.21,0,261.620000,7.45,0,0,74.130000,0,0.000000,0,7.43,145.02,0,48.340000,26.090000,0.000000,2.100000,0,49.320000,18.59,0,48.340000,48.340000,0

9,02:00-02:15,2.000000,0.000000,101.260000,76.850000,0,0,26.090000,0.000000,0,7.51,18.22,0,0.000000,271.910000,0,27.070000,87.010000,2.650000,22.1,7.21,0,261.620000,7.37,0,0,74.130000,0,0.000000,0,7.36,145.02,0,48.340000,26.090000,0.000000,2.100000,0,49.320000,18.22,0,48.340000,48.340000,0

10,02:15-02:30,2.000000,0.000000,101.260000,76.850000,0,0,26.090000,0.000000,0,7.08,18.05,0,0.000000,271.910000,0,27.070000,87.010000,2.650000,28.16,7.21,0,261.620000,9.39,0,0,74.130000,0,0.000000,0,9.38,145.02,0,48.340000,26.090000,0.000000,2.100000,0,49.320000,18.05,0,48.340000,48.340000,0

11,02:30-02:45,2.000000,0.000000,101.260000,76.850000,0,0,26.090000,0.000000,0,7,17.84,0,0.000000,271.910000,0,27.070000,87.010000,2.650000,27.5,7.21,0,261.620000,9.17,0,0,74.130000,0,0.000000,0,9.17,145.02,0,48.340000,26.090000,0.000000,2.100000,0,49.320000,17.84,0,48.340000,48.340000,0

12,02:45-03:00,2.000000,0.000000,101.260000,76.850000,0,0,26.090000,0.000000,0,7,17.67,0,0.000000,271.910000,0,27.070000,87.010000,2.650000,27.31,7.21,0,261.620000,9.1,0,0,74.130000,0,0.000000,0,9.11,145.02,0,48.340000,26.090000,0.000000,2.100000,0,49.320000,17.67,0,48.340000,48.340000,0

13,03:00-03:15,2.000000,0.000000,101.260000,76.850000,0,0,26.090000,0.000000,0,7,21.02,0,0.000000,271.910000,0,27.070000,87.010000,2.650000,26.63,7.21,0,261.620000,8.88,0,0,74.130000,0,0.000000,0,8.87,145.02,0,48.340000,26.090000,0.000000,2.100000,0,49.320000,21.02,0,48.340000,48.340000,0

14,03:15-03:30,2.000000,0.000000,101.260000,76.850000,0,0,26.090000,0.000000,0,7,20.9,0,0.000000,271.910000,0,26.100000,87.010000,2.650000,26.31,7.21,0,261.620000,8.77,0,0,74.130000,0,0.000000,0,8.77,145.02,0,48.340000,26.090000,0.000000,2.100000,0,49.320000,20.9,0,48.340000,48.340000,0

15,03:30-03:45,2.000000,0.000000,101.260000,76.850000,0,0,26.090000,0.000000,0,7,20.9,0,0.000000,271.910000,0,26.100000,87.010000,2.650000,25.62,7.21,0,261.620000,8.54,0,0,74.130000,0,0.000000,0,8.54,145.02,0,48.340000,26.090000,0.000000,2.100000,0,49.320000,20.9,0,48.340000,48.340000,0

16,03:45-04:00,2.000000,0.000000,101.260000,76.850000,0,0,26.090000,0.000000,0,7,20.86,0,0.000000,271.910000,0,26.100000,87.010000,2.650000,25.3,7.21,0,261.620000,8.43,0,0,74.130000,0,0.000000,0,8.44,145.02,0,48.340000,26.090000,0.000000,2.100000,0,49.320000,20.86,0,48.340000,48.340000,0

17,04:00-04:15,2.000000,0.000000,101.260000,76.850000,0,0,26.090000,0.000000,0,7,20.44,0,0.000000,271.910000,0,26.100000,87.010000,2.650000,25.3,7.21,0,261.620000,8.43,0,0,74.130000,0,0.000000,0,8.44,145.02,0,48.340000,26.090000,0.000000,2.100000,0,49.320000,20.44,0,48.340000,48.340000,0

18,04:15-04:30,2.000000,0.000000,101.260000,76.850000,0,0,26.090000,0.000000,0,7,20.33,0,0.000000,271.910000,0,26.100000,87.010000,2.650000,25.3,7.21,0,261.620000,8.43,0,0,74.130000,0,0.000000,0,8.44,145.02,0,48.340000,26.090000,0.000000,2.100000,0,49.320000,20.33,0,48.340000,48.340000,0

