Time,Block,NR/2023/10181/A,NR/2023/11095/F,NR/2023/11154/F,NR/2023/11341/F,NR/2023/11221/F,NR/2023/11802/D,NR/2023/10182/A,WR/2023/14513/C,NR/2023/11367/F,NR/2023/11369/F,NR/2023/10486/A,NR/2023/11102/F,NR/2023/11166/F,NR/2023/11097/F,NR/2023/11801/D,NR/2023/10197/A,NR/2023/11099/F,NR/2023/11100/F,NR/2023/11810/C,NR/2023/11368/F,NR/2023/11799/D,NR/2023/11096/F,NR/2023/11104/F,NR/2023/11807/C,NR/2023/11800/D,NR/2023/11343/F,Total
,,NVVNL,APPCPL,HPXL,IEXL,IEXL,TS1PL_BKN,NVVNL,IEXL,SHPPBPL,SHPPBPL,TPTCL,SHPPBPL,IEXL,SHPPBPL,TS1PL_BKN,TPTCL,SHPPBPL,SHPPBPL,TPDDL,SHPPBPL,SJVNL,SHPPBPL,SHPPBPL,GBHHPL,NVVNL,IEXL,Total

,,NA,MANIPUR,KARNATAKA,TELANGANA,KARNATAKA,NA,NA,DELHI,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,KARNATAKA,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,WEST BENGAL,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,
,,ILFS,Manipur_Ben,NIRANISUGAR,NAVABHARAT,KPRSUGAR,TS1PL_BKN,JPNIGRIE_JNSTPP,BRPL,SHPPBPL,SHPPBPL,APNRL,SHPPBPL,VISHWARAJSUGAR,SHPPBPL,TS1PL_BKN,JPL,SHPPBPL,SHPPBPL,CHANJUII,SHPPBPL,IPCL_WB,SHPPBPL,SHPPBPL,GBHHPL,SOLAPUR_SOLAR,JSPL_DCPP,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,Gujarat,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BRPL,STT,BRPL,BRPL,BRPL,BYPL,BRPL,TPLD,BAL184,BAL234,TPDDL,JHPL-DL,BRPL,MHIL,BRPL,BRPL,UHL,BMDRC,TPDDL,BAL224,NDMC,MAX-HPTL,AISHER,DIAPL,MES (Delhi),BRPL,
,,South-West-North,North East-East-North,South-East-North,South-West-North,South-West-North,North-North,West-North,North-East-West,North-North,North-North,East-North,North-North,South-West-North,North-North,North-North,West-North,North-North,North-North,North-North,North-North,East-North,North-North,North-North,North-North,West-North,West-North,
1,00:00-00:15,99.660000,2.890000,9.630000,115.550000,17.330000,0,49.830000,0.000000,0.310000,0.610000,20.560000,0.600000,14.440000,0.360000,0,49.830000,0.360000,0.530000,8.270000,0.310000,0.000000,0.530000,0.450000,28.530000,0,48.140000,468.72

2,00:15-00:30,99.660000,2.890000,9.630000,115.550000,17.330000,0,49.830000,0.000000,0.310000,0.610000,20.560000,0.600000,14.440000,0.360000,0,49.830000,0.360000,0.530000,8.270000,0.310000,0.000000,0.530000,0.450000,28.530000,0,48.140000,468.72

3,00:30-00:45,99.660000,2.890000,9.630000,115.550000,17.330000,0,49.830000,0.000000,0.310000,0.610000,20.560000,0.600000,14.440000,0.360000,0,49.830000,0.360000,0.530000,8.270000,0.310000,0.000000,0.530000,0.450000,28.530000,0,48.140000,468.72

4,00:45-01:00,99.660000,2.890000,9.630000,115.550000,17.330000,0,49.830000,0.000000,0.310000,0.610000,20.560000,0.600000,14.440000,0.360000,0,49.830000,0.360000,0.530000,8.270000,0.310000,0.000000,0.530000,0.450000,28.530000,0,48.140000,468.72

5,01:00-01:15,99.660000,2.890000,9.630000,115.550000,17.330000,0,49.830000,0.000000,0.310000,0.610000,20.560000,0.600000,14.440000,0.360000,0,49.830000,0.360000,0.530000,8.270000,0.310000,0.000000,0.530000,0.450000,28.530000,0,48.140000,468.72

6,01:15-01:30,99.660000,2.890000,9.630000,115.550000,17.330000,0,49.830000,0.000000,0.310000,0.610000,20.560000,0.600000,14.440000,0.360000,0,49.830000,0.360000,0.530000,8.270000,0.310000,0.000000,0.530000,0.450000,28.530000,0,48.140000,468.72

7,01:30-01:45,99.660000,2.890000,9.630000,115.550000,17.330000,0,49.830000,0.000000,0.310000,0.610000,20.560000,0.600000,14.440000,0.360000,0,49.830000,0.360000,0.530000,8.270000,0.310000,0.000000,0.530000,0.450000,28.530000,0,48.140000,468.72

8,01:45-02:00,99.660000,2.890000,9.630000,115.550000,17.330000,0,49.830000,0.000000,0.310000,0.610000,20.560000,0.600000,14.440000,0.360000,0,49.830000,0.360000,0.530000,8.270000,0.310000,0.000000,0.530000,0.450000,28.530000,0,48.140000,468.72

9,02:00-02:15,99.660000,2.890000,9.630000,115.550000,17.330000,0,49.830000,0.000000,0.310000,0.610000,20.560000,0.600000,14.440000,0.360000,0,49.830000,0.360000,0.530000,8.180000,0.310000,0.000000,0.530000,0.450000,28.530000,0,48.140000,468.63

10,02:15-02:30,99.660000,2.890000,9.630000,115.550000,17.330000,0,49.830000,0.000000,0.310000,0.610000,20.560000,0.600000,14.440000,0.360000,0,49.830000,0.360000,0.530000,8.180000,0.310000,0.000000,0.530000,0.450000,28.530000,0,48.140000,468.63

11,02:30-02:45,99.660000,2.890000,9.630000,115.550000,17.330000,0,49.830000,0.000000,0.310000,0.610000,20.560000,0.600000,14.440000,0.360000,0,49.830000,0.360000,0.530000,8.180000,0.310000,0.000000,0.530000,0.450000,28.530000,0,48.140000,468.63

12,02:45-03:00,99.660000,2.890000,9.630000,115.550000,17.330000,0,49.830000,0.000000,0.310000,0.610000,20.560000,0.600000,14.440000,0.360000,0,49.830000,0.360000,0.530000,8.180000,0.310000,0.000000,0.530000,0.450000,28.530000,0,48.140000,468.63

13,03:00-03:15,99.660000,2.890000,9.630000,115.550000,17.330000,0,49.830000,0.000000,0.310000,0.610000,20.560000,0.600000,14.440000,0.360000,0,49.830000,0.360000,0.530000,8.090000,0.310000,0.000000,0.530000,0.450000,28.530000,0,48.140000,468.54

14,03:15-03:30,99.660000,2.890000,9.630000,115.550000,17.330000,0,49.830000,0.000000,0.310000,0.610000,20.560000,0.600000,14.440000,0.360000,0,49.830000,0.360000,0.530000,8.090000,0.310000,0.000000,0.530000,0.450000,28.530000,0,48.140000,468.54

15,03:30-03:45,99.660000,2.890000,9.630000,115.550000,17.330000,0,49.830000,0.000000,0.310000,0.610000,20.560000,0.600000,14.440000,0.360000,0,49.830000,0.360000,0.530000,8.090000,0.310000,0.000000,0.530000,0.450000,28.530000,0,48.140000,468.54

16,03:45-04:00,99.660000,2.890000,9.630000,115.550000,17.330000,0,49.830000,0.000000,0.310000,0.610000,20.560000,0.600000,14.440000,0.360000,0,49.830000,0.360000,0.530000,8.090000,0.310000,0.000000,0.530000,0.450000,28.530000,0,48.140000,468.54

17,04:00-04:15,99.660000,2.890000,9.630000,115.550000,17.330000,0,49.830000,0.000000,0.310000,0.610000,20.560000,0.600000,14.440000,0.360000,0,49.830000,0.360000,0.530000,8.000000,0.310000,0.000000,0.530000,0.450000,28.530000,0,48.140000,468.45

