Column1,Time,GNA/NR/2025/04/01/8510,GNA/NR/2025/05/01/4138,GNA/NR/2025/05/01/6160,GNA/NR/2025/05/01/8068,GNA/NR/2025/05/16/9317,NR/01102023/22052037/LT-59,NR/01102023/06022042/L_NR_2012_07,NR/01102023/05012040/L_NR_2020_02,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/19072037/LT-05,NR/01102023/31102037/L_NR_2019_11,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/06022042/L_NR_2012_02,NR/01102023/31052040/LT-31,NR/01102023/30042040/GNA_LT_35,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/04/01/8964,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/04/01/8456,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/05/01/6957,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,NR/01102023/08032047/L_NR_2021_14,NR/26072023/25122043/L_NR_2023_10,NR/22102023/11042047/L_NR_2021_17,NR/01102023/02122045/L_NR_2021_13,NR/01102023/13082046/L_NR_2021_12,NR/26072023/31072042/L_NR_2023_07,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_16,GNARE/SR/2025/01/13/4532,GNARE/NR/2024/12/20/3668,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/L_NR_2019_05,WR/01102023/24112044/L_NR_2020_07,WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2022_09,L_NR_2019_19,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/01102023/L_NR_2020_06,GNA/NR/2025/05/01/3877,GNA/NR/2025/05/01/5800,GNA/NR/2025/05/01/7902,GNA/NR/2025/05/01/9395,GNA/NR/2025/05/01/2474,GNA/NR/2025/05/01/2069,GNA/NR/2025/05/01/9252,GNA/NR/2025/05/01/8954,GNA/NR/2025/05/01/6363,GNA/NR/2025/05/01/7791,GNA/NR/2025/05/16/1698
1,00:00-00:15,14.9,0,14.49,10.63,82.12,7.25,87.14,6.09,100.65,115.53,8.47,273.16,261.43,0,0,14.61,7.07,0,10.29,28.26,164.24,32,32,0,0,0,0,0,0,0,0,43.02,0,91.5,0,32,0,30.5,61.33,61.33,0,0,30.5,28.98,67.63,28.98,0,29.1,0,13.53,5.8,14.49,0,20.53

2,00:15-00:30,14.9,0,14.49,10.63,82.12,7.25,87.14,6.09,100.65,115.53,8.47,273.16,261.43,0,0,14.61,7.07,0,10.29,28.77,164.24,32,32,0,0,0,0,0,0,0,0,43.02,0,91.01,0,32.33,0,30.33,61.33,61.33,0,0,30.33,28.98,67.63,28.98,0,29.1,0,13.53,5.8,14.49,0,20.53

3,00:30-00:45,14.9,0,14.49,10.63,82.12,7.25,87.14,7.96,100.65,115.53,8.47,273.16,261.43,0,0,14.61,7.07,0,10.29,29.27,164.24,32,32,0,0,0,0,0,0,0,0,43.02,0,91.01,0,32.33,0,30.33,67.1,67.1,0,0,30.33,28.98,67.63,28.98,0,29.1,0,13.53,5.8,14.49,0,20.53

4,00:45-01:00,14.9,0,14.49,10.63,82.12,7.25,87.14,7.96,100.65,115.53,8.47,273.16,261.43,0,0,14.61,7.07,0,10.29,29.27,164.24,32,32,0,0,0,0,0,0,0,0,42.82,0,91.5,0,32.67,0,30.5,67.47,67.47,0,0,30.5,28.98,67.63,28.98,0,29.1,0,13.53,5.8,14.49,0,20.53

5,01:00-01:15,14.9,0,14.49,10.63,82.12,7.25,87.14,7.68,100.65,63.54,8.32,273.16,261.43,0,0,14.42,7.07,0,10.29,29.27,164.24,26.5,26.5,0,0,0,0,0,0,0,0,43.02,0,109.99,0,32.67,0,36.67,75,75,0,0,36.67,28.98,67.63,28.98,0,29.1,0,13.53,5.8,14.49,0,20.53

6,01:15-01:30,14.9,0,14.49,10.63,82.12,7.25,87.14,7.68,100.65,63.54,8.32,273.16,261.43,0,0,14.42,7.07,0,10.29,29.27,164.24,26.5,26.5,0,0,0,0,0,0,0,0,43.02,0,109.01,0,32.33,0,36.33,75,75,0,0,36.33,28.98,67.63,28.98,0,29.1,0,13.53,5.8,14.49,0,20.53

7,01:30-01:45,14.9,0,14.49,10.63,82.12,7.25,69.15,7.68,100.65,89.96,8.32,273.16,201.31,0,0,14.42,5.28,0,10.29,29.27,164.24,26.5,26.5,0,0,0,0,0,0,0,0,43.02,0,108,0,32,0,36,75,75,0,0,36,28.98,67.63,28.98,0,29.1,0,13.53,5.8,14.49,0,20.53

8,01:45-02:00,14.9,0,14.49,10.63,82.12,7.25,69.15,7.68,100.65,81.44,8.32,273.16,201.31,0,0,14.42,5.28,0,10.29,29.27,164.24,26.5,26.5,0,0,0,0,0,0,0,0,42.82,0,107.51,0,32,0,35.83,75,75,0,0,35.83,28.98,67.63,28.98,0,29.1,0,13.53,5.8,14.49,0,20.53

9,02:00-02:15,14.9,0,14.49,10.63,82.12,7.25,50.13,7.5,100.65,72.92,7.93,273.16,201.31,0,0,14.24,5.28,0,10.29,29.27,164.24,26.5,26.5,0,0,0,0,0,0,0,0,42.62,0,105,0,32.33,0,35,75,75,0,0,35,28.98,0,0,0,29.1,96.61,13.53,0,0,0,20.53

10,02:15-02:30,11.01,0,14.49,10.63,82.12,7.25,49.18,7.5,100.65,70.46,7.93,273.16,185.01,0,0,14.24,5.28,0,10.29,29.27,164.24,26.5,26.5,0,0,0,0,0,0,0,0,42.42,0,103.99,0,31.67,0,34.67,75,75,0,0,34.67,28.98,0,0,0,29.1,96.61,13.53,0,0,0,20.53

11,02:30-02:45,11.01,0,14.49,10.63,82.12,7.25,49.18,7.5,100.65,70.46,7.93,273.16,145.57,0,0,14.24,5.28,0,10.29,29.27,164.24,26.5,26.5,0,0,0,0,0,0,0,0,42.02,0,101.51,0,31.33,0,33.83,75,75,0,0,33.83,28.98,0,0,0,29.1,96.61,13.53,0,0,0,20.53

12,02:45-03:00,11.01,0,14.49,10.63,82.12,7.25,49.18,7.5,100.65,70.46,7.93,273.16,145.57,0,0,14.24,5.28,0,10.29,29.27,164.24,26.5,26.5,0,0,0,0,0,0,0,0,39.02,0,100.01,0,30.67,0,33.33,75,75,0,0,33.33,28.98,0,0,0,29.1,96.61,13.53,0,0,0,20.53

13,03:00-03:15,11.01,0,14.49,10.63,82.12,6.23,49.18,7.12,100.65,70.46,7.7,273.16,145.57,0,0,14.06,5.28,0,7.38,29.27,164.24,26.5,26.5,0,0,0,0,0,0,0,0,42.02,0,97.5,0,30.67,0,32.5,74.33,74.33,0,0,32.5,28.98,0,0,0,29.1,96.61,13.53,0,0,0,20.53

14,03:15-03:30,11.01,0,14.49,10.63,82.12,6.7,49.18,7.12,100.65,70.46,7.7,273.16,145.57,0,0,14.06,5.28,0,7.38,29.27,164.24,26.5,26.5,0,0,0,0,0,0,0,0,41.62,0,94.99,0,30.33,0,31.67,73.33,73.33,0,0,31.67,28.98,0,0,0,29.1,96.61,13.53,0,0,0,20.53

15,03:30-03:45,11.01,0,14.49,10.63,82.12,6.7,49.18,7.12,100.65,70.46,7.7,231.86,145.57,0,0,14.06,5.28,0,7.38,30.28,164.24,26.5,26.5,0,0,0,0,0,0,0,0,41.02,0,93.49,0,30.33,0,31.17,80.23,80.23,0,0,31.17,28.98,0,0,0,29.1,96.61,13.53,0,0,0,20.53

16,03:45-04:00,11.01,0,14.49,10.63,82.12,6.7,49.18,7.12,100.65,70.46,7.7,231.86,145.57,0,0,14.06,5.28,0,7.38,30.28,164.24,26.5,26.5,0,0,0,0,0,0,0,0,40.02,0,91.01,0,30,0,30.33,80.69,80.69,0,0,30.33,28.98,0,0,0,29.1,96.61,13.53,0,0,0,20.53

17,04:00-04:15,11.01,0,14.49,10.63,82.12,6.7,38.64,6.74,100.65,70.46,7.31,231.86,145.57,0,0,13.78,5.28,0,7.38,30.28,164.24,26.5,26.5,0,0,0,0,0,0,0,0,39.62,0,88.99,0,26.67,0,29.67,78.62,78.62,0,0,29.67,28.98,0,0,0,29.1,96.61,13.53,0,0,0,20.53

18,04:15-04:30,11.01,0,14.49,10.63,82.12,6.7,38.64,6.74,100.65,70.46,7.31,231.86,145.57,0,0,13.78,5.28,0,7.38,29.78,164.24,26.5,26.5,0,0,0,0,0,0,0,0,39.42,0,85.99,0,26,0,28.67,78.75,78.75,0,0,28.67,28.98,0,0,0,29.1,96.61,13.53,0,0,0,20.53

19,04:30-04:45,11.01,0,14.49,10.63,82.12,6.62,38.64,6.74,100.65,70.46,7.31,231.86,145.57,0,0,13.78,5.28,0,7.38,29.78,164.24,26.5,26.5,0,0,0,0,0,0,0,0,39.02,0,100.45,0,25.67,0,33.49,78.94,78.94,0,0,33.49,28.98,0,0,0,29.1,96.61,13.53,0,0,0,20.53

20,04:45-05:00,11.01,0,14.49,10.63,82.12,6.62,38.64,6.74,100.65,70.46,7.31,231.86,145.57,0,0,13.78,5.28,0,10.29,29.27,164.24,26.5,26.5,0,0,0,0,0,0,0,0,39.02,0,97.55,0,25.67,0,32.51,78.08,78.08,0,0,32.51,28.98,0,0,0,29.1,96.61,13.53,0,0,0,20.53

21,05:00-05:15,11.01,0,14.49,10.63,82.12,6.62,38.64,6.74,100.65,70.46,7.17,234.52,110.14,0,0,13.59,5.28,0,7.38,29.27,164.24,26.5,26.5,0,0,0,0,0,0,0,0,43.02,0,92.21,0,27.06,0,30.73,78.78,78.78,0,0,30.73,28.98,0,0,0,29.1,96.61,13.53,0,0,0,20.53

22,05:15-05:30,11.01,0,14.49,10.63,82.12,6.62,38.64,6.74,100.65,70.46,7.17,195.88,110.14,0,0,13.59,5.28,0,7.38,29.27,164.24,26.5,26.5,0,0,0,0,0,0,0,0,43.02,0,86.68,0,25.89,0,28.89,76.25,76.25,0,0,28.89,28.98,0,0,0,29.1,96.61,13.53,0,0,0,20.53

23,05:30-05:45,11.01,0,14.49,10.63,82.12,6.39,38.64,6.74,100.65,70.46,7.17,199.96,110.14,0,0,13.59,5.28,0,7.38,30.28,164.24,26.5,26.5,0,0,0,0,0,0,0,0,43.02,0,81.68,0,24.7,0,27.23,76.33,76.33,0.22,0,27.23,28.98,0,0,0,29.1,96.61,13.53,0,0,0,20.53

24,05:45-06:00,11.01,0,14.49,10.63,82.12,6.39,38.64,6.74,100.65,70.46,7.17,238.61,110.14,0,0,13.59,5.28,0,7.38,29.78,164.24,26.5,26.5,0,0,0,0,0,0,0,0,43.02,0.34,78.6,0,23.58,0,26.2,74.22,74.22,1.91,0,26.2,28.98,0,0,0,29.1,96.61,13.53,0,0,0,20.53

25,06:00-06:15,11.01,0,14.49,10.63,82.12,5.84,38.64,6.74,100.65,70.46,6.94,199.02,145.57,0,0,13.41,5.28,0,7.38,29.26,164.24,26.5,26.5,1,0,0,0.29,1.46,0,1,1,42.82,1.18,87.25,0,25.44,13.46,29.09,73.58,73.58,3.82,6.93,29.09,28.98,0,0,0,29.1,96.61,13.53,0,0,0,20.53

26,06:15-06:30,11.01,0,14.49,10.63,82.12,5.84,38.64,6.74,100.65,70.46,6.94,160.37,110.14,0,0,13.41,5.28,0,7.38,29.26,164.24,26.5,26.5,2,1,1,0.89,4.46,0,2,2,42.62,2.59,86.56,0,24.16,24.79,28.86,71.52,71.52,7.65,15.88,28.86,28.98,0,0,0,29.1,96.61,13.53,0,0,0,20.53

27,06:30-06:45,11.01,0,14.49,10.63,82.12,5.84,38.64,6.74,51.2,70.46,6.94,150.24,110.14,0.76,0.76,13.41,5.28,0.59,7.38,28.76,164.24,26.5,26.5,3,3,2,1.68,8.42,0,3,3,42.42,4.48,86.56,3,22.89,33,28.86,71.86,71.86,12.34,32.76,28.86,28.98,0,0,0,29.1,96.61,13.53,0,0,0,20.53

28,06:45-07:00,11.01,0,14.49,10.63,82.12,5.84,38.64,6.74,51.2,70.46,6.94,150.24,110.14,1.19,1.19,13.41,5.28,0.92,7.38,28.76,164.24,26.5,26.5,6,6,3,2.59,12.93,0,5,7,42.02,6.78,85.88,6,22.06,33,28.63,72.5,72.5,18.09,33,28.63,28.98,0,0,0,29.1,96.61,13.53,0,0,0,20.53

29,07:00-07:15,11.01,0,14.49,10.63,82.12,5.84,38.64,6.56,100.65,70.46,6.94,150.24,110.14,1.71,1.71,13.23,5.28,1.33,7.38,28.76,164.24,26.5,26.5,9,10,7,3.63,18.15,0,7,15,41.82,9.38,81.86,10,21.02,33,27.28,71.9,71.9,24.78,33,27.28,28.98,0,0,0,29.1,96.61,13.53,0,0,0,20.53

