,,HARYANA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,KERALA,RAJASTHAN,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,UTTAR PRADESH,HIMACHAL PRADESH,ARUNACHAL PRADESH,ANDHRA PRADESH,MAHARASHTRA,GOA,HIMACHAL PRADESH,NA,TAMIL NADU,HIMACHAL PRADESH,NA,UTTARAKHAND,NA,NAGALAND,HIMACHAL PRADESH,MAHARASHTRA,NA,NA,NA,NA,HIMACHAL PRADESH,MP,NA,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,DELHI,NA,NA,MP,HIMACHAL PRADESH,HIMACHAL PRADESH,TAMIL NADU,NA,HIMACHAL PRADESH,MAHARASHTRA,NA,ODISHA,HIMACHAL PRADESH,MAHARASHTRA,MAHARASHTRA,MANIPUR,NA,NA,NA,NA,NA,NA,MAHARASHTRA,NA,DELHI,NA,
,,HARYANA,RKM_POWER,NHCPL_HP,SHPPBPL,KSEB,RUVNL,SHPPBPL,CHANJUII,RKM_POWER,JPNIGRIE_JNSTPP,HP,MEJA,SHPPBPL,Arunachal_Ben,ITCWIND,AEML,GOA_Beneficiary,SHPPBPL,JITPL,MMS STEEL TN,SHPPBPL,ACBIL,UTTARAKHAND,SIMHAPURI,Nagaland_Ben,SHPPBPL,MSEB_Beneficiary,JPL,JITPL,SEILP2,MPL,HP,BLAPOWER_MP,APL_Raigarh TPP,JPL-2,SORANG_HEP,SHPPBPL,SHPPBPL,SEILP2,BAWANA_GAS,JITPL,JHAJJAR,JP BINA,GBHHPL,HP-GOVT,TANGEDCO,SBSRPC11PL_BKN,SHPPBPL,JPL_DHULE,SOLAPUR_SOLAR,GMRKEL (STU),GBHHPL,A_A_Energy_MH_Bio,JPL_DHULE,Manipur_Ben,RKM_POWER,KAMENG,APL_Raigarh TPP,SKS Raigarh,JPL-2,DADRT2,TPC MSEB,SBSRPC11PL_BKN,BAWANA_GAS,JPL,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,HARYANA,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,PUNJAB,DELHI,
,,BRPL,NDMC,MES (Delhi),UHL,BYPL,BYPL,DTCP,TPDDL,BRPL,TPDDL,BRPL,DELHI,BAL184,BRPL,ITCLH,BYPL,BRPL,BMDRC,BRPL,BRPL,BAL224,BRPL,BYPL,BRPL,BYPL,BAL234,TPDDL,BRPL,BRPL,BRPL,TPDDL,BYPL,BRPL,BRPL,TPDDL,TPDDL,JHPL-DL,MSSH,BRPL,HARYANA,NDMC,TPDDL,TPDDL,DIAPL,BRPL,BYPL,TPDDL,MHIL,BRPL,MES (Delhi),BRPL,BRPL,MES (Delhi),BRPL,BRPL,NDMC,TPDDL,BRPL,NDMC,NDMC,BRPL,BYPL,BYPL,PUNJAB,BRPL,
,,North-North,West-North,North-North,North-North,South-West-North,North-North,North-North,North-North,West-North,West-North,North-North,North-North,North-North,North East-East-North,South-West-North,West-North,West-North,North-North,East-North,South-West-North,North-North,West-North,North-North,South-West-North,North East-East-North,North-North,West-North,West-North,East-North,South-East-North,East-North,North-North,West-North,West-North,West-North,North-North,North-North,North-North,South-West-North,North-North,East-North,North-North,West-North,North-North,North-North,South-West-North,North-North,North-North,West-North,West-North,East-North,North-North,West-North,West-North,North East-East-North,West-North,North East-East-North,West-North,West-North,West-North,North-North,West-North,North-North,North-North,West-North,
20,04:45-05:00,0.000000,37.240000,1.930000,0.610000,308.450000,66.690000,0.480000,18.030000,0.000000,96.390000,72.290000,0.000000,0.360000,0.000000,0.530000,90.610000,11.710000,0.970000,96.390000,2.890000,0.520000,24.100000,84.030000,48.200000,0.000000,0.880000,0.000000,0.000000,0.000000,0.000000,0.000000,24.100000,21.210000,0.000000,96.390000,24.100000,1.590000,0.670000,24.100000,26.910000,24.830000,240.980000,48.200000,7.710000,48.200000,64.660000,0,0.880000,0.000000,0,24.100000,24.100000,4.820000,72.290000,24.020000,37.240000,168.440000,192.780000,12.420000,37.240000,134.950000,0.000000,0,26.910000,96.390000,2473.53

21,05:00-05:15,0.000000,37.240000,1.930000,0.610000,72.290000,66.690000,0.480000,17.760000,0.000000,96.390000,72.290000,0.000000,0.360000,0.000000,0.530000,90.610000,11.710000,0.970000,96.390000,2.890000,0.520000,24.100000,84.030000,48.200000,0.000000,0.880000,0.000000,0.000000,0.000000,0.000000,0.000000,24.100000,21.210000,0.000000,96.390000,24.100000,1.590000,0.670000,24.100000,26.910000,24.830000,240.980000,48.200000,7.710000,48.200000,64.660000,0,0.880000,0.000000,0,24.100000,24.100000,4.820000,72.290000,24.020000,37.240000,168.440000,192.780000,12.420000,37.240000,134.950000,0.000000,0,26.910000,96.390000,2237.1

22,05:15-05:30,0.000000,37.240000,1.930000,0.610000,72.290000,66.690000,0.480000,17.760000,0.000000,96.390000,72.290000,0.000000,0.360000,0.000000,0.530000,90.610000,11.710000,0.970000,96.390000,2.890000,0.520000,24.100000,84.030000,48.200000,0.000000,0.880000,0.000000,0.000000,0.000000,0.000000,0.000000,24.100000,21.210000,0.000000,96.390000,24.100000,1.590000,0.670000,24.100000,26.910000,24.830000,240.980000,48.200000,7.710000,48.200000,64.660000,0,0.880000,0.000000,0,24.100000,24.100000,4.820000,72.290000,24.020000,37.240000,168.440000,192.780000,12.420000,37.240000,134.950000,0.000000,0,26.910000,96.390000,2237.1

23,05:30-05:45,0.000000,37.240000,1.930000,0.610000,72.290000,66.690000,0.480000,17.760000,0.000000,96.390000,72.290000,0.000000,0.360000,0.000000,0.530000,90.610000,11.710000,0.970000,96.390000,2.890000,0.520000,24.100000,84.030000,48.200000,0.000000,0.880000,0.000000,0.000000,0.000000,0.000000,0.000000,24.100000,21.210000,0.000000,96.390000,24.100000,1.590000,0.670000,24.100000,26.910000,24.830000,240.980000,48.200000,7.710000,48.200000,64.660000,0,0.880000,0.000000,0,24.100000,24.100000,4.820000,72.290000,24.020000,37.240000,168.440000,192.780000,12.420000,37.240000,134.950000,0.000000,0,26.910000,96.390000,2237.1

24,05:45-06:00,0.000000,37.240000,1.930000,0.610000,72.290000,66.690000,0.480000,17.760000,0.000000,96.390000,72.290000,0.000000,0.360000,0.000000,0.530000,90.610000,11.710000,0.970000,96.390000,2.890000,0.520000,24.100000,84.030000,48.200000,0.000000,0.880000,0.000000,0.000000,0.000000,0.000000,0.000000,24.100000,21.210000,0.000000,96.390000,24.100000,1.590000,0.670000,24.100000,26.910000,24.830000,240.980000,48.200000,7.710000,48.200000,64.660000,0,0.880000,0.000000,0,24.100000,24.100000,4.820000,72.290000,24.020000,37.240000,168.440000,192.780000,12.420000,37.240000,134.950000,0.000000,0,26.910000,96.390000,2237.1

25,06:00-06:15,0.000000,37.240000,1.930000,0.610000,72.290000,66.690000,0.480000,17.490000,0.000000,96.390000,0.000000,0.000000,0.360000,0.000000,0.670000,90.610000,11.710000,0.970000,96.390000,2.890000,0.520000,24.100000,84.030000,48.200000,0.000000,0.880000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,21.210000,0.000000,96.390000,24.100000,1.590000,0.670000,24.100000,26.910000,24.830000,240.980000,48.200000,7.710000,48.200000,64.660000,0,0.880000,0.000000,0,24.100000,24.100000,4.820000,72.290000,24.020000,37.240000,168.440000,192.780000,12.420000,37.240000,134.950000,0.000000,0,26.910000,96.390000,2140.58

26,06:15-06:30,0.000000,37.240000,1.930000,0.610000,72.290000,66.690000,0.480000,17.490000,0.000000,96.390000,0.000000,0.000000,0.360000,0.000000,0.670000,90.610000,11.710000,0.970000,96.390000,2.890000,0.520000,24.100000,84.030000,48.200000,0.000000,0.880000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,21.210000,0.000000,96.390000,24.100000,1.590000,0.670000,24.100000,26.910000,24.830000,240.980000,48.200000,7.710000,48.200000,64.660000,0,0.880000,0.000000,0.14,24.100000,24.100000,4.820000,72.290000,24.020000,37.240000,168.440000,192.780000,12.420000,37.240000,134.950000,0.000000,0,26.910000,96.390000,2140.72

27,06:30-06:45,0.000000,37.240000,1.930000,0.610000,72.290000,66.690000,0.480000,17.490000,0.000000,96.390000,0.000000,0.000000,0.360000,0.000000,0.670000,90.610000,11.710000,0.970000,96.390000,2.890000,0.520000,24.100000,84.030000,48.200000,0.000000,0.880000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,21.210000,0.000000,96.390000,24.100000,1.590000,0.670000,24.100000,26.910000,24.830000,240.980000,48.200000,7.710000,48.200000,64.660000,0,0.880000,0.000000,0.54,24.100000,24.100000,4.820000,72.290000,24.020000,37.240000,168.440000,192.780000,12.420000,37.240000,134.950000,0.000000,0,26.910000,96.390000,2141.12

28,06:45-07:00,0.000000,37.240000,1.930000,0.610000,72.290000,66.690000,0.480000,17.490000,0.000000,96.390000,0.000000,0.000000,0.360000,0.000000,0.670000,90.610000,11.710000,0.970000,96.390000,2.890000,0.520000,24.100000,84.030000,48.200000,0.000000,0.880000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,21.210000,0.000000,96.390000,24.100000,1.590000,0.670000,24.100000,26.910000,24.830000,240.980000,48.200000,7.710000,48.200000,64.660000,0,0.880000,0.000000,0.81,24.100000,24.100000,4.820000,72.290000,24.020000,37.240000,168.440000,192.780000,12.420000,37.240000,134.950000,0.000000,0,26.910000,96.390000,2141.39

29,07:00-07:15,0.000000,37.240000,1.930000,0.610000,72.290000,66.690000,0.480000,17.300000,0.000000,96.390000,0.000000,0.000000,0.360000,0.000000,0.770000,90.610000,11.710000,0.970000,96.390000,2.890000,0.520000,24.100000,84.030000,48.200000,0.000000,0.880000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,21.210000,0.000000,96.390000,24.100000,1.590000,0.670000,24.100000,26.910000,24.830000,240.980000,48.200000,7.710000,48.200000,64.660000,0,0.880000,0.000000,1.09,24.100000,24.100000,4.820000,72.290000,24.020000,37.240000,168.440000,192.780000,12.420000,37.240000,134.950000,0.000000,0,26.910000,96.390000,2141.58

30,07:15-07:30,0.000000,37.240000,1.930000,0.610000,72.290000,66.690000,0.480000,17.300000,0.000000,96.390000,0.000000,0.000000,0.360000,0.000000,0.770000,90.610000,11.710000,0.970000,96.390000,2.890000,0.520000,24.100000,84.030000,48.200000,0.000000,0.880000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,21.210000,0.000000,96.390000,24.100000,1.590000,0.670000,24.100000,26.910000,24.830000,240.980000,48.200000,7.710000,48.200000,64.660000,0,0.880000,0.000000,1.34,24.100000,24.100000,4.820000,72.290000,24.020000,37.240000,168.440000,192.780000,12.420000,37.240000,134.950000,0.000000,0,26.910000,96.390000,2141.83

31,07:30-07:45,0.000000,37.240000,1.930000,0.610000,72.290000,66.690000,0.480000,17.300000,0.000000,96.390000,0.000000,0.000000,0.360000,0.000000,0.770000,90.610000,11.710000,0.970000,96.390000,2.890000,0.520000,24.100000,84.030000,48.200000,0.000000,0.880000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,21.210000,0.000000,96.390000,24.100000,1.590000,0.670000,24.100000,26.910000,24.830000,240.980000,48.200000,7.710000,48.200000,64.660000,0,0.880000,0.000000,1.63,24.100000,24.100000,4.820000,72.290000,24.020000,37.240000,168.440000,192.780000,12.420000,37.240000,134.950000,0.000000,0,26.910000,96.390000,2142.12

32,07:45:08:00,0.000000,37.240000,1.930000,0.610000,72.290000,66.690000,0.480000,17.300000,0.000000,96.390000,0.000000,0.000000,0.360000,0.000000,0.770000,90.610000,11.710000,0.970000,96.390000,2.890000,0.520000,24.100000,84.030000,48.200000,0.000000,0.880000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,21.210000,0.000000,96.390000,24.100000,1.590000,0.670000,24.100000,26.910000,24.830000,240.980000,48.200000,7.710000,48.200000,64.660000,0,0.880000,0.000000,2.09,24.100000,24.100000,4.820000,72.290000,24.020000,37.240000,168.440000,192.780000,12.420000,37.240000,134.950000,0.000000,0,26.910000,96.390000,2142.58

33,08:00-08:15,0.000000,37.240000,1.930000,0.610000,72.290000,66.690000,0.480000,17.120000,0.000000,96.390000,0.000000,0.000000,0.360000,0.000000,0.960000,90.610000,11.710000,0.970000,0.000000,2.890000,0.520000,24.100000,84.030000,48.200000,0.000000,0.880000,0.000000,96.390000,96.390000,24.100000,0.000000,0.000000,21.210000,192.780000,96.390000,24.100000,1.590000,0.670000,0.000000,26.910000,24.830000,240.980000,48.200000,8.680000,48.200000,64.660000,0,0.880000,72.290000,2.8,24.100000,24.100000,4.820000,0.000000,24.020000,37.240000,168.440000,0.000000,12.420000,37.240000,134.950000,0.000000,0,26.910000,0.000000,2144.27

34,08:15-08:30,0.000000,37.240000,1.930000,0.610000,72.290000,66.690000,0.480000,17.120000,0.000000,96.390000,0.000000,0.000000,0.360000,0.000000,0.960000,90.610000,11.710000,0.970000,0.000000,2.890000,0.520000,24.100000,84.030000,48.200000,0.000000,0.880000,0.000000,96.390000,96.390000,24.100000,0.000000,0.000000,21.210000,192.780000,96.390000,24.100000,1.590000,0.670000,0.000000,26.910000,24.830000,240.980000,48.200000,8.680000,48.200000,64.660000,0,0.880000,72.290000,2.59,24.100000,24.100000,4.820000,0.000000,24.020000,37.240000,168.440000,0.000000,12.420000,37.240000,134.950000,0.000000,0,26.910000,0.000000,2144.06

35,08:30-08:45,0.000000,37.240000,1.930000,0.610000,120.490000,66.690000,0.480000,17.120000,0.000000,96.390000,0.000000,0.000000,0.360000,0.000000,0.960000,90.610000,11.710000,0.970000,0.000000,2.890000,0.520000,24.100000,84.030000,48.200000,0.000000,0.880000,0.000000,96.390000,96.390000,24.100000,0.000000,0.000000,21.210000,192.780000,96.390000,24.100000,1.590000,0.670000,0.000000,26.910000,24.830000,240.980000,48.200000,8.680000,48.200000,64.660000,0,0.880000,72.290000,3.34,24.100000,24.100000,4.820000,0.000000,24.020000,37.240000,168.440000,0.000000,12.420000,37.240000,134.950000,0.000000,0,26.910000,0.000000,2193.01

36,08:45:09:00,0.000000,37.240000,1.930000,0.610000,120.490000,66.690000,0.480000,17.120000,0.000000,96.390000,0.000000,0.000000,0.360000,0.000000,0.960000,90.610000,11.710000,0.970000,0.000000,2.890000,0.520000,24.100000,84.030000,48.200000,0.000000,0.880000,0.000000,96.390000,96.390000,24.100000,0.000000,0.000000,21.210000,192.780000,96.390000,24.100000,1.590000,0.670000,0.000000,26.910000,24.830000,240.980000,48.200000,8.680000,48.200000,64.660000,0,0.880000,72.290000,3.32,24.100000,24.100000,4.820000,0.000000,24.020000,37.240000,168.440000,0.000000,12.420000,37.240000,134.950000,0.000000,0,26.910000,0.000000,2192.99

37,09:00:09:15,0.000000,37.240000,1.930000,0.610000,120.490000,66.690000,0.480000,16.940000,0.000000,96.390000,0.000000,0.000000,0.360000,0.000000,0.960000,90.610000,11.710000,0.970000,0.000000,2.890000,0.520000,24.100000,84.030000,48.200000,0.000000,0.880000,0.000000,96.390000,96.390000,24.100000,0.000000,0.000000,21.210000,192.780000,96.390000,24.100000,1.590000,0.670000,0.000000,26.910000,24.830000,240.980000,48.200000,9.640000,48.200000,64.660000,0,0.880000,72.290000,4.45,24.100000,24.100000,4.820000,0.000000,24.020000,37.240000,168.440000,0.000000,12.420000,37.240000,134.950000,0.000000,0,26.910000,0.000000,2194.9

38,09:15-09:30,0.000000,37.240000,1.930000,0.610000,120.490000,66.690000,0.480000,16.940000,0.000000,96.390000,0.000000,0.000000,0.360000,0.000000,0.960000,90.610000,11.710000,0.970000,0.000000,2.890000,0.520000,24.100000,84.030000,48.200000,0.000000,0.880000,0.000000,96.390000,96.390000,24.100000,0.000000,0.000000,21.210000,192.780000,96.390000,24.100000,1.590000,0.670000,0.000000,26.910000,24.830000,240.980000,48.200000,9.640000,48.200000,64.660000,0,0.880000,72.290000,5.33,24.100000,24.100000,4.820000,0.000000,24.020000,37.240000,168.440000,0.000000,12.420000,37.240000,134.950000,0.000000,0,26.910000,0.000000,2195.78

39,09:30-09:45,0.000000,37.240000,1.930000,0.610000,120.490000,66.690000,0.480000,16.940000,0.000000,96.390000,0.000000,0.000000,0.360000,0.000000,0.960000,90.610000,11.710000,0.970000,0.000000,2.890000,0.520000,24.100000,84.030000,48.200000,0.000000,0.880000,0.000000,96.390000,96.390000,24.100000,0.000000,0.000000,21.210000,192.780000,96.390000,24.100000,1.590000,0.670000,0.000000,26.910000,24.830000,240.980000,48.200000,9.640000,48.200000,64.660000,0,0.880000,72.290000,5.08,24.100000,24.100000,4.820000,0.000000,24.020000,37.240000,168.440000,0.000000,12.420000,37.240000,134.950000,0.000000,0,26.910000,0.000000,2195.53

40,09:45-10:00,0.000000,37.240000,1.930000,0.610000,120.490000,66.690000,0.480000,16.940000,0.000000,96.390000,0.000000,0.000000,0.360000,0.000000,0.960000,90.610000,11.710000,0.970000,0.000000,2.890000,0.520000,24.100000,84.030000,48.200000,0.000000,0.880000,0.000000,96.390000,96.390000,24.100000,0.000000,0.000000,21.210000,192.780000,96.390000,24.100000,1.590000,0.670000,0.000000,26.910000,24.830000,240.980000,48.200000,9.640000,48.200000,64.660000,0,0.880000,72.290000,5.79,24.100000,24.100000,4.820000,0.000000,24.020000,37.240000,168.440000,0.000000,12.420000,37.240000,134.950000,0.000000,0,26.910000,0.000000,2196.24

41,10:00-10:15,0.000000,37.240000,1.930000,0.610000,120.490000,66.690000,0.480000,16.740000,0.000000,96.390000,0.000000,0.000000,0.360000,0.000000,0.960000,90.610000,11.710000,0.970000,0.000000,2.890000,0.520000,24.100000,84.030000,48.200000,0.000000,0.880000,0.000000,96.390000,96.390000,24.100000,0.000000,0.000000,21.210000,192.780000,96.390000,24.100000,1.590000,0.670000,0.000000,26.910000,24.830000,240.980000,48.200000,11.570000,48.200000,64.660000,0,0.880000,72.290000,6.07,24.100000,24.100000,4.820000,0.000000,24.020000,37.240000,168.440000,0.000000,12.420000,37.240000,134.950000,0.000000,0,26.910000,0.000000,2198.25

42,10:15-10:30,0.000000,37.240000,1.930000,0.610000,120.490000,66.690000,0.480000,16.740000,0.000000,96.390000,0.000000,0.000000,0.360000,0.000000,0.960000,90.610000,11.710000,0.970000,0.000000,2.890000,0.520000,24.100000,84.030000,48.200000,0.000000,0.880000,0.000000,96.390000,96.390000,24.100000,0.000000,0.000000,21.210000,192.780000,96.390000,24.100000,1.590000,0.670000,0.000000,26.910000,24.830000,240.980000,48.200000,11.570000,48.200000,64.660000,0,0.880000,72.290000,6.15,24.100000,24.100000,4.820000,0.000000,24.020000,37.240000,168.440000,0.000000,12.420000,37.240000,134.950000,0.000000,0,26.910000,0.000000,2198.33

43,10:30-10:45,0.000000,37.240000,1.930000,0.610000,120.490000,66.690000,0.480000,16.740000,0.000000,96.390000,0.000000,0.000000,0.360000,0.000000,0.960000,90.610000,11.710000,0.970000,0.000000,2.890000,0.520000,24.100000,84.030000,48.200000,0.000000,0.880000,0.000000,96.390000,96.390000,24.100000,0.000000,0.000000,21.210000,192.780000,96.390000,24.100000,1.590000,0.670000,0.000000,26.910000,24.830000,240.980000,48.200000,11.570000,48.200000,64.660000,0,0.880000,72.290000,5.6,24.100000,24.100000,4.820000,0.000000,24.020000,37.240000,168.440000,0.000000,12.420000,37.240000,134.950000,0.000000,0,26.910000,0.000000,2197.78

44,10:45-11:00,0.000000,37.240000,1.930000,0.610000,120.490000,66.690000,0.480000,16.740000,0.000000,96.390000,0.000000,0.000000,0.360000,0.000000,0.960000,90.610000,11.710000,0.970000,0.000000,2.890000,0.520000,24.100000,84.030000,48.200000,0.000000,0.880000,0.000000,96.390000,96.390000,24.100000,0.000000,0.000000,21.210000,192.780000,96.390000,24.100000,1.590000,0.670000,0.000000,26.910000,24.830000,240.980000,48.200000,11.570000,48.200000,64.660000,0,0.880000,72.290000,5.95,24.100000,24.100000,4.820000,0.000000,24.020000,37.240000,168.440000,0.000000,12.420000,37.240000,134.950000,0.000000,0,26.910000,0.000000,2198.13

45,11:00-11:15,0.000000,37.240000,1.930000,0.610000,120.490000,66.690000,0.480000,16.740000,0.000000,96.390000,0.000000,0.000000,0.360000,0.000000,0.960000,90.610000,11.710000,0.970000,0.000000,2.890000,0.520000,24.100000,84.030000,48.200000,0.000000,0.880000,0.000000,96.390000,96.390000,24.100000,0.000000,0.000000,21.210000,192.780000,96.390000,24.100000,1.590000,0.670000,0.000000,26.910000,24.830000,240.980000,48.200000,11.570000,48.200000,64.660000,0,0.880000,72.290000,7.14,24.100000,24.100000,4.820000,0.000000,24.020000,37.240000,168.440000,0.000000,12.420000,37.240000,134.950000,0.000000,0,26.910000,0.000000,2199.32

46,11:15-11:30,0.000000,37.240000,1.930000,0.610000,120.490000,66.690000,0.480000,16.740000,0.000000,96.390000,0.000000,0.000000,0.360000,0.000000,0.960000,90.610000,11.710000,0.970000,0.000000,2.890000,0.520000,24.100000,84.030000,48.200000,0.000000,0.880000,0.000000,96.390000,96.390000,24.100000,0.000000,0.000000,21.210000,192.780000,96.390000,24.100000,1.590000,0.670000,0.000000,26.910000,24.830000,240.980000,48.200000,11.570000,48.200000,64.660000,0,0.880000,72.290000,7.86,24.100000,24.100000,4.820000,0.000000,24.020000,37.240000,168.440000,0.000000,12.420000,37.240000,134.950000,0.000000,0,26.910000,0.000000,2200.04

47,11:30-11:45,0.000000,37.240000,1.930000,0.610000,120.490000,66.690000,0.480000,16.740000,0.000000,96.390000,0.000000,0.000000,0.360000,0.000000,0.960000,90.610000,11.710000,0.970000,0.000000,2.890000,0.520000,24.100000,84.030000,48.200000,0.000000,0.880000,0.000000,96.390000,96.390000,24.100000,0.000000,0.000000,21.210000,192.780000,96.390000,24.100000,1.590000,0.670000,0.000000,26.910000,24.830000,240.980000,48.200000,11.570000,48.200000,64.660000,0,0.880000,72.290000,6.12,24.100000,24.100000,4.820000,0.000000,24.020000,37.240000,168.440000,0.000000,12.420000,37.240000,134.950000,0.000000,0,26.910000,0.000000,2198.3

48,11:45-12:00,0.000000,37.240000,1.930000,0.610000,120.490000,66.690000,0.480000,16.740000,0.000000,96.390000,0.000000,0.000000,0.360000,0.000000,0.960000,90.610000,11.710000,0.970000,0.000000,2.890000,0.520000,24.100000,84.030000,48.200000,0.000000,0.880000,0.000000,96.390000,96.390000,24.100000,0.000000,0.000000,21.210000,192.780000,96.390000,24.100000,1.590000,0.670000,0.000000,26.910000,24.830000,240.980000,48.200000,11.570000,48.200000,64.660000,0,0.880000,72.290000,7.61,24.100000,24.100000,4.820000,0.000000,24.020000,37.240000,168.440000,0.000000,12.420000,37.240000,134.950000,0.000000,0,26.910000,0.000000,2199.79

49,12:00-12:15,0.000000,37.240000,1.930000,0.610000,120.490000,66.690000,0.480000,13.160000,0.000000,96.390000,0.000000,0.000000,0.360000,0.000000,0.960000,90.610000,11.710000,0.970000,0.000000,2.890000,0.520000,24.100000,84.030000,48.200000,0.000000,0.880000,0.000000,96.390000,96.390000,24.100000,0.000000,0.000000,21.210000,192.780000,96.390000,24.100000,1.590000,0.670000,0.000000,26.910000,24.830000,240.980000,48.200000,11.570000,48.200000,64.660000,0,0.880000,72.290000,6.27,24.100000,24.100000,4.820000,0.000000,24.020000,37.240000,168.440000,0.000000,12.420000,37.240000,134.950000,0.000000,0,26.910000,0.000000,2194.87

50,12:15-12:30,0.000000,37.240000,1.930000,0.610000,120.490000,66.690000,0.480000,13.160000,0.000000,96.390000,0.000000,0.000000,0.360000,0.000000,0.960000,90.610000,11.710000,0.970000,0.000000,2.890000,0.520000,24.100000,84.030000,48.200000,0.000000,0.880000,0.000000,96.390000,96.390000,24.100000,0.000000,0.000000,21.210000,192.780000,96.390000,24.100000,1.590000,0.670000,0.000000,26.910000,24.830000,240.980000,48.200000,11.570000,48.200000,64.660000,0,0.880000,72.290000,5.71,24.100000,24.100000,4.820000,0.000000,24.020000,37.240000,168.440000,0.000000,12.420000,37.240000,134.950000,0.000000,0,26.910000,0.000000,2194.31

51,12:30-12:45,0.000000,37.240000,1.930000,0.610000,120.490000,66.690000,0.480000,13.160000,0.000000,96.390000,0.000000,0.000000,0.360000,0.000000,0.960000,90.610000,11.710000,0.970000,0.000000,2.890000,0.520000,24.100000,84.030000,48.200000,0.000000,0.880000,0.000000,96.390000,96.390000,24.100000,0.000000,0.000000,21.210000,192.780000,96.390000,24.100000,1.590000,0.670000,0.000000,26.910000,24.830000,240.980000,48.200000,11.570000,48.200000,64.660000,0,0.880000,72.290000,5.76,24.100000,24.100000,4.820000,0.000000,24.020000,37.240000,168.440000,0.000000,12.420000,37.240000,134.950000,0.000000,0,26.910000,0.000000,2194.36

52,12:45-13:00,0.000000,37.240000,1.930000,0.610000,120.490000,66.690000,0.480000,13.160000,0.000000,96.390000,0.000000,0.000000,0.360000,0.000000,0.960000,90.610000,11.710000,0.970000,0.000000,2.890000,0.520000,24.100000,84.030000,48.200000,0.000000,0.880000,0.000000,96.390000,96.390000,24.100000,0.000000,0.000000,21.210000,192.780000,96.390000,24.100000,1.590000,0.670000,0.000000,26.910000,24.830000,240.980000,48.200000,11.570000,48.200000,64.660000,0,0.880000,72.290000,5.63,24.100000,24.100000,4.820000,0.000000,24.020000,37.240000,168.440000,0.000000,12.420000,37.240000,134.950000,0.000000,0,26.910000,0.000000,2194.23

53,13:00-13:15,0.000000,37.240000,1.930000,0.610000,120.490000,66.690000,0.480000,13.160000,0.000000,96.390000,0.000000,0.000000,0.360000,0.000000,0.960000,90.610000,11.710000,0.970000,0.000000,2.890000,0.520000,24.100000,84.030000,48.200000,0.000000,0.880000,0.000000,96.390000,96.390000,24.100000,0.000000,0.000000,21.210000,192.780000,96.390000,24.100000,1.590000,0.670000,0.000000,26.910000,24.830000,240.980000,48.200000,12.530000,48.200000,64.660000,0,0.880000,72.290000,5.48,24.100000,24.100000,4.820000,0.000000,24.020000,37.240000,168.440000,0.000000,12.420000,37.240000,134.950000,0.000000,0,26.910000,0.000000,2195.04

54,13:15-13:30,0.000000,37.240000,1.930000,0.610000,120.490000,66.690000,0.480000,13.160000,0.000000,96.390000,0.000000,0.000000,0.360000,0.000000,0.960000,90.610000,11.710000,0.970000,0.000000,2.890000,0.520000,24.100000,84.030000,48.200000,0.000000,0.880000,0.000000,96.390000,96.390000,24.100000,0.000000,0.000000,21.210000,192.780000,96.390000,24.100000,1.590000,0.670000,0.000000,26.910000,24.830000,240.980000,48.200000,12.530000,48.200000,64.660000,0,0.880000,72.290000,5.35,24.100000,24.100000,4.820000,0.000000,24.020000,37.240000,168.440000,0.000000,12.420000,37.240000,134.950000,0.000000,0,26.910000,0.000000,2194.91

55,13:30-13:45,0.000000,37.240000,1.930000,0.610000,120.490000,66.690000,0.480000,13.160000,0.000000,96.390000,0.000000,0.000000,0.360000,0.000000,0.960000,90.610000,11.710000,0.970000,0.000000,2.890000,0.520000,24.100000,84.030000,48.200000,0.000000,0.880000,0.000000,96.390000,96.390000,24.100000,0.000000,0.000000,21.210000,192.780000,96.390000,24.100000,1.590000,0.670000,0.000000,26.910000,24.830000,240.980000,48.200000,12.530000,48.200000,64.660000,0,0.880000,72.290000,5.21,24.100000,24.100000,4.820000,0.000000,24.020000,37.240000,168.440000,0.000000,12.420000,37.240000,134.950000,0.000000,0,26.910000,0.000000,2194.77

