Block,Time,CHAMERA2,KGSU1AND2,KISHANGANGA,RAMPUR,RAPPB,TALST2,UNCHAHAR1,AURY_CRF,BRBCL,KKNPPU2,KOTESHWR,RIHAND3,RSTPSU7,TANAKPUR,ANTA_GF,AURY_GF,DADRT2,KUDGI,NNTPP,RIHAND1,RIHAND2,RSTPSU1TO6,SIMHST2,TALA,UNCHAHAR2,VALLURNTECL,AURY_LF,DHAULIGNGA,DULHASTI,NLCIIST1,TEHRI,NAPP,NLCTS2EXP,TANDA2,ANTA_CRF,AURY_RF,BSIUL,FSTPP I & II,KGSU3AND4,KKNP,NJPC,NLCEXP,NLCIIST2,NTPL,PARBATI3,SALAL,SASAN,TelanganaSTPP,UNCHAHAR3,URI2,DADRI_CRF,DADRI_GF,CHAMERA1,CHAMERA3,JHAJJAR,KHSTPP-II,MAPS,SIMHST1,SINGRAULI,SINGRAULI_HYDRO,UNCHAHAR4,URI,ANTA_LF,ANTA_RF,KHSTPP-I,KOLDAM,RAPPC,SEWA2,DADRI_LF,DADRI_RF
1,00:00-00:15,0,0,0,0,0,0,10.27,0,20,0,8.88,124.32,0,5.76,0,0,683.14,0,0,92,118.75,0,0,0,42.39,0,0,0,16.48,0,0,44.32,0,0,0,71.24,0,20.8,0,0,0,0,0,0,0,41.83,418.77,0,26.39,4.31,0,0,0,0,654.3,148.3,0,0,125.96,0,0,0.55,0,44.83,33.69,0,52.29,0,23.57,69.05

2,00:15-00:30,0,0,0,0,0,0,10.27,0,20,0,8.88,124.32,0,5.76,0,0,683.14,0,0,92,118.75,0,0,0,42.39,0,0,0,16.48,0,0,44.32,0,0,0,71.24,0,20.8,0,0,0,0,0,0,0,41.83,418.77,0,26.39,4.31,0,0,0,0,654.3,148.3,0,0,125.96,0,0,0.55,0,44.83,33.69,0,52.29,0,23.57,69.05

3,00:30-00:45,0,0,0,0,0,0,10.27,0,20,0,8.88,124.32,0,5.76,0,0,683.14,0,0,92,118.75,0,0,0,42.39,0,0,0,16.48,0,0,44.32,0,0,0,71.24,0,20.8,0,0,0,0,0,0,0,41.83,418.77,0,26.39,4.31,0,0,0,0,654.3,148.3,0,0,125.96,0,0,0.55,0,44.83,33.69,0,52.29,0,23.57,69.05

4,00:45-01:00,0,0,0,0,0,0,10.27,0,20,0,8.88,124.32,0,5.76,0,0,683.14,0,0,92,118.75,0,0,0,42.39,0,0,0,16.48,0,0,44.32,0,0,0,71.24,0,20.8,0,0,0,0,0,0,0,41.83,418.77,0,26.39,4.31,0,0,0,0,654.3,148.3,0,0,125.96,0,0,0.55,0,44.83,33.69,0,52.29,0,23.57,69.05

5,01:00-01:15,0,0,0,0,0,0,10.27,0,20,0,8.88,124.32,0,5.76,0,0,683.14,0,0,92,118.75,0,0,0,42.39,0,0,0,16.48,0,0,44.32,0,0,0,71.24,0,20.8,0,0,0,0,0,0,0,9.29,418.77,0,26.39,4.31,0,0,0,0,654.3,148.3,0,0,125.96,0,0,0.55,0,44.83,33.69,0,52.29,0,23.57,69.05

