Column1,Block,GNA/NR/2025/06/01/9719,GNA/NR/2025/06/01/7786,GNA/NR/2025/06/01/7782,GNA/NR/2025/06/01/4444,NR/2025/28774/A/84064,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/06/01/9257,GNA/NR/2025/06/01/5280,GNA/NR/2025/06/01/4973,GNA/NR/2025/06/01/2569,GNA/NR/2025/06/01/7762,NR/30092023/26122029/SH-06,GNA/NR/2025/06/01/2868,NR/2025/27356/A/84207,GNARE/NR/2024/12/20/3668,NR/2025/30280/C,GNA/NR/2025/06/01/7663,NR/2025/30134/C,GNA/NR/2025/06/16/8791,NR/2025/30291/C/Alternate/1,GNA/NR/2025/06/16/6051,GNA/NR/2025/06/20/3628,NR/2025/30278/C,NR/2025/30221/C,NR/2025/30279/C,NR/2025/30222/C,NR/2025/30126/C,NR/2025/30285/C,NR/2025/30212/C,NR/30092023/31122025/SH-07,NR/2025/30218/C,NR/2025/30266/C,NR/2025/30219/C,NR/2025/26565/A/84586,NR/2025/27782/A/84599,NR/2025/30282/C,NR/2025/27242/A/84264,NR/2025/27506/A/84071,NR/2025/29816/A/84189,NR/2025/27187/A/84606,NR/2025/30234/C,NR/2025/28719/A/84187,NR/2025/26566/A/84587,NR/2025/26861/A/84590,NR/2025/30289/C,NR/2025/27281/A/84653,NR/2025/26952/A/84133,NR/2025/27728/A/84601,NR/2025/27168/A/84039,NR/2025/30290/C,NR/2025/27100/A/84202,NR/2025/27157/A/84199,NR/2025/26572/A/84589,NR/2025/26777/A/84174,NR/2025/26785/A/84074,NR/2025/27726/A/84602,NR/2025/30291/C,NR/2025/26975/A/84609,NR/2025/26571/A/84588,NR/2025/26860/A/84510,NR/2025/27499/A/84618,NR/2025/27727/A/84600,NR/2025/27176/A/84607,NR/2025/26889/A/84619,NR/2025/27167/A/84037,NR/2025/26562/A/84585,NR/2025/27725/A/84603,NR/2025/26085/A/84061,NR/2025/29451/A/84205,NR/2025/27088/A/84654,NR/2025/27500/A/84072,NR/2025/27185/A/84608,NR/2025/30238/C,NR/2025/26445/A/84658,NR/2025/30239/C,Total
,,NVVNL,INSTINCT,APPCPL,PowerPulse,IEXL,DELHI,MANIKARAN,KEIPL,APPCPL,PTC,PTC,PUNJAB,NDMC,BRPL,SECI_Trader,APPCPL,SIMHAPURI,IEXL,APPCPL,NVVNL,APPCPL,MANIKARAN,APPCPL,PowerPulse,APPCPL,PowerPulse,MANIKARAN,APPCPL,PXIL,BAWANA_GAS,BRPL,INSTINCT,PowerPulse,PowerPulse,APPCPL,APPCPL,GMRETL,IEXL,DIAPL,APPCPL,APPCPL,DIAPL,PowerPulse,PowerPulse,NVVNL,MANIKARAN,PXIL,APPCPL,PTC,NVVNL,IVPL_Trader,KEIPL,PowerPulse,INSTINCT,IEXL,APPCPL,NVVNL,APPCPL,PowerPulse,BRPL,HPXL,APPCPL,APPCPL,HPXL,PTC,PowerPulse,APPCPL,ITCLH,BRPL,NVVNL,IEXL,APPCPL,APPCPL,NVVNL,APPCPL,
,,NA,NA,CSEB_State,NA,NA,HIMACHAL_STATE,MP_State,CSEB_State,NA,TELANGANA_State,ODISHA_STATE,DELHI_UT,NA,NA,NA,NA,NA,NA,GOA_State,NA,GOA_State,MSEB_State,NA,NA,NA,NA,CSEB_State,NA,NA,DELHI_UT,NA,NA,NA,NA,NA,NA,HIMACHAL_STATE,HIMACHAL_STATE,HIMACHAL_STATE,KERALA_State,Manipur_State,HIMACHAL_STATE,NA,NA,NA,CSEB_State,NA,NA,GoHP_Rampur_STATE,NA,MSEB_State,CSEB_State,NA,NA,NA,NA,NA,Manipur_State,NA,NA,JK_and_LADAKH_UT,NA,MSEB_State,MSEB_State,GoHP_Chamera1_STATE,NA,NA,ANDHRA_PRADESH_STATE,NA,NA,MSEB_State,KERALA_State,KERALA_State,NA,MSEB_State,
,,JHABUA_IPP,SIMHAPURI,CSPDCL,COASTGEN,TPSL_BKN2,CHANJUII,BLAPOWER_MP,CSPDCL,DBPL,NAVABHARAT,NBVL_OTCL,BAWANA_GAS,JIPL,TS1PL_BKN,APSEPL_FTG,JPL2,SIMHAPURI,MBMP,GOA_Beneficiary,Kameng,GOA_Beneficiary,AEML,SKS_Raigarh,APL_Raigarh_TPP,RKM_POWER,APL_Raipur_TPP,CSEB_Beneficiary,RKM_POWER,MBMP,BAWANA_GAS,JPL2,JPL2,MAHAN_ENERGEN,MAHAN_ENERGEN,TRN_ENERGY,TRN_ENERGY,GBHHPL,NHCPL_HP,GBHHPL,KSEB,Manipur_Ben,GBHHPL,MAHAN_ENERGEN,COASTGEN,ILFS,CSEB_Beneficiary,MBMP,RKM_POWER,GoHP_Rampur,SORANG_HEP,TPC_MSEB,CSEB_Beneficiary,APL_Raigarh_TPP,JPL2,MBMP,RKM_POWER,Kameng,Manipur_Ben,APL_Raigarh_TPP,JPL2,O2Z,JPL2,AEML,GRETAENERGY,GoHP_Chamera1,APL_Raipur_TPP,SKS_Raigarh,ITCWIND,DADRT2,ILFS,A_A_Energy_MH_Bio,KSEB,KSEB,JPNIGRIE_JNSTPP,AEML,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,BRPL,BRPL,BRPL,BRPL,MES_Delhi,TPDDL,BRPL,BRPL,BRPL,BRPL,BRPL,PUNJAB,NDMC,BRPL,TPDDL,NDMC,BRPL,NDMC,BRPL,TPDDL,BRPL,BRPL,NDMC,TPDDL,NDMC,TPDDL,BYPL,NDMC,BRPL,HARYANA,BRPL,BRPL,TPDDL,TPDDL,NDMC,NDMC,BRPL,MES_Delhi,DIAPL,BYPL,BYPL,DIAPL,TPDDL,BRPL,BRPL,BYPL,BRPL,NDMC,BRPL,TPDDL,BYPL,BYPL,TPDDL,BRPL,NDMC,NDMC,TPDDL,BYPL,TPDDL,BRPL,BYPL,NDMC,BYPL,BYPL,BRPL,TPDDL,NDMC,ITCLH,BRPL,BRPL,MES_Delhi,BYPL,BYPL,TPDDL,BYPL,
,,West-North,South-West-North,West-North,South-West-North,North-North,North-North,West-North,West-North,West-North,South-West-North,East-West-North,North-North,East-North,North-North,North-North,West-North,South-East-North,West-North,West-North,North East-East-West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,North-North,West-North,West-North,West-North,West-North,West-North,West-North,North-North,North-North,North-North,South-West-North,North East-East-North,North-North,West-North,South-West-North,South-West-North,West-North,West-North,West-North,North-North,North-North,West-North,West-North,West-North,West-North,West-North,West-North,North East-East-North,North East-East-North,West-North,West-North,North-North,West-North,West-North,West-North,North-North,West-North,West-North,South-West-North,North-North,South-West-North,West-North,South-West-North,South-West-North,West-North,West-North,
1,00:00-00:15,20.54,41.07,11.91,0,0,17.39,20.54,11.92,15.62,53.39,20.54,26.93,17.4,0,0,0,41.07,0,15.32,159.02,19.33,20.85,0,0,0,0,0,0,0,26.93,0,0,0,144.96,7.73,0,41.07,1.93,1.93,19.33,0,10.63,0,164.29,0,24.88,0,24.16,20.54,28.03,25.2,217.34,0,164.29,0,24.16,0,27.06,144.96,90.36,8.7,24.16,106.3,5.8,20.54,144.96,8.05,0.68,96.64,164.29,7.73,19.33,0,96.64,0,2426.4399999999996

2,00:15-00:30,20.54,41.07,11.91,0,0,17.39,20.54,11.92,15.62,53.39,20.54,26.93,17.4,0,0,0,41.07,0,15.32,163.61,19.33,20.85,0,0,0,0,0,0,0,26.93,0,0,0,144.96,7.73,0,41.07,1.93,1.93,19.33,0,10.63,0,164.29,0,24.88,0,24.16,20.54,28.03,25.2,217.34,0,164.29,0,24.16,0,27.06,144.96,90.36,8.7,24.16,106.3,5.8,20.54,144.96,8.05,0.68,96.64,164.29,7.73,19.33,0,96.64,0,2431.0299999999997

