Column1,Time,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/19072037/LT-05,WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,WR/01102023/01102023/L_NR_2022_09,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/08032047/L_NR_2021_14,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/25072045/L_NR_2021_15,WR/01102023/24112044/L_NR_2020_07,L_NR_2019_19,SR/01102023/07102043/L_NR_2018_61,WR/01102023/29112042/L_NR_2019_05,WR/01102023/31032046/L_NR_2020_05,NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2024/10/01/8106,GNA/NR/2024/10/01/3642,GNA/NR/2024/10/01/6101,NR/01102023/06022042/L_NR_2012_07,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/31052040/LT-31,NR/01102023/22052037/LT-59,NR/01102023/06022042/L_NR_2012_02,NR/01102023/30042040/GNA_LT_36,GNA/NR/2024/10/01/9582,NR/01102023/31102037/L_NR_2019_11,NR/01102023/30042040/GNA_LT_35,GNA/NR/2024/10/01/9072,NR/26072023/25122043/L_NR_2023_10,NR/01102023/13082046/L_NR_2021_12,NR/01102023/02122045/L_NR_2021_13,NR/26072023/31072042/L_NR_2023_07
1,00:00-00:15,29.77,101.07,35.37,13.33,7.34,134.46,13.33,7.34,0,0,0,0,7.33,0,7,0,22,0,0,22.89,22.89,3.45,8.82,26.45,26.45,67.91,6.39,0,3.28,263.38,0,8.82,3.24,0,26.45,0,0,0,0

2,00:15-00:30,29.77,101.07,35.37,13.33,7.34,134.46,13.33,7.34,0,0,0,0,7.33,0,7,0,22,0,0,22.89,22.89,3.45,8.82,26.45,26.45,67.91,6.39,0,3.28,263.38,0,8.82,3.24,0,26.45,0,0,0,0

3,00:30-00:45,29.77,101.07,35.37,13.33,7.34,134.46,13.33,7.34,0,0,0,0,7.33,0,7,0,22,0,0,24.14,24.14,3.45,8.82,26.45,26.45,67.91,6.39,0,3.28,263.38,0,8.82,3.24,0,26.45,0,0,0,0

4,00:45-01:00,29.77,101.07,35.37,13.33,7.34,134.46,13.33,7.34,0,0,0,0,7.33,0,6.8,0,22,0,0,24.14,24.14,3.45,8.82,26.45,26.45,67.91,6.39,0,3.28,263.38,0,8.82,3.24,0,26.45,0,0,0,0

5,01:00-01:15,29.77,101.07,35.37,13.33,7.34,134.46,13.33,7.34,0,0,0,0,7.33,0,6.8,0,22,0,0,24.14,24.14,3.45,8.82,26.45,26.45,67.91,6.39,0,3.28,263.38,0,8.82,3.08,0,26.45,0,0,0,0

6,01:15-01:30,29.77,101.07,35.37,13.33,6.66,134.46,13.33,7.34,0,0,0,0,7.33,0,6.6,0,22,0,0,24.14,24.14,3.45,8.82,26.45,26.45,67.91,6.39,0,3.28,263.38,0,8.82,3.08,0,26.45,0,0,0,0

7,01:30-01:45,29.77,87.31,35.37,13.33,6.66,134.46,13.33,7.34,0,0,0,0,7.33,0,6.4,0,22,0,0,24.14,24.14,3.45,8.82,26.45,26.45,67.91,6.39,0,3.28,263.38,0,8.82,3.08,0,26.45,0,0,0,0

8,01:45-02:00,29.77,67.91,35.37,13.33,6.66,134.46,13.33,7.34,0,0,0,0,7.33,0,6.2,0,22,0,0,24.14,24.14,3.45,8.82,26.45,26.45,67.91,6.39,0,3.28,263.38,0,8.82,3.08,0,26.45,0,0,0,0

9,02:00-02:15,29.77,63.06,35.37,13.33,6.66,134.46,13.33,7,0,0,0,0,7,0,6,0,21,0,0,24.14,24.14,3.45,8.82,26.45,26.45,67.91,6.39,0,3.2,263.38,0,8.82,3.08,0,26.45,0,0,0,0

10,02:15-02:30,29.77,53.36,35.37,13.33,6.66,134.46,13.33,7,0,0,0,0,7,0,6,0,21,0,0,24.14,24.14,3.45,8.82,26.45,26.45,67.91,6.39,0,3.2,263.38,0,8.82,3.08,0,26.45,0,0,0,0

11,02:30-02:45,29.77,53.36,35.37,13.33,6.66,134.46,13.33,7,0,0,0,0,7,0,6,0,21,0,0,24.14,24.14,3.45,8.82,26.45,26.45,67.91,6.39,0,3.2,263.38,0,8.82,3.08,0,26.45,0,0,0,0

12,02:45-03:00,29.77,53.36,35.37,13.33,6.66,134.46,13.33,7,0,0,0,0,7,0,6,0,21,0,0,24.14,24.14,3.45,8.82,26.45,26.45,67.91,6.39,0,3.2,263.38,0,8.82,3.08,0,26.45,0,0,0,0

13,03:00-03:15,29.77,53.36,35.37,13.33,6.66,134.46,13.33,7,0,0,0,0,7,0,6,0,21,0,0,24.14,24.14,3.36,8.82,26.45,26.45,67.91,6.39,0,3.2,263.38,0,8.82,3.08,0,26.45,0,0,0,0

14,03:15-03:30,29.77,53.36,35.37,13.33,6.66,134.46,13.33,7,0,0,0,0,7,0,6,0,21,0,0,24.14,24.14,3.36,8.82,26.45,26.45,67.91,6.39,0,3.2,247.94,0,8.82,3.08,0,26.45,0,0,0,0

15,03:30-03:45,29.77,53.36,35.37,13.33,6.66,134.46,13.33,7,0,0,0,0,7,0,6,0,21,0,0,24.14,24.14,3.36,8.82,26.45,26.45,67.91,6.39,0,3.2,247.94,0,8.82,3.08,0,26.45,0,0,0,0

16,03:45-04:00,29.77,53.36,35.37,13.33,6.66,134.46,13.33,7,0,0,0,0,7,0,6,0,21,0,0,24.14,24.14,3.36,8.82,26.45,26.45,67.91,6.39,0,3.2,247.94,0,8.82,3.08,0,26.45,0,0,0,0

17,04:00-04:15,29.77,53.36,35.37,13.33,6.66,134.46,13.33,7,0,0,0,0,7,0,6,0,21,0,0,24.14,24.14,3.36,8.82,26.45,26.45,67.91,6.39,0,3.12,247.94,0,8.82,3.08,0,26.45,0,0,0,0

18,04:15-04:30,29.77,53.36,35.37,13.33,6.66,134.46,13.33,7,0,0,0,0,7,0,6,0,21,0,0,24.14,24.14,3.36,8.82,26.45,26.45,67.91,6.39,0,3.12,252.79,0,8.82,3.08,0,26.45,0,0,0,0

19,04:30-04:45,29.77,53.36,35.37,13.33,6.66,134.46,13.33,7,0,0,0,0,7,0,6,0,21,0,0,24.14,24.14,3.36,8.82,26.45,26.45,67.91,6.39,0,3.12,246.97,0,8.82,3.08,0,26.45,0,0,0,0

20,04:45-05:00,29.77,53.36,35.37,13.33,6.66,134.46,13.33,7,0,0,0,0,7,0,6,0,21,0,0,24.14,24.14,3.36,8.82,26.45,26.45,67.91,6.39,0,3.12,263.38,0,8.82,3.08,0,26.45,0,0,0,0

21,05:00-05:15,29.77,53.36,35.37,13.33,6.66,134.46,13.33,7,0,0,0,0,7,0,6,0,21,0,0,24.14,24.14,3.36,8.82,26.45,26.45,67.91,6.3,0,3.12,263.38,0,8.82,3.08,0,26.45,0,0,0,0

22,05:15-05:30,29.77,53.36,35.37,13.33,6.66,134.46,13.33,7,0,0,0,0,7,0,6,0,21,0,0,24.14,24.14,3.36,8.82,26.45,26.45,67.91,6.3,0,3.12,263.38,0,8.82,3.08,0,26.45,0,0,0,0

23,05:30-05:45,29.77,53.36,35.37,13.33,6.66,134.46,13.33,7,0,0,0,0,7,0,6,0,21,0,0,24.14,24.14,3.36,8.82,26.45,26.45,67.91,6.3,0,3.12,263.38,0,8.82,3.08,0,26.45,0,0,0,0

24,05:45-06:00,29.77,76.64,35.37,13.33,6.66,134.46,13.33,7,0,0,0,0,7,0,6,0,21,0,0,24.14,24.14,3.36,8.82,26.45,26.45,67.91,6.3,0,3.12,263.38,0,8.82,3.08,0,26.45,0,0,0,0

25,06:00-06:15,29.27,85.37,35.37,13.33,6.66,134.46,13.33,7,2,0,8.5,0,7,0,6,8.5,21,1,0,24.14,24.14,3.36,8.82,26.45,26.45,67.91,6.3,0,3.2,263.38,0,8.82,3.08,0,26.45,0,0,0,0

26,06:15-06:30,29.27,91.19,35.37,13.33,6.66,134.46,13.33,7,7,0,18.2,0,7,0.07,6,18.2,21,2,1,24.14,24.14,3.36,8.82,26.45,26.45,67.91,6.3,0,3.2,263.38,0,8.82,3.08,0,26.45,0,0,0,1

27,06:30-06:45,28.76,101.07,35.37,13.33,6.66,134.46,13.33,7,13,2,28.24,0,7,1.75,6,28.24,21,5,3,24.14,24.14,3.36,8.82,26.45,26.45,67.91,6.3,0.39,3.2,263.38,0.4,8.82,3.08,0.39,26.45,1,0.46,0.09,4

28,06:45-07:00,28.76,101.07,35.37,13.33,6.66,134.46,13.33,7,20,3,26.6,2,7,4.65,6,26.6,21,8,4,24.14,24.14,3.36,8.82,26.45,26.45,67.91,6.3,0.71,3.2,263.38,0.73,8.82,3.08,0.71,26.45,3,2.28,0.45,7

29,07:00-07:15,28.76,101.07,35.37,13.33,6.66,134.46,13.33,7,25.4,7,25.4,5,7,8.7,6,25.4,21,10,5,24.14,24.14,3.27,8.82,26.45,26.45,67.91,6.3,1.19,3.2,263.38,1.22,8.82,3.08,1.19,26.45,6,8.03,1.6,14

30,07:15-07:30,28.76,101.07,35.37,13.33,6.66,134.46,13.33,7,26.07,10,26.06,7,7,14.27,6,26.07,21,15,7,24.14,24.14,3.27,8.82,26.45,26.45,67.91,6.3,1.86,3.2,263.38,1.9,8.82,3.08,1.86,26.45,10,15.8,3.16,25

31,07:30-07:45,28.76,101.07,35.37,13.33,6.66,134.46,13.33,7,28.13,15,28.14,9,7,18.86,6,28.13,21,18,9,24.14,24.14,3.27,8.82,26.45,26.45,67.91,6.3,2.82,3.2,263.38,2.89,8.82,3.08,2.82,26.45,16,31.52,6.3,39

32,07:45-08:00,28.76,101.07,35.37,13.33,6.66,134.46,13.33,7,28.8,19,28.8,14,7,25.86,6,28.8,21,25,12,24.14,24.14,3.27,8.82,26.45,26.45,67.91,6.3,3.49,3.2,263.38,3.57,8.82,3.08,3.49,26.45,22,49.29,9.86,53

33,08:00-08:15,28.76,101.07,35.37,13.33,6.66,134.46,13.33,7,29.63,26,29.64,19,7,33.1,6,29.63,21,32,15,26.87,26.87,3.27,8.82,26.45,26.45,67.91,6.3,4.45,3.28,263.38,4.56,8.82,3.08,4.45,26.45,28,67,13.4,67

