Column1,Block,GNA/NR/2024/10/01/9582,NR/30092023/31122025/SH-07,GNA/NR/2024/10/01/3642,GNA/NR/2024/10/01/6101,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/26122029/SH-06,NR/2024/23356/A/40330,NR/2024/23630/C,NR/2024/23382/A/40459,NR/2024/23446/A/40457,NR/2024/23621/C,GNA/NR/2024/10/01/8106,NR/2024/23383/A/40408,NR/2024/23389/A/40327,NR/2024/23414/A/40293,NR/2024/23635/C,NR/2024/23384/A/40295,GNA/NR/2024/10/01/9072,NR/2024/23510/A/40319,NR/2024/23622/C,GNA/NR/2024/10/10/3960,Total
,,NDMC,BAWANA_GAS,NDMC,NDMC,DELHI,PUNJAB,SJVNL,IEXL,NVVNL,NVVNL,TPDDL,NDMC,ITCLH,SJVNL,IEXL,HPXL,IEXL,NDMC,DIAPL,NVVNL,HPXL,
,,NA,DELHI_UT,NA,NA,HIMACHAL_STATE,DELHI_UT,NA,NA,NA,NA,NA,NA,ANDHRA_PRADESH_STATE,NA,KARNATAKA_STATE,NA,KARNATAKA_STATE,NA,HIMACHAL_STATE,NA,NA,
,,SKS_Raigarh,BAWANA_GAS,RKM_POWER,JPL2,CHANJUII,BAWANA_GAS,TPSL_BKN2,JPNIGRIE_JNSTPP,JITPL,JITPL,JHAJJAR,TRN_ENERGY,ITCWIND,RSRPL_BKN,NSLSUGAR,SIMHAPURI,NSLSUGAR,RKM_POWER,GBHHPL,SOLAPUR_SOLAR,JITPL,
,,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,NDMC,HARYANA,NDMC,NDMC,TPDDL,PUNJAB,NDMC,TPDDL,NDMC,NDMC,TPDDL,NDMC,ITCLH,NDMC,MES_Delhi,BYPL,MES_Delhi,NDMC,DIAPL,MES_Delhi,BRPL,
,,West-North,North-North,West-North,West-North,North-North,North-North,North-North,West-North,East-North,East-North,North-North,West-North,South-West-North,North-North,South-West-North,South-West-North,South-West-North,West-North,North-North,West-North,East-North,
1,00:00-00:15,12.49,12,37.47,37.47,6.48,12,0,97.01,24.99,0,97.01,12.49,0.58,0,0,0,6.79,37.47,2.91,0,145.52,542.6800000000001

2,00:15-00:30,12.49,24.53,37.47,37.47,6.48,24.53,0,97.01,24.99,0,97.01,12.49,0.58,0,0,0,6.79,37.47,2.91,0,145.52,567.7400000000001

3,00:30-00:45,12.49,24.53,37.47,37.47,6.48,24.53,0,97.01,24.99,0,97.01,12.49,0.58,0,0,0,6.79,37.47,2.91,0,145.52,567.7400000000001

4,00:45-01:00,12.49,24.53,37.47,37.47,6.48,24.53,0,97.01,24.99,0,97.01,12.49,0.58,0,0,0,6.79,37.47,2.91,0,145.52,567.7400000000001

5,01:00-01:15,12.49,25.89,37.47,37.47,6.39,24.53,0,48.5,24.99,0,97.01,12.49,0.53,0,0,0,6.79,37.47,2.91,0,145.52,520.45

6,01:15-01:30,12.49,25.89,37.47,37.47,6.39,24.53,0,48.5,24.99,0,97.01,12.49,0.53,0,0,0,6.79,37.47,2.91,0,145.52,520.45

7,01:30-01:45,12.49,25.89,37.47,37.47,6.39,25.89,0,48.5,24.99,0,97.01,12.49,0.53,0,0,0,6.79,37.47,2.91,0,145.52,521.8100000000001

8,01:45-02:00,12.49,25.89,37.47,37.47,6.39,25.89,0,48.5,24.99,0,97.01,12.49,0.53,0,0,0,6.79,37.47,2.91,0,145.52,521.8100000000001

9,02:00-02:15,12.49,25.89,37.47,37.47,6.39,25.89,0,48.5,24.99,0,97.01,12.49,0.49,0,0,0,6.79,37.47,2.91,0,145.52,521.7700000000001

10,02:15-02:30,12.49,26.72,37.47,37.47,6.39,26.72,0,48.5,24.99,0,97.01,12.49,0.49,0,0,0,6.79,37.47,2.91,0,145.52,523.4300000000001

11,02:30-02:45,12.49,26.92,37.47,37.47,6.39,26.92,0,48.5,24.99,0,97.01,12.49,0.49,0,0,0,6.79,37.47,2.91,0,145.52,523.8300000000002

12,02:45-03:00,12.49,26.92,37.47,37.47,6.39,26.92,0,48.5,24.99,0,97.01,12.49,0.49,0,0,0,6.79,37.47,2.91,0,145.52,523.8300000000002

13,03:00-03:15,12.49,26.92,37.47,37.47,6.39,26.92,0,48.5,24.99,0,97.01,12.49,0.44,0,0,0,6.79,37.47,2.91,0,145.52,523.7800000000001

14,03:15-03:30,12.49,26.92,37.47,37.47,6.39,26.92,0,48.5,24.99,0,97.01,12.49,0.44,0,0,0,6.79,37.47,2.91,0,145.52,523.7800000000001

15,03:30-03:45,12.49,26.92,37.47,37.47,6.39,26.92,0,48.5,24.99,0,97.01,12.49,0.44,0,0,0,6.79,37.47,2.91,0,145.52,523.7800000000001

16,03:45-04:00,12.49,26.92,37.47,37.47,6.39,26.92,0,48.5,24.99,0,97.01,12.49,0.44,0,0,0,6.79,37.47,2.91,0,145.52,523.7800000000001

17,04:00-04:15,12.49,26.92,37.47,37.47,6.39,26.92,0,48.5,24.99,0,97.01,12.49,0.44,0,0,0,6.79,37.47,2.91,0,145.52,523.7800000000001

18,04:15-04:30,12.49,26.92,37.47,37.47,6.39,26.92,0,48.5,24.99,0,97.01,12.49,0.44,0,0,0,6.79,37.47,2.91,0,145.52,523.7800000000001

19,04:30-04:45,12.49,26.92,37.47,37.47,6.39,26.92,0,48.5,24.99,0,97.01,12.49,0.44,0,0,0,6.79,37.47,2.91,0,145.52,523.7800000000001

20,04:45-05:00,12.49,26.92,37.47,37.47,6.39,26.92,0,48.5,24.99,0,97.01,12.49,0.44,0,0,0,6.79,37.47,2.91,0,145.52,523.7800000000001

21,05:00-05:15,12.49,26.92,37.47,37.47,6.39,26.92,0,48.5,24.99,0,97.01,12.49,0.49,0,0,0,6.79,37.47,2.91,0,145.52,523.8300000000002

22,05:15-05:30,12.49,26.92,37.47,37.47,6.39,26.92,0,48.5,24.99,0,97.01,12.49,0.49,0,0,0,6.79,37.47,2.91,0,145.52,523.8300000000002

23,05:30-05:45,12.49,26.92,37.47,37.47,6.39,26.92,0,48.5,24.99,0,97.01,12.49,0.49,0,0,0,6.79,37.47,2.91,0,145.52,523.8300000000002

24,05:45-06:00,12.49,26.92,37.47,37.47,6.39,26.92,0,48.5,24.99,0,97.01,12.49,0.49,0,0,0,6.79,37.47,2.91,0,145.52,523.8300000000002

25,06:00-06:15,12.49,26.92,37.47,37.47,6.3,26.92,0,48.5,24.99,0,97.01,12.49,0.53,0,0,0,6.79,37.47,2.91,0,145.52,523.7800000000001

26,06:15-06:30,12.49,26.92,37.47,37.47,6.3,26.92,0,48.5,24.99,0,97.01,12.49,0.53,0,0,0,6.79,37.47,2.91,0,145.52,523.7800000000001

27,06:30-06:45,12.49,26.92,37.47,37.47,6.3,26.92,0,48.5,24.99,0,97.01,12.49,0.53,0,0,0,6.79,37.47,2.91,0,145.52,523.7800000000001

28,06:45-07:00,12.49,26.92,37.47,37.47,6.3,26.92,0,48.5,24.99,0,97.01,12.49,0.53,0,0,0,6.79,37.47,2.91,0.25,145.52,524.0300000000001

29,07:00-07:15,12.49,26.92,37.47,37.47,6.3,26.92,0,48.5,24.99,0,97.01,12.49,0.58,0,0,0,6.79,37.47,2.91,0.51,145.52,524.34

30,07:15-07:30,12.49,26.92,37.47,37.47,6.3,26.92,0,48.5,24.99,0,97.01,12.49,0.58,0,0,0,6.79,37.47,2.91,0.72,145.52,524.5500000000001

31,07:30-07:45,12.49,26.92,37.47,37.47,6.3,26.92,0,48.5,24.99,0,97.01,12.49,0.58,0,0,0,6.79,37.47,2.91,1.12,145.52,524.95

32,07:45-08:00,12.49,26.92,37.47,37.47,6.3,26.92,0,48.5,24.99,0,97.01,12.49,0.58,0,0,0,6.79,37.47,2.91,2.54,145.52,526.37

33,08:00-08:15,12.49,26.92,37.47,37.47,6.3,26.92,0,48.5,24.99,0,97.01,12.49,0.97,0,0,0,6.79,37.47,2.91,2.72,145.52,526.9400000000002

34,08:15-08:30,12.49,26.92,37.47,37.47,6.3,26.92,0,48.5,24.99,0,97.01,12.49,0.97,0,0,0,6.79,37.47,2.91,2.93,145.52,527.1500000000001

35,08:30-08:45,12.49,26.92,37.47,37.47,6.3,26.92,0,48.5,24.99,0,97.01,12.49,0.97,0,0,0,6.79,37.47,2.91,3.25,145.52,527.4700000000001

36,08:45-09:00,12.49,26.92,37.47,37.47,6.3,26.92,0,48.5,24.99,0,97.01,12.49,0.97,0,0,0,6.79,37.47,2.91,3.4,145.52,527.6200000000001

37,09:00-09:15,12.49,26.93,37.47,37.47,6.3,26.93,10.67,48.5,9.7,15.29,97.01,12.49,0.87,42.68,6.79,0,0,37.47,2.91,3.73,145.52,581.2200000000001

38,09:15-09:30,12.49,26.93,37.47,37.47,6.3,26.93,10.67,48.5,9.7,15.29,97.01,12.49,0.87,42.68,6.79,0,0,37.47,2.91,3.88,145.52,581.3700000000001

39,09:30-09:45,12.49,26.93,37.47,37.47,6.3,26.93,10.67,48.5,9.7,15.29,97.01,12.49,0.87,42.68,6.79,0,0,37.47,2.91,4.07,145.52,581.5600000000001

40,09:45-10:00,12.49,26.93,37.47,37.47,6.3,26.93,10.67,48.5,9.7,15.29,97.01,12.49,0.87,42.68,6.79,0,0,37.47,2.91,4.22,145.52,581.7100000000002

41,10:00-10:15,12.49,26.93,37.47,37.47,6.3,26.93,10.67,48.5,9.7,15.29,97.01,12.49,0.87,42.68,6.79,0,0,37.47,2.91,4.46,145.52,581.95

42,10:15-10:30,12.49,26.93,37.47,37.47,6.3,26.93,10.67,48.5,9.7,15.29,97.01,12.49,0.87,42.68,6.79,0,0,37.47,2.91,4.61,145.52,582.1000000000001

43,10:30-10:45,12.49,26.93,37.47,37.47,6.3,26.93,10.67,48.5,9.7,15.29,97.01,12.49,0.87,42.68,6.79,0,0,37.47,2.91,4.75,145.52,582.2400000000001

44,10:45-11:00,12.49,26.93,37.47,37.47,6.3,26.93,10.67,48.5,9.7,15.29,97.01,12.49,0.87,42.68,6.79,0,0,37.47,2.91,5.34,145.52,582.83

