Column1,Block,NR/2024/24566/A/47479,GNA/WR/2025/01/01/8625,GNA/WR/2025/01/01/9606,GNA/WR/2024/11/01/4200,NR/30092023/26122029/SH-06,GNA/NR/2025/01/01/6528,GNA/NR/2025/01/01/6775,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/01/01/3945,GNA/NR/2025/01/01/7459,GNA/NR/2025/01/01/3514,GNA/NR/2025/01/01/3733,GNA/NR/2025/01/01/5531,GNA/NR/2025/01/01/3925,GNA/NR/2025/01/01/8058,GNA/NR/2025/01/02/1250,GNA/NR/2025/01/01/8738,NR/30092023/31122025/SH-07,NR/2025/24619/C,NR/2025/24627/C,NR/2024/24507/A/47631,NR/2024/24607/C,NR/2024/24608/C,SR/2024/15455/C,NER/2024/2820/A/47597,NR/2024/24435/A/47398,NR/2024/24418/A/47438,NR/2024/24508/A/47629,WR/2024/25501/A/47599,NR/2025/24628/C,NR/2025/24626/C,NR/2024/24434/A/47458,Total
,,IEXL,TPTCL,APPCPL,MANIKARAN,PUNJAB,NDMC,NDMC,DELHI,NDMC,NDMC,HPXL,IEXL,PXIL,HPXL,IEXL,IEXL,IEXL,BAWANA_GAS,TPDDL,SJVNL,NVVNL,NVVNL,NVVNL,IEXL,APPCPL,IEXL,ITCLH,NVVNL,APPCPL,SJVNL,SJVNL,IEXL,
,,TELANGANA_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,NA,NA,HIMACHAL_STATE,NA,NA,NA,ODISHA_STATE,NA,NA,NA,NA,MP_State,DELHI_UT,NA,UTTARPRADESH_STATE,NA,NA,NA,DELHI_UT,DELHI_UT,KARNATAKA_STATE,ANDHRA_PRADESH_STATE,NA,DELHI_UT,NA,NA,NA,
,,NSLKSLWPRTY,BYPL,BYPL,BRPL,BAWANA_GAS,SKS_Raigarh,RKM_POWER,CHANJUII,JPL2,RKM_POWER,SKS_Raigarh,NBVLIPP,JPNIGRIE_JNSTPP,JPNIGRIE_JNSTPP,JPNIGRIE_JNSTPP,SKS_Raigarh,JP_BINA,BAWANA_GAS,JHAJJAR,BCMLUH,JITPL,TRN_ENERGY,JITPL,BYPL,BYPL,NSLSUGARALAND,ITCWIND,TRN_ENERGY,BRPL,RSRPL_BKN,TPSL_BKN2,TESPL_BKN2,
,,DELHI_UT,MSEB_State,MSEB_State,MSEB_State,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,TAMILNADU_State,Manipur_State,DELHI_UT,DELHI_UT,DELHI_UT,GOA_State,DELHI_UT,DELHI_UT,DELHI_UT,
,,MES_Delhi,TPC_MSEB,AEML,AEML,PUNJAB,NDMC,NDMC,TPDDL,NDMC,NDMC,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,HARYANA,TPDDL,NDMC,NDMC,NDMC,NDMC,TANGEDCO,Manipur_Ben,MES_Delhi,ITCLH,NDMC,GOA_Beneficiary,NDMC,NDMC,MES_Delhi,
,,South-West-North,North-West,North-West,North-West,North-North,West-North,West-North,North-North,West-North,West-North,West-North,East-North,West-North,West-North,West-North,West-North,West-North,North-North,North-North,North-North,East-North,West-North,East-North,North-West-South,North-East-North East,South-West-North,South-West-North,West-North,North-West,North-North,North-North,North-North,
1,00:00-00:15,5.76,0,0,0,0,8.65,25.94,1.74,25.94,25.94,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,0,0,17.29,0,0,0,0,9.61,0.38,8.73,0,0,0,0,369.2200000000001

2,00:15-00:30,5.76,0,0,0,0,8.65,25.94,1.74,25.94,25.94,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,0,0,17.29,0,0,0,0,9.61,0.38,8.73,0,0,0,0,369.2200000000001

3,00:30-00:45,5.76,0,0,0,0,8.65,25.94,1.74,25.94,25.94,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,0,0,17.29,0,0,0,0,9.61,0.38,8.73,0,0,0,0,369.2200000000001

4,00:45-01:00,5.76,0,0,0,0,8.65,25.94,1.74,25.94,25.94,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,0,0,17.29,0,0,0,0,9.61,0.38,8.73,0,0,0,0,369.2200000000001

5,01:00-01:15,5.76,0,0,0,0,8.65,25.94,1.74,25.94,25.94,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,0,0,17.29,0,0,0,0,9.61,0.38,8.73,0,0,0,0,369.2200000000001

6,01:15-01:30,5.76,0,0,0,0,8.65,25.94,1.74,25.94,25.94,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,0,0,17.29,0,0,0,0,9.61,0.38,8.73,0,0,0,0,369.2200000000001

7,01:30-01:45,5.76,0,0,0,0,8.65,25.94,1.74,25.94,25.94,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,0,0,17.29,0,0,0,0,9.61,0.38,8.73,0,0,0,0,369.2200000000001

8,01:45-02:00,5.76,0,0,0,0,8.65,25.94,1.74,25.94,25.94,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,0,0,17.29,0,0,0,0,9.61,0.38,8.73,0,0,0,0,369.2200000000001

9,02:00-02:15,5.76,0,0,0,0,8.65,25.94,1.74,25.94,25.94,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,0,0,17.29,0,0,0,0,9.61,0.38,8.73,0,0,0,0,369.2200000000001

