Block,Time Block,NAPP,KOTESHWR,KUDGI,NLCEXP,MAPS,NLCIIST1,NJPC,NLCIIST2,NLCTS2EXP,KHSTPP-II,KKNP,KHSTPP-I,KKNPPU2,KGSU1AND2,KGSU3AND4,KISHANGANGA,KOLDAM,CHAMERA1,BSIUL,CHAMERA3,JHAJJAR,CHAMERA2,DHAULIGNGA,FSTPP I & II,BRBCL,DULHASTI,DADRT2,RIHAND3,SASAN,SINGRAULI_HYDRO,SIMHST1,RIHAND2,SIMHST2,TALA,RIHAND1,SINGRAULI,SALAL,SEWA2,RSTPSU1TO6,RAPPC,RSTPSU7,NNTPP,RAPPB,PARBATI3,RAMPUR,NTPL,DADRI_RF,DADRI_LF,DADRI_GF,VALLURNTECL,UNCHAHAR4,TALST2,UNCHAHAR3,URI2,TANAKPUR,TelanganaSTPP,UNCHAHAR2,TEHRI,URI,UNCHAHAR1,TANDA2,DADRI_CRF,ANTA_CRF,ANTA_GF,AURY_CRF,AURY_RF,ANTA_RF,AURY_LF,ANTA_LF,AURY_GF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,42.02,8.54,0,0,0,0,0,0,0,122.96,0,37.5,0,0,0,0,0,0,0,0,344.15,0,0,12.56,19.24,15.85,293.55,119.6,402.86,0,0,114.24,0,0,88.5,104.44,1.35,0,0,51.52,0,0,0,0,0,0,0,0,0,0,0,0,13.96,4.15,5.54,0,22.42,0,1.28,11.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,42.02,8.54,0,0,0,0,0,0,0,122.96,0,37.5,0,0,0,0,0,0,0,0,344.15,0,0,15.09,16,15.85,293.55,119.6,402.86,0,0,114.24,0,0,88.5,104.44,1.35,0,0,51.52,0,0,0,0,0,0,0,0,0,0,0,0,16.5,4.15,5.54,0,26.86,0,1.28,13.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,42.02,8.54,0,0,0,0,0,0,0,93.98,0,28.98,0,0,0,0,0,0,0,0,344.15,0,0,11.25,14.19,15.85,293.55,119.6,402.86,0,0,114.24,0,0,88.5,104.44,1.35,0,0,51.52,0,0,0,0,0,0,0,0,0,0,0,0,16.5,4.15,5.54,0,26.86,0,1.28,13.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,42.02,8.54,0,0,0,0,0,0,0,93.98,0,28.98,0,0,0,0,0,0,0,0,344.15,0,0,11.25,11.39,15.85,293.55,119.6,402.86,0,0,114.24,0,0,88.5,104.44,1.35,0,0,51.52,0,0,0,0,0,0,0,0,0,0,0,0,16.5,4.15,5.54,0,26.86,0,1.28,13.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,42.02,8.54,0,0,0,0,0,0,0,93.98,0,28.98,0,0,0,0,0,0,0,0,344.15,0,0,11.25,10.99,15.85,293.55,119.6,402.86,0,0,91.01,0,0,60.83,93.97,1.35,0,0,51.52,0,0,0,0,0,0,0,0,0,0,0,0,16.5,4.15,0,0,26.86,0,1.28,13.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

