Block,Time,CHAMERA2,DULHASTI,KGSU3AND4,KKNPPU2,NNTPP,RIHAND2,UNCHAHAR3,VALLURNTECL,AURY_RF,DADRI_RF,CHAMERA3,KOTESHWR,RAMPUR,RAPPB,RSTPSU7,SEWA2,TANAKPUR,UNCHAHAR1,URI2,ANTA_RF,BSIUL,CHAMERA1,DADRT2,KGSU1AND2,KHSTPP-II,KISHANGANGA,NLCEXP,NTPL,RAPPC,SASAN,SIMHST1,SIMHST2,SINGRAULI_HYDRO,TALA,TelanganaSTPP,URI,DADRI_LF,BRBCL,DHAULIGNGA,NAPP,NLCTS2EXP,UNCHAHAR2,KHSTPP-I,MAPS,NJPC,UNCHAHAR4,NLCIIST1,RIHAND3,SALAL,TANDA2,AURY_CRF,KKNP,KUDGI,PARBATI3,ANTA_CRF,ANTA_GF,DADRI_GF,FSTPP I & II,JHAJJAR,KOLDAM,NLCIIST2,RIHAND1,RSTPSU1TO6,SINGRAULI,TALST2,TEHRI,ANTA_LF,AURY_GF,AURY_LF,DADRI_CRF
1,00:00-00:15,0,0,0,0,0,118.75,26.39,0,71.46,69.38,0,8.88,0,0,0,0,5.76,20.56,4.31,44.83,0,0,683.14,0,148.3,0,0,0,53.93,343.12,0,0,0,0,0,0.55,23.57,20,0,44.21,0,42.39,32.78,0,0,0,0,124.32,1.4,0,0,0,0,0,0,0,0,18.2,654.3,0,0,92,0,125.96,0,0,0,0,0,0

2,00:15-00:30,0,0,0,0,0,118.75,26.39,0,71.46,69.38,0,8.88,0,0,0,0,5.76,20.56,4.31,44.83,0,0,683.14,0,148.3,0,0,0,53.93,343.12,0,0,0,0,0,0.55,23.57,20,0,44.21,0,42.39,32.78,0,0,0,0,124.32,1.4,0,0,0,0,0,0,0,0,18.2,654.3,0,0,92,0,125.96,0,0,0,0,0,0

3,00:30-00:45,0,0,0,0,0,118.75,26.39,0,71.46,69.38,0,8.88,0,0,0,0,5.76,20.56,4.31,44.83,0,0,683.14,0,148.3,0,0,0,53.93,343.12,0,0,0,0,0,0.78,23.57,20,0,44.21,0,42.39,32.78,0,0,0,0,124.32,1.4,0,0,0,0,0,0,0,0,18.2,654.3,0,0,92,0,125.96,0,0,0,0,0,0

4,00:45-01:00,0,0,0,0,0,118.75,26.39,0,71.46,69.38,0,8.88,0,0,0,0,5.76,20.56,4.31,44.83,0,0,683.14,0,148.3,0,0,0,53.93,343.12,0,0,0,0,0,0.78,23.57,20,0,44.21,0,42.39,32.78,0,0,0,0,124.32,1.4,0,0,0,0,0,0,0,0,18.2,654.3,0,0,92,0,125.96,0,0,0,0,0,0

5,01:00-01:15,0,0,0,0,0,118.75,26.39,0,71.46,69.38,0,8.88,0,0,0,0,5.76,20.56,4.31,44.83,0,0,683.14,0,148.3,0,0,0,53.93,343.12,0,0,0,0,0,0.78,23.57,20,0,44.21,0,42.39,32.78,0,0,0,0,124.32,1.4,0,0,0,0,0,0,0,0,18.2,654.3,0,0,92,0,125.96,0,0,0,0,0,0

6,01:15-01:30,0,0,0,0,0,118.75,26.39,0,71.46,69.38,0,8.88,0,0,0,0,0,20.56,4.31,44.83,0,0,683.14,0,148.3,0,0,0,53.93,343.12,0,0,0,0,0,0.78,23.57,20,0,44.21,0,42.39,32.78,0,0,0,0,124.32,1.4,0,0,0,0,0,0,0,0,18.2,654.3,0,0,92,0,125.96,0,0,0,0,0,0

7,01:30-01:45,0,0,0,0,0,118.75,26.39,0,71.46,69.38,0,8.88,0,0,0,0,0,20.56,4.31,44.83,0,0,683.14,0,148.3,0,0,0,53.93,343.12,0,0,0,0,0,1.66,23.57,20,0,44.21,0,42.39,32.78,0,0,0,0,124.32,1.4,0,0,0,0,0,0,0,0,18.2,654.3,0,0,92,0,125.96,0,0,0,0,0,0

8,01:45-02:00,0,0,0,0,0,118.75,26.39,0,71.46,69.38,0,8.88,0,0,0,0,0,20.56,4.31,44.83,0,0,683.14,0,148.3,0,0,0,53.93,343.12,0,0,0,0,0,1.66,23.57,20,0,44.21,0,42.39,32.78,0,0,0,0,124.32,1.4,0,0,0,0,0,0,0,0,18.2,654.3,0,0,92,0,125.96,0,0,0,0,0,0

9,02:00-02:15,0,0,0,0,0,118.75,26.39,0,71.46,69.38,0,8.88,0,0,0,0,0,20.56,4.31,44.83,0,0,683.14,0,148.3,0,0,0,53.93,343.12,0,0,0,0,0,1.11,23.57,20,0,44.21,0,42.39,32.78,0,0,0,0,124.32,1.4,0,0,0,0,0,0,0,0,18.2,654.3,0,0,92,0,125.96,0,0,0,0,0,0

10,02:15-02:30,0,0,0,0,0,118.75,26.39,0,71.46,69.38,0,8.88,0,0,0,0,0,20.56,4.31,44.83,0,0,683.14,0,148.3,0,0,0,53.93,343.12,0,0,0,0,0,1.11,23.57,20,0,44.21,0,42.39,32.78,0,0,0,0,124.32,1.4,0,0,0,0,0,0,0,0,18.2,654.3,0,0,92,0,125.96,0,0,0,0,0,0

11,02:30-02:45,0,0,0,0,0,118.75,26.39,0,71.46,69.38,0,8.88,0,0,0,0,0,20.56,4.31,44.83,0,0,683.14,0,148.3,0,0,0,53.93,343.12,0,0,0,0,0,1.11,23.57,20,0,44.21,0,42.39,32.78,0,0,0,0,124.32,1.4,0,0,0,0,0,0,0,0,18.2,654.3,0,0,92,0,125.96,0,0,0,0,0,0

12,02:45-03:00,0,0,0,0,0,118.75,26.39,0,71.46,69.38,0,8.88,0,0,0,0,0,20.56,4.31,45.05,0,0,683.14,0,148.3,0,0,0,53.93,343.12,0,0,0,0,0,1.11,23.57,20,0,44.21,0,42.39,32.78,0,0,0,0,124.32,1.4,0,0,0,0,0,0,0,0,18.2,654.3,0,0,92,0,125.96,0,0,0,0,0,0

13,03:00-03:15,0,0,0,0,0,118.75,26.39,0,71.46,69.38,0,8.88,0,0,0,0,0,20.56,4.31,45.05,0,0,683.14,0,148.3,0,0,0,53.93,343.12,0,0,0,0,0,0.78,23.57,20,0,44.21,0,42.39,32.78,0,0,0,0,124.32,1.4,0,0,0,0,0,0,0,0,18.2,654.3,0,0,92,0,125.96,0,0,0,0,0,0

14,03:15-03:30,0,0,0,0,0,118.75,26.39,0,71.46,69.38,0,8.88,0,0,0,0,0,20.56,4.31,45.05,0,0,683.14,0,148.3,0,0,0,53.93,343.12,0,0,0,0,0,0.78,23.57,20,0,44.21,0,42.39,32.78,0,0,0,0,124.32,1.4,0,0,0,0,0,0,0,0,18.2,654.3,0,0,92,0,125.96,0,0,0,0,0,0

15,03:30-03:45,0,0,0,0,0,118.75,26.39,0,71.46,69.38,0,8.88,0,0,0,0,0,20.56,4.31,45.05,0,0,683.14,0,148.3,0,0,0,53.93,343.12,0,0,0,0,0,0.78,23.57,20,0,44.21,0,42.39,32.78,0,0,0,0,124.32,1.4,0,0,0,0,0,0,0,0,18.2,654.3,0,0,92,0,125.96,0,0,0,0,0,0

16,03:45-04:00,0,0,0,0,0,118.75,26.39,0,71.46,69.38,0,8.88,0,0,0,0,0,20.56,4.31,45.05,0,0,683.14,0,148.3,0,0,0,53.93,343.12,0,0,0,0,0,0.78,23.57,20,0,44.21,0,42.39,32.78,0,0,0,0,124.32,1.4,0,0,0,0,0,0,0,0,18.2,654.3,0,0,92,0,125.96,0,0,0,0,0,0

17,04:00-04:15,0,0,0,0,0,118.75,26.39,0,71.46,69.38,0,8.88,0,0,0,0,0,20.56,4.31,45.05,0,0,683.14,0,148.3,0,0,0,53.93,343.12,0,0,0,0,0,0.78,23.57,20,0,44.21,0,42.39,32.78,0,0,0,0,124.32,1.4,0,0,0,0,0,0,0,0,18.2,654.3,0,0,92,0,125.96,0,0,0,0,0,0

18,04:15-04:30,0,0,0,0,0,118.75,26.39,0,71.46,69.38,0,8.88,0,0,0,0,0,20.56,4.31,45.05,0,0,683.14,0,148.3,0,0,0,53.93,343.12,0,0,0,0,0,0.78,23.57,20,0,44.21,0,42.39,32.78,0,0,0,0,124.32,1.4,0,0,0,0,0,0,0,0,18.2,654.3,0,0,92,0,125.96,0,0,0,0,0,0

19,04:30-04:45,0,0,0,0,0,118.75,26.39,0,71.46,69.38,0,8.88,0,0,0,0,0,20.56,4.31,45.25,0,0,683.14,0,148.3,0,0,0,53.93,343.12,0,0,0,0,0,0.78,23.57,20,0,44.21,0,42.39,32.78,0,0,0,0,124.32,1.4,0,0,0,0,0,0,0,0,18.2,654.3,0,0,92,0,125.96,0,0,0,0,0,0

20,04:45-05:00,0,0,0,0,0,118.75,26.39,0,71.46,69.38,0,8.88,0,0,0,0,0,20.56,4.31,45.25,0,0,683.14,0,148.3,0,0,0,53.93,343.12,0,0,0,0,0,0.78,23.57,20,0,44.21,0,42.39,32.78,0,0,0,0,124.32,9.29,0,0,0,0,0,0,0,0,18.2,654.3,0,0,92,0,125.96,0,0,0,0,0,0

