Time,Block,WR/2023/19090/A,NR/2023/17165/A,NR/2023/17263/F,NR/2023/17402/F,NR/2023/17709/C,NR/2023/14875/A,NR/2023/17510/F,NR/2023/17710/C,NR/2023/17496/F,NR/2023/17344/F,Total
,,TPTCL,NVVNL,APPCPL,MANIKARAN,TPDDL,APPCPL,GBHHPL,NVVNL,IEXL,ITCLH,Total

,,DELHI,NA,DELHI,DELHI,HIMACHAL PRADESH,DELHI,HIMACHAL PRADESH,NA,KARNATAKA,ANDHRA PRADESH,
,,BYPL,SKS Raigarh,BRPL,BRPL,CHANJUII,BYPL,GBHHPL,SOLAPUR_SOLAR,NSLSUGAR,ITCWIND,
,,MAHARASHTRA,DELHI,HIMACHAL PRADESH,HIMACHAL PRADESH,DELHI,HIMACHAL PRADESH,DELHI,DELHI,DELHI,DELHI,
,,TPC MSEB,NDMC,HP,HP,TPDDL,HP,DIAPL,MES (Delhi),MES (Delhi),ITCLH,
,,North-West,West-North,North-North,North-North,North-North,North-North,North-North,West-North,South-East-North,South-West-North,
1,00:00-00:15,0.000000,62.910000,159.210000,0.000000,6.470000,68.340000,1.010000,0,6.780000,0.580000,305.3

2,00:15-00:30,0.000000,62.910000,159.210000,0.000000,6.470000,68.340000,1.010000,0,6.780000,0.580000,305.3

3,00:30-00:45,0.000000,62.910000,159.210000,0.000000,6.470000,68.340000,1.010000,0,6.780000,0.580000,305.3

4,00:45-01:00,0.000000,62.910000,159.210000,0.000000,6.470000,68.340000,1.010000,0,6.780000,0.580000,305.3

5,01:00-01:15,0.000000,62.910000,159.210000,0.000000,6.470000,68.340000,1.010000,0,6.780000,0.530000,305.25

6,01:15-01:30,0.000000,62.910000,159.210000,0.000000,6.470000,68.340000,1.010000,0,6.780000,0.530000,305.25

7,01:30-01:45,0.000000,62.910000,159.210000,0.000000,6.470000,68.340000,1.010000,0,6.780000,0.530000,305.25

8,01:45-02:00,0.000000,62.910000,159.210000,0.000000,6.470000,68.340000,1.010000,0,6.780000,0.530000,305.25

9,02:00-02:15,0.000000,62.910000,159.210000,0.000000,6.470000,68.340000,1.010000,0,6.780000,0.530000,305.25

10,02:15-02:30,0.000000,62.910000,159.210000,0.000000,6.470000,68.340000,1.010000,0,6.780000,0.530000,305.25

