Block,Time Block,KKNPPU2,KKNP,KUDGI,KOTESHWR,KOLDAM,NAPP,NLCTS2EXP,NTPL,NNTPP,MAPS,NLCEXP,NLCIIST1,NJPC,NLCIIST2,JHAJJAR,KGSU1AND2,KGSU3AND4,ANTA_CRF,ANTA_RF,AURY_LF,DADRI_GF,ANTA_LF,AURY_GF,DADRI_CRF,DADRI_RF,ANTA_GF,AURY_CRF,AURY_RF,DADRI_LF,RAPPC,RIHAND1,RAPPB,RAPPD,RSTPSU1TO6,SIMHST1,SINGRAULI,SINGRAULI_HYDRO,RSTPSU7,SIMHST2,SALAL,SEWA2,RIHAND2,RIHAND3,SASAN,UNCHAHAR3,TEHRI,TelanganaSTPP,UNCHAHAR2,TANDA2,URI,UNCHAHAR1,UNCHAHAR4,VALLURNTECL,TALST2,TANAKPUR,TEHRIPSP,URI2,TALA,BRBCL,DHAULIGNGA,BSIUL,CHAMERA2,FSTPP I & II,DULHASTI,DADRT2,CHAMERA1,CHAMERA3,RAMPUR,PARBATI3,PARBATI2,KHSTPP-II,KHSTPP-I,KISHANGANGA,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,0,43.37,8.3,23.31,0,0,0,0,0,0,169.14,0,311.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.27,45.5,0,37.1,0,0,107.56,0,0,0,65.96,17.64,120.52,125.88,162.35,21.64,79.24,0,34.48,4.89,17,14.89,1.93,0,0,3.7,100.04,35.99,18.53,14.73,40.85,0,0,16.38,36.87,104.35,40.55,0,5.46,50.07,24.72,126.8,43.8,6.71,0,0,0,0,0

2,00:15-00:30,0,0,0,43.37,8.3,23.31,0,0,0,0,0,0,169.14,0,248.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.27,45.5,0,37.1,0,0,107.56,0,0,0,65.96,17.64,120.52,125.88,162.35,19.42,79.24,0,31.32,4.89,17,14.89,1.93,0,0,3.7,100.04,35.99,18.53,12.75,40.85,0,0,16.38,36.87,104.35,40.55,0,5.46,50.07,24.72,126.8,43.8,6.71,0,0,0,0,0

3,00:30-00:45,0,0,0,43.37,8.3,23.31,0,0,0,0,0,0,169.14,0,248.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.27,45.5,0,37.1,0,0,107.56,0,0,0,65.96,17.64,120.52,125.88,162.35,19.42,79.24,0,31.32,4.89,17,14.89,1.93,0,0,3.7,100.04,35.99,18.53,13.2,40.85,0,0,16.38,36.87,104.35,40.55,0,5.46,50.07,24.72,126.8,43.8,6.71,0,0,0,0,0

4,00:45-01:00,0,0,0,43.37,8.3,23.31,0,0,0,0,0,0,169.14,0,248.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.27,45.5,0,37.1,0,0,107.56,0,0,0,65.96,17.64,120.52,125.88,162.35,19.42,79.24,0,31.32,4.89,17,14.89,1.93,0,0,11.46,100.04,35.99,18.53,12.93,40.85,0,0,16.38,36.87,104.35,40.55,0,5.46,50.07,24.72,126.8,43.8,6.71,0,0,0,0,0

5,01:00-01:15,0,0,0,43.37,8.3,23.31,0,0,0,0,0,0,169.14,0,248.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.27,45.5,0,37.1,0,0,107.56,0,0,0,65.96,17.64,120.52,125.88,162.35,19.42,79.24,0,31.32,4.89,17,14.89,1.93,0,0,12.61,100.04,35.99,18.24,12.74,40.85,0,0,16.38,36.87,104.35,40.55,0,5.46,50.07,24.72,126.8,43.8,6.71,0,0,0,0,0

6,01:15-01:30,0,0,0,43.37,8.3,23.31,0,0,0,0,0,0,169.14,0,248.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.27,45.5,0,37.1,0,0,107.56,0,0,0,65.96,17.64,120.52,125.88,162.35,19.42,79.24,0,31.32,4.89,17,14.89,1.93,0,0,12.61,100.04,35.99,18.24,10.97,40.85,0,0,16.38,36.87,104.35,40.55,0,5.46,50.07,24.72,126.8,43.8,6.71,0,0,0,0,0

7,01:30-01:45,0,0,0,43.37,8.3,23.31,0,0,0,0,0,0,169.14,0,248.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.27,45.5,0,37.1,0,0,107.56,0,0,0,65.96,17.64,120.52,125.88,162.35,19.42,79.24,0,31.32,4.89,50.38,14.89,1.93,0,0,12.61,100.04,35.99,18.24,11.6,40.85,0,0,16.38,36.87,104.35,40.55,0,5.46,50.07,24.72,126.8,43.8,6.71,0,0,0,0,0

8,01:45-02:00,0,0,0,43.37,8.3,23.31,0,0,0,0,0,0,169.14,0,248.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.27,45.5,0,37.1,0,0,107.56,0,0,0,65.96,17.64,120.52,125.88,162.35,19.42,79.24,0,31.32,4.89,50.38,14.89,1.93,0,0,12.61,100.04,35.99,18.24,10.38,40.85,0,0,14.83,36.87,104.35,40.55,0,5.46,50.07,24.72,126.8,43.8,6.71,0,0,0,0,0

9,02:00-02:15,0,0,0,43.37,8.3,23.31,0,0,0,0,0,0,169.14,0,241.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.27,45.5,0,37.1,0,0,107.56,0,0,0,61.5,17.64,120.52,125.88,173.18,18.77,79.24,0,30.59,2.3,15.93,14.48,1.46,0,0,12.61,100.04,35.99,18.24,10.22,40.85,0,0,13.82,36.87,101.16,40.55,0,5.46,52.93,24.72,126.8,43.8,6.71,0,0,0,0,0

10,02:15-02:30,0,0,0,43.37,8.3,23.31,0,0,0,0,0,0,169.14,0,241.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.27,45.5,0,37.1,0,0,107.56,0,0,0,61.5,17.64,120.52,125.88,173.18,18.77,79.24,0,30.59,2.3,15.93,14.48,1.46,0,0,12.61,100.04,35.99,18.24,10.01,40.85,0,0,13.82,36.87,101.16,40.55,0,5.46,52.93,24.72,126.8,43.8,6.71,0,0,0,0,0

11,02:30-02:45,0,0,0,43.37,8.3,23.31,0,0,0,0,0,0,169.14,0,241.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.27,45.5,0,37.1,0,0,107.56,0,0,0,59.26,17.64,120.52,125.88,173.18,18.77,79.24,0,30.59,2.3,15.93,14.48,1.46,0,0,12.61,100.04,35.99,18.24,10.66,40.85,0,0,13.82,36.87,101.16,40.55,0,5.46,52.93,24.72,126.8,43.8,6.71,0,0,0,0,0

