Column1,Block,GNA/NR/2025/08/01/4125,GNA/NR/2025/08/01/3698,GNA/NR/2025/08/01/6209,GNA/NR/2025/08/01/6475,NR/30092023/26122029/SH-06,GNA/NR/2025/08/01/5784,GNA/NR/2025/08/01/2414,GNA/NR/2025/08/01/5126,GNA/NR/2025/08/01/4452,NR/30092023/31122025/SH-07,GNA/NR/2025/08/01/1196,GNA/NR/2025/08/01/6452,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/08/01/6187,NR/2025/32535/A/101424,NR/2025/32534/A/101423,NR/2025/33637/A/101412,NR/2025/32534/A/101422,NR/2025/32532/A/101421,NR/2025/33633/A/101410,NR/2025/32532/A/101420,NR/2025/33632/A/101408,NR/2025/34776/C,NR/2025/32535/A/101425,GNARE/NR/2024/12/20/3668,NR/2025/32599/A/101125,NR/2025/31421/A/101502,NR/2025/32556/A/101475,NR/2025/34749/C,NR/2025/32559/A/101474,NR/2025/34751/C,NR/2025/32610/A/101473,NR/2025/32004/A/101478,NR/2025/31045/A/101441,NR/2025/29992/A/101361,NR/2025/32455/A/101525,NR/2025/34263/A/101193,NR/2025/34695/C,NR/2025/32375/A/101499,NR/2025/34700/C,NR/2025/31049/A/101439,NR/2025/34724/C,NR/2025/34705/C,NR/2025/32262/A/100961,NR/2025/34723/C,NR/2025/31043/A/101442,NR/2025/31048/A/101440,NR/2025/29440/A/100980,NR/2025/34722/C,NR/2025/34725/C,NR/2025/34247/A/101435,NR/2025/32397/A/100962,NR/2025/34754/C,NR/2025/34078/A/101091,Total
,,NDMC,NDMC,MANIKARAN,MANIKARAN,PUNJAB,PowerPulse,MANIKARAN,MANIKARAN,APPCPL,BAWANA_GAS,APPCPL,NVVNL,DELHI,NDMC,OIDLWM3_AEROCITY,OIDLWM2_AEROCITY,GMRETL,OIDLWM2_AEROCITY,ABLWM1_AEROCITY,GMRETL,ABLWM1_AEROCITY,GMRETL,MES_Delhi,OIDLWM3_AEROCITY,SECI_Trader,BRPL,NVVNL,APPCPL,NVVNL,APPCPL,NVVNL,APPCPL,APPCPL,PowerPulse,BYPL,MANIKARAN,PTC,PowerPulse,NVVNL,PowerPulse,PowerPulse,APPCPL,PowerPulse,TPTCL,APPCPL,PowerPulse,PowerPulse,ITCLH,APPCPL,APPCPL,PowerPulse,IEXL,NVVNL,DIAPL,
,,NA,NA,NA,MSEB_State,DELHI_UT,MSEB_State,NA,MP_State,GOA_State,DELHI_UT,GOA_State,NA,HIMACHAL_STATE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MP_State,NA,NA,NA,MSEB_State,NA,KERALA_State,NA,GoHP_NJPC_STATE,NA,MP_State,NA,NA,NA,NA,MSEB_State,NA,NA,NA,ANDHRA_PRADESH_STATE,NA,MSEB_State,NA,MSEB_State,NA,HIMACHAL_STATE,
,,SKS_Raigarh,TRN_ENERGY,MBMP,AEML,BAWANA_GAS,Vidarbha_Industry_MH,DBPL,BLAPOWER_MP,GOA_Beneficiary,BAWANA_GAS,GOA_Beneficiary,JHABUA_IPP,CHANJUII,JIPL,TESPL_BKN2,TCSPL_BKN2,JGCPL_BKN2,TESPL_BKN2,TCSPL_BKN2,JGCPL_BKN2,TESPL_BKN2,JGCPL_BKN2,NTPCREL_PSS2_KPS2_S,TCSPL_BKN2,APSEPL_FTG,TS1PL_BKN,JPNIGRIE_JNSTPP,JPL2,JP_BINA,RKM_POWER,JPNIGRIE_JNSTPP,RKM_POWER,AEML,MAHAN_ENERGEN,KSEB,MBMP,GoHP_NJPC,APL_Raipur_TPP,JP_BINA,MAHAN_ENERGEN,APL_Raigarh_TPP,RKM_POWER,APL_Raigarh_TPP,TPC_MSEB,JPL2,MAHAN_ENERGEN,APL_Raigarh_TPP,ITCWIND,RKM_POWER,AEML,APL_Raipur_TPP,A_A_Energy_MH_Bio,Kameng,GBHHPL,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,NDMC,NDMC,BRPL,BRPL,PUNJAB,BRPL,BRPL,BRPL,BRPL,HARYANA,BRPL,BRPL,TPDDL,NDMC,OIDLWM3_AEROCITY,OIDLWM2_AEROCITY,BLKMH,OIDLWM2_AEROCITY,ABLWM1_AEROCITY,DTCP,ABLWM1_AEROCITY,MAX_HPTL,MES_Delhi,OIDLWM3_AEROCITY,TPDDL,BRPL,TPDDL,NDMC,TPDDL,NDMC,TPDDL,NDMC,BYPL,TPDDL,BYPL,BRPL,BRPL,BRPL,TPDDL,TPDDL,TPDDL,NDMC,TPDDL,BYPL,NDMC,TPDDL,TPDDL,ITCLH,NDMC,BYPL,BRPL,MES_Delhi,TPDDL,DIAPL,
,,West-North,West-North,West-North,West-North,North-North,West-North,West-North,West-North,West-North,North-North,West-North,West-North,North-North,East-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,West-North,North-North,North-North,North-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,South-West-North,West-North,North-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,South-West-North,West-North,West-North,West-North,West-North,North East-East-North,North-North,
1,00:00-00:15,8.66,8.66,28.86,20.76,0,76.97,38.48,19.24,15.25,0,19.24,19.24,3.22,17.32,0,0,0,0,0,0,0,0,0,0,0,0,48.1,24.05,0,24.05,0,24.05,105.83,0,44.26,48.1,76.97,0,48.1,0,0,0,0,54.12,0,96.21,96.21,0.87,0,0,153.94,8.66,192.42,12.51,1334.3500000000004

2,00:15-00:30,8.66,8.66,28.86,20.76,0,76.97,38.48,19.24,15.25,0,19.24,19.24,3.22,17.32,0,0,0,0,0,0,0,0,0,0,0,0,48.1,24.05,0,24.05,0,24.05,105.83,0,44.26,48.1,76.97,0,48.1,0,0,0,0,54.12,0,96.21,96.21,0.87,0,0,153.94,8.66,192.42,12.51,1334.3500000000004

