Block,Time,L_NR_2023_04,LT-31,LT_MEJA_Delhi,LT-35,L_NR_2019_11,L_NR_2012_04,L_NR_2012_07,L_NR_2019_19,L_NR_2012_01,SH-06,LT-36,LT-59,SH-07,LT-05,L_NR_2020_02,L_NR_2012_02,L_NR_2018_61,L_NR_2019_06,L_NR_2020_06,L_NR_2022_08,L_NR_2021_17,L_NR_2022_10,L_NR_2020_05,L_NR_2021_14,L_NR_2020_07,L_NR_2019_07,L_NR_2021_16,L_NR_2021_12,L_NR_2019_05,L_NR_2021_15,L_NR_2022_09,L_NR_2021_13
1,00:00-00:15,0.000000,0.000000,3.470000,0.000000,6.000000,272.110000,87.270000,0.000000,101.350000,0.000000,0.000000,5.600000,0.000000,109.150000,5.810000,261.810000,7.27,0,11.72,5.91,0,20.31,35.17,0,11.74,0,0,0,0,0,20.31,0

2,00:15-00:30,0.000000,0.000000,3.470000,0.000000,6.000000,272.110000,87.270000,0.000000,101.350000,0.000000,0.000000,5.600000,0.000000,109.150000,5.810000,261.810000,7.19,0,11.65,5.83,0,20.54,34.94,0,11.63,0,0,0,0,0,20.54,0

3,00:30-00:45,0.000000,0.000000,3.470000,0.000000,6.000000,272.110000,87.270000,0.000000,101.350000,0.000000,0.000000,5.600000,0.000000,109.150000,5.810000,261.810000,7.14,0,11.39,5.68,0,20.96,34.17,0,11.4,0,0,0,0,0,20.96,0

4,00:45-01:00,0.000000,0.000000,3.470000,0.000000,6.000000,272.110000,87.270000,0.000000,101.350000,0.000000,0.000000,5.600000,0.000000,109.150000,5.810000,261.810000,7.1,0,11.43,5.51,0,20.61,34.28,0,11.43,0,0,0,0,0,20.61,0

5,01:00-01:15,0.000000,0.000000,3.470000,0.000000,6.000000,272.110000,87.270000,0.000000,101.350000,0.000000,0.000000,5.600000,0.000000,109.150000,5.810000,261.810000,7.22,0,11.59,5.35,0,20.81,34.76,0,11.58,0,0,0,0,0,20.81,0

6,01:15-01:30,0.000000,0.000000,3.470000,0.000000,6.000000,272.110000,87.270000,0.000000,101.350000,0.000000,0.000000,5.600000,0.000000,109.150000,5.810000,261.810000,7.12,0,11.4,5.17,0,21.87,34.21,0,11.41,0,0,0,0,0,21.87,0

7,01:30-01:45,0.000000,0.000000,3.470000,0.000000,6.000000,272.110000,87.270000,0.000000,101.350000,0.000000,0.000000,5.600000,0.000000,109.150000,5.810000,261.810000,7.3,0,11.77,5.2,0,22.41,35.32,0,11.78,0,0,0,0,0,22.41,0

8,01:45-02:00,0.000000,0.000000,3.470000,0.000000,6.000000,272.110000,87.270000,0.000000,101.350000,0.000000,0.000000,5.600000,0.000000,109.150000,5.810000,261.810000,7.22,0,12.1,5.22,0,36.85,36.31,0,12.11,0,0,0,0,0,36.85,0

9,02:00-02:15,0.000000,0.000000,3.470000,0.000000,5.840000,272.110000,87.270000,0.000000,101.350000,0.000000,0.000000,5.600000,0.000000,109.150000,5.680000,261.810000,7.26,0,12.35,5.19,0,36.22,37.06,0,12.36,0,0,0,0,0,36.22,0

10,02:15-02:30,0.000000,0.000000,3.470000,0.000000,5.840000,272.110000,63.450000,0.000000,101.350000,0.000000,0.000000,5.600000,0.000000,109.150000,5.680000,261.810000,7.13,0,12.41,5.19,0,35.42,37.22,0,12.4,0,0,0,0,0,35.42,0

11,02:30-02:45,0.000000,0.000000,3.470000,0.000000,5.840000,272.110000,63.450000,0.000000,101.350000,0.000000,0.000000,5.600000,0.000000,109.150000,5.680000,213.430000,7.19,0,12.28,5.13,0,34.88,36.85,0,12.28,0,0,0,0,0,34.88,0

12,02:45-03:00,0.000000,0.000000,3.470000,0.000000,5.840000,272.110000,63.450000,0.000000,101.350000,0.000000,0.000000,5.600000,0.000000,109.150000,5.680000,201.600000,7.27,0,12.7,5.05,0,34.11,38.1,0,12.71,0,0,0,0,0,34.11,0

13,03:00-03:15,0.000000,0.000000,3.470000,0.000000,5.840000,272.110000,63.450000,0.000000,101.350000,0.000000,0.000000,5.690000,0.000000,109.150000,5.680000,201.600000,7.3,0,12.65,4.94,0,22.74,37.94,0,12.65,0,0,0,0,0,22.74,0

