Block,Time,UNCHAHAR2,ANTA_LF,ANTA_GF,DADRI_LF,AURY_GF,KOLDAM,UNCHAHAR4,RAPPB,DADRI_CRF,PARBATI3,URI2,CHAMERA3,SEWA2,BSIUL,SINGRAULI,AURY_RF,TANAKPUR,RAPPC,TEHRI,URI,RAMPUR,SALAL,SASAN,BRBCL,KHSTPP-II,FSTPP I & II,TALA,KHSTPP-I,AURY_CRF,RIHAND2,ANTA_CRF,DADRT2,TANDA2,DADRI_RF,RIHAND1,NJPC,DULHASTI,DHAULIGNGA,UNCHAHAR3,ANTA_RF,DADRI_GF,AURY_LF,CHAMERA2,CHAMERA1,SINGRAULI_HYDRO,RIHAND3,KOTESHWR,NAPP,JHAJJAR,KISHANGANGA,UNCHAHAR1,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
11,02:30-02:45,42.125722,0.000000,0.000000,0.000000,0.000000,9.850160,2.980614,0.000000,0.000000,4.120860,26.203454,33.598227,0.000000,6.289964,126.522238,0.000000,11.120873,65.584005,62.103359,34.077389,6.506724,80.702294,327.722850,14.469000,142.569423,13.793780,9.528705,31.031278,0.000000,119.880488,0.000000,370.649576,5.168424,0.000000,93.620163,173.591783,57.080594,41.994958,24.051915,0.000000,0.000000,0.000000,46.782935,40.656038,1.107212,125.861008,37.808120,47.373781,363.377167,8.045392,19.373702,0,0,0,0,0

12,02:45-03:00,42.125722,0.000000,0.000000,0.000000,0.000000,9.850160,2.980614,0.000000,0.000000,16.189091,26.203454,33.598227,0.000000,6.289964,126.522238,0.000000,11.120873,65.584005,62.103359,34.077389,6.506724,80.702294,327.722850,14.469000,142.569423,13.793780,9.528705,31.031278,0.000000,119.880488,0.000000,370.649576,5.168424,0.000000,93.620163,173.591783,57.080594,41.994958,24.051915,0.000000,0.000000,0.000000,46.782935,40.656038,1.107212,125.861008,37.808120,47.373781,363.377167,8.045392,19.373702,0,0,0,0,0

13,03:00-03:15,29.210210,0.000000,0.000000,0.000000,0.000000,9.850160,2.342531,0.000000,0.000000,16.189091,26.203454,33.598227,0.000000,6.289964,126.522238,0.000000,10.503047,65.584005,62.103359,34.077389,6.506724,76.218834,327.722850,14.469000,142.440746,10.673273,9.528705,31.031278,0.000000,119.880488,0.000000,366.442762,5.168424,0.000000,93.620163,173.591783,57.080594,41.994958,18.557071,0.000000,0.000000,0.000000,46.782935,40.656038,1.107212,124.325558,37.808120,47.373781,271.481558,8.045392,15.063387,0,0,0,0,0

14,03:15-03:30,29.210210,0.000000,0.000000,0.000000,0.000000,9.850160,2.342531,0.000000,0.000000,16.189091,26.203454,33.598227,0.000000,6.289964,126.522238,0.000000,10.503047,65.584005,62.103359,34.077389,6.506724,76.218834,327.722850,14.469000,142.440746,10.629313,9.528705,31.031278,0.000000,119.880488,0.000000,366.442762,5.168424,0.000000,93.620163,173.591783,57.080594,41.994958,18.557071,0.000000,0.000000,0.000000,46.782935,40.656038,1.107212,124.325558,37.808120,47.373781,175.021558,8.045392,15.063387,0,0,0,0,0

15,03:30-03:45,29.210210,0.000000,0.000000,0.000000,0.000000,9.850160,2.342531,0.000000,0.000000,16.189091,26.203454,33.598227,0.000000,6.289964,126.522238,0.000000,10.503047,65.584005,62.103359,34.077389,6.506724,76.218834,327.722850,14.469000,114.467346,10.629313,9.528705,25.119149,0.000000,119.880488,0.000000,366.442762,5.168424,0.000000,93.620163,173.591783,57.080594,41.994958,18.557071,0.000000,0.000000,0.000000,46.782935,40.656038,1.107212,124.325558,37.808120,47.373781,115.216358,8.045392,15.063387,0,0,0,0,0

16,03:45-04:00,29.210210,0.000000,0.000000,0.000000,0.000000,9.850160,2.342531,0.000000,0.000000,16.189091,26.203454,33.598227,0.000000,6.289964,113.577309,0.000000,10.503047,65.584005,62.103359,34.077389,6.506724,76.218834,327.722850,14.469000,114.467346,10.629313,9.528705,25.119149,0.000000,95.963135,0.000000,366.442762,5.168424,0.000000,64.507336,173.591783,57.080594,41.994958,18.557071,0.000000,0.000000,0.000000,46.782935,40.656038,1.107212,92.493758,37.808120,47.373781,115.216358,8.045392,15.063387,0,0,0,0,0

17,04:00-04:15,29.210210,0.000000,0.000000,0.000000,0.000000,9.850160,2.342531,0.000000,0.000000,4.120860,26.203454,33.598227,0.000000,6.289964,113.577309,0.000000,1.853479,65.584005,62.103359,34.077389,6.506724,76.218834,327.722850,14.469000,114.467346,10.629313,9.528705,25.119149,0.000000,95.963135,0.000000,366.442762,5.168424,0.000000,64.507336,173.591783,57.080594,41.994958,18.557071,0.000000,0.000000,0.000000,46.782935,40.656038,1.107212,92.493758,37.808120,47.373781,202.030358,8.045392,15.063387,0,0,0,0,0

