Block,Time,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/15082037/GNA_NR_2012_01,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/01102023/30042040/GNA_LT_35,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/01102023/23072042/L_NR_2012_04,NR/01102023/06022042/L_NR_2012_02,NR/01102023/19072037/LT-05,NR/16072024/31072024/NR/16072024/31072024/717758,NR/01102023/22052037/LT-59,NR/01072024/31072024/R2,NR/01102023/05012040/L_NR_2020_02,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/01102023/06022042/L_NR_2012_07,NR/30092023/31122025/SH-07,NR/18072024/18072024/IEX_240717_01569,NR/30092023/26122029/SH-06,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/01102023/31052040/LT-31,NR/01102023/30042040/GNA_LT_36,NR/01042024/31072024/LT_MEJA_DELHI,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/31102037/L_NR_2019_11,NR/01102023/25122043/GNA_MEJA_DELHI,WR/01102023/16072048/L_NR_2022_08,SR/01102023/07102043/L_NR_2018_61,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/22102023/11042047/L_NR_2021_17,NR/26072023/31072042/L_NR_2023_07,NR/01102023/02012046/L_NR_2021_17,NR/01102023/02122045/L_NR_2021_13,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/01102023/L_NR_2020_06,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_16,NR/01102023/14082046/L_NR_2021_16,NR/26072023/25122043/L_NR_2023_10,WR/01102023/29112042/L_NR_2019_05,NR/01102023/25072045/L_NR_2021_15,WR/01102023/24112044/L_NR_2020_07,WR/01102023/01102023/L_NR_2022_09,WR/01102023/30052048/L_NR_2022_10,L_NR_2019_19,WR/01102023/31032046/L_NR_2020_05,NR/01102023/13082046/L_NR_2021_12
1,00:00-00:15,271.550000,100.050000,13.110000,15.080000,0.000000,38.420000,96.040000,96.040000,0.000000,260.750000,114.810000,48.020000,9.270000,24.010000,4.440000,12.370000,0.000000,30.730000,96.040000,30.730000,0.000000,53.450000,0.000000,0.000000,15.540000,31.290000,9.550000,0.000000,8.34,42.01,0,0,0,0,0,0,7.5,0,0,0,0,0,0,7.5,18.33,18.33,0,22.5,0

2,00:15-00:30,271.550000,100.050000,13.110000,15.080000,0.000000,38.420000,96.040000,96.040000,0.000000,260.750000,114.810000,48.020000,9.270000,24.010000,4.440000,12.370000,0.000000,30.730000,96.040000,30.730000,0.000000,53.450000,0.000000,0.000000,15.540000,31.290000,9.550000,0.000000,8.34,42.01,0,0,0,0,0,0,7.5,0,0,0,0,0,0,7.5,18.67,18.67,0,22.5,0

3,00:30-00:45,271.550000,100.050000,13.110000,15.080000,0.000000,38.420000,96.040000,96.040000,0.000000,260.750000,114.810000,48.020000,9.270000,24.010000,4.440000,12.370000,0.000000,30.730000,96.040000,30.730000,0.000000,53.450000,0.000000,0.000000,15.540000,31.290000,9.550000,0.000000,8.34,42.01,0,0,0,0,0,0,7.5,0,0,0,0,0,0,7.5,19,19,0,22.5,0

4,00:45-01:00,271.550000,100.050000,13.110000,15.080000,0.000000,38.420000,96.040000,96.040000,0.000000,260.750000,114.810000,48.020000,9.270000,24.010000,4.440000,12.370000,0.000000,30.730000,96.040000,30.730000,0.000000,53.450000,0.000000,0.000000,15.540000,31.290000,9.550000,0.000000,8.34,42.01,0,0,0,0,0,0,7.66,0,0,0,0,0,0,7.67,19,19,0,23,0

5,01:00-01:15,271.550000,100.050000,13.110000,15.080000,0.000000,38.420000,96.040000,96.040000,0.000000,260.750000,114.810000,48.020000,8.880000,24.010000,4.290000,12.370000,0.000000,30.730000,96.040000,30.730000,0.000000,53.450000,0.000000,0.000000,15.540000,31.290000,9.160000,0.000000,8.34,42.01,0,0,0,0,0,0,8,0,0,0,0,0,0,8,19.33,19.33,0,24,0

6,01:15-01:30,271.550000,100.050000,13.110000,15.080000,0.000000,38.420000,96.040000,96.040000,0.000000,260.750000,114.810000,48.020000,8.880000,24.010000,4.290000,12.370000,0.000000,30.730000,96.040000,30.730000,0.000000,53.450000,0.000000,0.000000,15.540000,31.290000,9.160000,0.000000,8.34,42.01,0,0,0,0,0,0,8.34,0,0,0,0,0,0,8.33,19,19,0,25,0

7,01:30-01:45,271.550000,100.050000,13.110000,15.080000,0.000000,38.420000,96.040000,96.040000,0.000000,260.750000,114.810000,48.020000,8.880000,24.010000,4.290000,12.370000,0.000000,30.730000,96.040000,30.730000,0.000000,53.450000,0.000000,0.000000,15.540000,31.280000,9.160000,0.000000,7.34,42.01,0,0,0,0,0,0,8.66,0,0,0,0,0,0,8.67,18.67,18.67,0,26,0

8,01:45-02:00,271.550000,100.050000,13.110000,15.080000,0.000000,38.420000,96.040000,96.040000,0.000000,260.750000,114.810000,48.020000,8.880000,24.010000,4.290000,12.370000,0.000000,30.730000,96.040000,30.730000,0.000000,53.450000,0.000000,0.000000,15.540000,31.280000,9.160000,0.000000,7.34,42.01,0,0,0,0,0,0,9.16,0,0,0,0,0,0,9.17,18.33,18.33,0,27.5,0

9,02:00-02:15,271.550000,100.050000,13.110000,15.080000,0.000000,38.420000,96.040000,96.040000,0.000000,260.750000,114.810000,48.020000,8.500000,24.010000,4.160000,12.370000,0.000000,30.730000,96.040000,30.730000,0.000000,53.450000,0.000000,0.000000,15.540000,31.280000,8.400000,0.000000,7.34,42.01,0,0,0,0,0,0,7.5,0,0,0,0,0,0,7.5,18.33,18.33,0,22.5,0

10,02:15-02:30,271.550000,100.050000,13.110000,15.080000,0.000000,38.420000,96.040000,96.040000,0.000000,260.750000,114.810000,48.020000,8.500000,24.010000,4.160000,12.370000,0.000000,30.730000,96.040000,30.730000,0.000000,53.450000,0.000000,0.000000,15.540000,31.280000,8.400000,0.000000,7.34,42.01,0,0,0,0,0,0,7.5,0,0,0,0,0,0,7.5,18.33,18.33,0,22.5,0

11,02:30-02:45,271.550000,100.050000,13.110000,15.080000,0.000000,38.420000,96.040000,96.040000,0.000000,260.750000,114.810000,48.020000,8.500000,24.010000,4.160000,12.370000,0.000000,30.730000,96.040000,30.730000,0.000000,53.450000,0.000000,0.000000,15.540000,31.280000,8.400000,0.000000,7.34,42.02,0,0,0,0,0,0,7.5,0,0,0,0,0,0,7.5,18,18,0,22.5,0

12,02:45-03:00,271.550000,100.050000,13.110000,15.080000,0.000000,38.420000,96.040000,96.040000,0.000000,260.750000,114.810000,48.020000,8.500000,24.010000,4.160000,12.370000,0.000000,30.730000,96.040000,30.730000,0.000000,53.450000,0.000000,0.000000,15.540000,31.280000,8.400000,0.000000,7.34,42.02,0,0,0,0,0,0,7.5,0,0,0,0,0,0,7.5,17.67,17.67,0,22.5,0

13,03:00-03:15,271.550000,100.050000,13.110000,15.080000,0.000000,0.000000,96.040000,96.040000,0.000000,260.750000,114.810000,48.020000,7.570000,24.010000,4.010000,12.370000,0.000000,30.730000,96.040000,30.730000,0.000000,53.450000,0.000000,0.000000,15.540000,31.280000,8.250000,0.000000,7.34,42.02,0,0,0,0,0,0,7.5,0,0,0,0,0,0,7.5,17.33,17.33,0,22.5,0

14,03:15-03:30,271.550000,100.050000,13.110000,15.080000,0.000000,0.000000,96.040000,96.040000,0.000000,260.750000,114.810000,48.020000,7.570000,24.010000,4.010000,12.370000,0.000000,30.730000,96.040000,30.730000,0.000000,53.450000,0.000000,0.000000,15.540000,31.280000,8.250000,0.000000,7.34,42.02,0,0,0,0,0,0,7.5,0,0,0,0,0,0,7.5,17,17,0,22.5,0

15,03:30-03:45,271.550000,100.050000,13.110000,15.080000,0.000000,0.000000,96.040000,96.040000,0.000000,260.750000,114.810000,48.020000,7.570000,24.010000,4.010000,12.370000,0.000000,30.730000,96.040000,30.730000,0.000000,53.450000,0.000000,0.000000,15.540000,31.280000,8.250000,0.000000,7.34,42.02,0,0,0,0,0,0,7.5,0,0,0,0,0,0,7.5,16.67,16.67,0,22.5,0

16,03:45-04:00,271.550000,100.050000,13.110000,15.080000,0.000000,0.000000,96.040000,96.040000,0.000000,260.750000,114.810000,48.020000,7.570000,24.010000,4.010000,12.370000,0.000000,30.730000,96.040000,30.730000,0.000000,53.450000,0.000000,0.000000,15.540000,31.280000,8.250000,0.000000,7.34,42.02,0,0,0,0,0,0,7.5,0,0,0,0,0,0,7.5,16.33,16.33,0,22.5,0

17,04:00-04:15,271.550000,100.050000,12.840000,15.080000,0.000000,0.000000,96.040000,96.040000,0.000000,260.750000,114.810000,48.020000,7.340000,24.010000,3.880000,12.370000,0.000000,30.730000,96.040000,30.730000,0.000000,53.450000,0.000000,0.000000,15.540000,31.280000,8.020000,0.000000,7.34,43.02,0,0,0,0,0,0,7.5,0,0,0,0,0,0,7.5,16,16,0,22.5,0

18,04:15-04:30,271.550000,100.050000,12.840000,15.080000,0.000000,0.000000,96.040000,96.040000,0.000000,260.750000,114.810000,48.020000,7.340000,24.010000,3.880000,12.370000,0.000000,30.730000,96.040000,30.730000,0.000000,53.450000,0.000000,0.000000,15.540000,31.280000,8.020000,0.000000,7.34,43.02,0,0,0,0,0,0,7.5,0,0,0,0,0,0,7.5,15.67,15.67,0,22.5,0

19,04:30-04:45,271.550000,100.050000,12.840000,15.080000,0.000000,0.000000,96.040000,96.040000,0.000000,260.750000,114.810000,48.020000,7.340000,24.010000,3.880000,12.370000,0.000000,30.730000,96.040000,30.730000,0.000000,53.450000,0.000000,0.000000,15.540000,31.280000,8.020000,0.000000,7.34,43.02,0,0,0,0,0,0,7.5,0,0,0,0,0,0,7.5,15.33,15.33,0,22.5,0

20,04:45-05:00,271.550000,100.050000,12.840000,15.080000,0.000000,0.000000,96.040000,96.040000,0.000000,260.750000,84.690000,48.020000,7.340000,24.010000,3.880000,12.370000,0.000000,30.730000,96.040000,30.730000,0.000000,53.450000,0.000000,0.000000,15.540000,31.280000,8.020000,0.000000,7.34,43.02,0,0,0,0,0,0,7.5,0,0,0,0,0,0,7.5,15,15,0,22.5,0

21,05:00-05:15,271.550000,100.050000,12.840000,15.080000,0.000000,0.000000,96.040000,96.040000,0.000000,260.750000,65.870000,48.020000,6.950000,24.010000,3.700000,12.370000,0.000000,30.730000,96.040000,30.730000,0.000000,53.450000,0.000000,0.000000,15.540000,31.280000,8.020000,0.000000,7.34,42.02,0,0,0,0,0,0,7.5,0,0,0,0,0,0,7.5,15,15,0,22.5,0

22,05:15-05:30,271.550000,100.050000,12.840000,15.080000,0.000000,0.000000,96.040000,96.040000,0.000000,260.750000,65.870000,48.020000,6.950000,24.010000,3.700000,12.370000,0.000000,30.730000,96.040000,30.730000,0.000000,53.450000,0.000000,0.000000,15.540000,31.280000,8.020000,0.000000,7.34,41.02,0,0,0,0,0,0,7.5,0,0,0,0,0,0,7.5,15,15,0,22.5,0

