Block,Time,BRBCL,DADRT2,FSTPP I & II,KGSU1AND2,KHSTPP-II,KOTESHWR,MAPS,NLCTS2EXP,RSTPSU1TO6,SALAL,SASAN,SEWA2,SINGRAULI_HYDRO,TALST2,UNCHAHAR2,URI2,AURY_LF,DADRI_GF,CHAMERA1,NLCEXP,NLCIIST2,NNTPP,PARBATI2,RAMPUR,TelanganaSTPP,URI,CHAMERA2,DHAULIGNGA,KKNP,NAPP,RAPPB,SIMHST1,TALA,TEHRI,DULHASTI,KHSTPP-I,NTPL,PARBATI3,SIMHST2,TANAKPUR,UNCHAHAR1,VALLURNTECL,ANTA_GF,KGSU3AND4,KUDGI,RIHAND1,ANTA_CRF,KISHANGANGA,KOLDAM,NJPC,NLCIIST1,RAPPC,RAPPD,RIHAND2,RSTPSU7,SINGRAULI,TANDA2,TEHRIPSP,UNCHAHAR3,ANTA_LF,ANTA_RF,DADRI_CRF,DADRI_RF,BSIUL,CHAMERA3,DADRI_LF,JHAJJAR,KKNPPU2,RIHAND3,UNCHAHAR4,AURY_CRF,AURY_GF,AURY_RF
1,00:00-00:15,24.99,590.85,20.8,0,148.3,10.44,0,0,0,85.41,348.98,0,1.16,0,45.62,40.23,0,0,42.15,0,0,0,0,7.04,0,52.36,48.9,43.85,0,25.03,0,0,19.93,47.61,38.68,45.53,0,0,0,11.91,20.64,0,0,0,0,99.81,0,8.71,10.65,181.16,0,68.73,26.14,126.8,0,137.83,7.07,67.38,27.99,0,53.24,0,76.68,13.04,35.09,0,670.85,0,132.37,3.98,0,0,82.27

2,00:15-00:30,24.99,590.85,20.8,0,148.3,10.44,0,0,0,85.41,348.98,0,1.16,0,45.62,40.23,0,0,42.15,0,0,0,0,7.04,0,52.36,48.9,43.85,0,25.03,0,0,19.93,47.61,38.68,45.53,0,0,0,11.91,20.64,0,0,0,0,99.81,0,8.71,10.65,181.16,0,68.73,26.14,126.8,0,137.83,7.07,67.38,27.99,0,53.24,0,76.68,13.04,35.09,0,670.85,0,132.37,3.98,0,0,82.27

3,00:30-00:45,24.99,590.85,20.8,0,148.3,10.44,0,0,0,85.41,348.98,0,1.16,0,45.62,40.23,0,0,42.15,0,0,0,0,7.04,0,52.36,48.9,43.85,0,25.03,0,0,19.93,47.61,38.68,45.53,0,0,0,12.81,20.64,0,0,0,0,99.81,0,8.71,10.65,181.16,0,68.73,26.14,126.8,0,137.83,7.07,67.38,27.99,0,53.24,0,76.68,13.04,35.09,0,670.85,0,132.37,3.98,0,0,82.27

4,00:45-01:00,24.99,590.85,20.8,0,148.3,10.44,0,0,0,85.41,348.98,0,1.16,0,45.62,40.23,0,0,42.15,0,0,0,0,7.04,0,52.36,48.9,43.85,0,25.03,0,0,19.93,47.61,38.68,45.53,0,0,0,12.81,20.64,0,0,0,0,99.81,0,8.71,10.65,181.16,0,68.73,26.14,126.8,0,137.83,7.07,67.38,27.99,0,53.24,0,76.68,13.04,35.09,0,670.85,0,132.37,3.98,0,0,82.27

5,01:00-01:15,24.99,590.85,20.8,0,148.3,10.44,0,0,0,85.41,348.98,0,1.16,0,45.62,40.23,0,0,42.15,0,0,0,0,7.04,0,37.53,48.9,43.85,0,25.03,0,0,29.52,47.61,57.86,45.53,0,0,0,12.81,21.83,0,0,0,0,99.81,0,8.71,10.65,181.16,0,68.73,26.14,126.8,0,137.83,7.07,67.38,27.99,0,53.24,0,76.68,13.04,35.09,0,670.85,0,132.37,3.98,0,0,82.27

6,01:15-01:30,24.99,590.85,20.8,0,148.3,10.44,0,0,0,85.41,348.98,0,1.16,0,45.62,40.23,0,0,42.15,0,0,0,0,7.04,0,37.53,48.9,43.85,0,25.03,0,0,29.52,47.61,57.86,45.53,0,0,0,12.81,21.83,0,0,0,0,99.81,0,8.71,10.65,181.16,0,68.73,26.14,126.8,0,137.83,7.07,67.38,27.99,0,53.24,0,76.68,13.04,35.09,0,670.85,0,132.37,3.98,0,0,82.27

7,01:30-01:45,24.99,590.85,20.8,0,148.3,10.44,0,0,0,85.41,348.98,0,1.16,0,45.62,29.77,0,0,42.15,0,0,0,0,7.04,0,37.53,48.9,43.85,0,25.03,0,0,29.52,47.61,57.86,45.53,0,0,0,11.91,21.83,0,0,0,0,99.81,0,8.71,10.65,181.16,0,68.73,26.14,126.8,0,137.83,7.07,67.38,27.99,0,53.24,0,76.68,13.04,35.09,0,670.85,0,132.37,3.98,0,0,82.27

8,01:45-02:00,24.99,590.85,20.8,0,148.3,10.44,0,0,0,85.41,348.98,0,1.16,0,45.62,29.77,0,0,42.15,0,0,0,0,7.04,0,37.53,48.9,43.85,0,25.03,0,0,29.52,47.61,57.86,45.53,0,0,0,11.91,21.83,0,0,0,0,99.81,0,8.71,10.65,181.16,0,68.73,26.14,126.8,0,137.83,7.07,67.38,27.99,0,53.24,0,76.68,13.04,35.09,0,670.85,0,132.37,3.98,0,0,82.27

