Block,Time,DADRI_LF,UNCHAHAR4,UNCHAHAR3,RIHAND1,RIHAND2,BSIUL,RIHAND3,DADRI_RF,AURY_GF,NJPC,TANAKPUR,ANTA_CRF,PARBATI3,SINGRAULI_HYDRO,CHAMERA3,TANDA2,ANTA_RF,URI,AURY_CRF,URI2,SALAL,SEWA2,JHAJJAR,RAPPC,DADRI_GF,ANTA_LF,CHAMERA1,TEHRI,UNCHAHAR2,DADRI_CRF,CHAMERA2,RAPPB,UNCHAHAR1,RAMPUR,KOLDAM,KISHANGANGA,DADRT2,AURY_RF,DHAULIGNGA,ANTA_GF,KOTESHWR,NAPP,FSTPP I & II,AURY_LF,BRBCL,KUDGI,SINGRAULI,DULHASTI,KHSTPP-I,KHSTPP-II,SASAN,TALA,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,0.783837,25.854802,90.305764,115.727243,12.684225,121.248253,46.990641,0.000000,142.096822,11.156613,0.000000,15.551277,0.000000,29.586066,1.347745,0.000000,44.870314,0.000000,33.462286,78.712718,16.053045,636.640056,53.407983,0.000000,0.000000,40.786697,25.034071,41.653969,0.000000,40.512341,0.000000,17.852991,1.592521,2.350658,2.113900,666.018571,9.677000,37.135857,0.000000,8.170728,39.333455,20.060421,0.000000,14.136674,74.51,130.939584,50.308022,40.530179,142.750749,405.243729,0.000000,0,0,0,0,0

2,00:15-00:30,0.000000,0.783837,25.854802,90.305764,115.727243,12.684225,121.248253,46.990641,0.000000,142.096822,11.156613,0.000000,15.551277,0.000000,29.586066,1.347745,0.000000,44.870314,0.000000,33.462286,78.712718,16.053045,636.640056,53.407983,0.000000,0.000000,40.786697,25.034071,41.653969,0.000000,40.512341,0.000000,17.852991,1.592521,2.350658,2.113900,666.018571,9.677000,37.135857,0.000000,8.170728,39.333455,20.060421,0.000000,11.984727,74.51,130.939584,50.308022,40.530179,142.750749,405.243729,0.000000,0,0,0,0,0

3,00:30-00:45,0.000000,0.783837,25.854802,90.305764,115.727243,12.684225,121.248253,9.677000,0.000000,155.328510,11.156613,0.000000,15.551277,0.000000,29.586066,1.347745,0.000000,44.870314,0.000000,33.462286,78.712718,16.053045,636.640056,53.407983,0.000000,0.000000,40.786697,25.034071,41.653969,0.000000,40.512341,0.000000,15.066992,1.744748,2.350658,2.113900,666.018571,9.677000,37.135857,0.000000,8.170728,39.333455,20.060421,0.000000,11.845720,74.51,130.939584,50.308022,40.530179,142.750749,405.243729,0.000000,0,0,0,0,0

4,00:45-01:00,0.000000,0.783837,25.854802,90.305764,115.727243,12.684225,121.248253,9.677000,0.000000,155.328510,11.156613,0.000000,15.551277,0.000000,29.586066,1.347745,0.000000,44.870314,0.000000,33.462286,78.712718,16.053045,636.640056,53.407983,0.000000,0.000000,40.786697,25.034071,41.653969,0.000000,40.512341,0.000000,15.066992,1.744748,2.350658,2.113900,666.018571,9.677000,37.135857,0.000000,8.170728,39.333455,20.060421,0.000000,9.358942,74.51,130.939584,50.308022,40.530179,142.750749,405.243729,0.000000,0,0,0,0,0

5,01:00-01:15,0.000000,0.783837,25.854802,90.305764,115.727243,12.684225,121.248253,9.677000,0.000000,155.328510,3.966796,0.000000,3.239850,0.000000,29.586066,1.347745,0.000000,47.006995,0.000000,33.462286,64.656876,16.053045,636.640056,53.407983,0.000000,0.000000,40.786697,25.034071,41.653969,0.000000,40.512341,0.000000,15.066992,1.744748,2.350658,2.113900,666.018571,9.677000,37.135857,0.000000,8.170728,39.333455,20.060421,0.000000,8.229993,74.51,130.939584,50.308022,40.530179,142.750749,405.243729,0.000000,0,0,0,0,0

