Block,Time,KOLDAM,RIHAND1,CHAMERA3,RAMPUR,RIHAND2,DADRI_LF,NJPC,TANAKPUR,ANTA_GF,TANDA2,PARBATI3,AURY_GF,ANTA_LF,CHAMERA1,SALAL,DHAULIGNGA,TEHRI,RIHAND3,DADRI_RF,BSIUL,KOTESHWR,AURY_LF,DULHASTI,SEWA2,ANTA_CRF,NAPP,RAPPB,AURY_CRF,JHAJJAR,DADRI_CRF,UNCHAHAR3,DADRT2,KISHANGANGA,DADRI_GF,URI,AURY_RF,SINGRAULI,UNCHAHAR4,UNCHAHAR1,UNCHAHAR2,RAPPC,ANTA_RF,SINGRAULI_HYDRO,URI2,TALA,SASAN,CHAMERA2,FSTPP I & II,KHSTPP-I,BRBCL,KHSTPP-II,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,9.865587,93.455833,33.573845,6.502002,119.889882,0.000000,173.465809,11.730181,0.000000,5.164674,16.177343,0.000000,0.000000,40.626534,68.323160,41.964482,0.000000,125.866158,0.000000,6.285399,0.000000,0.000000,57.039171,0.000000,0.000000,47.719131,0.000000,0.000000,310.054093,0.000000,26.641213,454.736404,8.039553,0.000000,35.116805,0.000000,143.601918,2.978451,21.809973,21.137727,65.698230,0.000000,1.127284,36.522672,4.250799,268.928100,46.748985,11.277630,42.710409,14.458500,47.645577,0,0,0,0,0

2,00:15-00:30,9.865587,93.455833,33.573845,6.502002,119.889882,0.000000,173.465809,11.730181,0.000000,5.164674,16.177343,0.000000,0.000000,40.626534,68.323160,41.964482,0.000000,125.866158,0.000000,6.285399,0.000000,0.000000,57.039171,0.000000,0.000000,47.719131,0.000000,0.000000,310.054093,0.000000,26.641213,454.736404,8.039553,0.000000,35.116805,0.000000,143.601918,2.978451,21.809973,21.137727,65.698230,0.000000,1.127284,36.522672,4.250799,268.928100,46.748985,11.277630,42.710409,14.458500,47.645577,0,0,0,0,0

3,00:30-00:45,9.865587,93.455833,33.573845,6.502002,119.889882,0.000000,173.465809,11.730181,0.000000,5.164674,16.177343,0.000000,0.000000,40.626534,68.323160,41.964482,0.000000,125.866158,0.000000,6.285399,0.000000,0.000000,57.039171,0.000000,0.000000,47.719131,0.000000,0.000000,310.054093,0.000000,24.034461,454.736404,8.039553,0.000000,33.520586,0.000000,143.601918,2.978451,19.359642,18.960973,65.698230,0.000000,1.127284,36.522672,4.250799,268.928100,46.748985,11.277630,42.710409,14.458500,47.645577,0,0,0,0,0

4,00:45-01:00,9.865587,93.455833,33.573845,6.502002,119.889882,0.000000,173.465809,11.730181,0.000000,5.164674,16.177343,0.000000,0.000000,40.626534,68.323160,41.964482,0.000000,125.866158,0.000000,6.285399,0.000000,0.000000,57.039171,0.000000,0.000000,47.719131,0.000000,0.000000,310.054093,0.000000,24.034461,394.974604,8.039553,0.000000,33.520586,0.000000,143.601918,2.978451,19.359642,18.960973,65.698230,0.000000,1.127284,36.522672,4.250799,268.928100,46.748985,11.277630,42.710409,14.458500,47.645577,0,0,0,0,0

5,01:00-01:15,9.865587,93.455833,33.573845,6.502002,119.889882,0.000000,173.465809,10.495425,0.000000,5.164674,16.177343,0.000000,0.000000,40.626534,68.323160,41.964482,0.000000,125.866158,0.000000,12.570798,0.000000,0.000000,57.039171,0.000000,0.000000,47.719131,0.000000,0.000000,267.489362,0.000000,24.034461,357.382504,8.039553,0.000000,33.520586,0.000000,143.601918,2.978451,19.359642,18.960973,65.698230,0.000000,1.127284,36.522672,3.967412,268.928100,46.748985,11.277630,42.710409,14.458500,47.645577,0,0,0,0,0

6,01:15-01:30,9.865587,93.455833,33.573845,6.502002,119.889882,0.000000,173.465809,10.495425,0.000000,5.164674,16.177343,0.000000,0.000000,40.626534,68.323160,41.964482,0.000000,125.866158,0.000000,12.570798,0.000000,0.000000,57.039171,0.000000,0.000000,47.719131,0.000000,0.000000,178.837668,0.000000,24.034461,353.526904,8.039553,0.000000,33.520586,0.000000,143.601918,2.978451,19.359642,18.960973,65.698230,0.000000,1.127284,36.522672,3.967412,268.928100,46.748985,11.277630,42.710409,14.458500,47.645577,0,0,0,0,0

7,01:30-01:45,9.865587,93.455833,33.573845,6.502002,119.889882,0.000000,173.465809,10.495425,0.000000,5.164674,16.177343,0.000000,0.000000,40.626534,68.323160,41.964482,0.000000,125.866158,0.000000,12.570798,0.000000,0.000000,57.039171,0.000000,0.000000,47.719131,0.000000,0.000000,121.003668,0.000000,24.034461,354.490804,8.039553,0.000000,33.520586,0.000000,143.601918,2.978451,19.359642,18.960973,65.698230,0.000000,1.127284,36.522672,4.109106,268.928100,46.748985,11.277630,42.710409,14.458500,47.645577,0,0,0,0,0

8,01:45-02:00,9.865587,93.455833,33.573845,6.502002,119.889882,0.000000,173.465809,10.495425,0.000000,5.164674,16.177343,0.000000,0.000000,40.626534,68.323160,41.964482,0.000000,125.866158,0.000000,12.570798,0.000000,0.000000,57.039171,0.000000,0.000000,47.719131,0.000000,0.000000,92.086668,0.000000,24.034461,350.189304,8.039553,0.000000,33.520586,0.000000,143.601918,2.978451,19.359642,18.960973,65.698230,0.000000,1.127284,36.522672,4.109106,268.928100,46.748985,11.277630,42.710409,14.458500,47.645577,0,0,0,0,0

