Block,Time,UNCHAHAR2,KISHANGANGA,DADRI_CRF,ANTA_CRF,AURY_RF,RIHAND2,RAPPB,RIHAND3,UNCHAHAR4,JHAJJAR,URI,KOTESHWR,ANTA_LF,UNCHAHAR1,NJPC,AURY_LF,DULHASTI,CHAMERA2,RIHAND1,CHAMERA3,RAMPUR,RAPPC,KOLDAM,SEWA2,DADRI_RF,PARBATI3,NAPP,ANTA_RF,AURY_GF,AURY_CRF,URI2,DHAULIGNGA,FSTPP I & II,CHAMERA1,DADRI_LF,BSIUL,BRBCL,ANTA_GF,SINGRAULI_HYDRO,KHSTPP-I,TALA,SALAL,UNCHAHAR3,DADRI_GF,DADRT2,SASAN,TANDA2,KHSTPP-II,TANAKPUR,SINGRAULI,TEHRI,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,14.461500,0.000000,0.000000,0.000000,0.000000,113.884312,0.000000,119.226029,0.000000,113.763800,38.317190,0.000000,0.000000,7.712800,0.000000,0.000000,15.887261,0.000000,88.697200,0.000000,0.000000,51.751635,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23.863095,0.000000,4.820500,0.000000,0.000000,0.000000,14.461477,0.000000,0.571740,15.425600,0.000000,2.240568,8.676900,0.000000,334.542700,330.147368,0.000000,55.917800,8.027579,118.945838,0.000000,0,0,0,0,0

2,00:15-00:30,14.461500,0.000000,0.000000,0.000000,0.000000,113.884312,0.000000,119.226029,0.000000,113.763800,38.317190,0.000000,0.000000,7.712800,0.000000,0.000000,15.887261,0.000000,88.697200,0.000000,0.000000,51.751635,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23.863095,0.000000,4.820500,0.000000,0.000000,0.000000,14.461477,0.000000,0.571740,15.425600,0.000000,2.240568,8.676900,0.000000,334.542700,336.285532,0.000000,55.917800,8.027579,118.945838,0.000000,0,0,0,0,0

3,00:30-00:45,14.461500,0.000000,0.000000,0.000000,0.000000,113.884312,0.000000,119.226029,0.000000,113.763800,8.514931,0.000000,0.000000,7.712800,0.000000,0.000000,15.887261,0.000000,88.697200,0.000000,0.000000,51.751635,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23.863095,0.000000,4.820500,0.000000,0.000000,0.000000,14.461477,0.000000,0.571740,15.425600,0.000000,2.240568,8.676900,0.000000,334.542700,352.185209,0.000000,55.917800,8.027579,118.945838,0.000000,0,0,0,0,0

4,00:45-01:00,14.461500,0.000000,0.000000,0.000000,0.000000,113.884312,0.000000,119.226029,0.000000,113.763800,5.321832,0.000000,0.000000,7.712800,0.000000,0.000000,15.887261,0.000000,88.697200,0.000000,0.000000,51.751635,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23.863095,0.000000,4.820500,0.000000,0.000000,0.000000,14.461477,0.000000,0.571740,15.425600,0.000000,2.240568,8.676900,0.000000,334.542700,363.803136,0.000000,55.917800,8.027579,118.945838,0.000000,0,0,0,0,0

5,01:00-01:15,14.461500,0.000000,0.000000,0.000000,0.000000,94.479531,0.000000,119.226029,0.000000,113.763800,5.321832,0.000000,0.000000,7.712800,0.000000,0.000000,15.887261,0.000000,51.314801,0.000000,0.000000,51.751635,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23.863095,0.000000,4.820500,0.000000,0.000000,0.000000,14.461477,0.000000,0.571740,15.425600,0.000000,2.240568,8.676900,0.000000,334.542700,374.191312,0.000000,55.917800,8.027579,118.945838,0.000000,0,0,0,0,0

