Block,Time,RSTPSU7,SIPAT II,NLCTS2EXP,TALA,KHSTPP-II,LARA-I,VSTPS II,KGSU3AND4,VSTPS I,NNTPP,KHSTPP-I,NTPL,RSTPSU1TO6,SIPAT I,MAPS,KAWAS-NAPM,KAWAS-zLIQ,KSTPS I&II,KUDGI,BRBCL,SASAN,KKNP,TAPS-II,VSTPS III,GANDHAR-ComGas,NLCEXP,GANDHAR-APM,SIMHST2,KAPS,MOUDA,TALST2,FSTPP I & II,GANDHAR-RLNG,VSTPS IV,VALLURNTECL,KAWAS-RLNG,SOLAPUR,GANDHAR-NAPM,KAWAS-APM,NLCIIST1,KGSU1AND2,KSTPS7,VSTPS V,KAWAS-ComGas,MOUDA_II,KHARGONE-I,GADARWARA-I,NLCIIST2,DADRI_LF,CHAMERA1,SALAL,CHAMERA3,UNCHAHAR3,UNCHAHAR1,DADRI_GF,AURY_RF,JHAJJAR,TEHRI,AURY_GF,AURY_LF,ANTA_GF,DADRI_RF,RIHAND3,DHAULIGNGA,UNCHAHAR2,CHAMERA2,KOLDAM,TANDA2,RAPPC,RIHAND1,DULHASTI,BSIUL,DADRT2,SINGRAULI,KISHANGANGA,SEWA2,ANTA_RF,AURY_CRF,RIHAND2,DADRI_CRF,KOTESHWR,ANTA_CRF,UNCHAHAR4,RAPPB,SINGRAULI_HYDRO,PARBATI3,TANAKPUR,ANTA_LF,URI,NAPP,NJPC,RAMPUR,URI2,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,1.87,0.900795,0.85,0.000000,142.101802,4.101852,1.871655,1.06,2.306677,0.19,31.575047,3.29,5.11,5.118688,0.23,0.000000,0.000000,2.564031,5.99,13.942602,336.167618,1.55,2.690880,1.887764,0.000000,1.75,0.000000,1.78,0.799115,1.866975,2.92,16.867383,0.007337,2.585197,2.29,0.010006,3.412458,0.000000,0.000000,0.81,1.93,1.292598,1.278811,0.000000,3.382812,3.412459,4.136314,0.40,0.000000,40.601245,51.490312,30.545986,25.970568,19.857769,0.000000,19.734279,450.705076,27.973241,0.000000,0.000000,0.000000,29.863693,121.876716,0.000000,41.947839,42.033750,4.099669,2.350549,56.844293,90.858440,51.927025,18.939827,664.050759,132.203292,2.457837,16.548590,7.339182,0.000000,116.260677,0.000000,17.400333,0.000000,1.375213,0.000000,1.035891,0.000000,5.676342,0.000000,48.920227,20.355391,44.379166,0.857741,34.344245,0,0,0,0,0

2,00:15-00:30,1.87,0.900795,0.85,0.000000,142.101802,4.101852,1.871655,1.06,2.307512,0.19,31.575047,3.29,5.11,5.118688,0.23,0.000000,0.000000,2.564031,5.99,11.998444,336.167618,1.55,2.690880,1.887764,0.000000,1.76,0.000000,1.78,0.799115,1.866975,2.92,16.867383,0.007337,2.585197,2.29,0.010006,3.412458,0.000000,0.000000,0.81,1.93,1.292598,1.278811,0.000000,3.382812,3.412459,4.136314,0.40,0.000000,40.601245,51.490312,30.545986,25.970568,19.857769,0.000000,0.163159,450.705076,27.973241,0.000000,0.000000,0.000000,4.820047,121.876716,0.000000,41.947839,42.033750,4.099669,2.350549,56.844293,90.858440,51.927025,18.939827,664.050759,132.203292,2.457837,16.548590,0.000000,0.000000,116.260677,0.000000,17.400333,0.000000,1.375213,0.000000,1.035891,0.000000,5.676342,0.000000,48.920227,20.355391,44.379166,0.857741,34.344245,0,0,0,0,0

3,00:30-00:45,1.87,0.900795,0.85,0.000000,142.101802,4.101852,1.871655,1.06,2.307512,0.19,31.575047,3.29,5.11,5.118688,0.23,0.000000,0.000000,2.564031,5.99,10.589536,336.167618,1.55,2.690880,1.887764,0.000000,1.76,0.000000,1.78,0.799115,1.866975,2.92,16.867383,0.007337,2.585197,2.29,0.010006,3.412458,0.000000,0.000000,0.81,1.93,1.292598,1.278811,0.000000,3.382812,3.412459,4.136314,0.40,0.000000,40.601245,51.490312,30.545986,25.970568,19.857769,0.000000,0.000000,447.585785,27.973241,0.000000,0.000000,0.000000,0.000000,121.876716,0.000000,41.947839,42.033750,3.074751,2.350549,56.844293,90.858440,51.927025,12.715560,664.050759,132.203292,2.457837,16.548590,0.000000,0.000000,116.260677,0.000000,17.400333,0.000000,1.375213,0.000000,1.035891,0.000000,5.676342,0.000000,48.920227,20.355391,21.696481,0.415256,34.344245,0,0,0,0,0

4,00:45-01:00,1.87,0.900795,0.85,0.000000,142.101802,4.101852,1.871655,1.06,2.307512,0.19,31.575047,3.29,5.11,5.118688,0.23,0.000000,0.000000,2.564031,5.99,11.083841,336.167618,1.55,2.690880,1.887764,0.000000,1.76,0.000000,1.78,0.799115,1.866975,2.92,16.867383,0.007337,2.585197,2.29,0.010006,3.412458,0.000000,0.000000,0.81,1.93,1.292598,1.278811,0.000000,3.382812,3.412459,4.136314,0.40,0.000000,40.601245,51.490312,30.545986,25.970568,19.857769,0.000000,0.000000,447.585785,27.973241,0.000000,0.000000,0.000000,0.000000,121.876716,0.000000,41.947839,42.033750,2.049835,2.350549,56.844293,90.858440,51.927025,12.715560,664.050759,132.203292,2.457837,16.548590,0.000000,0.000000,116.260677,0.000000,17.400333,0.000000,1.375213,0.000000,1.035891,0.000000,5.676342,0.000000,51.047194,20.355391,0.000000,0.000000,34.344245,0,0,0,0,0

5,01:00-01:15,1.87,0.900795,0.85,0.000000,142.101802,4.101852,1.871655,1.06,2.286724,0.19,31.575047,3.29,5.11,5.118688,0.23,0.000000,0.000000,2.564031,5.99,12.534922,336.167618,1.55,2.690880,1.887764,0.000000,1.76,0.000000,1.78,0.799115,1.866975,2.92,16.867383,0.007337,2.585197,2.29,0.010006,3.412458,0.000000,0.000000,0.81,1.93,1.292598,1.278811,0.000000,3.382812,3.412459,4.136314,0.40,0.000000,40.601245,51.490312,30.545986,25.970568,19.857769,0.000000,0.000000,447.585785,27.973241,0.000000,0.000000,0.000000,0.000000,121.876716,0.000000,41.947839,42.033750,1.024917,2.350549,56.844293,90.858440,51.927025,12.715560,664.050759,132.203292,2.457837,16.548590,0.000000,0.000000,116.260677,0.000000,17.400333,0.000000,1.375213,0.000000,1.035891,0.000000,5.799740,0.000000,51.047194,20.355391,0.000000,0.000000,33.781225,0,0,0,0,0

