Block,Time Block,KHSTPP-II,FSTPP I & II,KHSTPP-I,DULHASTI,JHAJJAR,KGSU1AND2,KGSU3AND4,KKNP,KISHANGANGA,KKNPPU2,DADRT2,CHAMERA1,BRBCL,BSIUL,CHAMERA3,CHAMERA2,DHAULIGNGA,SINGRAULI_HYDRO,SEWA2,SIMHST1,SIMHST2,SINGRAULI,TALA,TEHRI,UNCHAHAR1,UNCHAHAR4,TANDA2,VALLURNTECL,UNCHAHAR3,TALST2,URI2,TelanganaSTPP,TANAKPUR,UNCHAHAR2,URI,ANTA_GF,AURY_CRF,AURY_RF,DADRI_LF,ANTA_CRF,ANTA_RF,AURY_LF,DADRI_GF,ANTA_LF,AURY_GF,DADRI_CRF,DADRI_RF,SALAL,SASAN,RAMPUR,RAPPC,RAPPB,NLCIIST1,NJPC,NLCIIST2,MAPS,NLCTS2EXP,NNTPP,NAPP,NTPL,PARBATI3,NLCEXP,KOTESHWR,KUDGI,KOLDAM,RIHAND1,RSTPSU1TO6,RIHAND2,RSTPSU7,RIHAND3,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,94.69,19.99,20.81,15.84,229.78,0,0,0,0,0,265.43,0,16.56,0,0,0,0,0.61,0,0,0,125.02,0,26.04,6.85,0,0,0,14.46,0,4.14,0,5.54,22.74,0.53,0,0,0,0,0,0,0,0,0,0,0,0,1.35,389.29,0,24.89,0,0,0,0,0,0,0,42.19,0,0,0,17.06,0,0,88.43,0,114.15,0,59.75,0,0,0,0,0

2,00:15-00:30,94.69,19.99,20.81,15.84,229.78,0,0,0,0,0,265.43,0,16.09,0,0,0,0,0.61,0,0,0,132.91,0,26.04,8.79,0,0,0,14.46,0,4.14,0,5.54,22.74,0.53,0,0,0,0,0,0,0,0,0,0,0,0,1.35,389.29,0,24.89,0,0,0,0,0,0,0,42.19,0,0,0,17.06,0,0,88.43,0,114.15,0,59.75,0,0,0,0,0

3,00:30-00:45,94.69,19.99,20.81,15.84,229.78,0,0,0,0,0,265.43,0,16.49,0,0,0,0,0.61,0,0,0,131.1,0,26.04,8.79,0,0,0,14.25,0,4.14,0,5.54,22.48,0.53,0,0,0,0,0,0,0,0,0,0,0,0,1.35,389.29,0,24.89,0,0,0,0,0,0,0,42.19,0,0,0,17.06,0,0,88.43,0,114.15,0,59.75,0,0,0,0,0

4,00:45-01:00,94.69,19.99,20.81,15.84,229.78,0,0,0,0,0,265.43,0,13.97,0,0,0,0,0.61,0,0,0,131.1,0,26.04,8.79,0,0,0,14.25,0,4.14,0,5.54,22.48,0.53,0,0,0,0,0,0,0,0,0,0,0,0,1.35,389.29,0,24.89,0,0,0,0,0,0,0,42.19,0,0,0,17.06,0,0,88.43,0,114.15,0,59.75,0,0,0,0,0

5,01:00-01:15,94.69,19.99,20.81,15.84,229.78,0,0,0,0,0,265.43,0,13.98,0,0,0,0,0.61,0,0,0,131.1,0,26.04,8.79,0,0,0,14.25,0,4.14,0,5.54,22.48,0.53,0,0,0,0,0,0,0,0,0,0,0,0,1.35,389.29,0,24.89,0,0,0,0,0,0,0,42.19,0,0,0,17.06,0,0,88.43,0,114.15,0,59.75,0,0,0,0,0

6,01:15-01:30,94.69,19.99,20.81,15.84,229.78,0,0,0,0,0,265.43,0,13.4,0,0,0,0,0.61,0,0,0,131.1,0,26.04,8.79,0,0,0,14.25,0,4.14,0,5.54,22.48,0.53,0,0,0,0,0,0,0,0,0,0,0,0,1.35,389.29,0,24.89,0,0,0,0,0,0,0,42.19,0,0,0,17.06,0,0,88.43,0,114.15,0,59.75,0,0,0,0,0

7,01:30-01:45,94.69,19.99,20.81,15.84,229.78,0,0,0,0,0,265.43,0,15.39,0,0,0,0,0.61,0,0,0,131.1,0,26.04,8.79,0,0,0,14.25,0,4.14,0,0,22.48,0.53,0,0,0,0,0,0,0,0,0,0,0,0,1.35,389.29,0,24.89,0,0,0,0,0,0,0,42.19,0,0,0,17.06,0,0,88.43,0,114.15,0,59.75,0,0,0,0,0

8,01:45-02:00,94.69,19.99,20.81,15.84,229.78,0,0,0,0,0,265.43,0,13.09,0,0,0,0,0.61,0,0,0,131.1,0,12.83,8.79,0,0,0,14.25,0,4.14,0,0,22.48,0.53,0,0,0,0,0,0,0,0,0,0,0,0,1.35,389.29,0,24.89,0,0,0,0,0,0,0,42.19,0,0,0,17.06,0,0,88.43,0,114.15,0,59.75,0,0,0,0,0

9,02:00-02:15,94.69,19.99,20.81,15.84,229.78,0,0,0,0,0,265.43,0,11.94,0,0,0,0,0.61,0,0,0,131.1,0,12.83,8.79,0,0,0,14.25,0,4.14,0,0,22.48,0.53,0,0,0,0,0,0,0,0,0,0,0,0,1.35,389.29,0,24.89,0,0,0,0,0,0,0,42.19,0,0,0,17.06,0,0,88.43,0,114.15,0,59.75,0,0,0,0,0

10,02:15-02:30,94.69,19.99,20.81,15.84,229.78,0,0,0,0,0,265.43,0,11.25,0,0,0,0,0.61,0,0,0,131.1,0,12.83,8.79,0,0,0,14.25,0,4.14,0,0,22.48,0.53,0,0,0,0,0,0,0,0,0,0,0,0,1.35,389.29,0,24.89,0,0,0,0,0,0,0,42.19,0,0,0,17.06,0,0,88.43,0,114.15,0,59.75,0,0,0,0,0

11,02:30-02:45,94.69,19.99,20.81,15.84,229.78,0,0,0,0,0,265.43,0,12.16,0,0,0,0,0.61,0,0,0,131.1,0,12.83,8.79,0,0,0,14.25,0,4.14,0,0,22.48,0.53,0,0,0,0,0,0,0,0,0,0,0,0,1.35,389.29,0,24.89,0,0,0,0,0,0,0,42.19,0,0,0,17.06,0,0,88.43,0,114.15,0,59.75,0,0,0,0,0

12,02:45-03:00,94.69,15.73,20.81,15.84,229.78,0,0,0,0,0,265.43,0,11.47,0,0,0,0,0.61,0,0,0,131.1,0,12.83,8.79,0,0,0,14.25,0,4.14,0,0,22.48,0.53,0,0,0,0,0,0,0,0,0,0,0,0,1.35,389.29,0,24.89,0,0,0,0,0,0,0,42.19,0,0,0,17.06,0,0,88.43,0,114.15,0,59.75,0,0,0,0,0

13,03:00-03:15,94.69,15.73,18.4,15.84,229.78,0,0,0,0,0,265.43,0,12.56,0,0,0,0,0.61,0,0,0,131.1,0,12.83,8.79,0,0,0,14.25,0,4.14,0,0,22.48,0.53,0,0,0,0,0,0,0,0,0,0,0,0,1.35,389.29,0,24.89,0,0,0,0,0,0,0,42.19,0,0,0,17.06,0,0,88.43,0,114.15,0,59.75,0,0,0,0,0

14,03:15-03:30,122.86,12.28,18.4,15.84,229.78,0,0,0,0,0,265.43,0,14.17,0,0,0,0,0.61,0,0,0,131.1,0,12.83,8.79,0,0,0,14.25,0,4.14,0,0,22.48,0.53,0,0,0,0,0,0,0,0,0,0,0,0,1.35,389.29,0,24.89,0,0,0,0,0,0,0,42.19,0,0,0,17.06,0,0,88.43,0,114.15,0,59.75,0,0,0,0,0

15,03:30-03:45,122.86,12.28,18.4,15.84,229.78,0,0,0,0,0,265.43,0,17.48,0,0,0,0,0.61,0,0,0,131.1,0,26.04,8.79,0,0,0,14.25,0,4.14,0,0,22.48,0.53,0,0,0,0,0,0,0,0,0,0,0,0,1.35,389.29,0,24.89,0,0,0,0,0,0,0,42.19,0,0,0,17.06,0,0,88.43,0,114.15,0,59.75,0,0,0,0,0

16,03:45-04:00,122.86,12.28,18.4,15.84,229.78,0,0,0,0,0,265.43,0,19.09,0,0,0,0,0.61,0,0,0,131.1,0,26.04,8.79,0,0,0,14.25,0,4.14,0,0,22.48,0.53,0,0,0,0,0,0,0,0,0,0,0,0,1.35,389.29,0,24.89,0,0,0,0,0,0,0,42.19,0,0,0,17.06,0,0,88.43,0,114.15,0,59.75,0,0,0,0,0

17,04:00-04:15,122.86,11,18.4,15.84,229.78,0,0,0,0,0,265.43,0,18.54,0,0,0,0,0.61,0,0,0,131.1,0,39.6,8.79,0,0,0,14.25,0,4.14,0,0,22.48,0.53,0,0,0,0,0,0,0,0,0,0,0,0,1.35,389.29,0,24.89,0,0,0,0,0,0,0,42.19,0,0,0,17.06,0,0,88.43,0,114.15,0,59.75,0,0,0,0,0

18,04:15-04:30,122.86,19.79,18.4,15.84,229.78,0,0,0,0,0,265.43,0,19.22,0,0,0,0,0.61,0,0,0,131.1,0,39.6,8.79,0,0,0,14.25,0,4.14,0,0,22.48,0.53,0,0,0,0,0,0,0,0,0,0,0,0,1.35,389.29,0,24.89,0,0,0,0,0,0,0,42.19,0,0,0,17.06,0,0,88.43,0,114.15,0,59.75,0,0,0,0,0

19,04:30-04:45,122.86,19.79,18.4,15.84,229.78,0,0,0,0,0,265.43,0,19.22,0,0,0,0,0.61,0,0,0,131.1,0,39.6,8.79,0,0,0,14.25,0,4.14,0,0,22.48,0.53,0,0,0,0,0,0,0,0,0,0,0,0,1.35,389.29,0,24.89,0,0,0,0,0,0,0,42.19,0,0,0,17.06,0,0,88.43,0,114.15,0,59.75,0,0,0,0,0

20,04:45-05:00,94.69,19.79,18.4,15.84,229.78,0,0,0,0,0,332.71,0,19.22,0,0,0,0,0.61,0,0,0,131.1,0,39.6,8.79,0,0,0,14.25,0,4.14,0,0,22.48,0.53,0,0,0,0,0,0,0,0,0,0,0,0,1.35,389.29,0,24.89,0,0,0,0,0,0,0,42.19,0,0,0,17.06,0,0,88.43,0,114.15,0,59.75,0,0,0,0,0

21,05:00-05:15,94.69,19.79,18.4,15.84,229.78,0,0,0,0,0,361.55,0,19.22,0,0,0,0,0.61,0,0,0,131.1,0,39.6,8.79,0,0,0,14.25,0,4.14,0,0,22.48,0.53,0,0,0,0,0,0,0,0,0,0,0,0,1.35,389.29,0,24.89,0,0,0,0,0,0,0,42.19,0,0,0,17.06,0,0,88.43,0,114.15,0,59.75,0,0,0,0,0

22,05:15-05:30,94.69,19.79,18.4,15.84,229.78,0,0,0,0,0,361.55,0,19.22,0,0,0,0,0.61,0,0,0,131.1,0,39.6,8.79,0,0,0,14.25,0,4.14,0,0,22.48,0.53,0,0,0,0,0,0,0,0,0,0,0,0,1.35,389.29,0,24.89,0,0,0,0,0,0,0,42.19,0,0,0,17.06,0,0,88.43,0,114.15,0,59.75,0,0,0,0,0

23,05:30-05:45,122.86,18.3,22.33,15.84,229.78,0,0,0,0,0,361.55,0,19.22,0,0,0,0,0.61,0,0,0,134.27,0,39.6,8.79,0,0,0,14.25,0,4.14,0,0,22.48,0.53,0,0,0,0,0,0,0,0,0,0,0,0,1.35,389.29,0,24.89,0,0,0,0,0,0,0,42.19,0,0,0,17.06,0,0,88.43,0,114.15,0,59.75,0,0,0,0,0

24,05:45-06:00,122.86,18.3,27.4,15.84,246.33,0,0,0,0,0,419.22,0,19.22,0,0,0,0,0.61,0,0,0,134.27,0,39.6,8.79,0,0,0,21.87,0,4.14,0,0,35.12,0.53,0,0,0,0,0,0,0,0,0,0,0,0,1.35,389.29,0,24.89,0,0,20.03,0,0,0,0,42.19,0,0,0,17.06,0,0,88.43,0,114.15,0,59.75,0,0,0,0,0

25,06:00-06:15,142.55,19.93,31.8,15.84,307.28,0,0,0,0,0,480.95,0,19.22,0,0,0,7.75,0.61,0,0,0,134.27,0,39.6,8.79,0,0,0,25,0,4.14,0,0,39.02,0.53,0,0,0,0,0,0,0,0,0,0,0,0,1.35,389.29,0,24.89,0,0,40.05,0,0,0,0,42.19,0,0,0,17.06,0,0,88.43,0,114.15,0,59.75,0,0,0,0,0

26,06:15-06:30,142.55,19.99,31.8,15.84,364.95,0,0,0,0,0,610.63,13.5,19.22,0,9.3,0,7.87,0.61,0,0,0,134.27,0,39.6,8.79,0,0,0,25.38,0,4.14,0,0,40.75,0.53,0,0,0,0,0,0,0,0,0,0,0,0,1.35,389.29,0,24.89,0,0,55.8,0,0,0,0,42.19,0,0,0,17.06,0,0,88.43,0,114.15,0,59.75,0,0,0,0,0

27,06:30-06:45,142.55,19.99,31.8,31.68,408.51,0,0,0,0,0,650.22,26.96,19.22,2.11,9.3,5.12,7.87,0.61,0,0,0,134.27,0,52.8,8.79,0,0,0,25.38,0,4.14,0,0,40.75,0.53,0,0,0,0,0,0,0,0,0,0,0,0,1.35,389.29,0,24.89,0,0,80.1,0,0,0,0,42.19,0,0,0,25.59,0,0,88.43,0,114.15,0,59.75,0,0,0,0,0

28,06:45-07:00,142.55,19.99,31.8,31.68,417.79,0,0,0,0,0,656.63,40.51,19.22,12.53,18.63,37.98,17.56,0.61,7.59,0,0,134.27,0,52.8,8.79,0,0,0,25.38,0,4.14,0,0,40.75,0.53,0,0,0,0,0,0,0,0,0,0,0,0,1.35,389.29,0,24.89,0,0,109.23,0,0,0,0,42.19,0,0,0,37.53,0,0,88.43,0,114.15,0,59.75,0,0,0,0,0

29,07:00-07:15,142.55,19.99,31.8,31.68,417.79,0,0,0,0,0,656.63,40.51,19.22,12.53,18.63,37.98,17.56,0.61,7.59,0,0,134.27,0,52.8,8.79,0,0,0,25.38,0,4.14,0,0,40.75,0.53,0,0,0,0,0,0,0,0,0,0,0,0,1.35,389.29,0,24.89,0,0,109.23,0,0,0,0,42.19,0,0,0,37.53,0,0,88.43,0,114.15,0,59.75,0,0,0,0,0

30,07:15-07:30,142.55,19.99,31.8,31.68,417.79,0,0,0,0,0,656.63,40.51,19.22,12.53,18.63,37.98,17.56,0.61,7.87,0,0,134.27,0,52.8,8.79,0,0,0,25.38,0,4.14,0,0,40.75,3.18,0,0,0,0,0,0,0,0,0,0,0,0,1.35,389.29,0,24.89,0,0,109.23,0,0,0,0,42.19,0,0,0,37.53,0,0,88.43,0,114.15,0,59.75,0,0,0,0,0

31,07:30-07:45,142.55,19.99,31.8,31.68,417.79,0,0,0,0,0,656.63,40.51,19.22,12.53,18.63,37.98,17.56,0.61,7.87,0,0,134.27,0,52.8,8.79,0,0,0,25.38,0,4.14,0,0,40.75,25.46,0,0,0,0,0,0,0,0,0,0,0,0,1.35,389.29,0,24.89,0,0,109.23,0,0,0,0,42.19,0,0,0,37.53,0,0,88.43,0,114.15,0,59.75,0,0,0,0,0

32,07:45-08:00,142.55,19.99,31.8,31.68,417.79,0,0,0,0,0,656.63,40.51,19.22,6.27,18.63,37.98,17.56,0.61,7.87,0,0,134.27,0,52.8,8.79,0,0,0,25.38,0,4.14,0,0,40.75,25.46,0,0,0,0,0,0,0,0,0,0,0,0,1.35,389.29,0,24.89,0,0,109.23,0,0,0,0,42.19,0,0,0,37.53,0,0,88.43,0,114.15,0,59.75,0,0,0,0,0

33,08:00-08:15,142.55,19.99,31.8,31.68,417.79,0,0,0,0,0,656.63,40.51,19.22,6.27,18.63,37.98,17.56,0.61,7.87,0,0,134.27,0,52.8,8.79,0,0,0,25.38,0,4.14,0,0,40.75,25.46,0,0,0,0,0,0,0,0,0,0,0,0,1.35,395.71,0,24.89,0,0,109.23,0,0,0,0,42.19,0,0,0,37.53,0,0,88.43,0,114.15,0,59.75,0,0,0,0,0

34,08:15-08:30,142.55,19.99,31.8,15.84,417.79,0,0,0,0,0,656.63,26.96,19.22,1.06,9.3,2.56,17.56,0.61,0,0,0,134.27,0,52.8,8.79,0,0,0,25.38,0,4.14,0,0,40.75,3.18,0,0,0,0,0,0,0,0,0,0,0,0,1.35,397.4,0,24.89,0,0,109.23,0,0,0,0,42.19,0,0,0,25.59,0,0,88.43,0,114.15,0,59.75,0,0,0,0,0

35,08:30-08:45,142.55,19.99,31.8,0,417.79,0,0,0,0,0,656.63,13.5,19.22,0,0,0,17.56,0.61,0,0,0,134.27,0,52.8,8.79,0,0,0,25.38,0,4.14,0,6.29,40.75,1.07,0,0,0,0,0,0,0,0,0,0,0,0,1.35,397.4,0,24.89,0,0,80.19,0,0,0,0,42.19,0,0,0,25.59,0,0,88.43,0,114.15,0,59.75,0,0,0,0,0

36,08:45-09:00,142.55,19.99,31.8,0,417.79,0,0,0,0,0,656.63,13.5,19.22,0,0,0,8.79,0.61,0,0,0,134.27,0,52.8,8.79,0,0,0,25.38,0,4.14,0,6.29,40.75,1.07,0,0,0,0,0,0,0,0,0,0,0,0,1.35,397.4,0,24.89,0,0,60.08,0,0,0,0,42.19,0,0,0,25.59,0,0,88.43,0,114.15,0,59.75,0,0,0,0,0

37,09:00-09:15,142.55,19.99,31.8,0,417.79,0,0,0,0,0,656.63,0,19.22,0,0,0,8.79,0.61,0,0,0,134.27,0,52.8,8.79,0,0,0,25.38,0,4.14,0,6.29,40.75,1.07,0,0,0,0,0,0,0,0,0,0,0,0,1.35,397.4,0,24.89,0,0,40.05,0,0,0,0,42.19,0,0,0,25.59,0,0,88.43,0,114.15,0,59.75,0,0,0,0,0

38,09:15-09:30,142.55,19.99,31.8,0,417.79,0,0,0,0,0,656.63,0,19.22,0,0,0,0,0.61,0,0,0,134.27,0,52.8,8.79,0,0,0,25.38,0,4.14,0,6.29,40.75,1.07,0,0,0,0,0,0,0,0,0,0,0,0,1.35,397.4,0,24.89,0,0,18.21,0,0,0,0,42.19,0,0,0,25.59,0,0,88.43,0,114.15,0,59.75,0,0,0,0,0

39,09:30-09:45,142.55,19.99,31.8,0,417.79,0,0,0,0,0,656.63,0,19.22,0,0,0,0,0.61,0,0,0,134.27,0,39.6,8.79,0,0,0,25.38,0,4.14,0,6.29,40.75,1.07,0,0,0,0,0,0,0,0,0,0,0,0,1.35,397.4,0,24.89,0,0,0,0,0,0,0,42.19,0,0,0,25.59,0,0,88.43,0,114.15,0,59.75,0,0,0,0,0

40,09:45-10:00,142.55,19.99,31.8,0,417.79,0,0,0,0,0,610.66,0,19.22,0,0,0,0,0.61,0,0,0,134.27,0,39.6,8.79,0,0,0,25.38,0,4.14,0,6.29,40.75,3.18,0,0,0,0,0,0,0,0,0,0,0,0,1.35,397.4,0,24.89,0,0,0,0,0,0,0,42.19,0,0,0,25.59,0,0,88.43,0,114.15,0,59.75,0,0,0,0,0

41,10:00-10:15,142.55,19.99,31.8,0,355.34,0,0,0,0,0,563.53,0,19.22,0,0,0,0,0.61,0,0,0,134.27,0,39.6,8.79,0,0,0,25.38,0,4.14,0,0,40.75,25.46,0,0,0,0,0,0,0,0,0,0,0,0,1.35,397.4,0,24.89,0,0,0,0,0,0,0,42.19,0,0,0,25.59,0,0,88.43,0,114.15,0,59.75,0,0,0,0,0

42,10:15-10:30,142.55,19.99,31.8,0,297.66,0,0,0,0,0,508.76,0,19.22,0,0,0,0,0.61,0,0,0,134.27,0,39.6,8.79,0,0,0,25.38,0,4.14,0,0,40.75,25.46,0,0,0,0,0,0,0,0,0,0,0,0,1.35,397.4,0,24.89,0,0,0,0,0,0,0,42.19,0,0,0,25.59,0,0,88.43,0,114.15,0,59.75,0,0,0,0,0

43,10:30-10:45,142.55,19.99,31.8,0,288.05,0,0,0,0,0,491.89,0,19.22,0,0,0,0,0.61,0,0,0,134.27,0,39.6,8.79,0,0,0,25.38,0,10.34,0,0,40.75,25.46,0,0,0,0,0,0,0,0,0,0,0,0,1.35,397.4,0,24.89,0,0,0,0,0,0,0,42.19,0,0,0,25.59,0,0,88.43,0,114.15,0,59.75,0,0,0,0,0

44,10:45-11:00,142.55,19.99,31.8,0,288.05,0,0,0,0,0,462.28,0,19.22,0,0,0,0,0.61,0,0,0,134.27,0,39.6,8.79,0,0,0,25.38,0,10.34,0,0,40.75,3.18,0,0,0,0,0,0,0,0,0,0,0,0,1.35,397.4,0,24.89,0,0,0,0,0,0,0,42.19,0,0,0,25.59,0,0,88.43,0,114.15,0,59.75,0,0,0,0,0

45,11:00-11:15,142.55,19.99,31.8,0,248.86,0,0,0,0,0,431.87,0,19.22,0,0,0,0,0.61,0,0,0,134.27,0,39.6,8.79,0,0,0,25.38,0,10.34,0,0,40.75,1.07,0,0,0,0,0,0,0,0,0,0,0,0,1.35,397.4,0,24.89,0,0,0,0,0,0,0,42.19,0,0,0,25.59,0,0,88.43,0,114.15,0,59.75,0,0,0,0,0

46,11:15-11:30,142.55,19.99,31.8,0,248.86,0,0,0,0,0,431.87,0,19.22,0,0,0,0,0.61,0,0,0,134.27,0,39.6,8.79,0,0,0,20.37,0,10.34,0,0,32.69,1.07,0,0,0,0,0,0,0,0,0,0,0,0,1.35,397.4,0,24.89,0,0,0,0,0,0,0,42.19,0,0,0,25.59,0,0,88.43,0,114.15,0,59.75,0,0,0,0,0

47,11:30-11:45,142.55,17.86,31.8,0,229.78,0,0,0,0,0,361.55,0,19.22,0,0,0,0,0.61,0,0,0,134.27,0,26.4,8.79,0,0,0,16.91,0,10.34,0,0,27.07,1.07,0,0,0,0,0,0,0,0,0,0,0,0,1.35,397.4,0,24.89,0,0,0,0,0,0,0,42.19,0,0,0,25.59,0,0,88.43,0,114.15,0,59.75,0,0,0,0,0

48,11:45-12:00,142.55,17.8,31.8,0,229.78,0,0,0,0,0,361.55,0,19.22,0,0,0,0,0.61,0,0,0,134.27,0,26.4,8.79,0,0,0,16.86,0,10.34,0,0,27.07,1.07,0,0,0,0,0,0,0,0,0,0,0,0,1.35,397.4,0,24.89,0,0,0,0,0,0,0,42.19,0,0,0,25.59,0,0,88.43,0,114.15,0,59.75,0,0,0,0,0

49,12:00-12:15,142.55,19.99,31.8,0,229.78,0,0,0,0,0,361.55,0,19.22,0,0,0,0,0.61,0,0,0,134.27,0,26.4,8.79,0,0,0,14.25,0,4.14,0,0,22.48,1.07,0,0,0,0,0,0,0,0,0,0,0,0,1.35,397.4,0,24.89,0,0,0,0,0,0,0,42.19,0,0,0,25.59,0,0,88.43,0,114.15,0,59.75,0,0,0,0,0

50,12:15-12:30,142.55,19.99,31.8,0,229.78,0,0,0,0,0,284.65,0,19.22,0,0,0,0,0.61,0,0,0,134.27,0,26.4,8.79,0,0,0,14.25,0,4.14,0,0,22.48,1.07,0,0,0,0,0,0,0,0,0,0,0,0,1.35,397.4,0,24.89,0,0,0,0,0,0,0,42.19,0,0,0,25.59,0,0,88.43,0,114.15,0,59.75,0,0,0,0,0

