Column1,Block,NR/2025/29996/C,NR/2025/26777/A/83601,NR/2025/26860/A/83945,NR/2025/29936/C,NR/2025/30003/C,NR/2025/27728/A/84002,NR/2025/27187/A/84007,NR/2025/27726/A/84003,NR/2025/27185/A/84008,NR/2025/27727/A/84001,NR/2025/27506/A/83544,NR/2025/26861/A/84163,NR/2025/29928/C,NR/2025/27167/A/83787,NR/2025/27500/A/83546,NR/2025/27725/A/84004,NR/2025/28774/A/83539,GNARE/NR/2024/12/20/3668,NR/2025/27356/A/83709,GNA/NR/2025/06/01/7782,NR/30092023/26122029/SH-06,GNA/NR/2025/06/01/9719,GNA/NR/2025/06/20/3628,GNA/NR/2025/06/01/7762,GNA/NR/2025/06/01/7786,GNA/NR/2025/06/01/4973,GNA/NR/2025/06/16/6051,GNA/NR/2025/06/01/2868,GNA/NR/2025/06/16/8791,GNA/NR/2025/06/01/2569,GNA/NR/2025/06/01/4444,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/06/01/7663,GNA/NR/2025/06/01/9257,GNA/NR/2025/06/01/5280,NR/30092023/31122025/SH-07,NR/2025/30028/C,NR/2025/30054/C,NR/2025/27176/A/83751,NR/2025/30007/C,NR/2025/30054/C/Alternate/1,NR/2025/30008/C,NR/2025/30055/C,NR/2025/26562/A/84158,NR/2025/27281/A/84067,NR/2025/30009/C,NR/2025/26445/A/84054,NR/2025/27157/A/83628,NR/2025/26952/A/83527,NR/2025/30032/C,NR/2025/27782/A/84000,NR/2025/27100/A/83629,NR/2025/30033/C,NR/2025/30044/C,NR/2025/30057/C,NR/2025/29451/A/83707,NR/2025/26889/A/83994,NR/2025/30059/C,NR/2025/26785/A/83547,NR/2025/27088/A/84047,NR/2025/30047/C,NR/2025/27499/A/83993,NR/2025/26085/A/83704,NR/2025/26566/A/84160,NR/2025/30051/C,NR/2025/30062/C,NR/2025/26572/A/84162,NR/2025/27242/A/83727,NR/2025/26571/A/84161,NR/2025/27168/A/83788,NR/2025/29816/A/83671,NR/2025/30061/C,NR/2025/28719/A/83599,NR/2025/26565/A/84159,NR/2025/30053/C,NR/2025/26975/A/84009,Total
,,PXIL,INSTINCT,BRPL,IEXL,DIAPL,APPCPL,APPCPL,APPCPL,APPCPL,APPCPL,IEXL,PowerPulse,MANIKARAN,PTC,IEXL,APPCPL,IEXL,SECI_Trader,BRPL,APPCPL,PUNJAB,NVVNL,MANIKARAN,PTC,INSTINCT,APPCPL,APPCPL,NDMC,APPCPL,PTC,PowerPulse,DELHI,SIMHAPURI,MANIKARAN,KEIPL,BAWANA_GAS,APPCPL,NVVNL,APPCPL,PowerPulse,NVVNL,PowerPulse,NVVNL,PowerPulse,MANIKARAN,PowerPulse,NVVNL,KEIPL,PXIL,APPCPL,APPCPL,IVPL_Trader,APPCPL,BRPL,NVVNL,BRPL,HPXL,APPCPL,IEXL,NVVNL,INSTINCT,HPXL,ITCLH,PowerPulse,APPCPL,APPCPL,PowerPulse,GMRETL,PowerPulse,PTC,DIAPL,APPCPL,DIAPL,PowerPulse,APPCPL,APPCPL,
,,NA,NA,NA,NA,HIMACHAL_STATE,NA,KERALA_State,NA,KERALA_State,NA,HIMACHAL_STATE,NA,CSEB_State,GoHP_Chamera1_STATE,MSEB_State,NA,NA,NA,NA,CSEB_State,DELHI_UT,NA,MSEB_State,ODISHA_STATE,NA,NA,GOA_State,NA,GOA_State,TELANGANA_State,NA,HIMACHAL_STATE,NA,MP_State,CSEB_State,DELHI_UT,Manipur_State,NA,MSEB_State,NA,NA,NA,NA,NA,CSEB_State,NA,NA,CSEB_State,NA,KERALA_State,NA,MSEB_State,MSEB_State,NA,NA,NA,MSEB_State,NA,NA,NA,NA,JK_and_LADAKH_UT,ANDHRA_PRADESH_STATE,NA,NA,NA,NA,HIMACHAL_STATE,NA,GoHP_Rampur_STATE,HIMACHAL_STATE,NA,HIMACHAL_STATE,NA,NA,Manipur_State,
,,MBMP,JPL2,JPL2,MBMP,GBHHPL,RKM_POWER,KSEB,RKM_POWER,KSEB,JPL2,NHCPL_HP,COASTGEN,CSEB_Beneficiary,GoHP_Chamera1,A_A_Energy_MH_Bio,SKS_Raigarh,TPSL_BKN2,APSEPL_FTG,TS1PL_BKN,CSPDCL,BAWANA_GAS,JHABUA_IPP,AEML,NBVL_OTCL,SIMHAPURI,DBPL,GOA_Beneficiary,JIPL,GOA_Beneficiary,NAVABHARAT,COASTGEN,CHANJUII,SIMHAPURI,BLAPOWER_MP,CSPDCL,BAWANA_GAS,Manipur_Ben,Kameng,AEML,APL_Raipur_TPP,Kameng,APL_Raigarh_TPP,SORANG_HEP,APL_Raipur_TPP,CSEB_Beneficiary,MAHAN_ENERGEN,JPNIGRIE_JNSTPP,CSEB_Beneficiary,MBMP,KSEB,TRN_ENERGY,TPC_MSEB,AEML,JPL2,ILFS,DADRT2,GRETAENERGY,JPL2,MBMP,ILFS,JPL2,O2Z,ITCWIND,MAHAN_ENERGEN,SKS_Raigarh,RKM_POWER,APL_Raigarh_TPP,GBHHPL,APL_Raigarh_TPP,GoHP_Rampur,GBHHPL,TRN_ENERGY,GBHHPL,MAHAN_ENERGEN,RKM_POWER,Manipur_Ben,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,BRPL,BRPL,BRPL,NDMC,DIAPL,NDMC,BYPL,NDMC,BYPL,NDMC,MES_Delhi,BRPL,BYPL,BRPL,MES_Delhi,NDMC,MES_Delhi,TPDDL,BRPL,BRPL,PUNJAB,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,NDMC,BRPL,BRPL,BRPL,TPDDL,BRPL,BRPL,BRPL,HARYANA,BYPL,TPDDL,BYPL,TPDDL,TPDDL,TPDDL,TPDDL,TPDDL,BYPL,TPDDL,TPDDL,BYPL,BRPL,BYPL,NDMC,BYPL,BYPL,BRPL,BRPL,BRPL,BYPL,NDMC,NDMC,BRPL,BRPL,BYPL,ITCLH,TPDDL,NDMC,NDMC,TPDDL,BRPL,TPDDL,BRPL,DIAPL,NDMC,DIAPL,TPDDL,NDMC,BYPL,
,,West-North,West-North,West-North,West-North,North-North,West-North,South-West-North,West-North,South-West-North,West-North,North-North,South-West-North,West-North,North-North,West-North,West-North,North-North,North-North,North-North,West-North,North-North,West-North,West-North,East-West-North,South-West-North,West-North,West-North,East-North,West-North,South-West-North,South-West-North,North-North,South-East-North,West-North,West-North,North-North,North East-East-North,North East-East-North,West-North,West-North,North East-East-West-North,West-North,North-North,West-North,West-North,West-North,West-North,West-North,West-North,South-West-North,West-North,West-North,West-North,West-North,South-West-North,North-North,West-North,West-North,West-North,South-West-North,West-North,North-North,South-West-North,West-North,West-North,West-North,West-North,North-North,West-North,North-North,North-North,West-North,North-North,West-North,West-North,North East-East-North,
1,00:00-00:15,0,164.29,90.36,0,0,26.35,19.33,26.35,19.33,26.35,1.93,164.29,0,20.54,7.73,8.78,0,0,0,11.91,30,20.54,20.85,20.54,41.07,41.07,19.33,29.06,15.32,53.39,0,17.11,41.07,20.54,11.92,14.25,0,0,106.3,0,164.53,0,28.03,144.96,24.88,0,96.64,217.34,0,0,7.73,25.2,0,0,0,96.64,5.8,0,0,164.29,0,8.7,0.68,0,0,0,0,41.07,144.96,20.54,1.93,0,10.63,144.96,0,27.06,2466.4700000000003

2,00:15-00:30,0,164.29,90.36,0,0,26.35,19.33,26.35,19.33,26.35,1.93,164.29,0,20.54,7.73,8.78,0,0,0,11.91,30,20.54,20.85,20.54,41.07,41.07,19.33,29.06,15.32,53.39,0,17.11,41.07,20.54,11.92,14.25,0,0,106.3,0,164.53,0,28.03,144.96,24.88,0,96.64,217.34,0,0,7.73,25.2,0,0,0,96.64,5.8,0,0,164.29,0,8.7,0.68,0,0,0,0,41.07,144.96,20.54,1.93,0,10.63,144.96,0,27.06,2466.4700000000003

