Block,Time,WR/01102023/30052048/L_NR_2022_10,NR/01102023/30042040/GNA_LT_35,NR/01102023/05012040/L_NR_2020_02,NR/01082024/15082024/IIPL/JPL-T-BRPL/04/Aug'24,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/L_NR_2019_05,SR/01102023/07102043/L_NR_2018_61,NR/01082024/30092024/LT_MEJA_DELHI,NR/01102023/30042040/GNA_LT_36,NR/01102023/25072045/L_NR_2021_15,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/06022042/L_NR_2012_07,NR/01082024/31082024/jitpl,WR/01102023/24112044/L_NR_2020_07,NR/01102023/31102037/L_NR_2019_11,WR/01102023/16072048/L_NR_2022_08,NR/01082024/31082024/SKS-Raigarh,WR/01102023/01102023/L_NR_2020_06,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),WR/01102023/01102023/L_NR_2022_09,NR/01102023/14082046/L_NR_2021_16,NR/30092023/26122029/SH-06,NR/01082024/30082024/	NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,L_NR_2019_19,WR/01102023/31032046/L_NR_2020_05,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/23072042/L_NR_2012_04,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,NR/01082024/01082024/HPX_TAM_31072024_01942,NR/01102023/31052040/LT-31,NR/01102023/22052037/LT-59,NR/30092023/31122025/SH-07,NR/01102023/06022042/L_NR_2012_02,NR/01102023/19072037/LT-05,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/02122045/L_NR_2021_13,NR/01082024/15082024/APL-Raigarh,NR/22102023/11042047/L_NR_2021_17,NR/26072023/31072042/L_NR_2023_07,NR/01102023/02012046/L_NR_2021_17,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_16,NR/01102023/13082046/L_NR_2021_12,NR/26072023/25122043/L_NR_2023_10
1,00:00-00:15,43.33,0.000000,6.020000,48.160000,0,0,35.62,7.930000,0.000000,0,272.340000,0,86.880000,12.170000,18.33,8.120000,15,12.410000,18.34,0.000000,37.670000,43.33,0,30.820000,0.000000,0,55,29.270000,15.910000,0.000000,38.530000,96.320000,0.000000,10.080000,30.820000,261.510000,70.190000,100.350000,0,192.640000,0,0,0,0,0,0,0

2,00:15-00:30,43.67,0.000000,6.020000,48.160000,0,0,35.82,7.930000,0.000000,0,272.340000,0,86.880000,12.170000,19.17,8.120000,15,12.410000,19.16,0.000000,37.670000,43.67,0,30.820000,0.000000,0,57.5,29.270000,15.910000,0.000000,38.530000,96.320000,0.000000,10.080000,30.820000,261.510000,70.190000,100.350000,0,192.640000,0,0,0,0,0,0,0

3,00:30-00:45,45,0.000000,6.020000,48.160000,0,0,36.02,7.930000,0.000000,0,272.340000,0,86.880000,12.170000,19.33,8.120000,15,12.410000,19.34,0.000000,37.670000,45,0,20.230000,0.000000,0,58,29.270000,15.910000,0.000000,38.530000,96.320000,0.000000,10.080000,20.230000,261.510000,70.190000,100.350000,0,192.640000,0,0,0,0,0,0,0

4,00:45-01:00,45.33,0.000000,6.020000,48.160000,0,0,36.42,7.930000,0.000000,0,272.340000,0,86.880000,12.170000,19.67,8.120000,15.34,12.410000,19.66,0.000000,37.670000,45.33,0,20.230000,0.000000,0,59,29.270000,15.910000,0.000000,38.530000,96.320000,0.000000,10.080000,20.230000,261.510000,70.190000,100.350000,0,192.640000,0,0,0,0,0,0,0

5,01:00-01:15,61.67,0.000000,5.840000,48.160000,0,0,37.02,7.930000,0.000000,0,272.340000,0,76.370000,12.170000,20,7.890000,15.66,12.410000,20,0.000000,37.670000,61.67,0,20.200000,0.000000,0,60,29.270000,15.910000,0.000000,38.530000,96.320000,0.000000,0.000000,20.200000,261.510000,70.190000,71.450000,0,192.640000,0,0,0,0,0,0,0

6,01:15-01:30,62,0.000000,5.840000,48.160000,0,0,37.02,7.930000,0.000000,0,272.340000,0,76.370000,12.170000,26.33,7.890000,22.66,12.410000,26.34,0.000000,37.670000,62,0,20.200000,0.000000,0,79,29.270000,15.910000,0.000000,38.530000,96.320000,0.000000,0.000000,20.200000,261.510000,70.190000,52.980000,0,192.640000,0,0,0,0,0,0,0

7,01:30-01:45,62.33,0.000000,5.840000,48.160000,0,0,37.02,7.930000,0.000000,0,272.340000,0,76.370000,12.170000,26.67,0.000000,24,12.410000,26.66,0.000000,37.670000,62.33,0,20.200000,0.000000,0,80,0.000000,15.910000,0.000000,38.530000,96.320000,0.000000,0.000000,20.200000,261.510000,70.190000,52.980000,0,192.640000,0,0,0,0,0,0,0

8,01:45-02:00,62.67,0.000000,5.840000,48.160000,0,0,37.02,7.930000,0.000000,0,272.340000,0,76.370000,12.170000,27,0.000000,25,12.410000,27,0.000000,37.670000,62.67,0,20.200000,0.000000,0,81,0.000000,15.910000,0.000000,38.530000,96.320000,0.000000,0.000000,20.200000,261.510000,70.190000,52.980000,0,192.640000,0,0,0,0,0,0,0

