Column1,Block,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/SR/2025/03/01/7500,GNA/NR/2025/03/01/6891,GNA/NR/2025/03/01/2563,GNA/NR/2025/03/01/8036,GNA/NR/2025/03/01/3469,GNA/NR/2025/03/01/1906,GNA/NR/2025/03/01/9482,GNA/NR/2025/03/01/4651,GNA/WR/2025/03/01/6406,GNA/NR/2025/03/01/5143,GNA/WR/2025/01/01/8625,GNA/WR/2025/01/01/9606,NR/2025/25159/A/55493,WR/2025/26427/A/55543,WR/2025/26582/A/55772,WR/2025/26499/A/55774,WR/2025/26426/A/55541,GNARE/NR/2024/12/20/3668,NR/2025/25445/C,NR/2025/25444/C,Total
,,BAWANA_GAS,PUNJAB,DELHI,APPCPL,PTC,NDMC,NDMC,NDMC,NDMC,NDMC,NDMC,APPCPL,PTC,TPTCL,APPCPL,ITCLH,KEIPL,APPCPL,APPCPL,KEIPL,SECI_Trader,SJVNL,SJVNL,
,,DELHI_UT,DELHI_UT,HIMACHAL_STATE,DELHI_UT,DELHI_UT,NA,NA,NA,NA,NA,NA,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,ANDHRA_PRADESH_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,NA,NA,NA,
,,BAWANA_GAS,BAWANA_GAS,CHANJUII,BYPL,BYPL,RKM_POWER,RKM_POWER,TRN_ENERGY,JPL2,JIPL,SKS_Raigarh,BRPL,BRPL,BYPL,BYPL,ITCWIND,BRPL,BRPL,BRPL,BYPL,APSEPL_FTG,RSRPL_BKN,TPSL_BKN2,
,,HARYANA_STATE,PUNJAB_STATE,DELHI_UT,KERALA_State,HIMACHAL_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,MSEB_State,HIMACHAL_STATE,MSEB_State,MSEB_State,DELHI_UT,CSEB_State,CSEB_State,MSEB_State,CSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,
,,HARYANA,PUNJAB,TPDDL,KSEB,HP,NDMC,NDMC,NDMC,NDMC,NDMC,NDMC,AEML,HP,TPC_MSEB,AEML,ITCLH,CSEB_Beneficiary,CSEB_Beneficiary,AEML,CSEB_Beneficiary,TPDDL,NDMC,NDMC,
,,North-North,North-North,North-North,North-West-South,North-North,West-North,West-North,West-North,West-North,East-North,West-North,North-West,North-North,North-West,North-West,South-West-North,North-West,North-West,North-West,North-West,North-North,North-North,North-North,
1,00:00-00:15,26.99,26.99,6.81,200,63.42,23.07,23.07,8.65,23.07,17.3,5.77,42,190.26,0,0,0.43,48.06,48.06,0,167.79,0,0,0,921.7399999999998

2,00:15-00:30,26.99,26.99,6.81,200,63.42,23.07,23.07,8.65,23.07,17.3,5.77,42,190.26,0,0,0.43,48.06,48.06,0,167.79,0,0,0,921.7399999999998

3,00:30-00:45,26.99,26.99,6.81,200,63.42,23.07,23.07,8.65,23.07,17.3,5.77,42,190.26,0,0,0.43,48.06,48.06,0,167.79,0,0,0,921.7399999999998

4,00:45-01:00,26.99,26.99,6.81,200,63.42,23.07,23.07,8.65,23.07,17.3,5.77,42,190.26,0,0,0.43,48.06,48.06,0,167.79,0,0,0,921.7399999999998

5,01:00-01:15,26.99,26.99,6.72,200,63.42,23.07,23.07,8.65,23.07,17.3,5.77,42,190.26,0,0,0.43,48.06,48.06,0,167.79,0,0,0,921.6499999999999

6,01:15-01:30,26.99,26.99,6.72,200,63.42,23.07,23.07,8.65,23.07,17.3,5.77,42,190.26,0,0,0.43,48.06,48.06,0,167.79,0,0,0,921.6499999999999

7,01:30-01:45,26.99,26.99,6.72,200,63.42,23.07,23.07,8.65,23.07,17.3,5.77,42,190.26,0,0,0.43,48.06,48.06,0,167.79,0,0,0,921.6499999999999

8,01:45-02:00,26.99,26.99,6.72,200,63.42,23.07,23.07,8.65,23.07,17.3,5.77,42,190.26,0,0,0.43,48.06,48.06,0,167.79,0,0,0,921.6499999999999

9,02:00-02:15,26.99,26.99,6.62,0,63.42,23.07,23.07,8.65,23.07,17.3,5.77,42,190.26,0,0,0.43,48.06,48.06,0,167.79,0,0,0,721.55

10,02:15-02:30,26.99,26.99,6.62,0,63.42,23.07,23.07,8.65,23.07,17.3,5.77,42,190.26,0,0,0.43,48.06,48.06,0,167.79,0,0,0,721.55

11,02:30-02:45,26.99,26.99,6.62,0,63.42,23.07,23.07,8.65,23.07,17.3,5.77,42,190.26,0,0,0.43,48.06,48.06,0,167.79,0,0,0,721.55

12,02:45-03:00,26.99,26.99,6.62,0,63.42,23.07,23.07,8.65,23.07,17.3,5.77,42,190.26,0,0,0.43,48.06,48.06,0,167.79,0,0,0,721.55

13,03:00-03:15,26.99,26.99,6.54,0,63.42,23.07,23.07,8.65,23.07,17.3,5.77,42,190.26,0,0,0.43,48.06,48.06,0,167.79,0,0,0,721.47

14,03:15-03:30,26.99,26.99,6.54,0,63.42,23.07,23.07,8.65,23.07,17.3,5.77,42,190.26,0,0,0.43,48.06,48.06,0,167.79,0,0,0,721.47

15,03:30-03:45,26.99,26.99,6.54,0,63.42,23.07,23.07,8.65,23.07,17.3,5.77,42,190.26,0,0,0.43,48.06,48.06,0,167.79,0,0,0,721.47

16,03:45-04:00,26.99,26.99,6.54,0,63.42,23.07,23.07,8.65,23.07,17.3,5.77,42,190.26,0,0,0.43,48.06,48.06,0,167.79,0,0,0,721.47

17,04:00-04:15,26.99,26.99,6.54,0,63.42,23.07,23.07,8.65,23.07,17.3,5.77,42,190.26,0,0,0.43,48.06,48.06,0,167.79,0,0,0,721.47

18,04:15-04:30,26.99,26.99,6.54,0,63.42,23.07,23.07,8.65,23.07,17.3,5.77,42,190.26,0,0,0.43,48.06,48.06,0,167.79,0,0,0,721.47

19,04:30-04:45,26.99,26.99,6.54,0,63.42,23.07,23.07,8.65,23.07,17.3,5.77,42,190.26,0,0,0.43,48.06,48.06,0,167.79,0,0,0,721.47

20,04:45-05:00,26.99,26.99,6.54,0,63.42,23.07,23.07,8.65,23.07,17.3,5.77,42,190.26,0,0,0.43,48.06,48.06,0,167.79,0,0,0,721.47

21,05:00-05:15,26.99,26.99,6.44,0,63.42,23.07,23.07,8.65,23.07,17.3,5.77,42,190.26,0,0,0.48,48.06,48.06,0,167.79,0,0,0,721.42

22,05:15-05:30,26.99,26.99,6.44,0,63.42,23.07,23.07,8.65,23.07,17.3,5.77,42,190.26,0,0,0.48,48.06,48.06,0,167.79,0,0,0,721.42

23,05:30-05:45,26.99,26.99,6.44,0,63.42,23.07,23.07,8.65,23.07,17.3,5.77,42,190.26,0,0,0.48,48.06,48.06,0,167.79,0,0,0,721.42

24,05:45-06:00,26.99,26.99,6.44,0,63.42,23.07,23.07,8.65,23.07,17.3,5.77,42,190.26,0,0,0.48,48.06,48.06,0,167.79,0,0,0,721.42

25,06:00-06:15,26.99,26.99,6.34,0,0,23.07,23.07,8.65,23.07,17.3,5.77,42,0,0,0,0.53,0,0,0,167.79,0,0,0,371.57

26,06:15-06:30,26.99,26.99,6.34,0,0,23.07,23.07,8.65,23.07,17.3,5.77,42,0,0,0,0.53,0,0,0,167.79,0,0,0,371.57

27,06:30-06:45,25.16,25.16,6.34,0,0,23.07,23.07,8.65,23.07,17.3,5.77,42,0,0,0,0.53,0,0,0,167.79,0,0,0,367.90999999999997

28,06:45-07:00,19.71,19.71,6.34,0,0,23.07,23.07,8.65,23.07,17.3,5.77,42,0,0,0,0.53,0,0,0,167.79,0.04,0,0,357.05

29,07:00-07:15,12.6,32,6.16,0,0,23.07,23.07,8.65,23.07,17.3,5.77,0,0,0,0,0.58,0,0,40.37,167.79,0.28,0,0,360.71000000000004

30,07:15-07:30,12.6,32,6.16,0,0,23.07,23.07,8.65,23.07,17.3,5.77,0,0,0,0,0.58,0,0,40.37,167.79,0.34,0,0,360.77000000000004

31,07:30-07:45,12.6,32,6.16,0,0,23.07,23.07,8.65,23.07,17.3,5.77,0,0,0,0,0.58,0,0,40.37,167.79,0.51,0,0,360.94000000000005

32,07:45-08:00,12.6,32,6.16,0,0,23.07,23.07,8.65,23.07,17.3,5.77,0,0,0,0,0.58,0,0,40.37,167.79,1.43,0,0,361.86000000000007

33,08:00-08:15,18.15,32,6.16,0,0,23.07,23.07,8.65,23.07,17.3,5.77,0,0,0,0,0.96,0,0,40.37,0,4.9,0,0,203.47000000000003

34,08:15-08:30,25.87,32,6.16,0,0,23.07,23.07,8.65,23.07,17.3,5.77,0,0,0,0,0.96,0,0,40.37,0,10.23,0,0,216.52

35,08:30-08:45,25.87,32,6.16,0,0,23.07,23.07,8.65,23.07,17.3,5.77,0,0,0,0,0.96,0,0,40.37,0,18.79,0,0,225.08

36,08:45-09:00,25.87,32,6.16,0,0,23.07,23.07,8.65,23.07,17.3,5.77,0,0,0,0,0.96,0,0,40.37,0,27.09,0,0,233.38000000000002

37,09:00-09:15,25.87,32,6.08,0,0,23.07,23.07,8.65,23.07,17.3,5.77,0,0,0,0,0.91,0,0,40.37,0,35.94,38.45,14.42,294.97

38,09:15-09:30,25.87,32,6.08,0,0,23.07,23.07,8.65,23.07,17.3,5.77,0,0,0,0,0.91,0,0,40.37,0,46.51,38.45,14.42,305.54

39,09:30-09:45,26.99,26.99,6.08,0,0,23.07,23.07,8.65,23.07,17.3,5.77,0,0,0,0,0.91,0,0,40.37,0,62.47,38.45,14.42,317.61

40,09:45-10:00,26.99,26.99,6.08,0,0,23.07,23.07,8.65,23.07,17.3,5.77,0,0,0,0,0.91,0,0,40.37,0,70.19,38.45,14.42,325.33000000000004

41,10:00-10:15,26.99,26.99,6.08,0,0,23.07,23.07,8.65,23.07,17.3,5.77,0,0,0,0,0.91,0,0,40.37,0,83.34,38.45,14.42,338.48

42,10:15-10:30,26.99,26.99,6.08,0,0,23.07,23.07,8.65,23.07,17.3,5.77,0,0,0,0,0.91,0,0,40.37,0,89.92,38.45,14.42,345.06

43,10:30-10:45,26.99,26.99,6.08,0,0,23.07,23.07,8.65,23.07,17.3,5.77,0,0,0,0,0.91,0,0,40.37,0,95.87,38.45,14.42,351.01

44,10:45-11:00,26.99,26.99,6.08,0,0,23.07,23.07,8.65,23.07,17.3,5.77,0,0,0,0,0.91,0,0,40.37,0,100,38.45,14.42,355.14

45,11:00-11:15,26.99,26.99,5.43,0,0,23.07,23.07,8.65,23.07,17.3,5.77,0,0,0,0,0.91,0,0,40.37,0,100,38.45,14.42,354.49

46,11:15-11:30,26.99,26.99,5.43,0,0,23.07,23.07,8.65,23.07,17.3,5.77,0,0,0,0,0.91,0,0,40.37,0,100,38.45,14.42,354.49

47,11:30-11:45,26.99,26.99,5.43,0,0,23.07,23.07,8.65,23.07,17.3,5.77,0,0,0,0,0.91,0,0,40.37,0,100,38.45,14.42,354.49

48,11:45-12:00,26.99,26.99,5.43,0,0,23.07,23.07,8.65,23.07,17.3,5.77,0,0,0,0,0.91,0,0,40.37,0,100,38.45,14.42,354.49

49,12:00-12:15,26.99,26.99,5.34,0,0,23.07,23.07,8.65,23.07,17.3,5.77,0,0,0,0,0.91,0,0,40.37,0,100,38.45,14.42,354.4

50,12:15-12:30,26.99,26.99,5.34,0,0,23.07,23.07,8.65,23.07,17.3,5.77,0,0,0,0,0.91,0,0,40.37,0,100,38.45,14.42,354.4

51,12:30-12:45,26.99,26.99,5.34,0,0,23.07,23.07,8.65,23.07,17.3,5.77,0,0,0,0,0.91,0,0,40.37,0,100,38.45,14.42,354.4

52,12:45-13:00,26.99,26.99,5.34,0,0,23.07,23.07,8.65,23.07,17.3,5.77,0,0,0,0,0.91,0,0,40.37,0,100,38.45,14.42,354.4

53,13:00-13:15,26.99,26.99,5.25,0,0,23.07,23.07,8.65,23.07,17.3,5.77,0,0,0,0,0.91,0,0,40.37,0,100,38.45,14.42,354.31000000000006

54,13:15-13:30,26.99,26.99,5.25,0,0,23.07,23.07,8.65,23.07,17.3,5.77,0,0,0,0,0.91,0,0,40.37,0,100,38.45,14.42,354.31000000000006

55,13:30-13:45,26.99,26.99,5.25,0,0,23.07,23.07,8.65,23.07,17.3,5.77,0,0,0,0,0.91,0,0,40.37,0,100,38.45,14.42,354.31000000000006

56,13:45-14:00,26.99,26.99,5.25,0,0,23.07,23.07,8.65,23.07,17.3,5.77,0,0,0,0,0.91,0,0,40.37,0,100,38.45,14.42,354.31000000000006

57,14:00-14:15,26.99,26.99,5.15,0,0,23.07,23.07,8.65,23.07,17.3,5.77,0,0,0,0,0.91,0,0,40.37,0,100,38.45,14.42,354.21000000000004

58,14:15-14:30,26.99,26.99,5.15,0,0,23.07,23.07,8.65,23.07,17.3,5.77,0,0,0,0,0.91,0,0,40.37,0,100,38.45,14.42,354.21000000000004

59,14:30-14:45,26.99,26.99,5.15,0,0,23.07,23.07,8.65,23.07,17.3,5.77,0,0,0,0,0.91,0,0,40.37,0,100,38.45,14.42,354.21000000000004

60,14:45-15:00,26.99,26.99,5.15,0,0,23.07,23.07,8.65,23.07,17.3,5.77,0,0,0,0,0.91,0,0,40.37,0,100,38.45,14.42,354.21000000000004

61,15:00-15:15,26.99,26.99,5.06,0,0,23.07,23.07,8.65,23.07,17.3,5.77,0,0,0,0,0.67,0,0,40.37,0,100,38.45,14.42,353.88

62,15:15-15:30,26.99,26.99,5.06,0,0,23.07,23.07,8.65,23.07,17.3,5.77,0,0,0,0,0.67,0,0,40.37,0,96.32,38.45,14.42,350.20000000000005

63,15:30-15:45,26.99,26.99,5.06,0,0,23.07,23.07,8.65,23.07,17.3,5.77,0,0,0,0,0.67,0,0,40.37,0,90.75,38.45,14.42,344.63

64,15:45-16:00,26.99,26.99,5.06,0,0,23.07,23.07,8.65,23.07,17.3,5.77,0,0,0,0,0.67,0,0,40.37,0,84.67,38.45,14.42,338.55

65,16:00-16:15,26.99,26.99,4.97,0,0,23.07,23.07,8.65,23.07,17.3,5.77,0,0,0,0,0.53,0,0,40.37,0,78.18,38.45,14.42,331.83000000000004

