Column1,Time,NR/01102023/08032047/L_NR_2021_14,NR/26072023/25122043/L_NR_2023_10,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/30052048/L_NR_2022_10,NR/01102023/02122045/L_NR_2021_13,NR/01102023/25072045/L_NR_2021_15,WR/01102023/01102023/L_NR_2020_06,NR/26072023/31072042/L_NR_2023_07,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/24112044/L_NR_2020_07,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/L_NR_2019_05,NR/01102023/13082046/L_NR_2021_12,GNARE/SR/2025/01/13/4532,NR/22102023/11042047/L_NR_2021_16,L_NR_2019_19,GNARE/NR/2024/12/20/3668,NR/22102023/11042047/L_NR_2021_17,WR/01102023/01102023/L_NR_2022_09,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/01/01/3514,GNA/NR/2025/01/01/6775,GNA/NR/2025/01/01/7459,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/01/01/3945,NR/01102023/22052037/LT-59,GNA/NR/2025/01/01/3733,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/01/20/4168,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/01/20/2470,GNA/NR/2025/01/20/4698,GNA/NR/2025/01/01/8058,GNA/NR/2025/01/20/9046,GNA/NR/2025/01/01/5531,GNA/NR/2025/01/20/5216,GNA/NR/2025/01/20/9333,NR/01102023/19072037/LT-05,NR/01102023/30042040/GNA_LT_36,NR/01102023/06022042/L_NR_2012_07,GNA/WR/2025/01/01/8625,GNA/NR/2025/01/01/6528,NR/30092023/31122025/SH-07,NR/01102023/31052040/LT-31,NR/01102023/30042040/GNA_LT_35,NR/01102023/15082037/GNA_NR_2012_01,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/01/02/1250,GNA/NR/2025/01/01/3925,GNA/NR/2025/01/01/8738,NR/30092023/26122029/SH-06,GNA/WR/2025/01/01/9606,GNA/WR/2024/11/01/4200,NR/01102023/06022042/L_NR_2012_02
1,00:00-00:15,0,0,0,15,0,0,6.67,0,6.67,0,6.67,19.99,0,0,27.41,0,0,0,0,15,1.34,19.23,25,25,149.54,25,0.62,20.19,24.72,0,0.95,0,0,26.92,0,28.85,0,0,70.13,0,59.46,0,8.65,0,0,0,62.73,1.29,48.08,48.08,48.08,0,0,0,134.62

2,00:15-00:30,0,0,0,15,0,0,6.67,0,6.67,0,6.67,19.99,0,0,25.81,0,0,0,0,15,1.34,19.23,25,25,149.54,25,0.62,20.19,24.72,0,0.95,0,0,26.92,0,28.85,0,0,70.13,0,59.46,0,8.65,0,0,0,62.73,1.29,48.08,48.08,48.08,0,0,0,134.62

3,00:30-00:45,0,0,0,14.34,0,0,6.67,0,6.67,0,6.67,19.99,0,0,23.81,0,0,0,0,14.33,1.34,19.23,25,25,149.54,25,0.62,20.19,25.23,0,0.95,0,0,26.92,0,28.85,0,0,70.13,0,59.46,0,8.65,0,0,0,62.73,1.29,48.08,48.08,48.08,0,0,0,134.62

4,00:45-01:00,0,0,0,14.34,0,0,6.67,0,6.67,0,6.67,19.99,0,0,21.81,0,0,0,0,14.33,1.34,19.23,25,25,149.54,25,0.62,20.19,25.73,0,0.95,0,0,26.92,0,28.85,0,0,70.13,0,59.46,0,8.65,0,0,0,62.73,1.29,48.08,48.08,48.08,0,0,0,134.62

5,01:00-01:15,0,0,0,13.66,0,0,6.67,0,6.67,0,6.67,19.99,0,0,20.01,0,0,0,0,13.67,1.34,19.23,25,25,149.54,25,0.62,20.19,25.73,0,0.95,0,0,26.92,0,28.85,0,0,70.13,0,59.46,0,8.65,0,0,0,62.73,1.29,48.08,48.08,48.08,0,0,0,134.62

6,01:15-01:30,0,0,0,13.66,0,0,6.67,0,6.67,0,6.67,19.99,0,0,18.21,0,0,0,0,13.67,1.34,19.23,25,25,149.54,25,0.62,20.19,25.73,0,0.95,0,0,26.92,0,28.85,0,0,70.13,0,59.46,0,8.65,0,0,0,62.73,1.29,48.08,48.08,48.08,0,0,0,134.62

7,01:30-01:45,0,0,0,13.34,0,0,6.67,0,6.67,0,6.67,19.99,0,0,16.81,0,0,0,0,13.33,1.34,19.23,25,25,149.54,25,0,20.19,25.73,0,0.95,0,0,26.92,0,28.85,0,0,70.13,0,59.46,0,8.65,0,0,0,62.73,1.29,48.08,48.08,48.08,0,0,0,134.62

8,01:45-02:00,0,0,0,13.34,0,0,6.67,0,6.67,0,6.67,19.99,0,0,15.41,0,0,0,0,13.33,1.34,19.23,25,25,149.54,25,0,20.19,25.23,0,0.95,0,0,26.92,0,28.85,0,0,70.13,0,59.46,0,8.65,0,0,0,62.73,1.29,48.08,48.08,48.08,0,0,0,134.62

9,02:00-02:15,0,0,0,13.34,0,0,6.67,0,6.67,0,6.67,19.99,0,0,14.61,0,0,0,0,13.33,1.34,19.23,23.08,23.08,149.54,23.08,0.62,20.19,25.23,0,0.95,0,0,26.92,0,28.85,0,0,70.13,0,59.46,0,8.65,0,0,0,62.73,1.29,48.08,48.08,48.08,0,0,0,134.62

10,02:15-02:30,0,0,0,13.34,0,0,6.67,0,6.67,0,6.67,19.99,0,0,14.41,0,0,0,0,13.33,1.34,19.23,23.08,23.08,149.54,23.08,0.62,20.19,25.23,0,0.95,0,0,26.92,0,28.85,0,0,70.13,0,59.46,0,8.65,0,0,0,62.73,1.29,48.08,48.08,48.08,0,0,0,134.62

11,02:30-02:45,0,0,0,13.34,0,0,6.67,0,6.67,0,6.67,19.99,0,0,14.41,0,0,0,0,13.33,1.34,19.23,23.08,23.08,149.54,23.08,0.62,20.19,25.23,0,0.95,0,0,26.92,0,28.85,0,0,70.13,0,59.46,0,8.65,0,0,0,62.73,1.29,48.08,48.08,48.08,0,0,0,134.62

12,02:45-03:00,0,0,0,13.34,0,0,6.67,0,6.67,0,6.67,19.99,0,0,14.41,0,0,0,0,13.33,1.34,19.23,23.08,23.08,149.54,23.08,0.62,20.19,25.23,0,0.95,0,0,26.92,0,28.85,0,0,70.13,0,59.46,0,8.65,0,0,0,62.73,1.29,48.08,48.08,48.08,0,0,0,134.62

13,03:00-03:15,0,0,0,13.34,0,0,6.67,0,6.67,0,6.67,19.99,0,0,17.61,0,0,0,0,13.33,1.3,19.23,23.08,23.08,149.54,23.08,0.62,20.19,25.23,0,0.95,0,0,26.92,0,28.85,0,0,70.13,0,59.46,0,8.65,0,0,0,62.73,1.29,48.08,48.08,48.08,0,0,0,134.62

14,03:15-03:30,0,0,0,13.34,0,0,6.67,0,6.67,0,6.67,19.99,0,0,17.41,0,0,0,0,13.33,1.3,19.23,23.08,23.08,149.54,23.08,0.62,20.19,25.23,0,0.95,0,0,26.92,0,28.85,0,0,70.13,0,59.46,0,8.65,0,0,0,62.73,1.29,48.08,48.08,48.08,0,0,0,134.62

15,03:30-03:45,0,0,0,13.34,0,0,6.67,0,6.67,0,6.67,19.99,0,0,17.01,0,0,0,0,13.33,1.3,19.23,23.08,23.08,149.54,23.08,0.62,20.19,25.23,0,0.95,0,0,26.92,0,28.85,0,0,70.13,0,59.46,0,8.65,0,0,0,62.73,1.29,48.08,48.08,48.08,0,0,0,134.62

