Block,Time,L_NR_2012_02,SH-07,L_NR_2023_04,L_NR_2012_01,LT-05,L_NR_2018_61,L_NR_2019_06,L_NR_2022_09,L_NR_2020_07,L_NR_2012_04,LT-36,L_NR_2019_11,L_NR_2021_16,L_NR_2021_17,L_NR_2012_07,LT-31,L_NR_2020_06,L_NR_2022_10,LT_MEJA_Delhi,L_NR_2022_08,L_NR_2020_05,LT-59,L_NR_2021_15,SH-06,L_NR_2019_07,L_NR_2019_05,L_NR_2019_19,L_NR_2021_12,L_NR_2021_13,L_NR_2020_02,LT-35,L_NR_2021_14
1,00:00-00:15,261.940000,0.000000,0.000000,101.400000,58.100000,21.31,0,64.99,30.06,134.320000,0.000000,10.780000,0,0,78.600000,0.000000,30.05,64.99,3.960000,20.92,90.15,10.360000,0,0.000000,0,0,0,0,0,11.920000,0.000000,0

2,00:15-00:30,261.940000,0.000000,0.000000,101.400000,58.100000,32.53,0,63.91,30,134.320000,0.000000,10.780000,0,0,78.600000,0.000000,30,63.91,3.960000,20.44,90,10.360000,0,0.000000,0,0,0,0,0,11.920000,0.000000,0

3,00:30-00:45,261.940000,0.000000,0.000000,101.400000,58.100000,33.71,0,54.89,23.39,134.320000,0.000000,10.780000,0,0,78.600000,0.000000,23.39,54.89,3.960000,20.19,70.18,10.360000,0,0.000000,0,0,0,0,0,11.920000,0.000000,0

4,00:45-01:00,261.940000,0.000000,0.000000,101.400000,58.100000,35.91,0,52.76,23.11,134.320000,0.000000,10.780000,0,0,78.600000,0.000000,23.11,52.76,3.960000,18.75,69.32,10.360000,0,0.000000,0,0,0,0,0,11.920000,0.000000,0

5,01:00-01:15,261.940000,0.000000,0.000000,101.400000,58.100000,38.17,0,51.15,22.42,134.320000,0.000000,10.780000,0,0,68.320000,0.000000,22.41,51.15,3.960000,18.07,67.24,10.360000,0,0.000000,0,0,0,0,0,11.920000,0.000000,0

6,01:15-01:30,261.940000,0.000000,0.000000,101.400000,58.100000,26.27,0,36.77,21.42,134.320000,0.000000,10.780000,0,0,68.320000,0.000000,21.43,36.77,3.960000,16.98,64.29,10.360000,0,0.000000,0,0,0,0,0,11.920000,0.000000,0

7,01:30-01:45,261.940000,0.000000,0.000000,101.400000,58.100000,26.4,0,35.45,20.26,134.320000,0.000000,10.780000,0,0,68.320000,0.000000,20.27,35.45,3.960000,15.45,60.8,10.360000,0,0.000000,0,0,0,0,0,11.920000,0.000000,0

8,01:45-02:00,226.430000,0.000000,0.000000,101.400000,58.100000,27.22,0,34.78,19.47,134.320000,0.000000,10.780000,0,0,68.320000,0.000000,19.46,34.78,3.960000,14.83,58.38,10.360000,0,0.000000,0,0,0,0,0,11.920000,0.000000,0

9,02:00-02:15,166.200000,0.000000,0.000000,101.400000,58.100000,27.94,0,34.88,13.56,134.320000,0.000000,10.780000,0,0,48.310000,0.000000,13.55,34.88,2.320000,12.22,40.65,10.360000,0,0.000000,0,0,0,0,0,11.920000,0.000000,0

10,02:15-02:30,166.200000,0.000000,0.000000,101.400000,58.100000,28.34,0,38.4,14.15,134.320000,0.000000,10.780000,0,0,48.310000,0.000000,14.15,38.4,2.320000,12.66,42.45,10.360000,0,0.000000,0,0,0,0,0,11.920000,0.000000,0

11,02:30-02:45,166.200000,0.000000,0.000000,101.400000,58.100000,28.93,0,38.07,15.37,134.320000,0.000000,10.780000,0,0,48.310000,0.000000,15.38,38.07,2.320000,13,46.12,10.360000,0,0.000000,0,0,0,0,0,11.920000,0.000000,0

12,02:45-03:00,166.200000,0.000000,0.000000,101.400000,58.100000,29.03,0,40.53,17.09,134.320000,0.000000,10.780000,0,0,48.310000,0.000000,17.09,40.53,2.320000,14.08,51.28,10.360000,0,0.000000,0,0,0,0,0,11.920000,0.000000,0

13,03:00-03:15,166.200000,0.000000,0.000000,101.400000,58.100000,28.25,0,42.43,19.03,134.320000,0.000000,10.780000,0,0,48.310000,0.000000,19.02,42.43,2.320000,15.27,57.07,10.360000,0,0.000000,0,0,0,0,0,11.920000,0.000000,0

14,03:15-03:30,166.200000,0.000000,0.000000,101.400000,58.100000,27.31,0,44.38,20.17,134.320000,0.000000,10.780000,0,0,48.310000,0.000000,20.16,44.38,2.320000,16.68,60.49,10.360000,0,0.000000,0,0,0,0,0,11.920000,0.000000,0

15,03:30-03:45,166.200000,0.000000,0.000000,48.400000,58.100000,25.11,0,30.89,15.95,134.320000,0.000000,10.780000,0,0,48.310000,0.000000,15.94,30.89,2.320000,14.55,47.83,10.360000,0,0.000000,0,0,0,0,0,11.920000,0.000000,0

16,03:45-04:00,166.200000,0.000000,0.000000,48.400000,58.100000,25.11,0,32.32,16.4,134.320000,0.000000,10.780000,0,0,48.310000,0.000000,16.39,32.32,2.320000,15.18,49.18,10.360000,0,0.000000,0,0,0,0,0,11.920000,0.000000,0

17,04:00-04:15,166.200000,0.000000,0.000000,48.400000,33.220000,25.11,0,31.44,15.84,134.320000,0.000000,10.780000,0,0,48.310000,0.000000,15.84,31.44,2.320000,15,47.52,10.360000,0,0.000000,0,0,0,0,0,11.920000,0.000000,0

18,04:15-04:30,166.200000,0.000000,0.000000,48.400000,33.220000,24.7,0,57.87,26.71,134.320000,0.000000,10.780000,0,0,31.940000,0.000000,26.73,57.87,2.320000,27.45,80.18,10.360000,0,0.000000,0,0,0,0,0,11.920000,0.000000,0

19,04:30-04:45,149.070000,0.000000,0.000000,48.400000,33.220000,23.27,0,57.75,26.39,134.320000,0.000000,10.780000,0,0,31.940000,0.000000,26.39,57.75,2.320000,27.12,79.18,10.360000,0,0.000000,0,0,0,0,0,11.920000,0.000000,0

20,04:45-05:00,115.190000,0.000000,0.000000,48.400000,33.220000,21.74,0,57.69,26.39,134.320000,0.000000,10.780000,0,0,31.940000,0.000000,26.39,57.69,2.320000,26.78,79.18,10.360000,0,0.000000,0,0,0,0,0,11.920000,0.000000,0

21,05:00-05:15,115.190000,0.000000,0.000000,101.400000,33.220000,21.22,0,57.44,26.52,134.320000,0.000000,10.780000,0,0,31.940000,0.000000,26.52,57.44,2.320000,26.47,79.56,10.360000,0,0.000000,0,0,0,0,0,11.920000,0.000000,0

22,05:15-05:30,115.190000,0.000000,0.000000,101.400000,33.220000,21.27,0,57.24,27.08,134.320000,0.000000,10.780000,0,0,31.940000,0.000000,27.1,57.24,2.320000,27.83,81.29,10.360000,0,0.000000,0,0,0,0,0,11.920000,0.000000,0

