Column1,Time,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/31032046/L_NR_2020_05,WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/24112044/L_NR_2020_07,GNARE/SR/2025/01/13/4532,NR/22102023/11042047/L_NR_2021_17,GNARE/NR/2024/12/20/3668,WR/01102023/29112042/L_NR_2019_05,L_NR_2019_19,NR/22102023/11042047/L_NR_2021_16,GNA/NR/2025/06/01/7782,NR/30092023/26122029/SH-06,GNA/NR/2025/04/01/8510,GNA/NR/2025/06/01/9719,GNA/NR/2025/06/20/3628,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/06/01/7762,GNA/NR/2025/06/01/7786,GNA/NR/2025/06/01/4973,GNA/NR/2025/06/16/6051,GNA/NR/2025/06/07/5932,GNA/NR/2025/06/01/2868,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/06/16/8791,GNA/NR/2025/06/01/2569,GNA/NR/2025/04/01/8964,GNA/NR/2025/06/01/4444,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/06/01/7663,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/06/01/9257,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/04/01/8456,GNA/NR/2025/06/01/5280,NR/30092023/31122025/SH-07,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/22052037/LT-59,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/05012040/L_NR_2020_02,NR/01102023/31102037/L_NR_2019_11,NR/01102023/06022042/L_NR_2012_02,NR/01102023/19072037/LT-05,NR/01102023/31052040/LT-31,NR/01102023/08032047/L_NR_2021_14,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,NR/01102023/13082046/L_NR_2021_12,NR/26072023/31072042/L_NR_2023_07
1,00:00-00:15,0,21,0,3.33,7,0,0,7,45.9,0,0,0,0,0,11.91,30,15.33,20.54,20.85,87.17,20.54,41.07,41.07,19.33,-0,29.06,273.25,15.32,53.39,4.68,0,17.11,41.07,0,20.54,0,8.46,11.92,14.25,29.26,10.6,100.68,6.75,10.63,130.75,115.92,0,0,0,0,0,0,0

2,00:15-00:30,0,21,0,3.33,7,0,0,7,45.52,0,0,0,0,0,11.91,30,15.33,20.54,20.85,87.17,20.54,41.07,41.07,19.33,-0,29.06,273.25,15.32,53.39,4.68,0,17.11,41.07,0,20.54,0,8.46,11.92,14.25,29.26,10.6,100.68,6.75,10.63,130.75,70.74,0,0,0,0,0,0,0

3,00:30-00:45,0,21,0,3.33,7,0,0,7,42.02,0,0,0,0,0,11.91,22.13,15.33,20.54,20.85,87.17,20.54,41.07,41.07,19.33,-0,29.06,273.25,15.32,53.39,4.68,0,17.11,41.07,0,20.54,0,8.46,11.92,22.13,29.77,10.6,100.68,6.75,10.63,130.75,115.92,0,0,0,0,0,0,0

4,00:45-01:00,0,21,0,3.33,7,0,0,7,41.42,0,0,0,0,0,11.91,22.13,15.33,20.54,20.85,87.17,20.54,41.07,41.07,19.33,-0,29.06,273.25,15.32,53.39,4.68,0,17.11,41.07,0,20.54,0,8.46,11.92,22.13,30.28,10.6,100.68,6.75,10.63,130.75,115.92,0,0,0,0,0,0,0

5,01:00-01:15,0,30,0,6.67,10,0,0,10,41.02,0,0,0,0,0,11.91,22.13,15.33,20.54,20.85,86.29,20.54,41.07,41.07,19.33,-0,29.06,273.25,15.32,53.39,4.68,0,16.74,41.07,0,20.54,0,8.46,11.92,22.13,30.28,10.6,100.68,6.56,10.63,130.75,115.92,0,0,0,0,0,0,0

6,01:15-01:30,0,28.5,0,6.67,9.5,0,0,9.5,39.42,0,0,0,0,0,11.91,22.13,15.33,20.54,20.85,86.29,20.54,41.07,41.07,19.33,-0,29.06,273.25,15.32,53.39,4.68,0,16.74,41.07,0,20.54,0,8.46,11.92,22.13,30.28,10.6,100.68,6.56,10.63,130.75,115.92,0,0,0,0,0,0,0

7,01:30-01:45,0,27.49,0,6.67,9.17,0,0,9.17,38.82,0,0,0,0,0,11.91,26.5,15.33,20.54,20.85,86.29,20.54,41.07,41.07,19.33,-0,29.06,273.25,15.32,53.39,4.68,0,16.74,41.07,0,20.54,0,8.46,11.92,26.5,30.28,10.49,100.68,6.56,10.63,130.75,115.92,0,0,0,0,0,0,0

