Column1,Time,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/01102023/L_NR_2020_06,L_NR_2019_19,NR/26072023/25122043/L_NR_2023_10,WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/L_NR_2019_05,NR/01102023/02122045/L_NR_2021_13,WR/01102023/24112044/L_NR_2020_07,NR/26072023/31072042/L_NR_2023_07,WR/01102023/31032046/L_NR_2020_05,WR/01102023/01102023/L_NR_2022_09,NR/01102023/25072045/L_NR_2021_15,WR/01102023/29112042/RUMS(L_NR_2019_06),GNARE/SR/2025/01/13/4532,GNA/WR/2025/01/01/9606,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/02/01/5886,GNA/NR/2025/02/16/1676,NR/01102023/05012040/L_NR_2020_02,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/30092023/31122025/SH-07,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/02/16/1380,GNA/SR/2025/02/01/6460,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/02/01/9969,NR/01102023/19072037/LT-05,GNA/SR/2025/02/01/7432,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/02/01/2143,GNA/WR/2024/11/01/4200,GNA/NR/2025/02/01/2594,GNA/NR/2025/02/01/4863,GNARE/NR/2024/12/20/3668,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_17,GNA/WR/2025/01/01/8625,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_16,NR/01102023/30042040/GNA_LT_35,NR/30092023/26122029/SH-06,NR/01102023/06022042/L_NR_2012_07,NR/01102023/22052037/LT-59,NR/01102023/06022042/L_NR_2012_02,NR/01102023/31052040/LT-31,NR/01102023/30042040/GNA_LT_36
1,00:00-00:15,0,21.5,0,0,51.34,16.33,0,0,21.5,0,64.5,51.33,0,0,7.2,0,271.47,8.64,23.78,1.11,26.24,26.99,52.81,7.93,75,1.29,23.04,70.04,0,0.92,23.04,0,23.04,8.64,0,0,0,0,0,0,0,26.99,59.36,0.62,135.37,0,0

2,00:15-00:30,0,21.17,0,0,51.34,16.33,0,0,21.17,0,63.49,51.33,0,0,6.6,0,271.47,8.64,23.78,1.11,26.24,26.99,52.81,7.93,75,1.29,23.04,70.04,0,0.92,23.04,0,23.04,8.64,0,0,0,0,0,0,0,26.99,59.36,0.62,135.37,0,0

3,00:30-00:45,0,21,0,0,51.34,16.67,0,0,21,0,63,51.33,0,0,6.6,0,271.47,8.64,23.78,1.11,26.24,26.99,52.81,7.93,75,1.29,23.04,70.04,0,0.92,23.04,0,23.04,8.64,0,0,0,0,0,0,0,26.99,59.36,0.62,135.37,0,0

4,00:45-01:00,0,20.67,0,0,51.34,17,0,0,20.67,0,61.99,51.33,0,0,6.6,0,271.47,8.64,23.78,1.11,26.24,26.99,52.81,7.93,75,1.29,23.04,70.04,0,0.92,23.04,0,23.04,8.64,0,0,0,0,0,0,0,26.99,59.36,0.62,135.37,0,0

5,01:00-01:15,0,20.33,0,0,46.34,17,0,0,20.33,0,61.01,46.33,0,0,6.6,0,271.47,8.64,23.78,1.11,26.24,26.99,52.81,7.93,75,1.29,23.04,70.04,0,0.92,23.04,0,23.04,8.64,0,0,0,0,0,0,0,26.99,59.36,0.62,135.37,0,0

6,01:15-01:30,0,20.17,0,0,47.34,17.67,0,0,20.17,0,60.49,47.33,0,0,6.6,0,271.47,8.64,23.78,1.11,26.24,26.99,52.81,7.93,75,1.29,23.04,70.04,0,0.92,23.04,0,23.04,8.64,0,0,0,0,0,0,0,26.99,59.36,0.62,135.37,0,0

