Block,Time,DHAULIGNGA,AURY_GF,AURY_RF,KKNPPU2,KOTESHWR,NJPC,RAMPUR,SINGRAULI,TANAKPUR,FSTPP I & II,JHAJJAR,KISHANGANGA,NLCEXP,NLCIIST2,RSTPSU7,SEWA2,TALA,UNCHAHAR3,UNCHAHAR4,ANTA_LF,DADRI_RF,DADRT2,DULHASTI,KUDGI,MAPS,NAPP,NLCIIST1,NNTPP,RAPPC,TANDA2,TEHRI,ANTA_CRF,KGSU1AND2,KOLDAM,NTPL,SALAL,SIMHST1,ANTA_GF,ANTA_RF,CHAMERA1,CHAMERA2,KHSTPP-I,RIHAND3,SASAN,SIMHST2,TALST2,UNCHAHAR1,VALLURNTECL,DADRI_CRF,DADRI_LF,BRBCL,CHAMERA3,KHSTPP-II,NLCTS2EXP,PARBATI3,RAPPB,RIHAND1,RIHAND2,TelanganaSTPP,UNCHAHAR2,AURY_CRF,AURY_LF,BSIUL,KGSU3AND4,KKNP,RSTPSU1TO6,SINGRAULI_HYDRO,URI,URI2,DADRI_GF
1,00:00-00:15,0,0,68.96,0,8.87,0,0,139.69,0,11.7,434.65,0,0,0,0,0,0,26.4,0,0,59.73,679,0,0,0,20.29,0,0,25.64,0,0,0,0,0,0,26.73,0,0,28.46,0,0,45.53,124.33,345.38,0,0,9.71,0,0,0,20,0,148.3,0,0,0,92,118.76,0,42.39,0,0,6.52,0,0,0,0.77,35.55,31.9,0

2,00:15-00:30,0,0,68.96,0,8.87,0,0,139.69,0,11.7,434.65,0,0,0,0,0,0,26.4,0,0,59.73,678.31,0,0,0,20.29,0,0,25.64,0,0,0,0,0,0,26.73,0,0,28.46,0,0,45.53,124.33,345.38,0,0,9.71,0,0,0,20,0,148.3,0,0,0,92,118.76,0,42.39,0,0,6.52,0,0,0,0.77,35.55,31.9,0

3,00:30-00:45,0,0,68.96,0,8.87,0,0,139.69,0,11.7,434.65,0,0,0,0,0,0,26.4,0,0,59.73,678.31,0,0,0,20.29,0,0,25.64,0,0,0,0,0,0,26.73,0,0,28.46,0,0,45.53,124.33,345.38,0,0,9.71,0,0,0,20,0,148.3,0,0,0,92,118.76,0,42.39,0,0,6.52,0,0,0,0.77,35.55,31.9,0

4,00:45-01:00,0,0,68.96,0,8.87,0,0,139.69,0,11.7,434.65,0,0,0,0,0,0,26.4,0,0,59.73,678.61,0,0,0,20.29,0,0,25.64,0,0,0,0,0,0,26.73,0,0,28.46,0,0,45.53,124.33,345.38,0,0,9.71,0,0,0,20,0,148.3,0,0,0,92,118.76,0,42.39,0,0,6.52,0,0,0,0.77,35.55,31.9,0

5,01:00-01:15,0,0,68.96,0,8.87,0,0,139.69,5.76,11.7,434.65,0,0,0,0,0,0,26.4,0,0,59.73,678.91,0,0,0,20.29,0,0,25.64,0,0,0,0,0,0,70.88,0,0,28.46,0,0,45.53,124.33,345.38,0,0,9.71,0,0,0,20,0,148.3,0,0,0,92,118.76,0,42.39,0,0,6.52,0,0,0,0.77,35.55,31.9,0

6,01:15-01:30,0,0,68.96,0,8.87,0,0,139.69,5.76,11.7,434.65,0,0,0,0,0,0,26.4,0,0,59.73,678.91,0,0,0,20.29,0,0,25.64,0,0,0,0,0,0,70.88,0,0,28.66,0,0,45.53,124.33,345.38,0,0,9.71,0,0,0,20,0,148.3,0,0,0,92,118.76,0,42.39,0,0,6.52,0,0,0,0.77,35.55,31.9,0

7,01:30-01:45,0,0,68.96,0,8.87,0,0,139.69,5.76,11.7,434.65,0,0,0,0,0,0,26.4,0,0,59.73,678.91,0,0,0,20.29,0,0,25.64,0,0,0,0,0,0,70.88,0,0,28.66,0,0,45.53,124.33,345.38,0,0,9.71,0,0,0,20,0,148.3,0,0,0,92,118.76,0,42.39,0,0,6.52,0,0,0,0.77,35.55,31.9,0

8,01:45-02:00,0,0,68.96,0,8.87,0,0,139.69,5.76,11.7,434.65,0,0,0,0,0,0,26.4,0,0,59.73,678.95,0,0,0,20.29,0,0,25.64,0,0,0,0,0,0,70.88,0,0,28.66,0,0,45.53,124.33,345.38,0,0,9.71,0,0,0,20,0,148.3,0,0,0,92,118.76,0,42.39,0,0,6.52,0,0,0,0.77,35.55,31.9,0

9,02:00-02:15,0,0,68.96,0,8.87,0,0,133.5,5.76,11.7,434.65,0,0,0,0,0,0,26.4,0,0,59.73,678.37,0,0,0,20.29,0,0,25.64,0,0,0,0,0,0,70.88,0,0,28.66,0,0,45.53,124.33,345.38,0,0,9.71,0,0,0,20,0,148.3,0,0,0,92,118.76,0,42.39,0,0,6.52,0,0,0,0.77,35.55,31.9,0

10,02:15-02:30,0,0,68.96,0,8.87,0,0,133.5,5.76,11.7,434.65,0,0,0,0,0,0,26.4,0,0,59.73,678.27,0,0,0,20.29,0,0,25.64,0,0,0,0,0,0,70.88,0,0,28.66,0,0,45.53,124.33,345.38,0,0,9.71,0,0,0,20,0,148.3,0,0,0,92,118.76,0,42.39,0,0,6.52,0,0,0,0.77,35.55,31.9,0

11,02:30-02:45,0,0,68.96,0,8.87,0,0,133.5,0.25,11.7,434.65,0,0,0,0,0,0,26.4,0,0,59.73,678.27,0,0,0,20.29,0,0,25.64,0,0,0,0,0,0,26.73,0,0,28.66,0,0,45.53,124.33,335.25,0,0,9.71,0,0,0,20,0,148.3,0,0,0,92,118.76,0,42.39,0,0,6.52,0,0,0,0.77,35.55,31.9,0

12,02:45-03:00,0,0,68.96,0,8.87,0,0,133.5,0.25,11.7,434.65,0,0,0,0,0,0,26.4,0,0,59.73,678.27,0,0,0,20.29,0,0,25.64,0,0,0,0,0,0,26.73,0,0,28.66,0,0,45.53,124.33,335.25,0,0,9.71,0,0,0,20,0,148.3,0,0,0,92,118.76,0,42.39,0,0,6.52,0,0,0,0.77,35.55,31.9,0

13,03:00-03:15,0,0,68.96,0,8.87,0,0,133.5,0.25,11.7,434.65,0,0,0,0,0,0,26.4,0,0,59.73,683.14,0,0,0,20.29,0,0,25.64,0,0,0,0,0,0,26.73,0,0,28.66,0,0,45.53,124.33,335.25,0,0,9.71,0,0,0,20,0,148.3,0,0,0,92,118.76,0,42.39,0,0,6.52,0,0,0,0.77,35.55,31.9,0

14,03:15-03:30,0,0,68.96,0,8.87,0,0,133.5,0.25,11.7,434.65,0,0,0,0,0,0,26.4,0,0,59.73,683.14,0,0,0,20.29,0,0,25.64,0,0,0,0,0,0,26.73,0,0,28.66,0,0,45.53,124.33,335.25,0,0,9.71,0,0,0,20,0,148.3,0,0,0,92,118.76,0,42.39,0,0,6.52,0,0,0,0.77,35.55,31.9,0

15,03:30-03:45,0,0,68.96,0,8.87,0,0,133.5,0.25,11.7,434.65,0,0,0,0,0,0,26.4,0,0,59.73,683.14,0,0,0,20.29,0,0,25.64,0,0,0,0,0,0,26.73,0,0,28.56,0,0,45.53,124.33,335.25,0,0,9.71,0,0,0,20,0,148.3,0,0,0,92,118.76,0,42.39,0,0,6.52,0,0,0,0.77,35.33,31.9,0

16,03:45-04:00,0,0,68.96,0,8.87,0,0,133.5,0.25,11.7,434.65,0,0,0,0,0,0,26.4,0,0,59.73,683.14,0,0,0,20.29,0,0,25.64,0,0,0,0,0,0,26.73,0,0,28.56,0,0,45.53,124.33,335.25,0,0,9.71,0,0,0,20,0,148.3,0,0,0,92,118.76,0,42.39,0,0,6.52,0,0,0,0.77,35.33,31.9,0

