Block,Time,DADRT2,DHAULIGNGA,DULHASTI,FSTPP I & II,KHSTPP-II,KOLDAM,NLCEXP,NLCIIST1,RIHAND1,SALAL,SINGRAULI,TANDA2,UNCHAHAR3,DADRI_LF,CHAMERA3,KGSU1AND2,NTPL,RIHAND3,SEWA2,SINGRAULI_HYDRO,TANAKPUR,TelanganaSTPP,UNCHAHAR2,URI2,ANTA_LF,DADRI_CRF,KHSTPP-I,MAPS,NJPC,PARBATI3,TALST2,VALLURNTECL,JHAJJAR,KKNP,ANTA_GF,AURY_LF,AURY_RF,BRBCL,BSIUL,NLCTS2EXP,RAPPC,RIHAND2,SIMHST1,SIMHST2,ANTA_CRF,CHAMERA2,KKNPPU2,NAPP,NLCIIST2,SASAN,TEHRI,UNCHAHAR4,AURY_CRF,DADRI_RF,RAMPUR,RSTPSU7,TALA,URI,AURY_GF,DADRI_GF,CHAMERA1,KGSU3AND4,KISHANGANGA,KOTESHWR,KUDGI,NNTPP,RAPPB,RSTPSU1TO6,UNCHAHAR1,ANTA_RF
1,00:00-00:15,683.14,0,16.48,20.8,148.3,0,0,0,92,1.4,139.69,0,26.4,0,0,0,0,62.16,0,0.65,0,0,42.39,4.31,0,91.52,45.83,0,0,0,0,0,434.65,0,0,0,0,20,0,0,53.17,118.76,0,0,44.1,0,0,44.11,0,418.77,0,0,70.81,0,0,0,0,0.99,0,0,0,0,0,17.75,0,0,0,0,9.14,0

2,00:15-00:30,683.14,0,16.48,20.8,148.3,0,0,0,92,1.4,139.69,0,26.4,0,0,0,0,62.16,0,0.65,0,0,42.39,4.31,0,91.52,45.83,0,0,0,0,0,434.65,0,0,0,0,20,0,0,53.17,118.76,0,0,44.1,0,0,44.11,0,418.77,0,0,70.81,0,0,0,0,0.99,0,0,0,0,0,17.75,0,0,0,0,9.14,0

3,00:30-00:45,683.14,0,16.48,20.8,148.3,0,0,0,92,1.4,139.69,0,26.4,0,0,0,0,62.16,0,0.65,0,0,42.39,4.31,0,91.52,45.83,0,0,0,0,0,434.65,0,0,0,0,20,0,0,53.17,118.76,0,0,44.1,0,0,44.11,0,418.77,0,0,70.81,0,0,0,0,0.99,0,0,0,0,0,17.75,0,0,0,0,9.14,0

4,00:45-01:00,683.14,0,16.48,20.8,148.3,0,0,0,92,1.4,139.69,0,26.4,0,0,0,0,62.16,0,0.65,0,0,42.39,4.31,0,91.52,45.83,0,0,0,0,0,434.65,0,0,0,0,20,0,0,53.17,118.76,0,0,44.1,0,0,44.11,0,418.77,0,0,70.81,0,0,0,0,0.99,0,0,0,0,0,17.75,0,0,0,0,9.14,0

5,01:00-01:15,683.14,0,16.48,20.8,148.3,0,0,0,92,1.4,139.69,0,26.4,0,0,0,0,62.16,0,0.65,0,0,42.39,4.31,0,91.52,45.83,0,0,0,0,0,434.65,0,0,0,0,20,0,0,53.17,118.76,0,0,44.1,0,0,44.11,0,418.77,0,0,70.81,0,0,0,0,0.99,0,0,0,0,0,17.75,0,0,0,0,9.14,0

6,01:15-01:30,683.14,0,16.48,20.8,148.3,0,0,0,92,1.4,139.69,0,26.4,0,0,0,0,62.16,0,0.65,0,0,42.39,4.31,0,91.52,45.83,0,0,0,0,0,434.65,0,0,0,0,20,0,0,53.17,118.76,0,0,44.1,0,0,44.11,0,418.77,0,0,70.81,0,0,0,0,0.99,0,0,0,0,0,17.75,0,0,0,0,9.14,0

7,01:30-01:45,683.14,0,16.48,20.8,148.3,0,0,0,92,1.4,139.69,0,26.4,0,0,0,0,62.16,0,0.65,0,0,42.39,4.31,0,91.52,45.83,0,0,0,0,0,434.65,0,0,0,0,20,0,0,53.17,118.76,0,0,44.1,0,0,44.11,0,418.77,0,0,70.81,0,0,0,0,0.99,0,0,0,0,0,17.75,0,0,0,0,9.14,0

8,01:45-02:00,683.14,0,16.48,20.8,148.3,0,0,0,92,1.4,139.69,0,26.4,0,0,0,0,62.16,0,0.65,0,0,42.39,4.31,0,91.52,45.83,0,0,0,0,0,434.65,0,0,0,0,20,0,0,53.17,118.76,0,0,44.1,0,0,44.11,0,418.77,0,0,70.81,0,0,0,0,0.99,0,0,0,0,0,17.75,0,0,0,0,9.14,0

